id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5035645262891033,OeXimc85z,3176105483,苍龙飞天79,#网友称因航班延误小孩被安排住酒店后走失#上海浦东机场，航班延误，一个七十多岁的老人和两个小孩被安排到了酒店，小孩在机场外面的酒店走丢了，视频中下跪者是走丢孩子亲属。#老人因孩子走丢在机场大哭是场误会#澎湃新闻记者从知情人士处获悉，因为航班延误，航空公司分批安排旅客去酒店休息。这位老人一行好几个人，其中一位之前做过手术的老人和一个十几岁的孩子被安排先去酒店。然而视频中的这位老人并不知情，以为自己孩子走丢了，因此大哭。上述事情发生后，机场工作人员把这位老人的同行人都带回其身边，包括被误认为走丢的孩子。L长春西门大官人的微博视频,,,,"网友称因航班延误小孩被安排住酒店后走失,老人因孩子走丢在机场大哭是场误会",0,0,0,2024-05-19 07:27,微博视频号,,"http://f.video.weibocdn.com/o0/UbCNwKk9lx08esqPKt9C01041200g9WI0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725000466&ssig=Uo79sNkfk%2B&KID=unistore,video",,,红V
5030218647209767,OcG7KufAz,3176105483,苍龙飞天79,#网友称因航班延误小孩被安排住酒店后走失#上海浦东机场，航班延误，一个七十多岁的老人和两个小孩被安排到了酒店，小孩在机场外面的酒店走丢了，视频中下跪者是走丢孩子亲属。#老人因孩子走丢在机场大哭是场误会#澎湃新闻记者从知情人士处获悉，因为航班延误，航空公司分批安排旅客去酒店休息。这位老人一行好几个人，其中一位之前做过手术的老人和一个十几岁的孩子被安排先去酒店。然而视频中的这位老人并不知情，以为自己孩子走丢了，因此大哭。上述事情发生后，机场工作人员把这位老人的同行人都带回其身边，包括被误认为走丢的孩子。L长春西门大官人的微博视频,,,,"网友称因航班延误小孩被安排住酒店后走失,老人因孩子走丢在机场大哭是场误会",0,1,2,2024-05-04 08:04,微博视频号,,"http://f.video.weibocdn.com/o0/UbCNwKk9lx08esqPKt9C01041200g9WI0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725000466&ssig=Uo79sNkfk%2B&KID=unistore,video",,,红V
5028931512304048,Oc8DJ9Fo4,1898885525,生活报新街派,#老人因孩子走丢在机场大哭是场误会#4月29日，一则网上流传的视频显示，一位老人在上海浦东国际机场候机厅崩溃大哭，声嘶力竭地呼喊着：“把我小孩带回来，还我小孩子！”引来众多群众围观。澎湃新闻记者从知情人士处获悉，因为航班延误，航空公司分批安排旅客去酒店休息。这位老人一行好几个人，其中一位之前做过手术的老人和一个十几岁的孩子被安排先去酒店。然而视频中的这位老人并不知情，以为自己孩子走丢了，因此大哭。上述事情发生后，机场工作人员把这位老人的同行人都带回其身边，包括被误认为走丢的孩子。（澎湃新闻）,,,,老人因孩子走丢在机场大哭是场误会,0,0,0,2024-04-30 18:49,iPhone 12,https://wx3.sinaimg.cn/large/0024vwRTly1hp91wve5egj60q71a879y02.jpg,,,,蓝V
5028883550702136,Oc7on2WEM,7699212662,城乡视窗,#网友称因航班延误小孩被安排住酒店后走失#上海浦东机场，航班延误，一个七十多岁的老人和两个小孩被安排到了酒店，小孩在机场外面的酒店走丢了，视频中下跪者是走丢孩子亲属。#老人因孩子走丢在机场大哭是场误会#澎湃新闻记者从知情人士处获悉，因为航班延误，航空公司分批安排旅客去酒店休息。这位老人一行好几个人，其中一位之前做过手术的老人和一个十几岁的孩子被安排先去酒店。然而视频中的这位老人并不知情，以为自己孩子走丢了，因此大哭。上述事情发生后，机场工作人员把这位老人的同行人都带回其身边，包括被误认为走丢的孩子。L长春西门大官人的微博视频,,,,"网友称因航班延误小孩被安排住酒店后走失,老人因孩子走丢在机场大哭是场误会",1,0,0,2024-04-30 15:38,HarmonyOS设备,,"http://f.video.weibocdn.com/o0/UbCNwKk9lx08esqPKt9C01041200g9WI0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725000466&ssig=Uo79sNkfk%2B&KID=unistore,video",,,普通用户
5028834158576202,Oc66HzZ3Q,1653689003,新周刊,【#老人因孩子走丢在机场大哭是场误会#】4月29日，一则网上流传的视频显示，一位老人在上海浦东国际机场候机厅崩溃大哭，声嘶力竭地呼喊着：“把我小孩带回来，还我小孩子！”引来众多群众围观。澎湃新闻记者从知情人士处获悉，因为航班延误，航空公司分批安排旅客去酒店休息。这位老人一行好几个人，其中一位之前做过手术的老人和一个十几岁的孩子被安排先去酒店。然而视频中的这位老人并不知情，以为自己孩子走丢了，因此大哭。上述事情发生后，机场工作人员把这位老人的同行人都带回其身边，包括被误认为走丢的孩子。（澎湃新闻）,,,,老人因孩子走丢在机场大哭是场误会,3,6,13,2024-04-30 12:22,,https://wx3.sinaimg.cn/large/001NUI3hgy1hp8jh6vur0j60q71a8q8i02.jpg,,,,蓝V
5028820984005139,Oc5LsgNV1,1738237032,水果猫,#老人因孩子走丢在机场大哭是场误会#媒体吃流量无下限，自己搞不清楚状况，一哭二闹三上吊？是不是以后航班延误，航空公司不安排住宿就皆大欢喜了，免得屎盆子扣来一身骚,,,,老人因孩子走丢在机场大哭是场误会,0,0,1,2024-04-30 11:30,小米10 青春版 5G,,,,,黄V
5028811022009129,Oc5vo8qFj,7344875125,·悬崖上的多妞·,#老人因孩子走丢在机场大哭是场误会#十几岁的“小孩”，能被“偷”走吗,,,,老人因孩子走丢在机场大哭是场误会,0,0,1,2024-04-30 10:50,,,,,,红V
5028804583493725,Oc5l0eESp,6095767028,济宁市全媒体辟谣平台,【一老人因孩子“走丢”在机场崩溃大哭？实则是场误会，目前已团聚】#老人因孩子走丢在机场大哭是场误会#4月29日，一则网上流传的视频显示，一位老人在上海浦东国际机场候机厅崩溃大哭，声嘶力竭地呼喊着：“把我小孩带回来，还我小孩子！”引来众多群众围观。澎湃新闻记者从知情人士处获悉，因为航班延误，航空公司分批安排旅客去酒店休息。这位老人一行好几个人，其中一位之前做过手术的老人和一个十几岁的孩子被安排先去酒店。然而视频中的这位老人并不知情，以为自己孩子走丢了，因此大哭。上述事情发生后，机场工作人员把这位老人的同行人都带回其身边，包括被误认为走丢的孩子。（澎湃新闻）,,,,老人因孩子走丢在机场大哭是场误会,4,0,2,2024-04-30 10:25,微博网页版,https://wx2.sinaimg.cn/large/006Exdt2ly1hp8nc9nvsdj30j60xuwg4.jpg,,,,蓝V
5028803938879039,Oc5jXBfQj,5994624585,什么小孩天天找,#老人因孩子走丢在机场大哭是场误会#按闹分配，以后出了事别怕丢人，闹就完了,,,,老人因孩子走丢在机场大哭是场误会,0,0,5,2024-04-30 10:22,Android,,,,,黄V
5028803300819496,Oc5iW3rbG,2011075080,齐鲁晚报,【一老人因孩子“走丢”在机场崩溃大哭？实则是场误会，目前已团聚】#老人因孩子走丢在机场大哭是场误会#4月29日，一则网上流传的视频显示，一位老人在上海浦东国际机场候机厅崩溃大哭，声嘶力竭地呼喊着：“把我小孩带回来，还我小孩子！”引来众多群众围观。澎湃新闻记者从知情人士处获悉，因为航班延误，航空公司分批安排旅客去酒店休息。这位老人一行好几个人，其中一位之前做过手术的老人和一个十几岁的孩子被安排先去酒店。然而视频中的这位老人并不知情，以为自己孩子走丢了，因此大哭。上述事情发生后，机场工作人员把这位老人的同行人都带回其身边，包括被误认为走丢的孩子。（澎湃新闻）,,,,老人因孩子走丢在机场大哭是场误会,1,2,3,2024-04-30 10:20,微博网页版,https://wx2.sinaimg.cn/large/002c6guQgy1hp8mlr6lk2j60q71a876t02.jpg,,,,蓝V
