id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4589399038498791,JBvFZzEVh,5786830302,会好的pajk,//@文明青白江:【#老人在家隔离隔窗为志愿者打气#】,,,文明青白江,老人在家隔离隔窗为志愿者打气,0,0,0,2021-01-03 21:44,麦芒 8,,,,,普通用户
4587766216132378,JAPcppJjk,6028775018,南京市秦淮区红十字会,【#老人在家隔离隔窗为志愿者打气#】12月27日，大连金普新区一小区，一位在家隔离的奶奶隔着窗户喊话，为志愿者鼓劲加油。奶奶所在小区此前因疑似病例被封闭，小区志愿者说，他们正在给楼道消毒、给居民送菜，奶奶觉得我们最近累坏了，就喊话打气。@新京报我们视频L紧急呼叫的微博视频,,,新京报我们视频,老人在家隔离隔窗为志愿者打气,0,0,0,2020-12-30 09:36,微博视频号,,"http://f.video.weibocdn.com/bMeQ6Ql0lx07J6OthXAA01041200NAF40E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1724986468&ssig=kBzN%2Bbueij&KID=unistore,video",,,蓝V
4587425680327308,JAGla1n9a,1973634817,贵州都市报,【#老人在家隔离隔窗为志愿者打气#】12月27日，大连金普新区一小区，一位在家隔离的奶奶隔着窗户喊话，为志愿者鼓劲加油。奶奶所在小区此前因疑似病例被封闭，小区志愿者说，他们正在给楼道消毒、给居民送菜，奶奶觉得我们最近累坏了，就喊话打气。viaL紧急呼叫的微博视频,,,,老人在家隔离隔窗为志愿者打气,0,0,5,2020-12-29 11:02,微博视频号,,"http://f.video.weibocdn.com/bMeQ6Ql0lx07J6OthXAA01041200NAF40E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1724986468&ssig=kBzN%2Bbueij&KID=unistore,video",,,蓝V
4587417074666740,JAG7hjA20,5159632403,耀州检察,【#老人在家隔离隔窗为志愿者打气#】12月27日，大连金普新区一小区，一位在家隔离的奶奶隔着窗户喊话，为志愿者鼓劲加油。奶奶所在小区此前因疑似病例被封闭，小区志愿者说，他们正在给楼道消毒、给居民送菜，奶奶觉得我们最近累坏了，就喊话打气。@新京报我们视频L紧急呼叫的微博视频,,,新京报我们视频,老人在家隔离隔窗为志愿者打气,0,0,0,2020-12-29 10:28,微博视频号,,"http://f.video.weibocdn.com/bMeQ6Ql0lx07J6OthXAA01041200NAF40E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1724986468&ssig=kBzN%2Bbueij&KID=unistore,video",,,蓝V
4587395104375070,JAFxQim9E,3925831483,碑林检察,#在家隔离奶奶隔窗为志愿者打气#【#老人在家隔离隔窗为志愿者打气#】12月27日，大连金普新区一小区，一位在家隔离的奶奶隔着窗户喊话，为志愿者鼓劲加油。奶奶所在小区此前因疑似病例被封闭，小区志愿者说，他们正在给楼道消毒、给居民送菜，奶奶觉得我们最近累坏了，就喊话打气。@新京报我们视频L紧急呼叫的微博视频,,,新京报我们视频,"在家隔离奶奶隔窗为志愿者打气,老人在家隔离隔窗为志愿者打气",0,5,2,2020-12-29 09:01,微博视频号,,"http://f.video.weibocdn.com/bMeQ6Ql0lx07J6OthXAA01041200NAF40E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1724986468&ssig=kBzN%2Bbueij&KID=unistore,video",,,蓝V
4587379677467267,JAF8XvkzN,2811257732,微博德阳,【#老人在家隔离隔窗为志愿者打气#】12月27日，大连金普新区一小区，一位在家隔离的奶奶隔着窗户喊话，为志愿者鼓劲加油。奶奶所在小区此前因疑似病例被封闭，小区志愿者说，他们正在给楼道消毒、给居民送菜，奶奶觉得我们最近累坏了，就喊话打气。L紧急呼叫的微博视频,,,,老人在家隔离隔窗为志愿者打气,0,0,1,2020-12-29 08:00,微博视频号,,"http://f.video.weibocdn.com/bMeQ6Ql0lx07J6OthXAA01041200NAF40E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1724986468&ssig=kBzN%2Bbueij&KID=unistore,video",,,蓝V
4587350213263507,JAEnrdGZd,3007464393,清泉爱心团队,【#辽宁##老人在家隔离隔窗为志愿者打气#】12月27日，大连金普新区一小区，一位在家隔离的奶奶隔着窗户喊话，为志愿者鼓劲加油。奶奶所在小区此前因疑似病例被封闭，小区志愿者说，他们正在给楼道消毒、给居民送菜，奶奶觉得我们最近累坏了，就喊话打气。#中国地理#L紧急呼叫的微博视频,,,,"辽宁,老人在家隔离隔窗为志愿者打气,中国地理",0,1,0,2020-12-29 06:03,微博云剪,,"http://f.video.weibocdn.com/bMeQ6Ql0lx07J6OthXAA01041200NAF40E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1724986468&ssig=kBzN%2Bbueij&KID=unistore,video",,,普通用户
4587350207758945,JAEnqwysh,5533227860,抚顺说事,【#辽宁##老人在家隔离隔窗为志愿者打气#】12月27日，大连金普新区一小区，一位在家隔离的奶奶隔着窗户喊话，为志愿者鼓劲加油。奶奶所在小区此前因疑似病例被封闭，小区志愿者说，他们正在给楼道消毒、给居民送菜，奶奶觉得我们最近累坏了，就喊话打气。#中国地理#L紧急呼叫的微博视频,,,,"辽宁,老人在家隔离隔窗为志愿者打气,中国地理",0,1,0,2020-12-29 06:03,微博视频号,,"http://f.video.weibocdn.com/bMeQ6Ql0lx07J6OthXAA01041200NAF40E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1724986468&ssig=kBzN%2Bbueij&KID=unistore,video",,,黄V
4587350203828186,JAEnqg3SW,1295347463,赵俞锋,【#辽宁##老人在家隔离隔窗为志愿者打气#】12月27日，大连金普新区一小区，一位在家隔离的奶奶隔着窗户喊话，为志愿者鼓劲加油。奶奶所在小区此前因疑似病例被封闭，小区志愿者说，他们正在给楼道消毒、给居民送菜，奶奶觉得我们最近累坏了，就喊话打气。#中国地理#L紧急呼叫的微博视频,,,,"辽宁,老人在家隔离隔窗为志愿者打气,中国地理",1,0,2,2020-12-29 06:03,微博视频号,,"http://f.video.weibocdn.com/bMeQ6Ql0lx07J6OthXAA01041200NAF40E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1724986468&ssig=kBzN%2Bbueij&KID=unistore,video",,,金V
4587222436679652,JAB3ls1Gk,5167174385,延川检察,【#老人在家隔离隔窗为志愿者打气#】12月27日，大连金普新区一小区，一位在家隔离的奶奶隔着窗户喊话，为志愿者鼓劲加油。奶奶所在小区此前因疑似病例被封闭，小区志愿者说，他们正在给楼道消毒、给居民送菜，奶奶觉得我们最近累坏了，就喊话打气。@新京报我们视频L紧急呼叫的微博视频,,,新京报我们视频,老人在家隔离隔窗为志愿者打气,0,1,0,2020-12-28 21:35,Android,,"http://f.video.weibocdn.com/bMeQ6Ql0lx07J6OthXAA01041200NAF40E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1724986468&ssig=kBzN%2Bbueij&KID=unistore,video",,,蓝V
