id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5040185093391305,OgRoFeeet,2209730323,融媒体张灏,【#老人地铁里给小伙看淫秽视频#，还说“100元跟我回家”】#老人给小伙看淫秽视频并邀请一起回家#据新闻晨报报道：5月23日，有网友发布视频称，他在山东青岛地铁一号线上，被一名60多岁的老年男子性骚扰。视频中，这名老人称给小伙100元钱，邀请小伙去他家里玩，还有一些不堪入耳的污秽言语。　　小伙介绍，上地铁前，老年男子就和他在站台上聊天，进入车厢后，他主动将座位让给老人，并去了另外一节车厢，没想到老人追了过来。“我没想到这是农夫与蛇的故事，过了四五个站点，我身边有很多空位，老人突然过来坐我旁边，给我看淫秽视频，还邀请我去他家玩。”小伙表示，老人的行为让他感觉“不舒服，很恶心”。5月24日，经视直播记者致电青岛地铁客服热线。工作人员表示，他们已经接到相关反馈，现场情况正在进一步核实中，目前，公安机关已经介入调查，地铁会积极配合。“如果乘客在乘车中发现此类情况，可及时拨打110报警或者联系工作人员。”　　湖北我们律师事务所律师田大军分析，该案中，老人在地铁上向男子播放淫秽视频并邀请男子跟他一起回家，涉嫌侵犯了男子人格权，对男子形成了公然侮辱。根据《治安管理处罚法》第42条规定，可对其处5日以下拘留或500元以下罚款；情节较重的，处5日以上10日以下拘留，可以并处500元以下罚款。,,,,"老人地铁里给小伙看淫秽视频,老人给小伙看淫秽视频并邀请一起回家",0,0,0,2024-05-31 20:07,IN汉中·HarmonyOS设备,https://wx2.sinaimg.cn/large/83b5cf13ly1hq8ydhed29j20ae0d7jrs.jpg,,,,黄V
5038031414756815,OfXmZjXsP,1307652030,风诤语评,#老人地铁里给小伙看淫秽视频#我现在最怕的是，不知道这个败类用这个方法对没对青少年下过黑手！……,,,,老人地铁里给小伙看淫秽视频,0,0,0,2024-05-25 21:29,挂在风筝的Android,,,,,黄V
5037976562174052,OfVWw97zm,6676150183,橘总吃嘛嘛香,#老人地铁里给小伙看淫秽视频#又是青岛1️⃣号线哈哈哈哈哈,,,,老人地铁里给小伙看淫秽视频,0,0,0,2024-05-25 17:51,iPad Pro,,,,,普通用户
5037956632941240,OfVqncl9m,3603393731,海洋命运共同体,#老人地铁里给小伙看淫秽视频#一号线的确是神出鬼没，不养闲人啊,,,,老人地铁里给小伙看淫秽视频,0,0,1,2024-05-25 16:32,小米CC9e,,,,,普通用户
5037952837357486,OfVkfuS18,2804827393,新浪天津,【#老人地铁里给小伙看淫秽视频#，还说“100元跟我回家”】#老人给小伙看淫秽视频并邀请一起回家#据新闻晨报报道：5月23日，有网友发布视频称，他在山东青岛地铁一号线上，被一名60多岁的老年男子性骚扰。视频中，这名老人称给小伙100元钱，邀请小伙去他家里玩，还有一些不堪入耳的污秽言语。小伙介绍，上地铁前，老年男子就和他在站台上聊天，进入车厢后，他主动将座位让给老人，并去了另外一节车厢，没想到老人追了过来。“我没想到这是农夫与蛇的故事，过了四五个站点，我身边有很多空位，老人突然过来坐我旁边，给我看淫秽视频，还邀请我去他家玩。”小伙表示，老人的行为让他感觉“不舒服，很恶心”。5月24日，经视直播记者致电青岛地铁客服热线。工作人员表示，他们已经接到相关反馈，现场情况正在进一步核实中，目前，公安机关已经介入调查，地铁会积极配合。“如果乘客在乘车中发现此类情况，可及时拨打110报警或者联系工作人员。”湖北我们律师事务所律师田大军分析，该案中，老人在地铁上向男子播放淫秽视频并邀请男子跟他一起回家，涉嫌侵犯了男子人格权，对男子形成了公然侮辱。根据《治安管理处罚法》第42条规定，可对其处5日以下拘留或500元以下罚款；情节较重的，处5日以上10日以下拘留，可以并处500元以下罚款。,,,,"老人地铁里给小伙看淫秽视频,老人给小伙看淫秽视频并邀请一起回家",0,1,2,2024-05-25 16:17,微博网页版,https://wx4.sinaimg.cn/large/a72e4501ly1hq1l1vqgg3j20ae0d776r.jpg,,,,蓝V
5037892461658801,OfTKS6XwR,5248733117,Brozone,#老人地铁里给小伙看淫秽视频#抛开事实不谈，这个年轻小伙就没错吗？是不是穿的太骚了，连老头都要勾引,,,,老人地铁里给小伙看淫秽视频,0,0,0,2024-05-25 12:17,微博搜索,,,,,黄V
5037875324256769,OfTjehRnz,7699274625,adgiknghj,#老人地铁里给小伙看淫秽视频#果然是坏人变老了。,,,,老人地铁里给小伙看淫秽视频,0,0,0,2024-05-25 11:08,,,,,,黄V
5037874411995762,OfThL8nbI,3866169182,名字十二个字不信你数数啊,#老人地铁里给小伙看淫秽视频#魔幻青岛。。,,,,老人地铁里给小伙看淫秽视频,0,0,0,2024-05-25 11:05,,,,,,黄V
5037874117083668,OfThhtIMI,1612349552,喝温水的小犀牛,#老人地铁里给小伙看淫秽视频#坏人变老了~,,,,老人地铁里给小伙看淫秽视频,0,0,0,2024-05-25 11:04,微博搜索,,,,,普通用户
5037873802251213,OfTgM9rDT,7308051588,没事逛逛菜市场,#老人地铁里给小伙看淫秽视频#这这这这,,,,老人地铁里给小伙看淫秽视频,0,0,0,2024-05-25 11:02,荣耀X40 GT,,,,,普通用户
