id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5065392956902439,OrravsXDF,7510959285,无敌比格,#头痛欲裂##老人头痛欲裂竟是被蜱虫连吸数日##头痛欲裂如何缓解#,,,,"头痛欲裂,老人头痛欲裂竟是被蜱虫连吸数日,头痛欲裂如何缓解",0,0,0,2024-08-09 09:34,,,,,福建,普通用户
5065304276730514,OroRtseUG,7510959285,无敌比格,#头痛欲裂##老人头痛欲裂竟是被蜱虫连吸数日##头痛欲裂如何缓解#,,,,"头痛欲裂,老人头痛欲裂竟是被蜱虫连吸数日,头痛欲裂如何缓解",0,0,0,2024-08-09 03:41,OPPO Reno9 5G,,,,福建,普通用户
5009333668021076,O3UOixEEc,7510959285,无敌比格,一想到此男以后会被剥夺下睫毛我就#头痛欲裂##老人头痛欲裂竟是被蜱虫连吸数日##头痛欲裂如何缓解#,,,,"头痛欲裂,老人头痛欲裂竟是被蜱虫连吸数日,头痛欲裂如何缓解",0,2,0,2024-03-07 16:54,OPPO Reno9 5G,,,,福建,普通用户
4991569234757780,NCq8jjXIo,7510959285,无敌比格,#头痛欲裂##老人头痛欲裂竟是被蜱虫连吸数日##头痛欲裂如何缓解#,,,,"头痛欲裂,老人头痛欲裂竟是被蜱虫连吸数日,头痛欲裂如何缓解",0,0,0,2024-01-18 16:25,OPPO Reno9 5G,,,,福建,普通用户
4988403330323950,NB5M11mh0,7510959285,无敌比格,#头痛欲裂##老人头痛欲裂竟是被蜱虫连吸数日##头痛欲裂如何缓解#,,,,"头痛欲裂,老人头痛欲裂竟是被蜱虫连吸数日,头痛欲裂如何缓解",0,0,0,2024-01-09 22:44,OPPO Reno9 5G,,,,福建,普通用户
4987608541959908,NAL668dRq,7510959285,无敌比格,#头痛欲裂##老人头痛欲裂竟是被蜱虫连吸数日##头痛欲裂如何缓解#,,,,"头痛欲裂,老人头痛欲裂竟是被蜱虫连吸数日,头痛欲裂如何缓解",0,0,0,2024-01-07 18:06,OPPO Reno9 5G,,,,福建,普通用户
4986789232116587,NApMD8SCv,7510959285,无敌比格,#头痛欲裂##老人头痛欲裂竟是被蜱虫连吸数日##头痛欲裂如何缓解#,,,,"头痛欲裂,老人头痛欲裂竟是被蜱虫连吸数日,头痛欲裂如何缓解",0,0,0,2024-01-05 11:51,OPPO Reno9 5G,,,,福建,普通用户
4986577414260270,NAkgZhSi2,7510959285,无敌比格,#头痛欲裂##老人头痛欲裂竟是被蜱虫连吸数日##头痛欲裂如何缓解#,,,,"头痛欲裂,老人头痛欲裂竟是被蜱虫连吸数日,头痛欲裂如何缓解",0,0,0,2024-01-04 21:49,OPPO Reno9 5G,,,,福建,普通用户
4903774168811772,N1AbmAYlm,7206114203,不想小困,困的我TM头痛欲裂#头痛欲裂如何缓解##头痛欲裂##老人头痛欲裂竟是被蜱虫连吸数日#,,,,"头痛欲裂如何缓解,头痛欲裂,老人头痛欲裂竟是被蜱虫连吸数日",0,0,1,2023-05-21 09:58,nova6 5G自拍大不一样,,,,天津,普通用户
4890046904140680,MBMwWhnba,5897598940,风情摇曳的水泥柱zz,头痛欲裂🙅🙅🙅🙅#老人头痛欲裂竟是被蜱虫连吸数日#,,,,老人头痛欲裂竟是被蜱虫连吸数日,0,0,1,2023-04-13 12:51,Android,https://wx3.sinaimg.cn/large/006r7ITyly1hcxz89lsbej32bc2bckjm.jpg,,,安徽,普通用户
4881391113736677,My9lZfG4Z,6289075479,啦啦的猫南北,我头疼欲裂#头痛欲裂##老人头痛欲裂竟是被蜱虫连吸数日##老人头痛欲裂竟是被蜱虫连吸数日##头痛欲裂如何缓解#,,,,"头痛欲裂,老人头痛欲裂竟是被蜱虫连吸数日,头痛欲裂如何缓解",0,0,0,2023-03-20 15:36,iPhone客户端,,,,湖北,普通用户
4879908536321382,MxwMJqwtM,7725802297,南冰氧,头痛死了头痛死了我什么时候才能好#头痛欲裂##头痛欲裂如何缓解##老人头痛欲裂竟是被蜱虫连吸数日#,,,,"头痛欲裂,头痛欲裂如何缓解,老人头痛欲裂竟是被蜱虫连吸数日",0,0,0,2023-03-16 13:25,iPhone,,,,北京,普通用户
