id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4968991886149618,NsWNepNNo,3914207834,郴州北湖法院,【#老人奔波40里用现金给孙子交生活费#】11月14日，河南南阳。一老人跨40里路用现金给孙子交生活费。学校张老师介绍，这位老人不会用智能手机，但要给孙子交生活费，只能奔波40多里路来学校交现金。当时看到这一幕感觉很心酸，已经默默流泪了。@白鹿视频L白鹿视频的微博视频,,南阳,白鹿视频,老人奔波40里用现金给孙子交生活费,0,1,1,2023-11-17 09:10,iPhone 12,,"http://f.video.weibocdn.com/o0/jDsg8DO5lx08aeFZvvIQ01041200b5tJ0E010.mp4?label=mp4_720p&template=720x1556.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018944&ssig=ZwzRgF9Wc4&KID=unistore,video",,,蓝V
4968990428106157,NsWKSy0Mt,2208160981,西安新闻网,【#老人奔波40里用现金给孙子交生活费#】11月14日，河南南阳。一老人跨40里路用现金给孙子交生活费。学校张老师介绍，这位老人不会用智能手机，但要给孙子交生活费，只能奔波40多里路来学校交现金。当时看到这一幕感觉很心酸，已经默默流泪了。@白鹿视频L白鹿视频的微博视频,,南阳,白鹿视频,老人奔波40里用现金给孙子交生活费,0,0,0,2023-11-17 09:05,微博视频号,,"http://f.video.weibocdn.com/o0/jDsg8DO5lx08aeFZvvIQ01041200b5tJ0E010.mp4?label=mp4_720p&template=720x1556.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018944&ssig=ZwzRgF9Wc4&KID=unistore,video",,,蓝V
4968989819667636,NsWJTEyZC,7758511806,泾渭视频,【#老人奔波40里用现金给孙子交生活费#】11月14日，河南南阳。一老人跨40里路用现金给孙子交生活费。学校张老师介绍，这位老人不会用智能手机，但要给孙子交生活费，只能奔波40多里路来学校交现金。当时看到这一幕感觉很心酸，已经默默流泪了。@白鹿视频L白鹿视频的微博视频,,南阳,白鹿视频,老人奔波40里用现金给孙子交生活费,0,1,0,2023-11-17 09:02,微博视频号,,"http://f.video.weibocdn.com/o0/jDsg8DO5lx08aeFZvvIQ01041200b5tJ0E010.mp4?label=mp4_720p&template=720x1556.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018944&ssig=ZwzRgF9Wc4&KID=unistore,video",,,普通用户
4968989815214432,NsWJTlSvK,5603229773,记录西安城,【#老人奔波40里用现金给孙子交生活费#】11月14日，河南南阳。一老人跨40里路用现金给孙子交生活费。学校张老师介绍，这位老人不会用智能手机，但要给孙子交生活费，只能奔波40多里路来学校交现金。当时看到这一幕感觉很心酸，已经默默流泪了。@白鹿视频L白鹿视频的微博视频,,南阳,白鹿视频,老人奔波40里用现金给孙子交生活费,0,0,0,2023-11-17 09:02,微博视频号,,"http://f.video.weibocdn.com/o0/jDsg8DO5lx08aeFZvvIQ01041200b5tJ0E010.mp4?label=mp4_720p&template=720x1556.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018944&ssig=ZwzRgF9Wc4&KID=unistore,video",,,黄V
4968989778772492,NsWJPAO7O,7562542062,西安小记,【#老人奔波40里用现金给孙子交生活费#】11月14日，河南南阳。一老人跨40里路用现金给孙子交生活费。学校张老师介绍，这位老人不会用智能手机，但要给孙子交生活费，只能奔波40多里路来学校交现金。当时看到这一幕感觉很心酸，已经默默流泪了。@白鹿视频L白鹿视频的微博视频,,南阳,白鹿视频,老人奔波40里用现金给孙子交生活费,0,0,0,2023-11-17 09:02,微博视频号,,"http://f.video.weibocdn.com/o0/jDsg8DO5lx08aeFZvvIQ01041200b5tJ0E010.mp4?label=mp4_720p&template=720x1556.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018944&ssig=ZwzRgF9Wc4&KID=unistore,video",,,黄V
4968989778772061,NsWJPAO0R,5379286126,西安新鲜事,【#老人奔波40里用现金给孙子交生活费#】11月14日，河南南阳。一老人跨40里路用现金给孙子交生活费。学校张老师介绍，这位老人不会用智能手机，但要给孙子交生活费，只能奔波40多里路来学校交现金。当时看到这一幕感觉很心酸，已经默默流泪了。@白鹿视频L白鹿视频的微博视频,,南阳,白鹿视频,老人奔波40里用现金给孙子交生活费,0,0,0,2023-11-17 09:02,微博视频号,,"http://f.video.weibocdn.com/o0/jDsg8DO5lx08aeFZvvIQ01041200b5tJ0E010.mp4?label=mp4_720p&template=720x1556.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018944&ssig=ZwzRgF9Wc4&KID=unistore,video",,,黄V
4968989778247970,NsWJPyBFM,7750531853,散拾视频,【#老人奔波40里用现金给孙子交生活费#】11月14日，河南南阳。一老人跨40里路用现金给孙子交生活费。学校张老师介绍，这位老人不会用智能手机，但要给孙子交生活费，只能奔波40多里路来学校交现金。当时看到这一幕感觉很心酸，已经默默流泪了。@白鹿视频L白鹿视频的微博视频,,南阳,白鹿视频,老人奔波40里用现金给孙子交生活费,0,0,0,2023-11-17 09:02,微博视频号,,"http://f.video.weibocdn.com/o0/jDsg8DO5lx08aeFZvvIQ01041200b5tJ0E010.mp4?label=mp4_720p&template=720x1556.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018944&ssig=ZwzRgF9Wc4&KID=unistore,video",,,普通用户
4968989774845056,NsWJPkkq4,7455552984,北方暖视频,【#老人奔波40里用现金给孙子交生活费#】11月14日，河南南阳。一老人跨40里路用现金给孙子交生活费。学校张老师介绍，这位老人不会用智能手机，但要给孙子交生活费，只能奔波40多里路来学校交现金。当时看到这一幕感觉很心酸，已经默默流泪了。@白鹿视频L白鹿视频的微博视频,,南阳,白鹿视频,老人奔波40里用现金给孙子交生活费,0,0,0,2023-11-17 09:02,微博视频号,,"http://f.video.weibocdn.com/o0/jDsg8DO5lx08aeFZvvIQ01041200b5tJ0E010.mp4?label=mp4_720p&template=720x1556.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018944&ssig=ZwzRgF9Wc4&KID=unistore,video",,,蓝V
4968989774056915,NsWJPh1o7,6512618863,千里眼西安,【#老人奔波40里用现金给孙子交生活费#】11月14日，河南南阳。一老人跨40里路用现金给孙子交生活费。学校张老师介绍，这位老人不会用智能手机，但要给孙子交生活费，只能奔波40多里路来学校交现金。当时看到这一幕感觉很心酸，已经默默流泪了。@白鹿视频L白鹿视频的微博视频,,南阳,白鹿视频,老人奔波40里用现金给孙子交生活费,0,0,0,2023-11-17 09:02,微博视频号,,"http://f.video.weibocdn.com/o0/jDsg8DO5lx08aeFZvvIQ01041200b5tJ0E010.mp4?label=mp4_720p&template=720x1556.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018944&ssig=ZwzRgF9Wc4&KID=unistore,video",,,黄V
4968989774056830,NsWJPh1mK,7793347138,拇指视频,【#老人奔波40里用现金给孙子交生活费#】11月14日，河南南阳。一老人跨40里路用现金给孙子交生活费。学校张老师介绍，这位老人不会用智能手机，但要给孙子交生活费，只能奔波40多里路来学校交现金。当时看到这一幕感觉很心酸，已经默默流泪了。@白鹿视频L白鹿视频的微博视频,,南阳,白鹿视频,老人奔波40里用现金给孙子交生活费,0,0,0,2023-11-17 09:02,微博视频号,,"http://f.video.weibocdn.com/o0/jDsg8DO5lx08aeFZvvIQ01041200b5tJ0E010.mp4?label=mp4_720p&template=720x1556.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018944&ssig=ZwzRgF9Wc4&KID=unistore,video",,,普通用户
