id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4967634500323959,NsntU1mh9,5236472485,正义高密,【怒！#男子借20元车费老人好心倒水被偷手机#】#老人好心为陌生男子倒水被偷走手机#近日，四川广元。陈先生报警称，其母亲的手机被一男子偷了。民警立即展开调查，并迅速锁定违法行为人，将其抓获归案。经了解，该男子姓钱，当天回老家途经陈先生经营的店铺时，看到店内仅有陈先生母亲独自一人，钱某便称自己是附近村的人，因手机丢了，向其借20元钱车费。老人因身无现金无法借钱，钱某又向其借手机称给熟人打电话借钱，并趁老人进屋为其倒水解渴之机，将手机盗走逃离现场。目前，被盗手机已返还受害人，钱某因涉嫌盗窃已被公安机关依法行政拘留。L星视频的微博视频,,,,"男子借20元车费老人好心倒水被偷手机,老人好心为陌生男子倒水被偷走手机",0,0,0,2023-11-13 15:17,微博视频号,,"http://f.video.weibocdn.com/o0/Jk3PTwlWlx08a0ppf5hm01041200gkb40E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001920&ssig=ZZ3Ni%2BnX7M&KID=unistore,video",,,蓝V
4966579475842524,NrW2fovUg,5121478758,六安裕安检察,【怒！#男子借20元车费老人好心倒水被偷手机#】#老人好心为陌生男子倒水被偷走手机#近日，四川广元。陈先生报警称，其母亲的手机被一男子偷了。民警立即展开调查，并迅速锁定违法行为人，将其抓获归案。经了解，该男子姓钱，当天回老家途经陈先生经营的店铺时，看到店内仅有陈先生母亲独自一人，钱某便称自己是附近村的人，因手机丢了，向其借20元钱车费。老人因身无现金无法借钱，钱某又向其借手机称给熟人打电话借钱，并趁老人进屋为其倒水解渴之机，将手机盗走逃离现场。目前，被盗手机已返还受害人，钱某因涉嫌盗窃已被公安机关依法行政拘留。L星视频的微博视频,,,,"男子借20元车费老人好心倒水被偷手机,老人好心为陌生男子倒水被偷走手机",2,2,2,2023-11-10 17:24,微博视频号,,"http://f.video.weibocdn.com/o0/Jk3PTwlWlx08a0ppf5hm01041200gkb40E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001920&ssig=ZZ3Ni%2BnX7M&KID=unistore,video",,,蓝V
4966573137200281,NrVS1ud7z,5112426752,六安检察,【怒！#男子借20元车费老人好心倒水被偷手机#】#老人好心为陌生男子倒水被偷走手机#近日，四川广元。陈先生报警称，其母亲的手机被一男子偷了。民警立即展开调查，并迅速锁定违法行为人，将其抓获归案。经了解，该男子姓钱，当天回老家途经陈先生经营的店铺时，看到店内仅有陈先生母亲独自一人，钱某便称自己是附近村的人，因手机丢了，向其借20元钱车费。老人因身无现金无法借钱，钱某又向其借手机称给熟人打电话借钱，并趁老人进屋为其倒水解渴之机，将手机盗走逃离现场。目前，被盗手机已返还受害人，钱某因涉嫌盗窃已被公安机关依法行政拘留。L星视频的微博视频,,,,"男子借20元车费老人好心倒水被偷手机,老人好心为陌生男子倒水被偷走手机",3,0,4,2023-11-10 16:59,微博视频号,,"http://f.video.weibocdn.com/o0/Jk3PTwlWlx08a0ppf5hm01041200gkb40E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001920&ssig=ZZ3Ni%2BnX7M&KID=unistore,video",,,蓝V
4966544543320482,NrV7UdVOa,5130739391,青州检察院,【怒！#男子借20元车费老人好心倒水被偷手机#】#老人好心为陌生男子倒水被偷走手机#近日，四川广元。陈先生报警称，其母亲的手机被一男子偷了。民警立即展开调查，并迅速锁定违法行为人，将其抓获归案。经了解，该男子姓钱，当天回老家途经陈先生经营的店铺时，看到店内仅有陈先生母亲独自一人，...展开L星视频的微博视频,,,,"男子借20元车费老人好心倒水被偷手机,老人好心为陌生男子倒水被偷走手机",0,0,0,2023-11-10 15:05,微博视频号,,"http://f.video.weibocdn.com/o0/Jk3PTwlWlx08a0ppf5hm01041200gkb40E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001920&ssig=ZZ3Ni%2BnX7M&KID=unistore,video",,,蓝V
4966528308740708,NrUHIAFRa,5444834307,平度市人民检察院,【怒！#男子借20元车费老人好心倒水被偷手机#】#老人好心为陌生男子倒水被偷走手机#近日，四川广元。陈先生报警称，其母亲的手机被一男子偷了。民警立即展开调查，并迅速锁定违法行为人，将其抓获归案。经了解，该男子姓钱，当天回老家途经陈先生经营的店铺时，看到店内仅有陈先生母亲独自一人，钱某便称自己是附近村的人，因手机丢了，向其借20元钱车费。老人因身无现金无法借钱，钱某又向其借手机称给熟人打电话借钱，并趁老人进屋为其倒水解渴之机，将手机盗走逃离现场。目前，被盗手机已返还受害人，钱某因涉嫌盗窃已被公安机关依法行政拘留。L星视频的微博视频,,,,"男子借20元车费老人好心倒水被偷手机,老人好心为陌生男子倒水被偷走手机",0,0,1,2023-11-10 14:01,iPhone客户端,,"http://f.video.weibocdn.com/o0/Jk3PTwlWlx08a0ppf5hm01041200gkb40E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001920&ssig=ZZ3Ni%2BnX7M&KID=unistore,video",,,蓝V
4966482645616584,NrTw4nz84,6323331985,诸城检察,【怒！#男子借20元车费老人好心倒水被偷手机#】#老人好心为陌生男子倒水被偷走手机#近日，四川广元。陈先生报警称，其母亲的手机被一男子偷了。民警立即展开调查，并迅速锁定违法行为人，将其抓获归案。经了解，该男子姓钱，当天回老家途经陈先生经营的店铺时，看到店内仅有陈先生母亲独自一人，钱某便称自己是附近村的人，因手机丢了，向其借20元钱车费。老人因身无现金无法借钱，钱某又向其借手机称给熟人打电话借钱，并趁老人进屋为其倒水解渴之机，将手机盗走逃离现场。目前，被盗手机已返还受害人，钱某因涉嫌盗窃已被公安机关依法行政拘留。L星视频的微博视频星视频的微博视频收起,,,,"男子借20元车费老人好心倒水被偷手机,老人好心为陌生男子倒水被偷走手机",0,0,0,2023-11-10 10:59,微博视频号,,"http://f.video.weibocdn.com/o0/Jk3PTwlWlx08a0ppf5hm01041200gkb40E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001920&ssig=ZZ3Ni%2BnX7M&KID=unistore,video",,,蓝V
4966469947361536,NrTbAuT4s,6285362680,潍坊市人民检察院,【怒！#男子借20元车费老人好心倒水被偷手机#】#老人好心为陌生男子倒水被偷走手机#近日，四川广元。陈先生报警称，其母亲的手机被一男子偷了。民警立即展开调查，并迅速锁定违法行为人，将其抓获归案。经了解，该男子姓钱，当天回老家途经陈先生经营的店铺时，看到店内仅有陈先生母亲独自一人，钱某便称自己是附近村的人，因手机丢了，向其借20元钱车费。老人因身无现金无法借钱，钱某又向其借手机称给熟人打电话借钱，并趁老人进屋为其倒水解渴之机，将手机盗走逃离现场。目前，被盗手机已返还受害人，钱某因涉嫌盗窃已被公安机关依法行政拘留。L星视频的微博视频,,,,"男子借20元车费老人好心倒水被偷手机,老人好心为陌生男子倒水被偷走手机",18,4,41,2023-11-10 10:09,微博视频号,,"http://f.video.weibocdn.com/o0/Jk3PTwlWlx08a0ppf5hm01041200gkb40E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001920&ssig=ZZ3Ni%2BnX7M&KID=unistore,video",,,蓝V
4966277536023720,NrObfph2M,1767286643,平安旺苍,【怒！#男子借20元车费老人好心倒水被偷手机#】#老人好心为陌生男子倒水被偷走手机#近日，@平安广元木门派出所接到陈先生报警称，其母亲的手机被一男子偷了。民警立即展开调查，并迅速抓获嫌疑人。经了解，该男子当天回老家途经陈先生经营的店铺时，看到店内仅有陈先生母亲独自一人，便称自己是附近村的人，因手机丢了，向其借车费。期间，趁老人进屋为其倒水解渴之机，将老人手机盗走逃离现场。目前，钱某已被警方依法行政拘留。@平安旺苍🫡#邀你一起看警事#L星视频的微博视频,,,"平安广元,平安旺苍","男子借20元车费老人好心倒水被偷手机,老人好心为陌生男子倒水被偷走手机,邀你一起看警事",0,11,18,2023-11-09 21:24,微博视频号,,"http://f.video.weibocdn.com/o0/Jk3PTwlWlx08a0ppf5hm01041200gkb40E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001921&ssig=6ajZjq1vKY&KID=unistore,video",,,蓝V
4966226196696800,NrMQrs68U,5481674352,莱西检察,#检小西播报#【怒！#男子借20元车费老人好心倒水被偷手机#】#老人好心为陌生男子倒水被偷走手机#近日，四川广元。陈先生报警称，其母亲的手机被一男子偷了。民警立即展开调查，并迅速锁定违法行为人，将其抓获归案。经了解，该男子姓钱，当天回老家途经陈先生经营的店铺时，看到店内仅有陈先生母亲独自一人，钱某便称自己是附近村的人，因手机丢了，向其借20元钱车费。老人因身无现金无法借钱，钱某又向其借手机称给熟人打电话借钱，并趁老人进屋为其倒水解渴之机，将手机盗走逃离现场。目前，被盗手机已返还受害人，钱某因涉嫌盗窃已被公安机关依法行政拘留。L星视频的微博视频,,,,"检小西播报,男子借20元车费老人好心倒水被偷手机,老人好心为陌生男子倒水被偷走手机",0,0,0,2023-11-09 18:00,微博视频号,,"http://f.video.weibocdn.com/o0/Jk3PTwlWlx08a0ppf5hm01041200gkb40E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001921&ssig=6ajZjq1vKY&KID=unistore,video",,,蓝V
4966218572236247,NrME99nKv,1911430687,平安广元,【怒！#男子借20元车费老人好心倒水被偷手机#】#老人好心为陌生男子倒水被偷走手机#近日，@平安广元木门派出所接到陈先生报警称，其母亲的手机被一男子偷了。民警立即展开调查，并迅速抓获嫌疑人。经了解，该男子当天回老家途经陈先生经营的店铺时，看到店内仅有陈先生母亲独自一人，便称自己是附近村的人，因手机丢了，向其借车费。期间，趁老人进屋为其倒水解渴之机，将老人手机盗走逃离现场。目前，钱某已被警方依法行政拘留。L星视频的微博视频,,,平安广元,"男子借20元车费老人好心倒水被偷手机,老人好心为陌生男子倒水被偷走手机",22,6,4,2023-11-09 17:30,微博视频号,,"http://f.video.weibocdn.com/o0/Jk3PTwlWlx08a0ppf5hm01041200gkb40E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001921&ssig=6ajZjq1vKY&KID=unistore,video",,,蓝V
