id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4945785806914899,Njd64t0SD,2972633200,韶关那些事儿,【#老人嫌小伙让座速度慢上前教育#：拉扯了一车厢】据@星视频报道：9月12日，广东。据大象直播间报道：有目击者爆料，地铁上一位老人因嫌小伙让座慢，上前欲“教育”小伙。小伙子让他拉扯了一车厢，地铁工作人员在一旁劝说。有网友称：让是情分，不让是本分，座位是出了钱的。还有网友称，明显别人让座了，这是不知好歹。L星视频的微博视频,,韶关,星视频,老人嫌小伙让座速度慢上前教育,1,0,1,2023-09-14 08:18,微博视频号,,"http://f.video.weibocdn.com/o0/IMbAJ1HFlx088zclzr5u010412009Z2X0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010393&ssig=Y%2BdF86QqK1&KID=unistore,video",,,黄V
4945662414948834,Nj9T3kLpU,5344792788,米德卢维骑,#老人嫌小伙让座速度慢上前教育#：拉扯了一车厢！9月12日，广东。网友爆料，地铁上一位老人因嫌小伙让座慢，上前欲“教育”小伙。小伙子让他拉扯了一车厢，地铁工作人员在一旁劝说老人！这老人太不讲理了#亿点曝光计划##创作热爱者计划##视频制作人出道计划#L米德卢维骑的微博视频,,,,"老人嫌小伙让座速度慢上前教育,亿点曝光计划,创作热爱者计划,视频制作人出道计划",2,1,1,2023-09-14 00:07,iPhone XS Max,,"http://f.video.weibocdn.com/o0/HWtosHM8lx088A0jpsp201041200ccwt0E010.mp4?label=mp4_720p&template=720x1234.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010393&ssig=uLB5jpynA1&KID=unistore,video",,,黄V
4945648979542800,Nj9xnE2w8,6367733850,本樱酱,#老人嫌小伙让座速度慢上前教育#老人无罪法护航没有杀小伙，是社会的进步L星视频的微博视频#坚决防止谁能闹谁有理等和稀泥做法#美国网友1：以前觉得让座很光荣，现在早已颠覆我的观念美国网友2：这就是为啥这么多人支持地铁判官[笑哭]以及官方害怕判官赶紧打压,,,,"老人嫌小伙让座速度慢上前教育,坚决防止谁能闹谁有理等和稀泥做法",0,0,0,2023-09-13 23:14,微博视频号,,"http://f.video.weibocdn.com/o0/IMbAJ1HFlx088zclzr5u010412009Z2X0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010393&ssig=Y%2BdF86QqK1&KID=unistore,video",,,黄V
4945636543693746,Nj9dkfuUy,7380577150,摆尾降龙,【#老人嫌小伙让座速度慢上前教育#：拉扯了一车厢】.........离了大噗,,,,老人嫌小伙让座速度慢上前教育,0,0,0,2023-09-13 22:25,微博网页版,https://wx3.sinaimg.cn/large/0083u9gWly1hhv96bc1pej30ls0howo6.jpg,,,,黄V
4945573401592203,Nj7zu6GcH,1159128164,机智的鲁齐齐,#老人嫌小伙让座速度慢上前教育#坏人变老了,,,,老人嫌小伙让座速度慢上前教育,0,0,1,2023-09-13 18:14,HUAWEI Mate 30,,,,,黄V
4945566482828085,Nj7okbRIh,1914880192,文汇报,【#老人嫌小伙让座速度慢上前教育#：拉扯了一车厢】据@星视频报道：9月12日，广东。据大象直播间报道：有目击者爆料，地铁上一位老人因嫌小伙让座慢，上前欲“教育”小伙。小伙子让他拉扯了一车厢，地铁工作人员在一旁劝说。有网友称：让是情分，不让是本分，座位是出了钱的。还有网友称，明显别人让座了，这是不知好歹。L星视频的微博视频,,,星视频,老人嫌小伙让座速度慢上前教育,0,1,0,2023-09-13 17:46,微博视频号,,"http://f.video.weibocdn.com/o0/IMbAJ1HFlx088zclzr5u010412009Z2X0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010393&ssig=Y%2BdF86QqK1&KID=unistore,video",,,蓝V
4945555299239894,Nj76hCLIy,1649666132,56网,【#老人嫌小伙让座速度慢上前教育#：拉扯了一车厢】据星视频报道：9月12日，广东。据大象直播间报道：有目击者爆料，地铁上一位老人因嫌小伙让座慢，上前欲“教育”小伙。小伙子让他拉扯了一车厢，地铁工作人员在一旁劝说。有网友称：让是情分，不让是本分，座位是出了钱的。还有网友称，明显别人让座了，这是不知好歹。L星视频的微博视频,,,,老人嫌小伙让座速度慢上前教育,0,0,0,2023-09-13 17:02,微博视频号,,"http://f.video.weibocdn.com/o0/IMbAJ1HFlx088zclzr5u010412009Z2X0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010393&ssig=Y%2BdF86QqK1&KID=unistore,video",,,蓝V
4945523159862842,Nj6grFnM6,1621377144,抚州南城发布,【#老人嫌小伙让座速度慢上前教育#：拉扯了一车厢】据@星视频报道：9月12日，广东。据大象直播间报道：有目击者爆料，地铁上一位老人因嫌小伙让座慢，上前欲“教育”小伙。小伙子让他拉扯了一车厢，地铁工作人员在一旁劝说。有网友称：让是情分，不让是本分，座位是出了钱的。还有网友称，明显别人让座了，这是不知好歹。O网页链接,,,星视频,老人嫌小伙让座速度慢上前教育,0,0,0,2023-09-13 14:54,微博网页版,,,,,蓝V
4945509464408695,Nj5UmiuTZ,1612660824,津彩生活,【#老人嫌小伙让座速度慢上前教育#：拉扯了一车厢】据@星视频报道：9月12日，广东。据大象直播间报道：有目击者爆料，地铁上一位老人因嫌小伙让座慢，上前欲“教育”小伙。小伙子让他拉扯了一车厢，地铁工作人员在一旁劝说。有网友称：让是情分，不让是本分，座位是出了钱的。还有网友称，明显别人让座了，这是不知好歹。L星视频的微博视频,,,星视频,老人嫌小伙让座速度慢上前教育,0,0,1,2023-09-13 14:00,微博视频号,,"http://f.video.weibocdn.com/o0/IMbAJ1HFlx088zclzr5u010412009Z2X0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010393&ssig=Y%2BdF86QqK1&KID=unistore,video",,,红V
4945498009243205,Nj5BSCMzX,5170942053,乐生活在济宁,【#老人嫌小伙让座速度慢上前教育#：拉扯了一车厢】据@星视频报道：9月12日，广东。据大象直播间报道：有目击者爆料，地铁上一位老人因嫌小伙让座慢，上前欲“教育”小伙。小伙子让他拉扯了一车厢，地铁工作人员在一旁劝说。有网友称：让是情分，不让是本分，座位是出了钱的。还有网友称，明显别人让座了，这是不知好歹。L星视频的微博视频,,,星视频,老人嫌小伙让座速度慢上前教育,0,0,0,2023-09-13 13:14,微博视频号,,"http://f.video.weibocdn.com/o0/IMbAJ1HFlx088zclzr5u010412009Z2X0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010393&ssig=Y%2BdF86QqK1&KID=unistore,video",,,黄V
