id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4860345900336817,MpjS61pCx,1233302995,李连源,【#老人家中失火5200元养老钱被烧#，消防废墟中找到帮挽回】1月16日，河南洛阳。一80岁老人家中失火，5000多元现金被烧。灭火结束后，老人在救援人员的陪同下，去银行成功兑换了5200元因灾致损的春节过节及养老储备金。“谢谢消防员！发生火灾时，你们来得非常快，救了我们家。灭火火灾后，又是你们，帮助我挽救损失，真的太感谢了！”目前，火灾原因正在调查中。（洛阳消防）@九派新闻L九派新闻的微博视频,,,九派新闻,老人家中失火5200元养老钱被烧,0,0,0,2023-01-21 13:50,微博视频号,,"http://f.video.weibocdn.com/o0/VX1ebl5plx082vs6UCLm01041200dWQs0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018138&ssig=W3XmcQ3S5h&KID=unistore,video",,陕西,黄V
4860329508736669,MpjrEAEO1,2209730323,融媒体张灏,【#老人家中失火5200元养老钱被烧#，消防废墟中找到帮挽回】1月16日，河南洛阳。一80岁老人家中失火，5000多元现金被烧。灭火结束后，老人在救援人员的陪同下，去银行成功兑换了5200元因灾致损的春节过节及养老储备金。“谢谢消防员！发生火灾时，你们来得非常快，救了我们家。灭火火灾后，又是你们，帮助我挽救损失，真的太感谢了！”目前，火灾原因正在调查中。（洛阳消防）@九派新闻L九派新闻的微博视频,,,九派新闻,老人家中失火5200元养老钱被烧,0,0,0,2023-01-21 12:45,微博视频号,,"http://f.video.weibocdn.com/o0/VX1ebl5plx082vs6UCLm01041200dWQs0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018138&ssig=W3XmcQ3S5h&KID=unistore,video",,陕西,黄V
4860296576108301,MpiAxpD2Z,2925141777,全球新闻眼,【#老人家中失火5200元养老钱被烧#，消防废墟中找到帮挽回】1月16日，河南洛阳。一80岁老人家中失火，5000多元现金被烧。灭火结束后，老人在救援人员的陪同下，去银行成功兑换了5200元因灾致损的春节过节及养老储备金。“谢谢消防员！发生火灾时，你们来得非常快，救了我们家。灭火火灾后，又是你们，帮助我挽救损失，真的太感谢了！”目前，火灾原因正在调查中。（洛阳消防）@九派新闻L九派新闻的微博视频,,,九派新闻,老人家中失火5200元养老钱被烧,0,1,0,2023-01-21 10:34,微博视频号,,"http://f.video.weibocdn.com/o0/VX1ebl5plx082vs6UCLm01041200dWQs0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018138&ssig=W3XmcQ3S5h&KID=unistore,video",,,蓝V
4860296576107534,MpiAxpCQC,5681478953,明日头条,【#老人家中失火5200元养老钱被烧#，消防废墟中找到帮挽回】1月16日，河南洛阳。一80岁老人家中失火，5000多元现金被烧。灭火结束后，老人在救援人员的陪同下，去银行成功兑换了5200元因灾致损的春节过节及养老储备金。“谢谢消防员！发生火灾时，你们来得非常快，救了我们家。灭火火灾后，又是你们，帮助我挽救损失，真的太感谢了！”目前，火灾原因正在调查中。（洛阳消防）@九派新闻L九派新闻的微博视频,,,九派新闻,老人家中失火5200元养老钱被烧,0,0,0,2023-01-21 10:34,微博视频号,,"http://f.video.weibocdn.com/o0/VX1ebl5plx082vs6UCLm01041200dWQs0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018138&ssig=W3XmcQ3S5h&KID=unistore,video",,,蓝V
4860296575585109,MpiAxnqWp,2780457263,你能不能多见见世面,【#老人家中失火5200元养老钱被烧#，消防废墟中找到帮挽回】1月16日，河南洛阳。一80岁老人家中失火，5000多元现金被烧。灭火结束后，老人在救援人员的陪同下，去银行成功兑换了5200元因灾致损的春节过节及养老储备金。“谢谢消防员！发生火灾时，你们来得非常快，救了我们家。灭火火灾后，又是你们，帮助我挽救损失，真的太感谢了！”目前，火灾原因正在调查中。（洛阳消防）@九派新闻L九派新闻的微博视频,,,九派新闻,老人家中失火5200元养老钱被烧,0,0,0,2023-01-21 10:34,微博视频号,,"http://f.video.weibocdn.com/o0/VX1ebl5plx082vs6UCLm01041200dWQs0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018138&ssig=W3XmcQ3S5h&KID=unistore,video",,,黄V
4860296575062408,MpiAxleXK,1881159861,新浪游戏资讯,【#老人家中失火5200元养老钱被烧#，消防废墟中找到帮挽回】1月16日，河南洛阳。一80岁老人家中失火，5000多元现金被烧。灭火结束后，老人在救援人员的陪同下，去银行成功兑换了5200元因灾致损的春节过节及养老储备金。“谢谢消防员！发生火灾时，你们来得非常快，救了我们家。灭火火灾后，又是你们，帮助我挽救损失，真的太感谢了！”目前，火灾原因正在调查中。（洛阳消防）@九派新闻L九派新闻的微博视频,,,九派新闻,老人家中失火5200元养老钱被烧,0,0,0,2023-01-21 10:34,微博视频号,,"http://f.video.weibocdn.com/o0/VX1ebl5plx082vs6UCLm01041200dWQs0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018138&ssig=W3XmcQ3S5h&KID=unistore,video",,,蓝V
4860296571129586,MpiAx4JR8,1712686623,手机上的新浪,【#老人家中失火5200元养老钱被烧#，消防废墟中找到帮挽回】1月16日，河南洛阳。一80岁老人家中失火，5000多元现金被烧。灭火结束后，老人在救援人员的陪同下，去银行成功兑换了5200元因灾致损的春节过节及养老储备金。“谢谢消防员！发生火灾时，你们来得非常快，救了我们家。灭火火灾后，又是你们，帮助我挽救损失，真的太感谢了！”目前，火灾原因正在调查中。（洛阳消防）@九派新闻L九派新闻的微博视频,,,九派新闻,老人家中失火5200元养老钱被烧,0,0,3,2023-01-21 10:34,微博视频号,,"http://f.video.weibocdn.com/o0/VX1ebl5plx082vs6UCLm01041200dWQs0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018138&ssig=W3XmcQ3S5h&KID=unistore,video",,,蓝V
4860296570869525,MpiAx3EcB,1154814271,新浪新闻客户端,【#老人家中失火5200元养老钱被烧#，消防废墟中找到帮挽回】1月16日，河南洛阳。一80岁老人家中失火，5000多元现金被烧。灭火结束后，老人在救援人员的陪同下，去银行成功兑换了5200元因灾致损的春节过节及养老储备金。“谢谢消防员！发生火灾时，你们来得非常快，救了我们家。灭火火灾后，又是你们，帮助我挽救损失，真的太感谢了！”目前，火灾原因正在调查中。（洛阳消防）@九派新闻L九派新闻的微博视频,,,九派新闻,老人家中失火5200元养老钱被烧,0,0,1,2023-01-21 10:34,微博视频号,,"http://f.video.weibocdn.com/o0/VX1ebl5plx082vs6UCLm01041200dWQs0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018138&ssig=W3XmcQ3S5h&KID=unistore,video",,,蓝V
4860276249726712,Mpi3KEOms,3496691321,视觉银川,【#老人家中失火5200元养老钱被烧#，消防废墟中找到帮挽回】1月16日，河南洛阳。一80岁老人家中失火，5000多元现金被烧。灭火结束后，老人在救援人员的陪同下，去银行成功兑换了5200元因灾致损的春节过节及养老储备金。“谢谢消防员！发生火灾时，你们来得非常快，救了我们家。灭火火灾后，又是你们，帮助我挽救损失，真的太感谢了！”目前，火灾原因正在调查中。（洛阳消防）@九派新闻L九派新闻的微博视频,,,九派新闻,老人家中失火5200元养老钱被烧,0,3,0,2023-01-21 09:13,微博视频号,,"http://f.video.weibocdn.com/o0/VX1ebl5plx082vs6UCLm01041200dWQs0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018138&ssig=W3XmcQ3S5h&KID=unistore,video",,宁夏,黄V
4860274508562924,Mpi0WzVBG,6574244199,长治政法,【#老人家中失火5200元养老钱被烧#，消防废墟中找到帮挽回】1月16日，河南洛阳。一80岁老人家中失火，5000多元现金被烧。灭火结束后，老人在救援人员的陪同下，去银行成功兑换了5200元因灾致损的春节过节及养老储备金。“谢谢消防员！发生火灾时，你们来得非常快，救了我们家。灭火火灾后，又是你们，帮助我挽救损失，真的太感谢了！”目前，火灾原因正在调查中。（洛阳消防）@九派新闻L九派新闻的微博视频,,,九派新闻,老人家中失火5200元养老钱被烧,0,0,0,2023-01-21 09:06,微博视频号,,"http://f.video.weibocdn.com/o0/VX1ebl5plx082vs6UCLm01041200dWQs0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018138&ssig=W3XmcQ3S5h&KID=unistore,video",,,蓝V
4860272755869402,MphY7oCTM,6392886792,蚌埠政法,【#老人家中失火5200元养老钱被烧#，消防废墟中找到帮挽回】1月16日，河南洛阳。一80岁老人家中失火，5000多元现金被烧。灭火结束后，老人在救援人员的陪同下，去银行成功兑换了5200元因灾致损的春节过节及养老储备金。“谢谢消防员！发生火灾时，你们来得非常快，救了我们家。灭火火灾后，又是你们，帮助我挽救损失，真的太感谢了！”目前，火灾原因正在调查中。（洛阳消防）@九派新闻L九派新闻的微博视频,,,九派新闻,老人家中失火5200元养老钱被烧,0,0,0,2023-01-21 08:59,微博视频号,,"http://f.video.weibocdn.com/o0/VX1ebl5plx082vs6UCLm01041200dWQs0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018140&ssig=Y3Y%2FZGI1Ns&KID=unistore,video",,,蓝V
4860271287862103,MphVKwZi7,1990437285,新浪青年,【#老人家中失火5200元养老钱被烧#，消防废墟中找到帮挽回】1月16日，河南洛阳。一80岁老人家中失火，5000多元现金被烧。灭火结束后，老人在救援人员的陪同下，去银行成功兑换了5200元因灾致损的春节过节及养老储备金。“谢谢消防员！发生火灾时，你们来得非常快，救了我们家。灭火火灾后，又是你们，帮助我挽救损失，真的太感谢了！”目前，火灾原因正在调查中。（洛阳消防）@九派新闻L九派新闻的微博视频,,,九派新闻,老人家中失火5200元养老钱被烧,0,0,0,2023-01-21 08:53,微博视频号,,"http://f.video.weibocdn.com/o0/VX1ebl5plx082vs6UCLm01041200dWQs0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018140&ssig=Y3Y%2FZGI1Ns&KID=unistore,video",,,蓝V
4860271287338526,MphVKuN5k,2060029603,小浪同学敲黑板,【#老人家中失火5200元养老钱被烧#，消防废墟中找到帮挽回】1月16日，河南洛阳。一80岁老人家中失火，5000多元现金被烧。灭火结束后，老人在救援人员的陪同下，去银行成功兑换了5200元因灾致损的春节过节及养老储备金。“谢谢消防员！发生火灾时，你们来得非常快，救了我们家。灭火火灾后，又是你们，帮助我挽救损失，真的太感谢了！”目前，火灾原因正在调查中。（洛阳消防）@九派新闻L九派新闻的微博视频,,,九派新闻,老人家中失火5200元养老钱被烧,0,1,2,2023-01-21 08:53,微博视频号,,"http://f.video.weibocdn.com/o0/VX1ebl5plx082vs6UCLm01041200dWQs0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018140&ssig=Y3Y%2FZGI1Ns&KID=unistore,video",,,普通用户
4860271283932313,MphVKguYp,1259295385,新浪博客,【#老人家中失火5200元养老钱被烧#，消防废墟中找到帮挽回】1月16日，河南洛阳。一80岁老人家中失火，5000多元现金被烧。灭火结束后，老人在救援人员的陪同下，去银行成功兑换了5200元因灾致损的春节过节及养老储备金。“谢谢消防员！发生火灾时，你们来得非常快，救了我们家。灭火火灾后，又是你们，帮助我挽救损失，真的太感谢了！”目前，火灾原因正在调查中。（洛阳消防）@九派新闻L九派新闻的微博视频,,,九派新闻,老人家中失火5200元养老钱被烧,0,0,3,2023-01-21 08:53,微博视频号,,"http://f.video.weibocdn.com/o0/VX1ebl5plx082vs6UCLm01041200dWQs0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018140&ssig=Y3Y%2FZGI1Ns&KID=unistore,video",,,蓝V
