id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5008373227192419,O3vPcub4L,1319297121,lotus_anan,本周热读超话【太及时了！#老人心脏病发晕倒民警送来救命药#】近日，在北京西站，一名老人正和家人一起出站，在经过地下通道时，突然浑身冒冷汗双眼紧闭晕倒在地。家人说老人有心脏病，民警连忙给老人送来速效救心丸。服药后，老人渐渐恢复了意识。此时120急救人员也以最快速度赶了过来。目前老人已经转危为安，正在医院进行进一步治疗。（时间视频）L时间视频的微博视频,,,,老人心脏病发晕倒民警送来救命药,0,0,0,2024-03-05 01:18,本周热读超话,,"http://f.video.weibocdn.com/o0/dh6gcHTUlx08cYxnFFoA010412007wwE0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725022446&ssig=SmG729LXTI&KID=unistore,video",,北京,黄V
5008116242972916,O3p8Ictog,2992050891,北京时间,【太及时了！#老人心脏病发晕倒民警送来救命药#】近日，在北京西站，一名老人正和家人一起出站，在经过地下通道时，突然浑身冒冷汗双眼紧闭晕倒在地。家人说老人有心脏病，民警连忙给老人送来速效救心丸。服药后，老人渐渐恢复了意识。此时120急救人员也以最快速度赶了过来。目前老人已经转危为安，正在医院进行进一步治疗。@生活这一刻L时间视频的微博视频,,,生活这一刻,老人心脏病发晕倒民警送来救命药,0,1,1,2024-03-04 08:17,微博视频号,,"http://f.video.weibocdn.com/o0/dh6gcHTUlx08cYxnFFoA010412007wwE0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725022446&ssig=SmG729LXTI&KID=unistore,video",,,蓝V
5007594999516911,O3bzZDVMz,6345288624,合肥城市网,【太及时了！#老人心脏病发晕倒民警送来救命药#】近日，在北京西站，一名老人正和家人一起出站，在经过地下通道时，突然浑身冒冷汗双眼紧闭晕倒在地。家人说老人有心脏病，民警连忙给老人送来速效救心丸。服药后，老人渐渐恢复了意识。此时120急救人员也以最快速度赶了过来。目前老人已经转危为安，正在医院进行进一步治疗。@生活这一刻L时间视频的微博视频,,,生活这一刻,老人心脏病发晕倒民警送来救命药,0,0,1,2024-03-02 21:45,微博网页版,,"http://f.video.weibocdn.com/o0/dh6gcHTUlx08cYxnFFoA010412007wwE0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725022446&ssig=SmG729LXTI&KID=unistore,video",,安徽,普通用户
5007589872242749,O3brJ9prn,1655048455,读览,【太及时了！#老人心脏病发晕倒民警送来救命药#】近日，在北京西站，一名老人正和家人一起出站，在经过地下通道时，突然浑身冒冷汗双眼紧闭晕倒在地。家人说老人有心脏病，民警连忙给老人送来速效救心丸。服药后，老人渐渐恢复了意识。此时120急救人员也以最快速度赶了过来。目前老人已经转危为安，正在医院进行进一步治疗。#旅客突然晕倒民警找来速效救心丸#@生活这一刻L时间视频的微博视频,,,生活这一刻,"老人心脏病发晕倒民警送来救命药,旅客突然晕倒民警找来速效救心丸",0,0,0,2024-03-02 21:25,微博视频号,,"http://f.video.weibocdn.com/o0/dh6gcHTUlx08cYxnFFoA010412007wwE0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725022446&ssig=SmG729LXTI&KID=unistore,video",,陕西,黄V
5007582491837056,O3bfP7HTW,2800809761,自贡公安,【太及时了！#老人心脏病发晕倒民警送来救命药#】近日，在北京西站，一名老人正和家人一起出站，在经过地下通道时，突然浑身冒冷汗双眼紧闭晕倒在地。家人说老人有心脏病，民警连忙给老人送来速效救心丸。服药后，老人渐渐恢复了意识。此时120急救人员也以最快速度赶了过来。目前老人已经转危为安，正在医院进行进一步治疗。L时间视频的微博视频,,,,老人心脏病发晕倒民警送来救命药,0,0,0,2024-03-02 20:56,微博视频号,,"http://f.video.weibocdn.com/o0/dh6gcHTUlx08cYxnFFoA010412007wwE0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725022446&ssig=SmG729LXTI&KID=unistore,video",,,蓝V
5007581142057021,O3bdE8D7L,6300853659,北京时间直播,【太及时了！#老人心脏病发晕倒民警送来救命药#】近日，在北京西站，一名老人正和家人一起出站，在经过地下通道时，突然浑身冒冷汗双眼紧闭晕倒在地。家人说老人有心脏病，民警连忙给老人送来速效救心丸。服药后，老人渐渐恢复了意识。此时120急救人员也以最快速度赶了过来。目前老人已经转危为安，正在医院进行进一步治疗。@生活这一刻L时间视频的微博视频,,,生活这一刻,老人心脏病发晕倒民警送来救命药,0,0,1,2024-03-02 20:50,微博视频号,,"http://f.video.weibocdn.com/o0/dh6gcHTUlx08cYxnFFoA010412007wwE0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725022446&ssig=SmG729LXTI&KID=unistore,video",,,蓝V
5007581116109086,O3bdBpDfE,6219631602,北京Video,【太及时了！#老人心脏病发晕倒民警送来救命药#】近日，在北京西站，一名老人正和家人一起出站，在经过地下通道时，突然浑身冒冷汗双眼紧闭晕倒在地。家人说老人有心脏病，民警连忙给老人送来速效救心丸。服药后，老人渐渐恢复了意识。此时120急救人员也以最快速度赶了过来。目前老人已经转危为安，正在医院进行进一步治疗。@生活这一刻L时间视频的微博视频,,,生活这一刻,老人心脏病发晕倒民警送来救命药,0,0,0,2024-03-02 20:50,iPhone客户端,,"http://f.video.weibocdn.com/o0/dh6gcHTUlx08cYxnFFoA010412007wwE0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725022446&ssig=SmG729LXTI&KID=unistore,video",,,蓝V
5007581065514812,O3bdwn8EA,6275620464,BRTV-we-young,【太及时了！#老人心脏病发晕倒民警送来救命药#】近日，在北京西站，一名老人正和家人一起出站，在经过地下通道时，突然浑身冒冷汗双眼紧闭晕倒在地。家人说老人有心脏病，民警连忙给老人送来速效救心丸。服药后，老人渐渐恢复了意识。此时120急救人员也以最快速度赶了过来。目前老人已经转危为安，正在医院进行进一步治疗。@生活这一刻L时间视频的微博视频,,,生活这一刻,老人心脏病发晕倒民警送来救命药,0,0,0,2024-03-02 20:50,iPhone客户端,,"http://f.video.weibocdn.com/o0/dh6gcHTUlx08cYxnFFoA010412007wwE0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725022446&ssig=SmG729LXTI&KID=unistore,video",,,蓝V
5007581038773285,O3bdtAOkB,6351311597,时间新闻视频,【太及时了！#老人心脏病发晕倒民警送来救命药#】近日，在北京西站，一名老人正和家人一起出站，在经过地下通道时，突然浑身冒冷汗双眼紧闭晕倒在地。家人说老人有心脏病，民警连忙给老人送来速效救心丸。服药后，老人渐渐恢复了意识。此时120急救人员也以最快速度赶了过来。目前老人已经转危为安，正在医院进行进一步治疗。@生活这一刻L时间视频的微博视频,,,生活这一刻,老人心脏病发晕倒民警送来救命药,0,0,0,2024-03-02 20:50,iPhone客户端,,"http://f.video.weibocdn.com/o0/dh6gcHTUlx08cYxnFFoA010412007wwE0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725022446&ssig=SmG729LXTI&KID=unistore,video",,,蓝V
5007580919764722,O3bdhEYfw,6250824982,时间视频,【太及时了！#老人心脏病发晕倒民警送来救命药#】近日，在北京西站，一名老人正和家人一起出站，在经过地下通道时，突然浑身冒冷汗双眼紧闭晕倒在地。家人说老人有心脏病，民警连忙给老人送来速效救心丸。服药后，老人渐渐恢复了意识。此时120急救人员也以最快速度赶了过来。目前老人已经转危为安，正在医院进行进一步治疗。@生活这一刻L时间视频的微博视频,,,生活这一刻,老人心脏病发晕倒民警送来救命药,4,1,16,2024-03-02 20:49,微博视频号,,"http://f.video.weibocdn.com/o0/dh6gcHTUlx08cYxnFFoA010412007wwE0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725022446&ssig=SmG729LXTI&KID=unistore,video",,,蓝V
