id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4559130968200101,JoOgwypdH,2119628851,中国文明网,【姑娘谢谢你！#老人心脏骤停医学生为救人误车#】10月5日，在南京火车南站，一老人突发心脏骤停。听到广播里寻找医生，南京医科大学研一学生李秋爽立刻赶来，为老人做心肺复苏。为救老人，她没赶上火车。她说作为医学生，见到这种情况肯定会冲上前，她还希望全民普及心肺复苏。@江苏新闻L江苏新闻的微博视频,,,江苏新闻,老人心脏骤停医学生为救人误车,706,73,49,2020-10-12 09:09,微博视频号,,"http://f.video.weibocdn.com/OzzTJRzxlx07H6os39ss01041200DYxG0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1727558122&ssig=2qRdMOrlV%2F&KID=unistore,video",,,
4588158907587663,JAZpMvPTF,5114953091,江门市农业农村局,【姑娘谢谢你！#老人心脏骤停医学生为救人误车#】@中国文明网@文明江门,,,"中国文明网,文明江门",老人心脏骤停医学生为救人误车,0,0,49,2020-12-31 11:36,搜狗高速浏览器,,,4559130968200101,,蓝V
4580977973667566,JxYBDfo6i,6324918106,用户6324918106,#老人心脏骤停医学生为救人误车#姑娘谢谢你！@中国文明网@文明十堰,,,"中国文明网,文明十堰",老人心脏骤停医学生为救人误车,0,0,49,2020-12-11 16:02,360安全浏览器,,,4559130968200101,,普通用户
4576869951215704,JwfJN56g8,1800457345,城市速递官方微博,【姑娘谢谢你！#老人心脏骤停医学生为救人误车#】近日，南京火车南站，一老人突发心脏骤停。听到广播里寻找医生，南京医科大学研一学生李秋爽立刻赶来，为老人做心肺复苏。为救老人，她没赶上火车。她说作为医学生，见到这种情况肯定会冲上前，她还希望全民普及心肺复苏。L江苏新闻的微博视频,,,,老人心脏骤停医学生为救人误车,1,0,1,2020-11-30 07:58,iPhone客户端,,"http://f.video.weibocdn.com/OzzTJRzxlx07H6os39ss01041200DYxG0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1727558159&ssig=RTjtY2OKAs&KID=unistore,video",,,蓝V
4569039273467543,JsY1Fey47,1866739325,忆果缘M19,#心脏病防治#头部症状喉咙发紧根据英国心脏基金会专家的说法，如果喉咙发紧让你持续感到窒息，这可能是心脏病发作的一个迹象。下巴疼痛虽然下巴疼痛似乎不太严重，但这也是一种常见的心脏病发作症状，只是很少被谈论到而已。有时候，心脏病发作或某些心脏事件的表现可以在下巴、牙齿和颈部感受到。这种疼痛在下巴的左右两侧均可发生，女性更为常见。严重的头痛如果你头痛严重且不消失，不要只吃一些药就把这事忘记了，而是要把它当作可能有问题的迹象。头痛可能是由于中风或心脏中的血块造成的，特别是当疼痛伴随着呕吐和头晕时。头晕或昏厥虽然造成昏厥的原因有很多，如太快地站起身或服用了某种药物，但也有可能意味着心脏问题。血压下降有可能是主动脉破裂造成的。#老人心脏骤停医学生为救人误车#,,,,"心脏病防治,老人心脏骤停医学生为救人误车",4,3,2,2020-11-08 17:21,HUAWEI Mate 20,https://wx4.sinaimg.cn/large/6f442e7dly1gkhw0vp5tyj20a60dj3yz.jpg,,,,金V
4566795418076766,Js1ExxT8q,5588958878,风云气象1号,【姑娘谢谢你！#老人心脏骤停医学生为救人误车#】,,,,老人心脏骤停医学生为救人误车,0,0,49,2020-11-02 12:45,360安全浏览器,,,4559130968200101,,普通用户
4558827599169894,JoGndCtvw,5964184998,安徽反邪教,【姑娘谢谢你！#老人心脏骤停医学生为救人误车#】5日，南京火车南站，一老人突发心脏骤停。听到广播里寻找医生，南京医科大学研一学生李秋爽立刻赶来，为老人做心肺复苏。为救老人，她没赶上火车。她说作为医学生，见到这种情况肯定会冲上前，她还希望全民普及心肺复苏。L江苏新闻的微博视频,,,,老人心脏骤停医学生为救人误车,54,55,56,2020-10-11 13:04,微博视频号,,"http://f.video.weibocdn.com/OzzTJRzxlx07H6os39ss01041200DYxG0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1727558195&ssig=ws6V7uzQkq&KID=unistore,video",,,
4566131785865079,JrKoaoBM3,6563508086,瑶海清韵,【姑娘谢谢你！#老人心脏骤停医学生为救人误车#】,,,,老人心脏骤停医学生为救人误车,0,0,56,2020-10-31 16:48,微博 weibo.com,,,4558827599169894,,蓝V
4566027206398021,JrHFuqQpT,3910528259,nzqk168,【姑娘谢谢你！#老人心脏骤停医学生为救人误车#】10月5日，在南京火车南站，一老人突发心脏骤停。听到广播里寻找医生，南京医科大学研一学生李秋爽立刻赶来，为老人做心肺复苏。为救老人，她没赶上火车。她说作为医学生，见到这种情况肯定会冲上前，她还希望全民普及心肺复苏。,,,,老人心脏骤停医学生为救人误车,0,0,0,2020-10-31 09:53,360安全浏览器,,,,,普通用户
4565772620270121,JrB2S18gN,5419730152,媛媛201103,【姑娘谢谢你！#老人心脏骤停医学生为救人误车#】,,,,老人心脏骤停医学生为救人误车,0,0,49,2020-10-30 17:01,搜狗高速浏览器,,,4559130968200101,,普通用户
4562496436834716,JqdOHsG1m,6579936616,庐阳正道,【姑娘谢谢你！#老人心脏骤停医学生为救人误车#】,,,,老人心脏骤停医学生为救人误车,0,0,56,2020-10-21 16:03,微博 weibo.com,,,4558827599169894,,蓝V
4562432598740053,Jqc9JAFGB,3271857672,湖南高院,#飞机上乘客休克法医出手相救#【救不救？飞机上乘客休克，这次法医出手了！】“旅客中有医务人员吗？请您站出来，我们需要您的帮助！”10月17日上午十点半，从烟台飞往长沙的BK2870号航班客舱里一名50多岁的男子突然晕厥，乘务人员通过广播向旅客循环播报，寻求紧急救援。@慈利法院综合办公室副主任唐希和听到广播后，立即站了起来。原来，唐希和的另一身份是法医，进入法院工作前曾在慈利县溪口区医院担任院长，是一名有十年从医经历的外科主治医生。在乘务人员的带领下，来到该男子前，发现该男子意识丧失、大汗淋漓、皮肤湿冷，通过进一步检查后发现男子已经休克，情况紧急，必须立即抢救。在全机没有其他医务人员的情况下，唐希和没有多想，马上对男子进行了胸外按摩、心肺复苏等措施，经过数分钟紧急抢救，男子脉搏逐渐恢复，意识转清，症状缓解，最终脱离危险。在时常因为“救不救、扶不扶”引发社会讨论的当下，唐希和的挺身而出就是一个党员、一名医生、一个法院人在面对另一个生命的呼救时给出的最温暖的答案。事后，当同事纷纷在工作群给他点赞，唐希和只淡淡地说了一句“这是人生的一次奇遇。”这更是一次生命的奇遇。#老人心脏骤停医学生为救人误车#@人民法院报@青年湖南@三湘名博沙龙@新浪湖南,,,"慈利法院,人民法院报,青年湖南,三湘名博沙龙,新浪湖南","飞机上乘客休克法医出手相救,老人心脏骤停医学生为救人误车",4,2,9,2020-10-21 11:49,HUAWEI P40 5G,"https://wx4.sinaimg.cn/large/c3049608gy1gjwt6vs3smj22tc240e81.jpg,https://wx1.sinaimg.cn/large/c3049608gy1gjwt6rw31fj20hs0ew42q.jpg",,,,蓝V
4562139572867249,Jq4x7c1TX,3147446923,用户3147446923,@中国文明网@文明十堰姑娘谢谢你！#老人心脏骤停医学生为救人误车##,,,"中国文明网,文明十堰",老人心脏骤停医学生为救人误车,0,0,49,2020-10-20 16:24,360安全浏览器,,,4559130968200101,,普通用户
4558840693270290,JoGIldIKC,6105864408,安徽政法,【姑娘谢谢你！#老人心脏骤停医学生为救人误车#】5日，南京火车南站，一老人突发心脏骤停。听到广播里寻找医生，南京医科大学研一学生李秋爽立刻赶来，为老人做心肺复苏。为救老人，她没赶上火车。她说作为医学生，见到这种情况肯定会冲上前，她还希望全民普及心肺复苏。L江苏新闻的微博视频,,,,老人心脏骤停医学生为救人误车,111,55,56,2020-10-11 13:56,iPhone客户端,,"http://f.video.weibocdn.com/OzzTJRzxlx07H6os39ss01041200DYxG0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1727558209&ssig=757AMLlKvJ&KID=unistore,video",,,
4562025407579565,Jq1yYvNN3,7433343878,长安主簿镇,【姑娘谢谢你！#老人心脏骤停医学生为救人误车#】,,,,老人心脏骤停医学生为救人误车,0,0,56,2020-10-20 08:51,360安全浏览器,,,4558840693270290,,蓝V
