id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4587478905785192,JAHJ0ogZy,6095001646,鄂尔多斯市反邪教协会,【意大利109岁#老人感染三次传染病大流行都痊愈#：希望快点注射新冠疫苗】,,,,老人感染三次传染病大流行都痊愈,0,0,0,2020-12-29 14:34,360安全浏览器,,,,,蓝V
4585961754987796,JA4fZkVyk,6135644110,创建无邪乌前旗,【意大利109岁#老人感染三次传染病大流行都痊愈#：希望快点注射新冠疫苗】,,,,老人感染三次传染病大流行都痊愈,0,0,0,2020-12-25 10:05,微博 weibo.com,,,,,蓝V
4585349433005580,JzOkncBT6,6140553777,乌审旗反邪教,【意大利109岁#老人感染三次传染病大流行都痊愈#：希望快点注射新冠疫苗】,,,,老人感染三次传染病大流行都痊愈,0,0,0,2020-12-23 17:32,360安全浏览器,,,,,蓝V
4585329292216820,JzNNT9iHa,6313639401,新左旗反邪教,【意大利109岁#老人感染三次传染病大流行都痊愈#：希望快点注射新冠疫苗】@内蒙古反邪教,,,内蒙古反邪教,老人感染三次传染病大流行都痊愈,0,0,0,2020-12-23 16:12,HUAWEI P20 Pro,,,,,蓝V
4585327748455815,JzNLoztK7,6311774830,乌达反邪教,【意大利109岁#老人感染三次传染病大流行都痊愈#：希望快点注射新冠疫苗】@内蒙古反邪教,,,内蒙古反邪教,老人感染三次传染病大流行都痊愈,0,0,0,2020-12-23 16:06,微博 weibo.com,,,,,蓝V
4585322567960834,JzND2xoYy,5902609242,乌海反邪教,【意大利109岁#老人感染三次传染病大流行都痊愈#：希望快点注射新冠疫苗】@内蒙古反邪教,,,内蒙古反邪教,老人感染三次传染病大流行都痊愈,0,0,0,2020-12-23 15:45,微博 weibo.com,,,,,蓝V
4585322434265606,JzNCPhTG6,6334036730,无邪卓资县,【意大利109岁#老人感染三次传染病大流行都痊愈#：希望快点注射新冠疫苗】@内蒙古反邪教,,,内蒙古反邪教,老人感染三次传染病大流行都痊愈,0,0,0,2020-12-23 15:45,微博 weibo.com,,,,,蓝V
4585241048787514,JzLvyAS26,5902858217,呼和浩特反邪教,【意大利109岁#老人感染三次传染病大流行都痊愈#：希望快点注射新冠疫苗】@内蒙古反邪教,,,内蒙古反邪教,老人感染三次传染病大流行都痊愈,0,0,0,2020-12-23 10:21,搜狗高速浏览器,,,,,蓝V
4585229724160882,JzLdihsr0,6311774140,狮城反邪,【意大利109岁#老人感染三次传染病大流行都痊愈#：希望快点注射新冠疫苗】@内蒙古反邪教,,,内蒙古反邪教,老人感染三次传染病大流行都痊愈,0,0,0,2020-12-23 09:36,HUAWEI P40 Pro 5G,,,,,蓝V
4585221729555029,JzL0oE5Hn,6305336198,海南反邪,【意大利109岁#老人感染三次传染病大流行都痊愈#：希望快点注射新冠疫苗】@内蒙古反邪教,,,内蒙古反邪教,老人感染三次传染病大流行都痊愈,0,0,0,2020-12-23 09:05,360安全浏览器,,,,,蓝V
4585214137862841,JzKO9wZu1,5999094269,锡林郭勒反邪教,【意大利109岁#老人感染三次传染病大流行都痊愈#：希望快点注射新冠疫苗】@内蒙古反邪教,,,内蒙古反邪教,老人感染三次传染病大流行都痊愈,0,0,0,2020-12-23 08:35,微博 weibo.com,,,,,蓝V
4585054086370744,JzGE0qJjW,2553604372,福州新闻网fznews,【意大利109岁#老人感染三次传染病大流行都痊愈#：希望快点注射新冠疫苗】意大利109岁的老奶奶路易莎·扎皮特利，人生中至今已经历三场传染病大流行和两次世界大战。她7岁感染西班牙流感，19岁感染斑疹伤寒，46岁感染亚洲流感，她说自己“得了所有的大瘟疫，但都痊愈了”。新冠疫情暴发前，她还在当地一个摩托车俱乐部当志愿者。上个月，路易莎刚过完生日，她的愿望是能接种新冠疫苗，希望不再感染疾病。（via：看看新闻）L看看新闻KNEWS的微博视频,,,,老人感染三次传染病大流行都痊愈,0,0,0,2020-12-22 21:59,微博视频号,,"http://f.video.weibocdn.com/b0yKa3uglx07IYAYtKtG01041200WApM0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009652&ssig=ZzlleiaF%2Ba&KID=unistore,video",,,蓝V
4585043903914479,JzGnAgqkL,1923969675,河北音乐广播,#1024微天下#【意大利109岁#老人感染三次传染病大流行都痊愈#：希望快点注射新冠疫苗】意大利109岁的老奶奶路易莎·扎皮特利，人生中至今已经历三场传染病大流行和两次世界大战。她7岁感染西班牙流感，19岁感染斑疹伤寒，46岁感染亚洲流感，她说自己“得了所有的大瘟疫，但都痊愈了”。新冠疫情暴发前，她还在当地一个摩托车俱乐部当志愿者。上个月，路易莎刚过完生日，她的愿望是能接种新冠疫苗，希望不再感染疾病。@看看新闻KNEWSL看看新闻KNEWS的微博视频,,,看看新闻KNEWS,"1024微天下,老人感染三次传染病大流行都痊愈",0,0,0,2020-12-22 21:18,iPhone客户端,,"http://f.video.weibocdn.com/b0yKa3uglx07IYAYtKtG01041200WApM0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009652&ssig=ZzlleiaF%2Ba&KID=unistore,video",,,蓝V
