id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4856418736018507,MnFHXpfGH,6474153384,考拉6474153384,#老人感染新冠5个女儿精心护理#看到这个之后我觉得每一个人第一想法都是羡慕和感动，都会在想我们大家以后有没有同样的待遇,,,,老人感染新冠5个女儿精心护理,0,0,0,2023-01-10 17:45,HUAWEI Mate 30 5G,,,,,普通用户
4856418001223723,MnFGM58lt,7732367339,宝今天开心不开心,#老人感染新冠5个女儿精心护理#也是因为有这样的五个女儿，才会得到精心护理，这样子新冠才能够闯关成功，恭喜这个老人呀,,,,老人感染新冠5个女儿精心护理,0,0,0,2023-01-10 17:42,HUAWEI Mate 30 5G,,,,,普通用户
4856417628458304,MnFGazuog,7737300458,雪糕不加奶好吃吗,#老人感染新冠5个女儿精心护理#天呐，这个时候我真的会想说这样的温情是我羡慕的，毕竟你说谁不想自己的家庭也是这样么,,,,老人感染新冠5个女儿精心护理,0,0,0,2023-01-10 17:40,HarmonyOS设备,https://wx3.sinaimg.cn/large/008rCViGgy1h9yoyno2mvj30rb0wladv.jpg,,,,普通用户
4856417406423046,MnFFOqWVw,5700449528,为什么不能上,#老人感染新冠5个女儿精心护理#所以也别说什么养儿防老了，生儿生女都一样的，你看看女儿也是会对你特别好的呀,,,,老人感染新冠5个女儿精心护理,0,0,0,2023-01-10 17:40,HUAWEI Mate 30 5G,,,,,普通用户
4856414684840531,MnFBqkjf5,7743888676,铁骑奔腾扬君威,#老人感染新冠5个女儿精心护理#我觉得每个人的愿望应该就是老有所依吧，真的觉得这样还是很幸福的,,,,老人感染新冠5个女儿精心护理,0,0,1,2023-01-10 17:29,HUAWEI Mate 30 5G,https://wx4.sinaimg.cn/large/008s4zcggy1h9yokh5w0nj30rb0wldjn.jpg,,,,普通用户
4856413581476389,MnFzE6c4J,7133904221,我的奶茶珍珠好少,#老人感染新冠5个女儿精心护理#哇塞，我觉得看到这个以后也能够感受到这个社会的一种温暖，这个家庭的一种爱,,,,老人感染新冠5个女儿精心护理,0,0,0,2023-01-10 17:24,HarmonyOS设备,,,,,普通用户
4856412431194560,MnFxN50L6,7788587379,赵璐婷g,#老人感染新冠5个女儿精心护理#1月9日长春，88岁老妈感染新冠5个女儿精心护理,,,,老人感染新冠5个女儿精心护理,0,0,0,2023-01-10 17:20,微博云剪,https://wx2.sinaimg.cn/large/008v67n5ly8h9yodjdcnpj30rb0wltco.jpg,,,,普通用户
4856412427785010,MnFxMwFeG,7775158611,李佳玥l,#老人感染新冠5个女儿精心护理#1月9日长春，88岁老妈感染新冠5个女儿精心护理,,,,老人感染新冠5个女儿精心护理,0,0,0,2023-01-10 17:20,微博云剪,https://wx4.sinaimg.cn/large/008ubLW3ly8h9yodispxxj30rb0wltco.jpg,,,,普通用户
4856412427783098,MnFxMwEJQ,7775508161,帆帆帆帆fann,#老人感染新冠5个女儿精心护理#1月9日长春，88岁老妈感染新冠5个女儿精心护理,,,,老人感染新冠5个女儿精心护理,0,0,0,2023-01-10 17:20,微博云剪,https://wx2.sinaimg.cn/large/008udeRXly8h9yodind5hj30rb0wltco.jpg,,,,普通用户
4856412423849034,MnFxMg9jc,7732346597,女女女女女女孩纸,#老人感染新冠5个女儿精心护理#1月9日长春，88岁老妈感染新冠5个女儿精心护理,,,,老人感染新冠5个女儿精心护理,0,0,0,2023-01-10 17:20,微博云剪,https://wx4.sinaimg.cn/large/008ri8zHly8h9yodhr591j30rb0wltco.jpg,,,,普通用户
4856412423848079,MnFxMg93N,2632682597,爱撒娇的小姑娘呀,#老人感染新冠5个女儿精心护理#1月9日长春，88岁老妈感染新冠5个女儿精心护理,,,,老人感染新冠5个女儿精心护理,0,0,0,2023-01-10 17:20,微博云剪,https://wx2.sinaimg.cn/large/9ceb8c65ly8h9yodhmr85j20rb0wlwig.jpg,,,,普通用户
4856412423066768,MnFxMcRO0,6879372710,爱吃榴莲的小姑娘呀,#老人感染新冠5个女儿精心护理#1月9日长春，88岁老妈感染新冠5个女儿精心护理,,,,老人感染新冠5个女儿精心护理,0,0,0,2023-01-10 17:20,微博云剪,https://wx2.sinaimg.cn/large/007vz96mly8h9yodi1ro5j30rb0wl789.jpg,,,,普通用户
4856412419132742,MnFxLCjQi,5837569841,大一下学期的课程表,#老人感染新冠5个女儿精心护理#1月9日长春，88岁老妈感染新冠5个女儿精心护理,,,,老人感染新冠5个女儿精心护理,0,0,0,2023-01-10 17:20,微博云剪,https://wx2.sinaimg.cn/large/006n3QAhly8h9yodh7az9j30rb0wlwig.jpg,,,,普通用户
4856412418871997,MnFxLBe0J,2934024323,拽先生king,#老人感染新冠5个女儿精心护理#1月9日长春，88岁老妈感染新冠5个女儿精心护理,,,,老人感染新冠5个女儿精心护理,0,0,0,2023-01-10 17:20,微博云剪,https://wx4.sinaimg.cn/large/aee1a883ly8h9yodhdpp1j20rb0wldjs.jpg,,,,普通用户
4856412418610212,MnFxLA7Uo,6648736286,我是巴拉巴拉小公主,#老人感染新冠5个女儿精心护理#1月9日长春，88岁老妈感染新冠5个女儿精心护理,,,,老人感染新冠5个女儿精心护理,0,0,0,2023-01-10 17:20,微博云剪,https://wx2.sinaimg.cn/large/007fXq22ly8h9yodhijitj30rb0wlwig.jpg,,,,普通用户
