id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4955415986569612,NnfCCrz3u,7472872190,用户7472872190,#新冠#前几天感冒了，我就觉得和当年新冠一个症状。这几天好了。但是感觉胸闷气短。#老人感染新冠不要忽视胸闷气短症状#,,,,"新冠,老人感染新冠不要忽视胸闷气短症状",0,1,0,2023-10-10 22:05,Redmi K30 全速热爱,,,,,普通用户
4905031231084235,N26ST4y3F,2863427903,未來主義之母,有没有跟我一样症状的第一次阳发烧前一直胸闷气短乏力精神涣散过了三四天着凉之后发烧第二天抗原才测出来阳性#老人感染新冠不要忽视胸闷气短症状##发热咳嗽非新冠肺炎唯一首发症状#,,,,"老人感染新冠不要忽视胸闷气短症状,发热咳嗽非新冠肺炎唯一首发症状",0,2,1,2023-05-24 21:13,iPhone客户端,,,,,普通用户
4879215994083637,MxeLJh8l7,7525767965,Free快哉风,患者76岁东北老人，胸闷气短多年，阳康后愈加明显，经检查如下结果，西医予以“消炎针”输液未果，复求得我院予以处方经诊：脉沉细微滑，无汗，无痰，无咳，舌体胖大苔白滑色暗有齿痕，夜口干苦年轻务工常食冷菜冰水，饭后腹胀二便正常辩证：年老体虚，心阳不振，水饮蓄停，痰瘀互结肝气不舒，脾失运化，肺失濡养，胸痹处方：生龙骨30，生牡蛎30，茯苓25，猪苓25，白术20，桂枝20，瓜蒌20，薤白15，葶苈子15，陈皮15，党参15，麦冬15，玄参12，丹参15，枳壳15，杏仁12，炙甘草12，泽泻10，生姜5片，枣10枚方用：茯苓杏仁甘草汤合五苓散橘枳姜汤桂枝甘草龙骨牡蛎汤葶苈大枣泻肺汤临床上，该患者心包积液肺大泡是不可逆转的肺部病损，西医无有效药物治疗。然中医可以有效的改善症状。患者一系列诊断在中医内皆空属于肺胀、胸痹范畴，经方可以有效的改善小支气管炎性病变后的水肿、狭窄，管腔阻塞，提高肺泡的供氧量以及周边的血液循环。《内经》“病机十九条”“诸病水液，澄澈清冷，皆属于寒”。“阳气者若天与日，失其所则折寿而不彰”。该症临床治疗必需温阳化饮，健脾利水，方能拨云见日，心脏居于胸中，若人体之太阳，温煦心脉而通达四末，主宰神明而镇摄魂魄。若因水湿之邪或阴寒雾霾遮蔽心阳，则阴寒凝滞，心脉郁阻，胸痹心痛不时而发。《金匮要略》云：“胸痹之病，喘息咳唾，胸背痛，短气，寸口脉沉而迟，关上小紧数，瓜蒌薤白白酒汤主之”此外，心包积液，除温阳化饮，健脾利水外，还需活血化瘀、通腑降浊，荡涤寇邪，方能收获奇功。故参以龙牡，顾护心肾，敛镇浮阳。#中医#中医超话#老人感染新冠不要忽视胸闷气短症状#,,,,"中医,老人感染新冠不要忽视胸闷气短症状",0,2,1,2023-03-14 15:33,中医超话,"https://wx3.sinaimg.cn/large/008djm2hly1hbze4vzri0j30qy0xjjux.jpg,https://wx1.sinaimg.cn/large/008djm2hly1hbze4tn5wwj30qy0ghgmt.jpg",,,,普通用户
4874935761643562,Mvrq86Tz4,2563314251,口袋里的迷你收音机,胸闷气短的一天#胸闷气短##老人感染新冠不要忽视胸闷气短症状#,,无锡,,"胸闷气短,老人感染新冠不要忽视胸闷气短症状",0,0,0,2023-03-02 20:05,iPhone客户端,"https://wx1.sinaimg.cn/large/98c9124bly1hblrpkxbbyj22c03407wj.jpg,https://wx1.sinaimg.cn/large/98c9124bly1hblrpn8zrsj22c0340e82.jpg,https://wx1.sinaimg.cn/large/98c9124bly1hblrpp3hvij22c0340kjm.jpg,https://wx4.sinaimg.cn/large/98c9124bly1hblrps01x1j22c0340qv6.jpg,https://wx4.sinaimg.cn/large/98c9124bly1hblrpsvf29j21jk1jke5g.jpg,https://wx2.sinaimg.cn/large/98c9124bly1hblrq2v5uqj23402c01l0.jpg,https://wx4.sinaimg.cn/large/98c9124bly1hblrq4keyaj223y2hsnpd.jpg,https://wx1.sinaimg.cn/large/98c9124bly1hblrq76ak0j22c0340npe.jpg,https://wx1.sinaimg.cn/large/98c9124bly1hblrq9vipdj22c0340b2a.jpg",,,,普通用户
4872584083013670,Musf6cDZA,1866739325,忆果缘M19,转阴后为什么还胸闷气短没有基础病、感染后症状较轻的中青年人群一般恢复时间较短，2~3周后都会慢慢恢复；年龄较大、存在基础病的中老年以及感染后症状严重的人群，恢复时间相对较长，具体情况因人而异。对于年龄较大、有一些基础疾病的患者，在感染新冠后可能会使一些基础疾病复发或严重，从而导致胸闷气短、心率升高的情况。还有一类群体虽然没有基础疾病，但可能因为新冠病毒导致了肺部和心脏的器质性变化。感染新冠病毒导致的器质性变化并不常见，并且主要以老年人为主，在年轻群体中非常少见。如果存在器质性变化，无论是肺脏还是心脏，都需要去医院咨询医生的建议。有时胸闷与心跳加快的情况也与心情有关。例如转阴后咳嗽，可能会同时觉得自己胸闷气短，有时候心情焦虑紧张，也会导致心跳加快。#老人感染新冠不要忽视胸闷气短症状##健康管理##阳康后如何恢复体力#,,,,"老人感染新冠不要忽视胸闷气短症状,健康管理,阳康后如何恢复体力",2,1,3,2023-02-24 08:20,,https://wx4.sinaimg.cn/large/6f442e7dly1hbe9nwjs7xj20qo0omjur.jpg,,,,金V
4870758310609810,MtGKj2yDE,2443736305,九亿HANDSOMEMENSDREAM,开学了#恨##好恶心##恶心想吐##长期心慌胸闷小心是这种病##胸闷气短##老人感染新冠不要忽视胸闷气短症状#,,,,"恨,好恶心,恶心想吐,长期心慌胸闷小心是这种病,胸闷气短,老人感染新冠不要忽视胸闷气短症状",0,3,0,2023-02-19 07:25,OPPO Reno6 5G,,,,,普通用户
4869448614283583,Mt8FThYm3,2608093983,当归拉法_Dr段,某患者，男，62岁。新冠后咳嗽，痰黏难咯，言多气短，胸闷憋气，乏力。CT提示病毒性肺炎，未服用西药，口服草药3周，复查CT，炎症明显吸收。#新冠后遗症##老人感染新冠不要忽视胸闷气短症状##新冠恢复期##新冠后咳嗽#,,北京·稻香园社区卫生服务站(万泉河路店),,"新冠后遗症,老人感染新冠不要忽视胸闷气短症状,新冠恢复期,新冠后咳嗽",0,0,1,2023-02-15 16:41,医治的Android,https://wx3.sinaimg.cn/large/9b745b1fly1hb49ilcnnvj21wg0d3q5u.jpg,,,,普通用户
4869045885867835,MsYckoCuv,2608093983,当归拉法_Dr段,新冠病毒感染，绝对是一种迟发病，阳康之后不要高兴的太早。近2个月，门诊和急诊接诊的患者中，后遗症逐渐突显，最典型的症状是：胸闷、心慌、气短、骨折。劳逸结合很重要，一定要提高免疫力，治病提倡中西医结合。急则治标，缓则治本。#新冠发病7日典型症状过程##新冠病毒感染症状过程曲线图##老人感染新冠不要忽视胸闷气短症状##心悸##新冠病毒感染人体路径##骨质疏松##新冠后遗症#,,北京,,"新冠发病7日典型症状过程,新冠病毒感染症状过程曲线图,老人感染新冠不要忽视胸闷气短症状,心悸,新冠病毒感染人体路径,骨质疏松,新冠后遗症",0,9,3,2023-02-14 14:01,医治的Android,,,,,普通用户
4865082695353282,Mrj65msDg,1232675724,中医侯洪远,明者见危于无形家人和我阳了以后，都出现了乏力气短胸闷，甚至背困身困等症状，急取金水宝片和养心生脉颗粒，服用一周，症状明显缓解后，又用中药调理。很多人对病毒的认知不够，想硬抗，不吃药，或者症状缓解后就不想用药了，这对预后还是有一定风险的。不要等症状厉害了，或等自己上网看各种方子试用，最后还是不行才找大夫，可能就比较麻烦了。明者见危于无形，明者，是专业之深，才能看出来问题，无形并非真的无形，而是很细微的征兆，普通人察觉不到，或察觉到了并不以为有大问题。#老人感染新冠不要忽视胸闷气短症状##老人感染新冠病毒后该如何用药#,,,,"老人感染新冠不要忽视胸闷气短症状,老人感染新冠病毒后该如何用药",0,1,1,2023-02-03 15:32,荣耀X30 5G,,,,,黄V
4863640958665330,MqHAHAmfo,1813446340,中医郑锦洪,#整体疫情已进入低流行水平#疫情第一波算过去了，接下去可能还有第二波、第三波……不能掉以轻心。但是不管怎样，接下去几个月，也可能是一两年，大部分人都需要好好调理一下身体，很多人经此一疫（役），都元气大伤，或诸邪缠身，比如神疲乏力、汗多怕风、失眠多梦、咳嗽气短、心悸胸闷等。调理，并不是一味进补。新冠后，有虚，有实。补是大方向。该泻、该祛、该散、该清的也不在少数。#老人感染新冠不要忽视胸闷气短症状##广州新冠病毒感染疫情已进入流行尾期#中医超话#感染新冠后失眠怎么办#,,,,"整体疫情已进入低流行水平,老人感染新冠不要忽视胸闷气短症状,广州新冠病毒感染疫情已进入流行尾期,感染新冠后失眠怎么办",0,0,0,2023-01-30 16:03,iPhone客户端,,,,,黄V
4860986220348149,MpAwS1szj,5874457947,中医姬万里,如果你感染了，发现心悸，心动过速或者心动过缓，或者是心前区难受，胸闷气短。都要注意了。我在临床是这样处理的，我用艾灸，艾灸膻中穴，屋翳穴，子宫穴。内关穴，同时灸上述穴位。除了艾灸以外还可以刮灸手。我觉得这些方法都很好的，会缓解你的症状。#老人感染新冠不要忽视胸闷气短症状#艾灸超话,,,,老人感染新冠不要忽视胸闷气短症状,4,0,3,2023-01-23 08:14,荣耀70 5G,https://wx4.sinaimg.cn/large/006pyCRJly1had9nz5oq2j30kf0dmn09.jpg,,,,普通用户
4859591013433403,Mp0exepbt,2608093983,当归拉法_Dr段,某患者，女，66岁。新冠感染后期，心慌、胸闷、气短，心前区隐痛，既往曾有室性早搏，输液丹参酮治疗后减轻。平素易着急，手足心热。舌红，苔黄腻。网络诊疗。患者对药物敏感。口服中药一天，无不适感，服药三天，诸症缓解80%。#老人感染新冠不要忽视胸闷气短症状##治疗新冠感染药物不只局限于几种##感染新冠可用什么药物#,,北京·北京市海淀区中医医院,,"老人感染新冠不要忽视胸闷气短症状,治疗新冠感染药物不只局限于几种,感染新冠可用什么药物",1,6,4,2023-01-19 11:50,医治的Android,https://wx4.sinaimg.cn/large/9b745b1fly1ha8telyccvj20pv0pj404.jpg,,,,普通用户
4853811238404880,MmzSjzguA,2717259067,陕西健康,【医生提醒！#老人感染新冠不要忽视胸闷气短症状#】#肺部有炎症就是白肺吗#？医生介绍，“白肺”是影像学上的一种表现，指的是出现炎症后，肺部影像超三分之二的面积呈白色。大部分人肺炎面积没有这么大，经治疗能很快康复。此外，老年人与年轻人病状规律不同，胸闷气短等症状不可轻视。若老人感染后出现意识模糊、走路不稳、气喘等情况，应及时就医。（央视新闻）L央视新闻的微博视频,,,,"老人感染新冠不要忽视胸闷气短症状,肺部有炎症就是白肺吗",0,0,0,2023-01-03 13:04,微博视频号,,"http://f.video.weibocdn.com/o0/zuVFkExUlx081Vz9FwbS01041200Z26w0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725645818&ssig=f3sktqGHjt&KID=unistore,video",,,蓝V
