id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5054178050965591,OmJpX43c3,2479230771,天津市天津医院,#老人感染新冠易发生沉默性低氧##关爱老人健康#炎炎夏日，低氧在老年人群中比较常见，但有的人有症状，有的人没有症状，这是为什么呢？家里老人出现低氧不适该如何应对呢？普内科行政副主任、主任医师刘美蓉为大家科普如何科学应对低氧血症。L天津市天津医院的微博视频,,,,"老人感染新冠易发生沉默性低氧,关爱老人健康",0,0,1,2024-07-09 10:50,微博视频号,,"http://f.video.weibocdn.com/o0/yXYFnK3Klx08ghD5Fp5m01041202jKtm0E010.mp4?label=mp4_720p&template=544x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724988963&ssig=5fepU%2Bv6Qt&KID=unistore,video",,,蓝V
4856408346462753,MnFrcr7fX,7676371963,看呼吸科普,慢阻肺病患者，一旦是发现我是阳性了，该如何去用药？比如说我们用了一些退热药，跟平常用的吸入药会不会有冲突？李燕明教授介绍，目前来说我们的退热药跟我们的吸入的药物之间是没有什么冲突的。这个地方想提醒大家一下，我们退热药的应用对于慢阻肺病的患者来说，也是跟老年朋友是类似的，一定要缓。大家都知道我们退热药它主要是通过出汗，然后把我们的体温降下来，但是如果一次大量出汗以后，对于老年朋友他就比较容易引起虚脱，甚至是出现低血压的情况。另外，我们有慢性气道疾病的患者，在大量出汗以后，他的痰液容易变得更加粘稠，使我们的痰液引流更加不畅。因此对于他们来说，降温一定要慢一点，防止这种一次大量的出汗，可以先吃一片退烧药，我们不一定非要等到38度5再吃退烧药，比如说我到38度，37度8就可以吃半片退烧药，让他的体温维持一个相对来说比较稳定的状态。第二个就是防止我们一次大量的吃，今天38度吃一片，明天39度就吃两片，一定不要出现这种情况，年龄越大，我们的体温越高，我们吃的这种退烧药也就越少。另外他的退烧是一个比较缓的过程，可能有一段时间体温控制的不是特别的理想，我们可以通过一些物理的降温的方式，用温水擦擦身，来把他的体温降下来。而且，我们的药物之间一定不要叠加用药。大家都知道我们有些药物的话，它里头也有一些降体温的成分，比如说我们的一些感冒药里头可能都有对乙酰氨基酚，你吃了对乙酰氨基酚又吃了感冒药，那这个就会出现药物之间的一个叠加，药物之间的叠加就会造成我们药物的一个过量，而药物的过量对我们的肝脏是有影响的，因此我们一定要避免我们药物的一个过量的服用情况。还有一个就是中药，也是要少而精，不要一下子吃多种的中药，一定根据自己的情况选择一种对症的中药就可以了。最后就是化痰药，对于我们的慢阻肺病的患者来说，罹患了新冠病毒感染之后，有很多患者是需要用的，根据自己既往的用药的情况，选择1到2种化痰药即可，痰液引流对我们疾病的治疗还是非常重要的。#阳光长城慢病防治##健康科普##老人感染新冠易发生沉默性低氧##慢阻肺##救命的排痰姿势#,,,,"阳光长城慢病防治,健康科普,老人感染新冠易发生沉默性低氧,慢阻肺,救命的排痰姿势",0,0,0,2023-01-10 17:04,微博 weibo.com,,,,,蓝V
4856316754925733,MnD3tkFpj,1940380882,微医,#高龄独居老人如何应对感染高峰#八九十岁的高龄老人常常反应不敏感，有的#老人感染新冠易发生沉默性低氧#反应，有的已经高热也没有明显表现，还有的严重缺氧也没有明显呼吸困难表现即“沉默性缺氧”。如果家中有人感染新冠，即使同住老人没有明显感染症状，也要每天监测生命体征，包括体温、血压、血氧饱和度、心率等指标。患有心脑血管疾病的老人特别是高龄老人出现发热等新冠症状，最好能与社区卫生服务中心及其家庭医生密切联系，根据病情变化指导用药和就医。也可以通过互联网医院与熟悉的医生线上问诊，及时指导新冠用药、调整心血管病用药方案。,,,,"高龄独居老人如何应对感染高峰,老人感染新冠易发生沉默性低氧",1,0,2,2023-01-10 11:00,微博网页版,https://wx3.sinaimg.cn/large/73a7dcd2ly1h9stgycb42j21xg1adx60.jpg,,,,蓝V
4853932784357161,MmD2mihuN,7676371963,看呼吸科普,新冠感染后，胸闷、憋气、呼吸困难不能仅凭感觉，血氧监测尤为重要！王思远医生介绍，对于有基础病，家里有老年人的家庭，血氧的监测尤为重要。感染以后的一些发烧、咳嗽等炎症症状都与我们的免疫系统有关，很多老年人因为免疫力的下降，表现出来的症状会很轻，跟实际病情并不相符，但如果通过血氧饱和度的监测，我们可以相对更加直观地了解病情。刚刚说了，我们肺的储备功能很强大，对于正常人再怎么不舒服血氧也都在97%-98%，很少会低于94%，如果仅仅是上呼吸道的感染，血氧不至于会大幅下降，血氧低那肯定是有肺炎了，肺里边堵了才会出现低氧，持续低于94%-93%，那肺可能就已经白一半了。排除低氧的问题，很多时候憋气、呼吸困难、感觉气不够用也会受到我们心理的影响，特别是在这段集中爆发的时间，日常可以有意识地做一些呼吸调整，之前推荐大家的腹式呼吸、深呼吸、鼻呼吸都可以很好地缓解这种情况，听一些舒缓的音乐，做做跟呼吸相关的瑜伽都是非常好的调节方法。#阳光长城慢病防治##健康科普##老人感染新冠易发生沉默性低氧##阳康后为什么会出现脑雾##怎么判断正从轻症转向重症#,,,,"阳光长城慢病防治,健康科普,老人感染新冠易发生沉默性低氧,阳康后为什么会出现脑雾,怎么判断正从轻症转向重症",0,0,0,2023-01-03 21:07,微博 weibo.com,,,,,蓝V
4853889575168746,MmBUFlGCS,3757814875,房山中医健康教育,俯卧位通气？你想要了解的都在这里来源：中南大学湘雅医院护理部公众号#俯卧位通气坚持12小时以上更有效##新冠病人出现低氧可俯卧位治疗##胸闷气短可尝试俯卧位通气##老人感染新冠易发生沉默性低氧#,,,,"俯卧位通气坚持12小时以上更有效,新冠病人出现低氧可俯卧位治疗,胸闷气短可尝试俯卧位通气,老人感染新冠易发生沉默性低氧",3,1,3,2023-01-03 18:15,iPhone客户端,"https://wx4.sinaimg.cn/large/dffbb45bly1h9qmmmplu7j20u01467aw.jpg,https://wx3.sinaimg.cn/large/dffbb45bly1h9qmmmuumoj20u014011c.jpg,https://wx3.sinaimg.cn/large/dffbb45bly1h9qmmn20iyj20u0141agq.jpg,https://wx4.sinaimg.cn/large/dffbb45bly1h9qmmn99h8j20u013xqaj.jpg,https://wx2.sinaimg.cn/large/dffbb45bly1h9qmmo1amaj20u0145dmr.jpg,https://wx1.sinaimg.cn/large/dffbb45bly1h9qmmoaaexj20u013xdny.jpg,https://wx4.sinaimg.cn/large/dffbb45bly1h9qmmofhcaj20u014545x.jpg",,,,蓝V
4852329670787927,MlXkH3iYv,1827100624,这是一个能带来好运的名字,2022可以说是很艰难的一年，全家的收入直线下降，封控解封又封控，再到彻底的放开。放开后两周，全家感染…现在才后知后觉，一旦家人有人感染上病毒，测出阳性或有症状，不管怎么隔离，怎么小心注意，都没有用了。但家中要多次消毒，多次开窗通风，降低病毒浓度，感觉这个是有必要的。对于新冠，给家中有老人的朋友一些建议：老年人很少有烧到39摄氏度以上的，如果烧到38度就可以考虑吃退烧药了，若有其他症状，也需对症用药，如果发烧三天有持续性好转，可以不去医院，如果超过五天，依旧有发烧现象，一定要抓紧去医院拍ct。家里一定要备上血氧仪，血氧低于90也要去医院，因为老人自己可能察觉不出来，等察觉出来呼吸不顺畅可能血氧已经掉到60-70了，需要持续吸氧。有条件的后期可买上制氧机以备不时之需。新冠不会这么快过去，现在能做的，只能为之后二次感染提前做好预防。希望二次感染能来的晚一些，再晚一些……#新冠康复日记##老人感染新冠易发生沉默性低氧#,,,,"新冠康复日记,老人感染新冠易发生沉默性低氧",0,0,0,2022-12-30 10:56,iPhone 13 Pro Max,,,,,普通用户
4851740862852922,MlI10bYaS,5135185289,月亮公举,童年美好的画面之一就是和我姐在太姥家葡萄架下面玩，还可以去菜园子里摘李子，儿时的快乐简单且单纯。记忆里画面的颜色都是童话般的青葱绿色。今天太姥离开了，同样是因为新冠感染。原本以为新冠没多大事儿，最近却带走了很多生命，更是发生在了我身边。希望我们都顺利挺过这场新冠感染吧。#老人感染新冠易发生沉默性低氧#,,无锡,,老人感染新冠易发生沉默性低氧,0,7,0,2022-12-28 19:57,iPhone客户端,,,,,普通用户
4850971207797105,MlnZCwInL,1797237782,美丽开远,【#老人感染新冠易发生沉默性低氧#】#老人感染新冠需警惕哪些症状#独居的老年人，一旦在家中出现发热，或者感染新冠，家人一定要加强监测，有些老年人已经体温升高了，他并不知道自己已经发烧了。老人感染新冠容易发生沉默性低氧，家人觉着老人呼吸状态平稳，可能血氧饱和度已经特别低了。陪护失能老人的家人，一定要监测老人的体温、心率、脉搏，还有外周血氧饱和度的变化，如果出现血氧饱和度下降，应及时就诊。就诊越早，救治成功率越大。（@央视网）L央视网的微博视频,,,央视网,"老人感染新冠易发生沉默性低氧,老人感染新冠需警惕哪些症状",0,0,1,2022-12-26 16:58,微博视频号,,"http://locallimit.us.sinaimg.cn/o0/Wp3QpA7dlx081LUNsrkQ01041200bSJp0E010.mp4?label=mp4_hd&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724988963&ssig=f%2BL1doDkKc&KID=unistore,video",,,蓝V
4850805435531760,MljGfnd3W,2315982631,挑食養生姜牧影,#微博健康公开课#新冠期间，谨防慢性缺氧和沉默性低氧！#老人感染新冠易发生沉默性低氧#L营养师姜影的微博视频,,,,"微博健康公开课,老人感染新冠易发生沉默性低氧",0,0,2,2022-12-26 06:00,微博视频号,,"http://f.video.weibocdn.com/o0/Cy8TKQgAlx081PY7ReKI01041200PvqG0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724988963&ssig=D9omvrqgiK&KID=unistore,video",,,黄V
4850565274670794,MldqTjB5o,1131958263,長春夜風,传说中的“白肺”,,长春,,,1,10,9,2022-12-25 14:05,三星Galaxy S10,https://wx1.sinaimg.cn/large/43784ff7ly1h9g0tnt1ngj21em1id4qp.jpg,,,,
