id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5058944185666169,OoJpgnM1P,1590753120,中国反邪教,【#4人6秒救下乘扶梯摔倒老人#】#老人扶梯上摔倒4人合力相助#近日，浙江金华，一位老人手拎重物乘坐扶梯，重心不稳就要摔倒时，旁边的热心女孩和身后的巡站民警迅速托住老人。对面扶梯上的站务员看到立刻跑下楼，站台上的安全员也同时赶来，两人迅速按下扶梯急停按钮，整个过程不到6秒钟。（美丽浙江）L新华社的微博视频,,,,"4人6秒救下乘扶梯摔倒老人,老人扶梯上摔倒4人合力相助",63,5,22,2024-07-22 14:29,无邪君的Android,,"http://f.video.weibocdn.com/o0/YZL3cWsnlx08gCxGD0OY010412008A6z0E010.mp4?label=mp4_720p&template=576x1024.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725442510&ssig=xCjFRvwfwA&KID=unistore,video",,,
5062335186078281,Oq9CCpveN,1540191313,山西闻喜反邪教,//@山西反邪教:【#4人6秒救下乘扶梯摔倒老人#】#老人扶梯上摔倒4人合力相助#,,,山西反邪教,"4人6秒救下乘扶梯摔倒老人,老人扶梯上摔倒4人合力相助",0,0,22,2024-07-31 23:03,vivo手机,,,5058944185666169,,蓝V
5062334999956747,Oq9CjFMcH,1540191313,山西闻喜反邪教,//@山西运城反邪教:【#4人6秒救下乘扶梯摔倒老人#】#老人扶梯上摔倒4人合力相助#//@山西反邪教:【#4人6秒救下乘扶梯摔倒老人#】#老人扶梯上摔倒4人合力相助#,,,"山西运城反邪教,山西反邪教","4人6秒救下乘扶梯摔倒老人,老人扶梯上摔倒4人合力相助",0,0,22,2024-07-31 23:03,vivo手机,,,5058944185666169,,蓝V
5060811206957946,OpvYAtc4W,2177987263,淄川发布-融媒体,【#4人6秒救下乘扶梯摔倒老人#】#老人扶梯上摔倒4人合力相助#近日，浙江金华，一位老人手拎重物乘坐扶梯，重心不稳就要摔倒时，旁边的热心女孩和身后的巡站民警迅速托住老人。对面扶梯上的站务员看到立刻跑下楼，站台上的安全员也同时赶来，两人迅速按下扶梯急停按钮，整个过程不到6秒钟。#勇敢的你真了不起#（美丽浙江）L新华社的微博视频,,,,"4人6秒救下乘扶梯摔倒老人,老人扶梯上摔倒4人合力相助,勇敢的你真了不起",7,9,9,2024-07-27 18:08,微博视频号,,"http://f.video.weibocdn.com/o0/YZL3cWsnlx08gCxGD0OY010412008A6z0E010.mp4?label=mp4_720p&template=576x1024.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725442515&ssig=7XmbfqnleS&KID=unistore,video",,,蓝V
5058955162946373,OoJGYcmu9,6105864408,安徽政法,【#4人6秒救下乘扶梯摔倒老人#】#老人扶梯上摔倒4人合力相助#近日，浙江金华，一位老人手拎重物乘坐扶梯，重心不稳就要摔倒时，旁边的热心女孩和身后的巡站民警迅速托住老人。对面扶梯上的站务员看到立刻跑下楼，站台上的安全员也同时赶来，两人迅速按下扶梯急停按钮，整个过程不到6秒钟。L新华社的微博视频,,,,"4人6秒救下乘扶梯摔倒老人,老人扶梯上摔倒4人合力相助",90,28,43,2024-07-22 15:12,微博视频号,,"http://f.video.weibocdn.com/o0/YZL3cWsnlx08gCxGD0OY010412008A6z0E010.mp4?label=mp4_720p&template=576x1024.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725442515&ssig=7XmbfqnleS&KID=unistore,video",,,
5060688832108018,OpsNd8Qoi,3952055407,青阳法院,【#4人6秒救下乘扶梯摔倒老人#】#老人扶梯上摔倒4人合力相助#,,,,"4人6秒救下乘扶梯摔倒老人,老人扶梯上摔倒4人合力相助",0,0,43,2024-07-27 10:01,微博网页版,,,5058955162946373,,蓝V
5060419318976225,OplMvBF7P,2859150464,平安昭化,【#4人6秒救下乘扶梯摔倒老人#】#老人扶梯上摔倒4人合力相助#近日，浙江金华，一位老人手拎重物乘坐扶梯，重心不稳就要摔倒时，旁边的热心女孩和身后的巡站民警迅速托住老人。对面扶梯上的站务员看到立刻跑下楼，站台上的安全员也同时赶来，两人迅速按下扶梯急停按钮，整个过程不到6秒钟。#勇敢的你真了不起#（美丽浙江）L木里公安的微博视频,,,,"4人6秒救下乘扶梯摔倒老人,老人扶梯上摔倒4人合力相助,勇敢的你真了不起",0,1,0,2024-07-26 16:10,微博视频号,,"http://f.video.weibocdn.com/o0/LJwcN8pdlx08gHukatFS010412008CNl0E010.mp4?label=mp4_720p&template=576x1024.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725442516&ssig=EumA3%2Bv%2F92&KID=unistore,video",,,蓝V
5060298332965877,OpiDncryJ,5072686227,木里公安,【#4人6秒救下乘扶梯摔倒老人#】#老人扶梯上摔倒4人合力相助#近日，浙江金华，一位老人手拎重物乘坐扶梯，重心不稳就要摔倒时，旁边的热心女孩和身后的巡站民警迅速托住老人。对面扶梯上的站务员看到立刻跑下楼，站台上的安全员也同时赶来，两人迅速按下扶梯急停按钮，整个过程不到6秒钟。#勇敢的你真了不起#（美丽浙江）L木里公安的微博视频,,,,"4人6秒救下乘扶梯摔倒老人,老人扶梯上摔倒4人合力相助,勇敢的你真了不起",0,14,15,2024-07-26 08:10,微博视频号,,"http://f.video.weibocdn.com/o0/LJwcN8pdlx08gHukatFS010412008CNl0E010.mp4?label=mp4_720p&template=576x1024.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725442516&ssig=EumA3%2Bv%2F92&KID=unistore,video",,,蓝V
5058997563170963,OoKNmdiUz,6155344804,河北长安网,【#4人6秒救下乘扶梯摔倒老人#】#老人扶梯上摔倒4人合力相助#近日，浙江金华，一位老人手拎重物乘坐扶梯，重心不稳就要摔倒时，旁边的热心女孩和身后的巡站民警迅速托住老人。对面扶梯上的站务员看到立刻跑下楼，站台上的安全员也同时赶来，两人迅速按下扶梯急停按钮，整个过程不到6秒钟。#勇敢的你真了不起#L新华社的微博视频,,,,"4人6秒救下乘扶梯摔倒老人,老人扶梯上摔倒4人合力相助,勇敢的你真了不起",71,30,25,2024-07-22 18:01,微博视频号,,"http://f.video.weibocdn.com/o0/YZL3cWsnlx08gCxGD0OY010412008A6z0E010.mp4?label=mp4_720p&template=576x1024.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725442516&ssig=FxqxumKXXm&KID=unistore,video",,,
5060056774871415,OpclLkrhd,1808392375,承德公安网络发言人,【#4人6秒救下乘扶梯摔倒老人#】#老人扶梯上摔倒4人合力相助#,,,,"4人6秒救下乘扶梯摔倒老人,老人扶梯上摔倒4人合力相助",0,0,25,2024-07-25 16:10,HUAWEI Mate 50,,,5058997563170963,,蓝V
