id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4900126701649966,N03im6Vem,5917761052,朔州网警,【#老人把播放器当手机怀念过世老伴#大家默契没戳穿】4月13日，南京一78岁老奶奶迷路走进警务站求助，特警耐心陪伴在旁。交谈中，老人表示过世老伴送的“老人机”打不开，特警发现那只是个播放器却没戳穿。随后老人女儿赶来，称母亲患阿尔茨海默症，她误把播放器当手机怀念过世老伴，大家一直默契配合。#你遇到过哪些善意的谎言#L我苏特稿的微博视频,,,,"老人把播放器当手机怀念过世老伴,你遇到过哪些善意的谎言",0,0,0,2023-05-11 08:25,微博视频号,,"http://f.video.weibocdn.com/o0/HuFb0h98lx084MEoVE6401041200ZKe40E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019330&ssig=bhIhgvmMOP&KID=unistore,video",,,蓝V
4897440701876946,MESSq7Shk,3443851640,平安达州,【#老人把播放器当手机怀念过世老伴#大家默契没戳穿】4月13日，南京一78岁老奶奶迷路走进警务站求助，特警耐心陪伴在旁。交谈中，老人表示过世老伴送的“老人机”打不开，特警发现那只是个播放器却没戳穿。随后老人女儿赶来，称母亲患阿尔茨海默症，她误把播放器当手机怀念过世老伴，大家一直默契配合。#你遇到过哪些善意的谎言#L我苏特稿的微博视频,,,,"老人把播放器当手机怀念过世老伴,你遇到过哪些善意的谎言",0,0,0,2023-05-03 22:31,蜀黍的HarmonyOS设备,,"http://f.video.weibocdn.com/o0/HuFb0h98lx084MEoVE6401041200ZKe40E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019330&ssig=bhIhgvmMOP&KID=unistore,video",,,蓝V
4897400696607363,MERPTrISn,1702549133,济南公安,【#老人把播放器当手机怀念过世老伴#大家默契没戳穿】4月13日，南京一78岁老奶奶迷路走进警务站求助，特警耐心陪伴在旁。交谈中，老人表示过世老伴送的“老人机”打不开，特警发现那只是个播放器却没戳穿。随后老人女儿赶来，称母亲患阿尔茨海默症，她误把播放器当手机怀念过世老伴，大家一直默契配合。#你遇到过哪些善意的谎言#L我苏特稿的微博视频,,,,"老人把播放器当手机怀念过世老伴,你遇到过哪些善意的谎言",2,0,0,2023-05-03 19:52,微博视频号,,"http://f.video.weibocdn.com/o0/HuFb0h98lx084MEoVE6401041200ZKe40E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019330&ssig=bhIhgvmMOP&KID=unistore,video",,,蓝V
4892298845885757,MCJ76oH9z,2259661342,新浪江苏,【#老人把播放器当手机怀念过世老伴#大家默契没戳穿】近日，南京一78岁老奶奶迷路走进警务站求助，特警耐心陪伴在旁。交谈中，老人表示过世老伴送的“老人机”打不开，特警发现那只是个播放器却没戳穿。随后老人女儿赶来，称母亲患阿尔茨海默症，她误把播放器当手机怀念过世老伴，大家一直默契配合。#你遇到过哪些善意的谎言#？L我苏特稿的微博视频,,,,"老人把播放器当手机怀念过世老伴,你遇到过哪些善意的谎言",1,0,0,2023-04-19 18:00,微博视频号,,"http://f.video.weibocdn.com/o0/HuFb0h98lx084MEoVE6401041200ZKe40E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019330&ssig=bhIhgvmMOP&KID=unistore,video",,,蓝V
4892196152810159,MCGrtbN39,2111875782,南京吃喝玩乐fun,【#老人把播放器当手机怀念过世老伴#大家默契没戳穿】4月13日，南京一78岁老奶奶迷路走进警务站求助，特警耐心陪伴在旁。交谈中，老人表示过世老伴送的“老人机”打不开，特警发现那只是个播放器却没戳穿。随后老人女儿赶来，称母亲患阿尔茨海默症，她误把播放器当手机怀念过世老伴，大家一直默契配合。#你遇到过哪些善意的谎言#？L我苏特稿的微博视频,,,,"老人把播放器当手机怀念过世老伴,你遇到过哪些善意的谎言",0,0,0,2023-04-19 11:11,微博视频号,,"http://f.video.weibocdn.com/o0/HuFb0h98lx084MEoVE6401041200ZKe40E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019330&ssig=bhIhgvmMOP&KID=unistore,video",,,黄V
4892192311348253,MCGlh5EK1,6364008233,我苏网,【一起来聊聊：#你遇到过哪些善意的谎言#？】近日，南京特警发现一名#老人把播放器当手机怀念过世老伴#，但特警、家人都默契地没戳穿，用善意的谎言让老奶奶留着念想。你遇到过哪些善意的谎言？你遇到过哪些善意的谎言？,,,,"你遇到过哪些善意的谎言,老人把播放器当手机怀念过世老伴",0,0,0,2023-04-19 10:56,微博网页版,,,,,蓝V
4892191455186059,MCGjTlL87,7474091977,我苏特稿,【一起来聊聊：#你遇到过哪些善意的谎言#？】近日，南京特警发现一名#老人把播放器当手机怀念过世老伴#，但特警、家人都默契地没戳穿，用善意的谎言让老奶奶留着念想。你遇到过哪些善意的谎言？你遇到过哪些善意的谎言？,,,,"你遇到过哪些善意的谎言,老人把播放器当手机怀念过世老伴",0,1,88,2023-04-19 10:53,微博网页版,,,,,蓝V
4892189521347386,MCGgM5Ew2,6135802538,江苏发展大会,【#老人把播放器当手机怀念过世老伴#大家默契没戳穿】4月13日，南京一78岁老奶奶迷路走进警务站求助，特警耐心陪伴在旁。交谈中，老人表示过世老伴送的“老人机”打不开，特警发现那只是个播放器却没戳穿。随后老人女儿赶来，称母亲患阿尔茨海默症，她误把播放器当手机怀念过世老伴，大家一直默契配合。#你遇到过哪些善意的谎言#？L我苏特稿的微博视频,,,,"老人把播放器当手机怀念过世老伴,你遇到过哪些善意的谎言",0,0,1,2023-04-19 10:45,微博视频号,,"http://f.video.weibocdn.com/o0/HuFb0h98lx084MEoVE6401041200ZKe40E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019331&ssig=7OHi94sX17&KID=unistore,video",,,蓝V
4892189513744860,MCGgLfIcY,6364008233,我苏网,【#老人把播放器当手机怀念过世老伴#大家默契没戳穿】4月13日，南京一78岁老奶奶迷路走进警务站求助，特警耐心陪伴在旁。交谈中，老人表示过世老伴送的“老人机”打不开，特警发现那只是个播放器却没戳穿。随后老人女儿赶来，称母亲患阿尔茨海默症，她误把播放器当手机怀念过世老伴，大家一直默契配合。#你遇到过哪些善意的谎言#？L我苏特稿的微博视频,,,,"老人把播放器当手机怀念过世老伴,你遇到过哪些善意的谎言",0,0,0,2023-04-19 10:45,微博视频号,,"http://f.video.weibocdn.com/o0/HuFb0h98lx084MEoVE6401041200ZKe40E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019331&ssig=7OHi94sX17&KID=unistore,video",,,蓝V
4892188573958244,MCGffgBIE,7474091977,我苏特稿,【#老人把播放器当手机怀念过世老伴#大家默契没戳穿】4月13日，南京一78岁老奶奶迷路走进警务站求助，特警耐心陪伴在旁。交谈中，老人表示过世老伴送的“老人机”打不开，特警发现那只是个播放器却没戳穿。随后老人女儿赶来，称母亲患阿尔茨海默症，她误把播放器当手机怀念过世老伴，大家一直默契配合。#你遇到过哪些善意的谎言#？L我苏特稿的微博视频,,,,"老人把播放器当手机怀念过世老伴,你遇到过哪些善意的谎言",5,6,44,2023-04-19 10:41,微博视频号,,"http://f.video.weibocdn.com/o0/HuFb0h98lx084MEoVE6401041200ZKe40E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019331&ssig=7OHi94sX17&KID=unistore,video",,,蓝V
