id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4650839836723632,KlkzJsd7G,6891736686,普威兰心投资人,#老人投靠子女入户深圳条件提高#这是去老龄化的手段，减轻公共服务压力的办法，尽可能把有限资源倾向幼年人身上，加大教育投入而减低医疗投入。,,,,老人投靠子女入户深圳条件提高,0,0,0,2021-06-22 10:48,小米Play 自带流量,,,,,普通用户
4650627629843757,Klf3sFiOh,3948200554,cutebabylee,#老人投靠子女入户深圳条件提高#,,,,老人投靠子女入户深圳条件提高,0,0,0,2021-06-21 20:44,HUAWEI P20,,,,,普通用户
4650546348167862,KlcWmygPI,3709045730,军哥聊商业,【#老人投靠子女入户深圳条件提高#，官方指调整为15年合适】2021年5月25日，《深圳市户籍迁入若干规定（征求意见稿）》对外发布，意味着深圳户籍迁入政策将发生重要变化，该征求意见稿的征求意见期已于6月初结束。市发改委最新发布征求意见稿的综合意见及采纳情况，从官方对所收集意见的采纳和不采纳情况看，政策将基本遵照征求意见稿的内容。根据征求意见稿，老人投靠入户条件将子女入深户时间要求由8年调整为15年，并增加子女在深圳依法缴纳社保累计满15年的要求，意味着未来老人投靠入户难度将加大。老人投靠入户条件，综合意见提出“老人投靠条件由8年提高至15年，要求过高，建议不做调整或适度调整”，该条意见的官方回复是“不采纳”。官方说明指深圳市现行老人投靠入户政策在主要大城市中门槛较为宽松，但由于老人投靠属于审批类，指标供给相对有限，近几年供需矛盾特别突出，导致符合入户条件的人等待时间较长。由于深圳市人口基数较大，随着时间的累计，符合老人投靠条件的申请人数还会不断增长，综合考虑指标供给情况，调整为15年较为合适。比如大学毕业便来深工作，15年后父母60多岁，达到了法定退休年龄，便可符合投靠条件。#深圳拟修改入户规则##深圳身边事#深圳疫情#（南都）,,,,"老人投靠子女入户深圳条件提高,深圳拟修改入户规则,深圳身边事",0,0,0,2021-06-21 15:21,微博网页版,https://wx3.sinaimg.cn/large/dd138be2gy1grpwsc6uunj20c307it9a.jpg,,,,黄V
4650542008375652,KlcPmz8Ta,7478479385,新域视野,【#老人投靠子女入深户条件提高#，官方指调整为15年合适】2021年5月25日，《深圳市户籍迁入若干规定（征求意见稿）》对外发布，意味着深圳户籍迁入政策将发生重要变化，该征求意见稿的征求意见期已于6月初结束。市发改委最新发布征求意见稿的综合意见及采纳情况，从官方对所收集意见的采纳和不采纳情况看，政策将基本遵照征求意见稿的内容。根据征求意见稿，老人投靠入户条件将子女入深户时间要求由8年调整为15年，并增加子女在深圳依法缴纳社保累计满15年的要求，意味着未来老人投靠入户难度将加大。老人投靠入户条件，综合意见提出“老人投靠条件由8年提高至15年，要求过高，建议不做调整或适度调整”，该条意见的官方回复是“不采纳”。官方说明指深圳市现行老人投靠入户政策在主要大城市中门槛较为宽松，但由于老人投靠属于审批类，指标供给相对有限，近几年供需矛盾特别突出，导致符合入户条件的人等待时间较长。由于深圳市人口基数较大，随着时间的累计，符合老人投靠条件的申请人数还会不断增长，综合考虑指标供给情况，调整为15年较为合适。比如大学毕业便来深工作，15年后父母60多岁，达到了法定退休年龄，便可符合投靠条件。（南都）#老人投靠子女入户深圳条件提高#,,,,"老人投靠子女入深户条件提高,老人投靠子女入户深圳条件提高",0,0,0,2021-06-21 15:04,UC浏览器电脑版,https://wx4.sinaimg.cn/large/008a6W7fgy1grpwhew8xbj30dw08mt9r.jpg,,,,蓝V
4650532590850513,KlcAb3zfX,6177021066,深圳微博房产,【#老人投靠子女入深户条件提高#，官方指调整为15年合适】2021年5月25日，《深圳市户籍迁入若干规定（征求意见稿）》对外发布，意味着深圳户籍迁入政策将发生重要变化，该征求意见稿的征求意见期已于6月初结束。市发改委最新发布征求意见稿的综合意见及采纳情况，从官方对所收集意见的采纳和不采纳情况看，政策将基本遵照征求意见稿的内容。根据征求意见稿，老人投靠入户条件将子女入深户时间要求由8年调整为15年，并增加子女在深圳依法缴纳社保累计满15年的要求，意味着未来老人投靠入户难度将加大。老人投靠入户条件，综合意见提出“老人投靠条件由8年提高至15年，要求过高，建议不做调整或适度调整”，该条意见的官方回复是“不采纳”。官方说明指深圳市现行老人投靠入户政策在主要大城市中门槛较为宽松，但由于老人投靠属于审批类，指标供给相对有限，近几年供需矛盾特别突出，导致符合入户条件的人等待时间较长。由于深圳市人口基数较大，随着时间的累计，符合老人投靠条件的申请人数还会不断增长，综合考虑指标供给情况，调整为15年较为合适。比如大学毕业便来深工作，15年后父母60多岁，达到了法定退休年龄，便可符合投靠条件。（南都）#老人投靠子女入户深圳条件提高#,,,,"老人投靠子女入深户条件提高,老人投靠子女入户深圳条件提高",2,3,6,2021-06-21 14:27,微博 weibo.com,https://wx1.sinaimg.cn/large/006K29m2gy1grpvehrg7aj30dw08m3zj.jpg,,,,蓝V
4650525863709628,Klcpkfz2I,1968134815,房天下北海特价房,#老人投靠子女入户深圳条件提高#【#老人投靠子女入户深圳条件提高#，官方指调整为15年合适】2021年5月25日，《深圳市户籍迁入若干规定（征求意见稿）》对外发布，意味着深圳户籍迁入政策将发生重要变化，该征求意见稿的征求意见期已于6月初结束。市发改委最新发布征求意见稿的综合意见及采纳情况，从官方对所收集意见的采纳和不采纳情况看，政策将基本遵照征求意见稿的内容。根据征求意见稿，老人投靠入户条件将子女入深户时间要求由8年调整为15年，并增加子女在深圳依法缴纳社保累计满15年的要求，意味着未来老人投靠入户难度将加大。老人投靠入户条件，综合意见提出“老人投靠条件由8年提高至15年，要求过高，建议不做调整或适度调整”，该条意见的官方回复是“不采纳”。官方说明指深圳市现行老人投靠入户政策在主要大城市中门槛较为宽松，但由于老人投靠属于审批类，指标供给相对有限，近几年供需矛盾特别突出，导致符合入户条件的人等待时间较长。由于深圳市人口基数较大，随着时间的累计，符合老人投靠条件的申请人数还会不断增长，综合考虑指标供给情况，调整为15年较为合适。比如大学毕业便来深工作，15年后父母60多岁，达到了法定退休年龄，便可符合投靠条件。#深圳拟修改入户规则#（南都）,,,,"老人投靠子女入户深圳条件提高,深圳拟修改入户规则",1,0,0,2021-06-21 14:00,iPhone客户端,,,,,普通用户
4650516498354864,Klcadz3tS,5446004639,干饭的卡皮巴拉,#老人投靠子女入户深圳条件提高#已经不是那我走了，变成了要你走,,,,老人投靠子女入户深圳条件提高,0,0,0,2021-06-21 13:23,iPhone客户端,,,,,普通用户
4650510801963575,Klc128eOz,2111353842,piggy-potatina,#老人投靠子女入户深圳条件提高#深圳只需要韭菜，都别来了,,,,老人投靠子女入户深圳条件提高,0,0,17,2021-06-21 13:00,iPhone客户端,,,,,普通用户
4650498286157904,KlbGQpPX2,5968999875,苏打水与魚丁糸,#老人投靠子女入户深圳条件提高#高情商：深圳是一个年轻的城市，拼搏奋斗是主旋律低情商：深圳只需要年轻力壮的韭菜,,,,老人投靠子女入户深圳条件提高,0,0,1,2021-06-21 12:10,微博 weibo.com,,,,,普通用户
4650482464719269,KlbhkjNHf,7366690680,bigairport,#老人投靠子女入户深圳条件提高#，官方指调整为15年合适,,,,老人投靠子女入户深圳条件提高,0,0,0,2021-06-21 11:08,iPhone客户端,,,,,普通用户
