id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4918691786134599,N7Qg2pJT9,5920046261,陇南网警,【警惕！#老人担心影响子女征信险被骗3万#】近日，江苏民警接到一家银行工作人员报警称，有一位老人执意要给陌生账户转账3万元，疑似正在遭遇电信诈骗。民警火速赶到现场，老人表示，自己收到了一个“国际快递”，快递公司表示需要先付费才能取件，若不取件会产生滞纳金，还会影响其子女征信。老人一时情急，赶紧跑去银行准备转账。最终，在民警的劝阻下，老人删除了骗子的联系方式，保住了账户内3万元养老钱。L荔枝新闻的微博视频,,,,老人担心影响子女征信险被骗3万,0,0,0,2023-07-01 13:56,微博视频号,,"http://f.video.weibocdn.com/o0/TGQD9ffDlx086t1EKPsQ01041200JBmV0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724979391&ssig=bDMH9Ux5Rf&KID=unistore,video",,,蓝V
4918675210243596,N7PPj11mY,5610349502,大连网警,【警惕！#老人担心影响子女征信险被骗3万#】近日，江苏民警接到一家银行工作人员报警称，有一位老人执意要给陌生账户转账3万元，疑似正在遭遇电信诈骗。民警火速赶到现场，老人表示，自己收到了一个“国际快递”，快递公司表示需要先付费才能取件，若不取件会产生滞纳金，还会影响其子女征信。老人一时情急，赶紧跑去银行准备转账。最终，在民警的劝阻下，老人删除了骗子的联系方式，保住了账户内3万元养老钱。L荔枝新闻的微博视频,,,,老人担心影响子女征信险被骗3万,0,0,0,2023-07-01 12:50,HarmonyOS设备,,"http://f.video.weibocdn.com/o0/TGQD9ffDlx086t1EKPsQ01041200JBmV0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724979391&ssig=bDMH9Ux5Rf&KID=unistore,video",,,蓝V
4917277286205289,N7fsAq2hj,3860033349,潍坊市中级人民法院,#小鲁提醒#【警惕！#老人担心影响子女征信险被骗3万#】近日，江苏民警接到一家银行工作人员报警称，有一位老人执意要给陌生账户转账3万元，疑似正在遭遇电信诈骗。民警火速赶到现场，老人表示，自己收到了一个“国际快递”，快递公司表示需要先付费才能取件，若不取件会产生滞纳金，还会影响其子女征信。老人一时情急，赶紧跑去银行准备转账。最终，在民警的劝阻下，老人删除了骗子的联系方式，保住了账户内3万元养老钱。L荔枝新闻的微博视频,,,,"小鲁提醒,老人担心影响子女征信险被骗3万",0,0,0,2023-06-27 16:15,微博视频号,,"http://f.video.weibocdn.com/o0/TGQD9ffDlx086t1EKPsQ01041200JBmV0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724979391&ssig=bDMH9Ux5Rf&KID=unistore,video",,,蓝V
4916853032618651,N74qjaZej,2764517242,老记宋军,【警惕！#老人担心影响子女征信险被骗3万#】近日，江苏民警接到一家银行工作人员报警称，有一位老人执意要给陌生账户转账3万元，疑似正在遭遇电信诈骗。民警火速赶到现场，老人表示，自己收到了一个“国际快递”，快递公司表示需要先付费才能取件，若不取件会产生滞纳金，还会影响其子女征信。老人一时情急，赶紧跑去银行准备转账。最终，在民警的劝阻下，老人删除了骗子的联系方式，保住了账户内3万元养老钱。L荔枝新闻的微博视频,,,,老人担心影响子女征信险被骗3万,0,0,2,2023-06-26 12:09,微博视频号,,"http://f.video.weibocdn.com/o0/TGQD9ffDlx086t1EKPsQ01041200JBmV0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724979391&ssig=bDMH9Ux5Rf&KID=unistore,video",,,黄V
4916815052932729,N73r3ciW5,3760705624,安康中院,【警惕！#老人担心影响子女征信险被骗3万#】近日，江苏民警接到一家银行工作人员报警称，有一位老人执意要给陌生账户转账3万元，疑似正在遭遇电信诈骗。民警火速赶到现场，老人表示，自己收到了一个“国际快递”，快递公司表示需要先付费才能取件，若不取件会产生滞纳金，还会影响其子女征信。老人一时情急，赶紧跑去银行准备转账。最终，在民警的劝阻下，老人删除了骗子的联系方式，保住了账户内3万元养老钱。L荔枝新闻的微博视频,,,,老人担心影响子女征信险被骗3万,0,1,1,2023-06-26 09:38,微博视频号,,"http://f.video.weibocdn.com/o0/TGQD9ffDlx086t1EKPsQ01041200JBmV0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724979391&ssig=bDMH9Ux5Rf&KID=unistore,video",,,蓝V
4916773947967769,N72mKxqMp,3628354521,德州中院,【警惕！#老人担心影响子女征信险被骗3万#】近日，江苏民警接到一家银行工作人员报警称，有一位老人执意要给陌生账户转账3万元，疑似正在遭遇电信诈骗。民警火速赶到现场，老人表示，自己收到了一个“国际快递”，快递公司表示需要先付费才能取件，若不取件会产生滞纳金，还会影响其子女征信。老人一时情急，赶紧跑去银行准备转账。最终，在民警的劝阻下，老人删除了骗子的联系方式，保住了账户内3万元养老钱。来源：L荔枝新闻的微博视频,,,,老人担心影响子女征信险被骗3万,8,21,19,2023-06-26 06:55,微博视频号,,"http://f.video.weibocdn.com/o0/TGQD9ffDlx086t1EKPsQ01041200JBmV0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724979391&ssig=bDMH9Ux5Rf&KID=unistore,video",,,蓝V
4916685222446129,N703EaglH,2512254557,汉中中院,【警惕！#老人担心影响子女征信险被骗3万#】近日，江苏民警接到一家银行工作人员报警称，有一位老人执意要给陌生账户转账3万元，疑似正在遭遇电信诈骗。民警火速赶到现场，老人表示，自己收到了一个“国际快递”，快递公司表示需要先付费才能取件，若不取件会产生滞纳金，还会影响其子女征信。老人一时情急，赶紧跑去银行准备转账。最终，在民警的劝阻下，老人删除了骗子的联系方式，保住了账户内3万元养老钱。L荔枝新闻的微博视频,,,,老人担心影响子女征信险被骗3万,0,0,0,2023-06-26 01:02,微博视频号,,"http://f.video.weibocdn.com/o0/TGQD9ffDlx086t1EKPsQ01041200JBmV0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724979391&ssig=bDMH9Ux5Rf&KID=unistore,video",,,蓝V
4916472335566194,N6Uwhnm1k,6008483913,山西政法,【警惕！#老人担心影响子女征信险被骗3万#】近日，江苏民警接到一家银行工作人员报警称，有一位老人执意要给陌生账户转账3万元，疑似正在遭遇电信诈骗。民警火速赶到现场，老人表示，自己收到了一个“国际快递”，快递公司表示需要先付费才能取件，若不取件会产生滞纳金，还会影响其子女征信。老人一时情急，赶紧跑去银行准备转账。最终，在民警的劝阻下，老人删除了骗子的联系方式，保住了账户内3万元养老钱。L荔枝新闻的微博视频,,,,老人担心影响子女征信险被骗3万,40,10,12,2023-06-25 10:56,iPhone客户端,,"http://f.video.weibocdn.com/o0/TGQD9ffDlx086t1EKPsQ01041200JBmV0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724979391&ssig=bDMH9Ux5Rf&KID=unistore,video",,,
4916571677656307,N6X6vw7KP,6526504927,吕梁政法,【警惕！#老人担心影响子女征信险被骗3万#】,,,,老人担心影响子女征信险被骗3万,0,0,12,2023-06-25 17:31,微博网页版,,,4916472335566194,,蓝V
4916561321659742,N6WPO6XM2,1909319983,绵阳交警直属四大队,【警惕！#老人担心影响子女征信险被骗3万#】近日，江苏民警接到一家银行工作人员报警称，有一位老人执意要给陌生账户转账3万元，疑似正在遭遇电信诈骗。民警火速赶到现场，老人表示，自己收到了一个“国际快递”，快递公司表示需要先付费才能取件，若不取件会产生滞纳金，还会影响其子女征信。老人一时情急，赶紧跑去银行准备转账。最终，在民警的劝阻下，老人删除了骗子的联系方式，保住了账户内3万元养老钱。L荔枝新闻的微博视频,,,,老人担心影响子女征信险被骗3万,0,5,3,2023-06-25 16:50,iPhone客户端,,"http://f.video.weibocdn.com/o0/TGQD9ffDlx086t1EKPsQ01041200JBmV0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724979391&ssig=bDMH9Ux5Rf&KID=unistore,video",,,蓝V
