id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4549562797402494,JkNlZv3J4,5626110080,杭空之珠,【#老人捡初中生手机索要两千#被拒竟愤怒质问：这就是当代年轻人？】23日，贵州贵阳一初中女生报警称手机丢了，被一老人捡到却索要2000元好处费，女生表示愿将自己身上全部的30元给老人，老人竟质问：“这就是当代的年轻人？”纠缠半个多小时后，09kkIEz15，人最终无偿归还看看新闻KNEWS的秒拍视频,,,,老人捡初中生手机索要两千,0,0,0,2020-09-15 23:29,Android客户端,,,,,普通用户
4515529559239288,J6vZFCLyM,3171449944,liby_lee,【#老人捡初中生手机索要两千#被拒竟愤怒质问：这就是当代年轻人？】23日，贵州贵阳一初中女生报警称手机丢了，06rqXfP14，一老人捡到却索要2000元好处费，女生表示愿将自己身上全部的30元给老人，老人竟质问：“这就是当代的年轻人？”纠缠半个多小时后，老人最终无偿归还看看新闻KNEWS的秒拍视频,,,,老人捡初中生手机索要两千,0,0,0,2020-06-14 01:33,Android客户端,,,,,普通用户
4461225871793934,IpGLp7wGq,5028064978,游泳你就死,【#老人捡初中生手机索要两千#被拒竟愤怒质问：这就是当代年轻人？】23日，贵州贵阳一初中女生报警称手机丢了，被一老人捡到却索要2000元好处费，女生表示愿将自己身上全部的30元给老人，墨黑0116，人竟质问：“这就是当代的年轻人？”纠缠半个多小时后，老人最终无偿归还看看新闻KNEWS的秒拍视频,,,,老人捡初中生手机索要两千,0,0,0,2020-01-16 05:09,小米手机,,,,,普通用户
4402873401785485,I1cKw7uu9,5462312107,互联网帮帮看,【#老人捡初中生手机索要两千#被拒竟愤怒质问：这就是当代年轻人？】23日，贵州贵阳一初中女生报警称手机丢了，被一老人捡到却索要2000元好处费，女生表示愿将自己身上全部的30元给老人，老人竟质问：“这就是当代的年轻人？”纠缠半个多小时后，老人最终无偿归还手机。L看看新闻KNEWS的秒拍视频,,,,老人捡初中生手机索要两千,0,2,0,2019-08-08 04:38,微博 weibo.com,,"http://miaopai.video.weibocdn.com/HVhczuiDlx07vMz5UtbO01040200OzAc0E013?ori=0&ps=1BVp4ysnknHVZu&Expires=1725442424&ssig=sZVeROF2dW&KID=unistore,video",,,黄V
4402622246939337,I16dqt7eN,2131455454,IT小少爷,【#老人捡初中生手机索要两千#被拒竟愤怒质问：这就是当代年轻人？】23日，贵州贵阳一初中女生报警称手机丢了，被一老人捡到却索要2000元好处费，女生表示愿将自己身上全部的30元给老人，老人竟质问：“这就是当代的年轻人？”纠缠半个多小时后，老人最终无偿归还手机。L看看新闻KNEWS的秒拍视频,,,,老人捡初中生手机索要两千,0,1,0,2019-08-07 12:00,微博 weibo.com,,"http://miaopai.video.weibocdn.com/HVhczuiDlx07vMz5UtbO01040200OzAc0E013?ori=0&ps=1BVp4ysnknHVZu&Expires=1725442424&ssig=sZVeROF2dW&KID=unistore,video",,,黄V
4402091957109497,I0Sq7tPvj,3015802853,尚信昭,【#老人捡初中生手机索要两千#被拒竟愤怒质问：这就是当代年轻人？】23日，贵州贵阳一初中女生报警称手机丢了，被一老人捡到却索要2000元好处费，女生表示愿将自己身上全部的30元给老人，老人竟质问：“这就是当代的年轻人？”纠缠半个多小时后，老人最终无偿归还手机。始末。看新闻Knews的秒拍视频,,,,老人捡初中生手机索要两千,0,0,0,2019-08-06 00:52,Android客户端,,,,,普通用户
4401975615101424,I0Potlp72,2877679812,Jinn-静静,有大部分老人都是以前的爸妈教养不好，以前的小孩素质太差了，小的时候就坏小孩，这些坏小孩老了一副为老不尊，倚老卖老的样子，三观不正，是非不分。碰瓷的，抢方向盘的，偷小孩的，公交车上道德绑架的，老色狼，暴露狂，教坏隔代的，买个东西都能被掉包等等，大部分都是这些坏小孩变老作的，真的是坏人变老了，简直污染这个社会。#坏人变老了##道德绑架##有哪些常见的道德绑架##老人捡初中生手机索要两千#,,,,"坏人变老了,道德绑架,有哪些常见的道德绑架,老人捡初中生手机索要两千",0,0,0,2019-08-05 17:10,前后2000万 OPPO R11,"https://wx1.sinaimg.cn/large/ab85e8c4ly1g5ox0q397kj215o1qch99.jpg,https://wx3.sinaimg.cn/large/ab85e8c4ly1g5ox0r3zahj215o1z17q1.jpg,https://wx4.sinaimg.cn/large/ab85e8c4ly1g5ox0t45s7j215o29ie81.jpg,https://wx3.sinaimg.cn/large/ab85e8c4ly1g5ox0utwajj215o29fe81.jpg,https://wx3.sinaimg.cn/large/ab85e8c4ly1g5ox0vzsupj215o274ty9.jpg,https://wx4.sinaimg.cn/large/ab85e8c4ly1g5ox0x90n1j215o2aykce.jpg,https://wx4.sinaimg.cn/large/ab85e8c4ly1g5ox0y8o4nj215o1yxaw0.jpg,https://wx1.sinaimg.cn/large/ab85e8c4ly1g5ox0zhxf6j215o25j4nz.jpg,https://wx4.sinaimg.cn/large/ab85e8c4ly1g5ox102tyej20lg0mq10f.jpg",,,,普通用户
4401591182228946,I0Foq9lQK,3023215907,指尖官人,素质，还是金钱至上？#老人捡初中生手机索要两千#！拾金不昧的中华民族传统美德，好像现在大多也就只能在孩子身上看到了，在社会中，受到物质的腐蚀和诱惑，还能有几人能够坚持初心呢？L看看新闻KNEWS的秒拍视频,,,,老人捡初中生手机索要两千,1,2,4,2019-08-04 15:42,Android,,"http://miaopai.video.weibocdn.com/HVhczuiDlx07vMz5UtbO01040200OzAc0E013?ori=0&ps=1BVp4ysnknHVZu&Expires=1725442424&ssig=sZVeROF2dW&KID=unistore,video",,,黄V
4400044767686757,I01acwfFX,5293558377,期货股指,#老人捡初中生手机索要两千#最讨厌这种倚老卖老的人了，公车上来不及主动让座他骂你，路边摔倒你扶起来他讹你，现在捡到初中生手机居然索要2000块，不给他还寒酸讽刺你，这就是你作为老年人的素质？丢人现眼！,,,,老人捡初中生手机索要两千,0,2,5,2019-07-31 09:18,vivo X21屏幕指纹手机,,,,,黄V
4399397028924702,HFHLMBrIO,2272673835,大强,#老人捡初中生手机索要两千#我们从小就被教育要拾金不昧，但是也有很多人捡到了别人的东西，不是想要据为己有，就是想索要高额“好处费”。就拿这事儿来说吧，说好听点是这老头儿的思想道德意识与经济利益发生了碰撞。说不好听点，挺大人了还臭不要脸。这类事儿并不少，一旦有了反面的实例发生，便成了新闻。要说别人捡到东西还给你，该不该给感谢费，这没有应不应该，但是我想大家基本上都会主动给。如果对方索要高额感谢费的话，还是依照你遗失物品价值来决定吧。你给不出那么高感谢费，对方也拒绝归还，这就属于侵占行为。如果遗失物品价值很高，那么对方就涉嫌侵占罪了。,,,,老人捡初中生手机索要两千,70,68,175,2019-07-29 14:24,热心吃瓜群众,https://wx4.sinaimg.cn/large/8776402bly1g5gobvgdu2j20k00lnq7w.jpg,,,,
