id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4930971516012068,NcZI3pe0Q,3974560125,红塔区发布,【#老人晕车儿女自制轿子抬去看病#】8月1日，云南泸西。年迈母亲因晕车无法去医院，晚辈们化身“轿夫”带母亲去看病。愿天下老人都能儿女陪伴在身边，得到关爱和尊重。L云南日报的微博视频,,,,老人晕车儿女自制轿子抬去看病,0,0,1,2023-08-04 11:11,微博视频号,,"http://f.video.weibocdn.com/o0/kseNkfO2lx087uWqMteg0104120079220E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725022387&ssig=dh8gy5dYSw&KID=unistore,video",,,蓝V
4930970383555746,NcZGeeV0K,2634513522,云南法制报,【#老人晕车儿女自制轿子抬去看病#】8月1日，云南泸西。年迈母亲因晕车无法去医院，晚辈们化身“轿夫”带母亲去看病。愿天下老人都能儿女陪伴在身边，得到关爱和尊重。L云南日报的微博视频,,,,老人晕车儿女自制轿子抬去看病,0,0,0,2023-08-04 11:06,微博视频号,,"http://f.video.weibocdn.com/o0/kseNkfO2lx087uWqMteg0104120079220E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725022387&ssig=dh8gy5dYSw&KID=unistore,video",,,蓝V
4930951052264667,NcZb39v8T,1994238825,渭南日报社,【#老人晕车儿女自制轿子抬去看病#】8月1日，云南泸西。年迈母亲因晕车无法去医院，晚辈们化身“轿夫”带母亲去看病。愿天下老人都能儿女陪伴在身边，得到关爱和尊重。#秦·分享#L云南日报的微博视频,,,,"老人晕车儿女自制轿子抬去看病,秦·分享",0,0,0,2023-08-04 09:50,微博视频号,,"http://f.video.weibocdn.com/o0/kseNkfO2lx087uWqMteg0104120079220E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725022387&ssig=dh8gy5dYSw&KID=unistore,video",,,蓝V
4930759859110064,NcUcFCdWw,3806438282,昆明经济技术开发区管委会,【#老人晕车儿女自制轿子抬去看病#】8月1日，云南泸西。年迈母亲因晕车无法去医院，晚辈们化身“轿夫”带母亲去看病。愿天下老人都能儿女陪伴在身边，得到关爱和尊重。（云南日报）L云南日报的微博视频,,,,老人晕车儿女自制轿子抬去看病,0,0,0,2023-08-03 21:10,微博视频号,,"http://f.video.weibocdn.com/o0/kseNkfO2lx087uWqMteg0104120079220E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725022387&ssig=dh8gy5dYSw&KID=unistore,video",,,蓝V
4930759418449203,NcUbXzs1t,1787043322,魅力蒙自,【#老人晕车儿女自制轿子抬去看病#】8月1日，云南泸西。年迈母亲因晕车无法去医院，晚辈们化身“轿夫”带母亲去看病。愿天下老人都能儿女陪伴在身边，得到关爱和尊重。L云南日报的微博视频（云南日报）,,,,老人晕车儿女自制轿子抬去看病,0,0,0,2023-08-03 21:08,微博视频号,,"http://f.video.weibocdn.com/o0/kseNkfO2lx087uWqMteg0104120079220E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725022387&ssig=dh8gy5dYSw&KID=unistore,video",,,蓝V
4930739353161461,NcTFBdgrj,1698784044,三秦都市报,【#老人晕车儿女自制轿子抬去看病#】8月1日，云南泸西。年迈母亲因晕车无法去医院，晚辈们化身“轿夫”带母亲去看病。愿天下老人都能儿女陪伴在身边，得到关爱和尊重。#秦·分享#L云南日报的微博视频（云南日报）,,,,"老人晕车儿女自制轿子抬去看病,秦·分享",0,0,1,2023-08-03 19:48,微博视频号,,"http://f.video.weibocdn.com/o0/kseNkfO2lx087uWqMteg0104120079220E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725022387&ssig=dh8gy5dYSw&KID=unistore,video",,,蓝V
4930734600750573,NcTxW39g1,1959444680,云南网,【#老人晕车儿女自制轿子抬去看病#】8月1日，云南泸西。年迈母亲因晕车无法去医院，晚辈们化身“轿夫”带母亲去看病。愿天下老人都能儿女陪伴在身边，得到关爱和尊重。L云南日报的微博视频（云南日报）,,,,老人晕车儿女自制轿子抬去看病,1,1,5,2023-08-03 19:30,微博视频号,,"http://f.video.weibocdn.com/o0/kseNkfO2lx087uWqMteg0104120079220E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725022387&ssig=dh8gy5dYSw&KID=unistore,video",,,蓝V
4930592510842999,NcPQL3xiL,5039972406,德城发布,【#老人晕车儿女自制轿子抬去看病#】8月1日，云南泸西。年迈母亲因晕车无法去医院，晚辈们化身“轿夫”带母亲去看病。愿天下老人都能儿女陪伴在身边，得到关爱和尊重。L云南日报的微博视频,,,,老人晕车儿女自制轿子抬去看病,0,1,1,2023-08-03 10:05,iPhone客户端,,"http://f.video.weibocdn.com/o0/kseNkfO2lx087uWqMteg0104120079220E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725022387&ssig=dh8gy5dYSw&KID=unistore,video",,,蓝V
4930582867348126,NcPBcuPAa,1916472400,云南江川,【#老人晕车儿女自制轿子抬去看病#】8月1日，云南泸西。年迈母亲因晕车无法去医院，晚辈们化身“轿夫”带母亲去看病。愿天下老人都能儿女陪伴在身边，得到关爱和尊重。云南日报的微博视频L云南日报的微博视频,,,,老人晕车儿女自制轿子抬去看病,0,0,0,2023-08-03 09:27,微博视频号,,"http://f.video.weibocdn.com/o0/kseNkfO2lx087uWqMteg0104120079220E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725022387&ssig=dh8gy5dYSw&KID=unistore,video",,,蓝V
4930572767987338,NcPkUxvS2,2254582937,大美新平,【#老人晕车儿女自制轿子抬去看病#】,,,,老人晕车儿女自制轿子抬去看病,0,0,0,2023-08-03 08:46,微博网页版,,,,,蓝V
