id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5066935058564593,Os5hLzW2B,5663744237,河北经济日报,#老人晨练时心梗被路人用AED救回#【转存收藏！消防员教你心肺复苏口诀】万一遇到休克、心脏骤停等非常紧急的情况，进行心肺复苏往往成为救命的关键。希望用不到，一定要知道！L河南消防的微博视频,,,,老人晨练时心梗被路人用AED救回,0,0,0,2024-08-13 15:42,微博视频号,,"http://f.video.weibocdn.com/o0/sy0ePZDWlx07Yvucwb2w01041200Fml80E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729178220&ssig=gBodbikunZ&KID=unistore,video",,,蓝V
5058582498512714,OozZTzIxQ,2139684615,文明成都,#老人晨练时心梗被路人用AED救回#【转存收藏！消防员教你心肺复苏口诀】万一遇到休克、心脏骤停等非常紧急的情况，进行心肺复苏往往成为救命的关键。希望用不到，一定要知道！L河南消防的微博视频,,,,老人晨练时心梗被路人用AED救回,11,6,3,2024-07-21 14:31,微博视频号,,"http://f.video.weibocdn.com/o0/sy0ePZDWlx07Yvucwb2w01041200Fml80E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729178248&ssig=A14s8qcgxr&KID=unistore,video",,,蓝V
5051707841578530,OlH9K6CEa,2470123875,青白江应急,#老人晨练时心梗被路人用AED救回#【#必须学会的急救知识#：AED（自动体外除颤仪）的使用方法】近日，广东深圳，一老人晨练时突发心肌梗死，摔倒在地。此时，正在附近晨跑的王艳军发现了情况，立即组织周围群众拨打120，他自己则用AED对老人进行除颤和心肺复苏，为医务人员急救争取了宝贵时间。今天教你AED的正确使用方法，戳视频↓↓@国家应急广播L应急管理部的微博视频,,,国家应急广播,"老人晨练时心梗被路人用AED救回,必须学会的急救知识",0,5,1,2024-07-02 15:14,微博视频号,,"http://f.video.weibocdn.com/ccfKqTDKlx07PRQbkURG01041200L7G90E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1729178271&ssig=0BMuvPQYpq&KID=unistore,video",,,蓝V
5050165204881608,Ol31CktVC,1393515952,遵义交警支队,#老人晨练时心梗被路人用AED救回#【#必须学会的急救知识#：AED（自动体外除颤仪）的使用方法】近日，广东深圳，一老人晨练时突发心肌梗死，摔倒在地。此时，正在附近晨跑的王艳军发现了情况，立即组织周围群众拨打120，他自己则用AED对老人进行除颤和心肺复苏，为医务人员急救争取了宝贵时间。今天教你AED的正确使用方法，戳视频↓↓@国家应急广播L应急管理部的微博视频,,,国家应急广播,"老人晨练时心梗被路人用AED救回,必须学会的急救知识",0,0,0,2024-06-28 09:04,微博视频号,,"http://f.video.weibocdn.com/ccfKqTDKlx07PRQbkURG01041200L7G90E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1729178276&ssig=xceSM8dbVH&KID=unistore,video",,,蓝V
5047654679579323,OjZInEc1d,2652542630,井研县公安局POLICE,【每个人都要学会的技能】4分钟学会心肺复苏和AED除颤，关键时刻能救命！#老人晨练时心梗被路人用AED救回#L江西消防的微博视频,,,,老人晨练时心梗被路人用AED救回,0,2,1,2024-06-21 10:48,微博视频号,,"http://f.video.weibocdn.com/o0/COR9JgQHlx086kAyLLVS010412013OXD0E010.mp4?label=mp4_720p&template=1120x630.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729178285&ssig=rC%2FmQ%2Faz%2FU&KID=unistore,video",,,蓝V
5047632601286747,OjZ8M5oJZ,5195647315,峨边警方,【每个人都要学会的技能】4分钟学会心肺复苏和AED除颤，关键时刻能救命！#老人晨练时心梗被路人用AED救回#L江西消防的微博视频,,,,老人晨练时心梗被路人用AED救回,0,18,11,2024-06-21 09:20,微博视频号,,"http://f.video.weibocdn.com/o0/COR9JgQHlx086kAyLLVS010412013OXD0E010.mp4?label=mp4_720p&template=1120x630.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729178285&ssig=rC%2FmQ%2Faz%2FU&KID=unistore,video",,,蓝V
5047486085335565,OjVksmo1v,2862148974,湖州消防,#老人晨练时心梗被路人用AED救回#【转存收藏！消防员教你心肺复苏口诀】万一遇到休克、心脏骤停等非常紧急的情况，进行心肺复苏往往成为救命的关键。希望用不到，一定要知道！L河南消防的微博视频,,,,老人晨练时心梗被路人用AED救回,0,0,0,2024-06-20 23:38,iPhone客户端,,"http://f.video.weibocdn.com/o0/sy0ePZDWlx07Yvucwb2w01041200Fml80E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729178286&ssig=HlhWFvje8c&KID=unistore,video",,,蓝V
5039298558559987,OgukLzUQj,5430282517,大同消防,【每个人都要学会的技能】4分钟学会心肺复苏和AED除颤，关键时刻能救命！#老人晨练时心梗被路人用AED救回#L江西消防的微博视频,,,,老人晨练时心梗被路人用AED救回,39,46,82,2024-05-29 09:24,微博视频号,,"http://f.video.weibocdn.com/o0/COR9JgQHlx086kAyLLVS010412013OXD0E010.mp4?label=mp4_720p&template=1120x630.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729178294&ssig=QCu2OY%2FxPj&KID=unistore,video",,,
5045083810825920,OiUPP3sRi,5075850400,正义通山,【每个人都要学会的技能】4分钟学会心肺复苏和AED除颤，关键时刻能救命！#老人晨练时心梗被路人用AED救回#L江西消防的微博视频,,,,老人晨练时心梗被路人用AED救回,0,1,82,2024-06-14 08:32,HUAWEI Mate 50,,,5039298558559987,,蓝V
5044147524732698,OiwtGjRbQ,7504003391,DadJerry2017,现在AED的降价幅度挺大的，家里如果有高危人士，可以考虑配置一台。#深圳公共aed已救回82条生命##老人晨练时心梗被路人用aed救回#,,,,"深圳公共aed已救回82条生命,老人晨练时心梗被路人用aed救回",0,0,4,2024-06-11 18:32,Android,https://wx1.sinaimg.cn/large/008bQ24Lgy1hqllfhyasaj30u01hdwqi.jpg,,,广东,普通用户
