id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4762081624328725,Lq31Eia69,5582175353,绥化检察,#老人有基础病能打疫苗吗#？#还要继续接种第四针吗#？目前的疫苗对奥密克戎变异株的预防效果怎么样？带着大家关心的问题，我采访了国务院联防联控机制科研攻关组疫苗研发专班工作组组长郑忠伟，听他讲讲在疫苗研发工作中他最着急、最牵挂的事。@新华社记者张扬#小羊在鲜花舍#L新华社记者张扬的微博视频,,,新华社记者张扬,"老人有基础病能打疫苗吗,还要继续接种第四针吗,小羊在鲜花舍",0,0,2,2022-04-25 10:03,微博视频号,,"http://f.video.weibocdn.com/o0/P65tvmuKlx07VbJpN3lu010412035xO80E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982088&ssig=nwBX5OaDCY&KID=unistore,video",,,蓝V
4762038238971709,Lq1TFBDWZ,5597448248,明水检察,#老人有基础病能打疫苗吗#？#还要继续接种第四针吗#？目前的疫苗对奥密克戎变异株的预防效果怎么样？带着大家关心的问题，我采访了国务院联防联控机制科研攻关组疫苗研发专班工作组组长郑忠伟，听他讲讲在疫苗研发工作中他最着急、最牵挂的事。@新华社记者张扬#小羊在鲜花舍#L新华社记者张扬的微博视频,,,新华社记者张扬,"老人有基础病能打疫苗吗,还要继续接种第四针吗,小羊在鲜花舍",35,39,36,2022-04-25 07:10,微博视频号,,"http://f.video.weibocdn.com/o0/P65tvmuKlx07VbJpN3lu010412035xO80E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982088&ssig=nwBX5OaDCY&KID=unistore,video",,,蓝V
4761413250191530,LpLDD0NPc,5297243522,雯子雯jww,#老人有基础病能打疫苗吗#就想问给快八十的老人打个疫苗有多少钱奖，都不问一下家人有什么病没有来了一分钟还没反应过来就给打了。,,,,老人有基础病能打疫苗吗,0,5,1,2022-04-23 13:47,小米10 青春版 5G,"https://wx4.sinaimg.cn/large/005MuH1Egy1h1jlqcifmgj32bc2bc1kz.jpg,https://wx3.sinaimg.cn/large/005MuH1Egy1h1jlqe826rj32bc2bc7wj.jpg",,,,普通用户
4758799787231695,LoFEmulif,5198647703,乐山检察,#老人有基础病能打疫苗吗#？#还要继续接种第四针吗#？目前的疫苗对奥密克戎变异株的预防效果怎么样？带着大家关心的问题，我采访了国务院联防联控机制科研攻关组疫苗研发专班工作组组长郑忠伟，听他讲讲在疫苗研发工作中他最着急、最牵挂的事。#小羊在鲜花舍#L新华社记者张扬的微博视频,,,,"老人有基础病能打疫苗吗,还要继续接种第四针吗,小羊在鲜花舍",0,2,0,2022-04-16 08:42,微博视频号,,"http://f.video.weibocdn.com/o0/P65tvmuKlx07VbJpN3lu010412035xO80E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982088&ssig=nwBX5OaDCY&KID=unistore,video",,,蓝V
4757513864741274,Lo8cijTqa,1965683690,新都发布,#老人有基础病能打疫苗吗#？#还要继续接种第四针吗#？目前的疫苗对奥密克戎变异株的预防效果怎么样？带着大家关心的问题，我采访了国务院联防联控机制科研攻关组疫苗研发专班工作组组长郑忠伟，听他讲讲在疫苗研发工作中他最着急、最牵挂的事。#小羊在鲜花舍#L新华社记者张扬的微博视频,,,,"老人有基础病能打疫苗吗,还要继续接种第四针吗,小羊在鲜花舍",0,0,0,2022-04-12 19:32,微博视频号,,"http://f.video.weibocdn.com/o0/P65tvmuKlx07VbJpN3lu010412035xO80E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982088&ssig=nwBX5OaDCY&KID=unistore,video",,,蓝V
4757467906966387,Lo70ateh5,3523970940,文明长春,"【权威访谈：#现有疫苗对奥密克戎变异株有效#】3月以来，奥密克戎带来新一轮疫情。“如何夯实免疫屏障？”一直是大家关心的问题。近日,@新华社记者张扬采访了国务院联防联控机制科研攻关组疫苗研发专班工作组组长郑忠伟。#接种第三针疫苗后是否还要打第四针#？#老人有基础病能打疫苗吗#？灭活疫苗和mRNA疫苗哪个效果更好？针对大众普遍关注的热点问题，郑忠伟组长作出解答。@新华社L新华社的微博视频",,,"新华社记者张扬,新华社","现有疫苗对奥密克戎变异株有效,接种第三针疫苗后是否还要打第四针,老人有基础病能打疫苗吗",0,0,1,2022-04-12 16:30,微博视频号,,"http://f.video.weibocdn.com/o0/zWZrc0Gxlx07VchEFR7y01041203ah1O0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982088&ssig=G2lcD%2FkrMS&KID=unistore,video",,,蓝V
4757449074021194,Lo6vNgS5Y,2569691550,青白江城管执法,"【权威访谈：#现有疫苗对奥密克戎变异株有效#】3月以来，奥密克戎带来新一轮疫情。“如何夯实免疫屏障？”一直是大家关心的问题。近日,@新华社记者张扬采访了国务院联防联控机制科研攻关组疫苗研发专班工作组组长郑忠伟。#接种第三针疫苗后是否还要打第四针#？#老人有基础病能打疫苗吗#？灭活疫苗和mRNA疫苗哪个效果更好？针对大众普遍关注的热点问题，郑忠伟组长作出解答。L新华社的微博视频",,,新华社记者张扬,"现有疫苗对奥密克戎变异株有效,接种第三针疫苗后是否还要打第四针,老人有基础病能打疫苗吗",0,0,0,2022-04-12 15:15,微博视频号,,"http://f.video.weibocdn.com/o0/zWZrc0Gxlx07VchEFR7y01041203ah1O0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982088&ssig=G2lcD%2FkrMS&KID=unistore,video",,,蓝V
4757439872503665,Lo6gXavjH,3535183577,青白江公共资源,"【权威访谈：#现有疫苗对奥密克戎变异株有效#】3月以来，奥密克戎带来新一轮疫情。“如何夯实免疫屏障？”一直是大家关心的问题。近日,@新华社记者张扬采访了国务院联防联控机制科研攻关组疫苗研发专班工作组组长郑忠伟。#接种第三针疫苗后是否还要打第四针#？#老人有基础病能打疫苗吗#？灭活疫苗和mRNA疫苗哪个效果更好？针对大众普遍关注的热点问题，郑忠伟组长作出解答。（新华社）L新华社的微博视频",,,新华社记者张扬,"现有疫苗对奥密克戎变异株有效,接种第三针疫苗后是否还要打第四针,老人有基础病能打疫苗吗",0,0,0,2022-04-12 14:38,微博视频号,,"http://f.video.weibocdn.com/o0/zWZrc0Gxlx07VchEFR7y01041203ah1O0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982089&ssig=bovGFmiUzK&KID=unistore,video",,,蓝V
4757431843820633,Lo640g1V7,7601689532,北镇市委宣传部,"#辽宁好网民抗疫在行动#【权威访谈：#现有疫苗对奥密克戎变异株有效#】3月以来，奥密克戎带来新一轮疫情。“如何夯实免疫屏障？”一直是大家关心的问题。近日,@新华社记者张扬采访了国务院联防联控机制科研攻关组疫苗研发专班工作组组长郑忠伟。#接种第三针疫苗后是否还要打第四针#？#老人有基础病能打疫苗吗#？灭活疫苗和mRNA疫苗哪个效果更好？针对大众普遍关注的热点问题，郑忠伟组长作出解答。L新华社的微博视频",,锦州,新华社记者张扬,"辽宁好网民抗疫在行动,现有疫苗对奥密克戎变异株有效,接种第三针疫苗后是否还要打第四针,老人有基础病能打疫苗吗",0,0,0,2022-04-12 14:06,iPhone客户端,,"http://f.video.weibocdn.com/o0/zWZrc0Gxlx07VchEFR7y01041203ah1O0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982089&ssig=bovGFmiUzK&KID=unistore,video",,,蓝V
4757422860402902,Lo5Pw1GOq,2075245652,长春晚报,"【权威访谈：#现有疫苗对奥密克戎变异株有效#】3月以来，奥密克戎带来新一轮疫情。“如何夯实免疫屏障？”一直是大家关心的问题。近日,@新华社记者张扬采访了国务院联防联控机制科研攻关组疫苗研发专班工作组组长郑忠伟。#接种第三针疫苗后是否还要打第四针#？#老人有基础病能打疫苗吗#？灭活疫苗和mRNA疫苗哪个效果更好？针对大众普遍关注的热点问题，郑忠伟组长作出解答。@新华社L新华社的微博视频",,,"新华社记者张扬,新华社","现有疫苗对奥密克戎变异株有效,接种第三针疫苗后是否还要打第四针,老人有基础病能打疫苗吗",0,0,0,2022-04-12 13:31,微博视频号,,"http://f.video.weibocdn.com/o0/zWZrc0Gxlx07VchEFR7y01041203ah1O0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982089&ssig=bovGFmiUzK&KID=unistore,video",,,蓝V
