id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4750928111207159,LlmS7542j,7307981953,十堰长安,【#老人服务区认错车高速上跑步追儿子#，儿子：我一直在车上睡觉呢】#一线微观#3月15日，陕西西安。@西安交警高速大队西柞中队民警巡逻途中，发现一位老人在高速上一路追车。民警询问得知，老人陪儿子去送货，在服务区休息，老人自己下车透气，想回车上时，忘了车牌认错了车。了解情况后，民警多方寻找联系到老人儿子并将老人带回中队，老人与儿子团聚。#西安高速交警微提醒#高速公路服务区休息时要看护好老人和孩子，叮嘱不能进入高速公路行走，发现人员走失应立即报警。L公安部交通管理局的微博视频,,,西安交警高速大队,"老人服务区认错车高速上跑步追儿子,一线微观,西安高速交警微提醒",0,2,1,2022-03-25 15:23,微博视频号,,"http://f.video.weibocdn.com/o0/w7IPJT4hlx07UxNdHSKY01041200jNgO0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724987611&ssig=ZYZY4Ohd2u&KID=unistore,video",,,蓝V
4748048586249210,Lk9XIqdHI,2501519087,公安部交通管理局,【#老人服务区认错车高速上跑步追儿子#，儿子：我一直在车上睡觉呢】#一线微观#3月15日，陕西西安。@西安交警高速大队西柞中队民警巡逻途中，发现一位老人在高速上一路追车。民警询问得知，老人陪儿子去送货，在服务区休息，老人自己下车透气，想回车上时，忘了车牌认错了车。了解情况后，民警多方寻找联系到老人儿子并将老人带回中队，老人与儿子团聚。#西安高速交警微提醒#高速公路服务区休息时要看护好老人和孩子，叮嘱不能进入高速公路行走，发现人员走失应立即报警。L公安部交通管理局的微博视频,,,西安交警高速大队,"老人服务区认错车高速上跑步追儿子,一线微观,西安高速交警微提醒",104,8,14,2022-03-17 16:41,微博视频号,,"http://f.video.weibocdn.com/o0/w7IPJT4hlx07UxNdHSKY01041200jNgO0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724987611&ssig=ZYZY4Ohd2u&KID=unistore,video",,,
4750666231190065,Llg3J4ZAB,1997304311,湖北荆门交警,【#老人服务区认错车高速上跑步追儿子#，儿子：我一直在车上睡觉呢】#一线微观#,,,,"老人服务区认错车高速上跑步追儿子,一线微观",0,0,14,2022-03-24 22:02,iPhone客户端,,,4748048586249210,,蓝V
4750232980817124,Ll4MW3qzq,2484912091,西安交警经开大队,【#老人服务区认错车高速上跑步追儿子#，儿子：我一直在车上睡觉呢】#一线微观#3月15日，陕西西安。@西安交警高速大队西柞中队民警巡逻途中，发现一位老人在高速上一路追车。民警询问得知，老人陪儿子去送货，在服务区休息，老人自己下车透气，想回车上时，忘了车牌认错了车。了解情况后，民警多方寻找联系到老人儿子并将老人带回中队，老人与儿子团聚。#西安高速交警微提醒#高速公路服务区休息时要看护好老人和孩子，叮嘱不能进入高速公路行走，发现人员走失应立即报警。L公安部交通管理局的微博视频,,,西安交警高速大队,"老人服务区认错车高速上跑步追儿子,一线微观,西安高速交警微提醒",0,0,1,2022-03-23 17:21,微博视频号,,"http://f.video.weibocdn.com/o0/w7IPJT4hlx07UxNdHSKY01041200jNgO0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724987611&ssig=ZYZY4Ohd2u&KID=unistore,video",,,蓝V
4749850216763888,LkUPzsnAY,2146327684,武汉交警,【#老人服务区认错车高速上跑步追儿子#，儿子：我一直在车上睡觉呢】#一线微观#3月15日，陕西西安。@西安交警高速大队西柞中队民警巡逻途中，发现一位老人在高速上一路追车。民警询问得知，老人陪儿子去送货，在服务区休息，老人自己下车透气，想回车上时，忘了车牌认错了车。了解情况后，民警多方寻找联系到老人儿子并将老人带回中队，老人与儿子团聚。#西安高速交警微提醒#高速公路服务区休息时要看护好老人和孩子，叮嘱不能进入高速公路行走，发现人员走失应立即报警。@公安部交通管理局L武汉交警的微博视频,,,"西安交警高速大队,公安部交通管理局","老人服务区认错车高速上跑步追儿子,一线微观,西安高速交警微提醒",0,0,0,2022-03-22 16:00,微博视频号,,"http://f.video.weibocdn.com/o0/SVC2Zdsglx07UyfGfxFS01041200iIxH0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724987611&ssig=APCFkJ%2Fu00&KID=unistore,video",,,蓝V
4749831288128555,LkUl2y6BJ,3379498974,象山检察,【#老人服务区认错车高速上跑步追儿子#，儿子：我一直在车上睡觉呢】#一线微观#3月15日，陕西西安。@西安交警高速大队西柞中队民警巡逻途中，发现一位老人在高速上一路追车。民警询问得知，老人陪儿子去送货，在服务区休息，老人自己下车透气，想回车上时，忘了车牌认错了车。了解情况后，民警多方寻找联系到老人儿子并将老人带回中队，老人与儿子团聚。#西安高速交警微提醒#高速公路服务区休息时要看护好老人和孩子，叮嘱不能进入高速公路行走，发现人员走失应立即报警。（via.公安部交通管理局）L公安部交通管理局的微博视频,,,西安交警高速大队,"老人服务区认错车高速上跑步追儿子,一线微观,西安高速交警微提醒",1,0,3,2022-03-22 14:44,微博视频号,,"http://f.video.weibocdn.com/o0/w7IPJT4hlx07UxNdHSKY01041200jNgO0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724987611&ssig=ZYZY4Ohd2u&KID=unistore,video",,,蓝V
4749828565504450,LkUgEn5Xs,3972618712,山东省淄博高新区法院,#小鲁说事#【#老人服务区认错车高速上跑步追儿子#，儿子：我一直在车上睡觉呢】#一线微观#3月15日，陕西西安。@西安交警高速大队西柞中队民警巡逻途中，发现一位老人在高速上一路追车。民警询问得知，老人陪儿子去送货，在服务区休息，老人自己下车透气，想回车上时，忘了车牌认错了车。了解情况后，民警多方寻找联系到老人儿子并将老人带回中队，老人与儿子团聚。#西安高速交警微提醒#高速公路服务区休息时要看护好老人和孩子，叮嘱不能进入高速公路行走，发现人员走失应立即报警。（via.公安部交通管理局）L公安部交通管理局的微博视频,,,西安交警高速大队,"小鲁说事,老人服务区认错车高速上跑步追儿子,一线微观,西安高速交警微提醒",0,0,0,2022-03-22 14:34,微博视频号,,"http://f.video.weibocdn.com/o0/w7IPJT4hlx07UxNdHSKY01041200jNgO0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724987611&ssig=ZYZY4Ohd2u&KID=unistore,video",,,蓝V
4749806759052306,LkTHtBYUW,2972503342,江北检察,【#老人服务区认错车高速上跑步追儿子#，儿子：我一直在车上睡觉呢】#一线微观#3月15日，陕西西安。@西安交警高速大队西柞中队民警巡逻途中，发现一位老人在高速上一路追车。民警询问得知，老人陪儿子去送货，在服务区休息，老人自己下车透气，想回车上时，忘了车牌认错了车。了解情况后，民警多方寻找联系到老人儿子并将老人带回中队，老人与儿子团聚。#西安高速交警微提醒#高速公路服务区休息时要看护好老人和孩子，叮嘱不能进入高速公路行走，发现人员走失应立即报警。（via.公安部交通管理局）L公安部交通管理局的微博视频,,,西安交警高速大队,"老人服务区认错车高速上跑步追儿子,一线微观,西安高速交警微提醒",0,13,5,2022-03-22 13:07,iPhone客户端,,"http://f.video.weibocdn.com/o0/w7IPJT4hlx07UxNdHSKY01041200jNgO0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724987611&ssig=ZYZY4Ohd2u&KID=unistore,video",,,蓝V
4749780435600754,LkT11nv0K,3928702141,铜梁法院,#小铜微提醒#【#老人服务区认错车高速上跑步追儿子#，儿子：我一直在车上睡觉呢】#一线微观#3月15日，陕西西安。@西安交警高速大队西柞中队民警巡逻途中，发现一位老人在高速上一路追车。民警询问得知，老人陪儿子去送货，在服务区休息，老人自己下车透气，想回车上时，忘了车牌认错了车。了解情况后，民警多方寻找联系到老人儿子并将老人带回中队，老人与儿子团聚。#西安高速交警微提醒#高速公路服务区休息时要看护好老人和孩子，叮嘱不能进入高速公路行走，发现人员走失应立即报警。（via.公安部交通管理局）L公安部交通管理局的微博视频L公安部交通管理局的微博视频,,,西安交警高速大队,"小铜微提醒,老人服务区认错车高速上跑步追儿子,一线微观,西安高速交警微提醒",0,0,1,2022-03-22 11:22,微博视频号,,"http://f.video.weibocdn.com/o0/w7IPJT4hlx07UxNdHSKY01041200jNgO0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724987611&ssig=ZYZY4Ohd2u&KID=unistore,video",,,蓝V
4749779492145639,LkSZv90b5,5486700955,济南市中检察,【#老人服务区认错车高速上跑步追儿子#，儿子：我一直在车上睡觉呢】#一线微观#3月15日，陕西西安。@西安交警高速大队西柞中队民警巡逻途中，发现一位老人在高速上一路追车。民警询问得知，老人陪儿子去送货，在服务区休息，老人自己下车透气，想回车上时，忘了车牌认错了车。了解情况后，民警多方寻找联系到老人儿子并将老人带回中队，老人与儿子团聚。高速公路服务区休息时要看护好老人和孩子，叮嘱不能进入高速公路行走，发现人员走失应立即报警。（via.公安部交通管理局）L公安部交通管理局的微博视频,,,西安交警高速大队,"老人服务区认错车高速上跑步追儿子,一线微观",2,0,2,2022-03-22 11:19,微博视频号,,"http://f.video.weibocdn.com/o0/w7IPJT4hlx07UxNdHSKY01041200jNgO0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724987611&ssig=ZYZY4Ohd2u&KID=unistore,video",,,蓝V
