id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5071318448348950,OtVjKz1Wu,7863870343,孝爱通老人陪伴机,老人机也智能🧠语音控制超简单👌#孝爱通老人陪伴机##关爱留守老人##老人机##孝顺父母#L孝爱通老人陪伴机的微博视频,,,,"孝爱通老人陪伴机,关爱留守老人,老人机,孝顺父母",0,0,0,2024-08-25 18:00,微博视频号,,"http://f.video.weibocdn.com/o0/KO8X5Qeclx08hrBrWTVu01041200qTJf0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726746731&ssig=LVoZ%2BVmVyX&KID=unistore,video",,,蓝V
5071227851113918,OtSXD4FMq,7863870343,孝爱通老人陪伴机,家人必备🎁语音老人机，超好用到哭😢#关爱留守老人##老人机##孝顺父母##孝爱通老人陪伴机#L孝爱通老人陪伴机的微博视频,,,,"关爱留守老人,老人机,孝顺父母,孝爱通老人陪伴机",0,0,0,2024-08-25 12:00,微博视频号,,"http://f.video.weibocdn.com/o0/gVPtXbLwlx08hrBmH0vC01041200hy3V0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726746731&ssig=Xmv8Kmcba4&KID=unistore,video",,,蓝V
5070956059692576,OtLTfEFtS,7863870343,孝爱通老人陪伴机,老人机新选择🔥语音控制超方便#孝顺父母##老人机##孝爱通老人陪伴机##关爱留守老人#L孝爱通老人陪伴机的微博视频,,,,"孝顺父母,老人机,孝爱通老人陪伴机,关爱留守老人",0,1,0,2024-08-24 18:00,微博视频号,,"http://f.video.weibocdn.com/o0/ctJOka8olx08hrBjwyEU01041200ct8M0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726746732&ssig=oR4oGWlh7v&KID=unistore,video",,,蓝V
5070865467970924,OtJx8xrBi,7863870343,孝爱通老人陪伴机,告别按键烦恼！语音老人机YYDS✨#关爱留守老人##孝爱通老人陪伴机##老人机##孝顺父母#L孝爱通老人陪伴机的微博视频,,,,"关爱留守老人,孝爱通老人陪伴机,老人机,孝顺父母",0,0,0,2024-08-24 12:00,微博视频号,,"http://f.video.weibocdn.com/o0/FOUvAPVklx08hrBjs37201041200czBT0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726746732&ssig=DuVWPD2%2Fq4&KID=unistore,video",,,蓝V
5069868895830820,OtjBLosRu,7863870343,孝爱通老人陪伴机,傻瓜式操作🔑，老人机一键直达#关爱留守老人##孝爱通老人陪伴机##老人机##孝顺父母#L孝爱通老人陪伴机的微博视频,,,,"关爱留守老人,孝爱通老人陪伴机,老人机,孝顺父母",0,0,0,2024-08-21 18:00,微博视频号,,"http://f.video.weibocdn.com/o0/Uof7dLvclx08hmJxrVYk01041200kKTl0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726746736&ssig=Krf02pAexd&KID=unistore,video",,,蓝V
5069506509276665,OtabgCVhD,7863870343,孝爱通老人陪伴机,👀看这款多功能老人机，爸妈都说好！#关爱留守老人##孝爱通老人陪伴机##老人机##孝顺父母#L孝爱通老人陪伴机的微博视频,,,,"关爱留守老人,孝爱通老人陪伴机,老人机,孝顺父母",0,0,0,2024-08-20 18:00,微博视频号,,"http://f.video.weibocdn.com/u0/mTZajBDQgx08hl9ISpPy01041200g2S80E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726746738&ssig=gEeZuOnmXH&KID=unistore,video",,,蓝V
5069415911786109,Ot7P97uEd,7863870343,孝爱通老人陪伴机,爸妈笑了😄，因为这款老人机功能超全！#关爱留守老人##孝爱通老人陪伴机##老人机#L孝爱通老人陪伴机的微博视频,,,,"关爱留守老人,孝爱通老人陪伴机,老人机",0,0,0,2024-08-20 12:00,微博视频号,,"http://f.video.weibocdn.com/u0/A8V51nLZgx08hl9FZxV601041200cnIG0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726746738&ssig=252vqhYKpN&KID=unistore,video",,,蓝V
5069144120627822,Ot0KM2Dka,7863870343,孝爱通老人陪伴机,老人机界的绝绝子🏆，全家都夸#孝爱通老人陪伴机##老人机##关爱留守老人##孝顺父母#L孝爱通老人陪伴机的微博视频,,,,"孝爱通老人陪伴机,老人机,关爱留守老人,孝顺父母",0,0,0,2024-08-19 18:00,微博视频号,,"http://f.video.weibocdn.com/u0/b8qVEd1ugx08hgMkrD8A01041200aLqD0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726746739&ssig=wvOcef2cGX&KID=unistore,video",,,蓝V
5069053523398198,OsYoEeg1E,7863870343,孝爱通老人陪伴机,告别复杂，老人机📱一键搞定#关爱留守老人##老人机##孝爱通老人陪伴机#L孝爱通老人陪伴机的微博视频,,,,"关爱留守老人,老人机,孝爱通老人陪伴机",0,0,0,2024-08-19 12:00,微博视频号,,"http://f.video.weibocdn.com/u0/oVZS8sL7gx08hgMiJYIo01041200etaz0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726746739&ssig=d4gg6ezy6c&KID=unistore,video",,,蓝V
5068781732498566,OsRkhatZs,7863870343,孝爱通老人陪伴机,老人机好用到哭😭，孝心满分#孝爱通老人陪伴机##孝顺父母##老人机##关爱留守老人#L孝爱通老人陪伴机的微博视频,,,,"孝爱通老人陪伴机,孝顺父母,老人机,关爱留守老人",0,0,0,2024-08-18 18:00,微博视频号,,"http://f.video.weibocdn.com/u0/tXAZOYQogx08hgMh1W6c01041200h1Xj0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726746740&ssig=%2FDE5yN9bGA&KID=unistore,video",,,蓝V
5068691133960456,OsOY9gCik,7863870343,孝爱通老人陪伴机,老人机YYDS，操作超简单👍#老人机##关爱留守老人##孝爱通老人陪伴机#L孝爱通老人陪伴机的微博视频,,,,"老人机,关爱留守老人,孝爱通老人陪伴机",0,1,0,2024-08-18 12:00,微博视频号,,"http://f.video.weibocdn.com/u0/woWEYMqbgx08hgMcUKs8010412007ZR90E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726746740&ssig=u2fpu8nFiY&KID=unistore,video",,,蓝V
5068419340441837,OsHTM1QWp,7863870343,孝爱通老人陪伴机,送给爸妈的宝藏🎁，老人机神器#关爱留守老人##老人机##孝爱通老人陪伴机#L孝爱通老人陪伴机的微博视频,,,,"关爱留守老人,老人机,孝爱通老人陪伴机",0,0,0,2024-08-17 18:00,微博视频号,,"http://f.video.weibocdn.com/u0/J68qdhEjgx08hgM9VmE8010412009LGW0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726746742&ssig=KgRlhu941d&KID=unistore,video",,,蓝V
5068328747402792,OsFxEv3NS,7863870343,孝爱通老人陪伴机,👴必备！多功能老人机，上手就爱💖#关爱留守老人##老人机##孝爱通老人陪伴机#L孝爱通老人陪伴机的微博视频,,,,"关爱留守老人,老人机,孝爱通老人陪伴机",0,0,0,2024-08-17 12:00,微博视频号,,"http://f.video.weibocdn.com/u0/lOJa8xMXgx08hgM8jXte01041200n8R00E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726746742&ssig=gokgN9QZOq&KID=unistore,video",,,蓝V
5068028156838215,OsxIPsGVN,7872899397,熙梅汁,"回寝的诱惑之302超话#疯狂兔子##老人机#“玫瑰肆意的拥抱万物，绽放于四季”""𝓡𝓸𝓼𝓮𝓼𝓮𝓶𝓫𝓻𝓪𝓬𝓮𝓪𝓵𝓵𝓽𝓱𝓲𝓷𝓰𝓼𝔀𝓪𝓷𝓽𝓸𝓷𝓵𝔂𝓪𝓷𝓭@疯狂兔子",,,疯狂兔子,"疯狂兔子,老人机",0,0,2,2024-08-16 16:05,回寝的诱惑之302超话,https://wx3.sinaimg.cn/large/008ANSMlgy1hsps2kktg1j30k00jgjuc.jpg,,,,普通用户
5067694569423919,Osp2MDxAH,7863870343,孝爱通老人陪伴机,老人机新宠🔥，多功能一键搞定！#关爱留守老人##老人机##孝爱通老人陪伴机#L孝爱通老人陪伴机的微博视频,,,,"关爱留守老人,老人机,孝爱通老人陪伴机",0,0,0,2024-08-15 18:00,微博视频号,,"http://f.video.weibocdn.com/u0/kuOSZr6Mgx08hdeoEmj601041200eQoX0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726746744&ssig=sFgsfunmpP&KID=unistore,video",,,蓝V
5067603972723895,OsmGFbqBN,7863870343,孝爱通老人陪伴机,📱多功能老人机，一键开启💪便捷生活！#孝爱通老人陪伴机##老人机##关爱留守老人#L孝爱通老人陪伴机的微博视频,,,,"孝爱通老人陪伴机,老人机,关爱留守老人",0,0,0,2024-08-15 12:00,微博视频号,,"http://f.video.weibocdn.com/u0/h2u5d3Xqgx08hdem4ah201041200n3Ze0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726746744&ssig=ZzigVZMIw3&KID=unistore,video",,,蓝V
5067332185753944,OsfCio8Ry,7863870343,孝爱通老人陪伴机,老人机📱+智能音箱🎶，一机两用，绝了！#老人机##孝爱通老人陪伴机##关爱留守老人#L孝爱通老人陪伴机的微博视频,,,,"老人机,孝爱通老人陪伴机,关爱留守老人",0,1,0,2024-08-14 18:00,微博视频号,,"http://f.video.weibocdn.com/u0/4QXhOo0Ngx08hbzBGjFe01041200jR8z0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726746745&ssig=8gZ0aGsKgK&KID=unistore,video",,,蓝V
5067241584072391,Osdgah5pJ,7863870343,孝爱通老人陪伴机,老人机秒变收音机🎵，一键收听🔥#孝爱通老人陪伴机##老人机##关爱留守老人#L孝爱通老人陪伴机的微博视频,,,,"孝爱通老人陪伴机,老人机,关爱留守老人",0,0,0,2024-08-14 12:00,微博视频号,,"http://f.video.weibocdn.com/u0/lIdN85Kxgx08hbzzJYhy01041200iPqW0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726746745&ssig=TQtWSS438y&KID=unistore,video",,,蓝V
5066969791341240,Os6bN5CUU,7863870343,孝爱通老人陪伴机,七夕特供！妈妈最爱的老人机！#关爱留守老人##孝爱通老人陪伴机##老人机#L孝爱通老人陪伴机的微博视频,,,,"关爱留守老人,孝爱通老人陪伴机,老人机",0,0,0,2024-08-13 18:00,微博视频号,,"http://f.video.weibocdn.com/u0/dmbqoel1gx08h9ZzuFFC01041200r0Nk0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726746747&ssig=QjW7KWA6Ne&KID=unistore,video",,,蓝V
5066910166685247,Os4DCs38z,3896574304,有故事的皮同学,你给父母买过手机吗？那给家里长辈买手机，到底需要注意什么？一分钟什么都告诉你！#数码科技##老人机##手机#L有故事的皮同学的微博视频,,,,"数码科技,老人机,手机",135,260,1071,2024-08-13 14:03,微博视频号,,"http://f.video.weibocdn.com/o0/nhnqA6C2lx08hbFvNSKQ01041200BR7T0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726746747&ssig=G8dnrT4Mnw&KID=unistore,video",,,红V
