id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4772725328970131,LuvUUBDxx,5770755050,兰州文化旅游,#兰州文旅为反诈发声##丝路金城黄河兰州#【来自非洲的神秘邮件？#老人欲转账10万以继承富翁5300万遗产#】近日，江苏南通，一男子报警求助称其父亲陈某正在银行准备给骗子打款。民警了解到，此前陈某收到一封署名“穆罕默德”的邮件，对方表示，非洲加纳一石油大亨在2000年时与家人在一次飞机事故中丧生，留下5300万遗产。穆罕默德称希望与陈某合作，让其作为受益人继承遗产。陈某表示，自己愿意为国家争取到这笔钱，遂与对方达成合作协议，准备向对方转账10万用于支付继承的手续费。最终，经民警1个多小时的开导，老人终于醒悟。via：L荔枝新闻的微博视频,,,,"兰州文旅为反诈发声,丝路金城 黄河兰州,老人欲转账10万以继承富翁5300万遗产",21,48,26,2022-05-24 18:57,微博视频号,,"http://f.video.weibocdn.com/o0/OTtJBoX4lx07UEMx3SAU01041200o0sS0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1726390818&ssig=uaiXJpSGue&KID=unistore,video",,,蓝V
4756679894501210,LnMvbiSYa,1844193521,手机用户1844193521,#老人欲转账10万以继承富翁5300万遗产#人老三件事，真是应了那句话：贪财，怕死，不瞌睡！,,,,老人欲转账10万以继承富翁5300万遗产,0,0,0,2022-04-10 12:18,HUAWEI Mate 30,,,,,普通用户
4754945948254690,Ln3ouyDqa,2402588051,寿光公安,【#老人欲转账10万以继承富翁5300万遗产#】近日，江苏南通有人报警称，其父陈某正给骗子汇款。民警发现，陈某曾收到一封署名“穆罕默德”的邮件，说有一笔来自非洲石油大亨的遗产，希望其来继承。陈某愿意支付10万手续费，以此换回5300万遗产。经民警开导，老人最终醒悟。L中国长安网的微博视频,,,,老人欲转账10万以继承富翁5300万遗产,0,0,2,2022-04-05 17:28,微博视频号,,"http://f.video.weibocdn.com/o0/asmcDYRnlx07UGf3cPji01041200n4ZV0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726390876&ssig=FqAmBIJ4oP&KID=unistore,video",,,蓝V
4754908551578541,Ln2qb6CEl,1862506300,民警陈清洲,【#老人欲转账10万以继承富翁5300万遗产#】近日，江苏南通有人报警称，其父陈某正给骗子汇款。民警发现，陈某曾收到一封署名“穆罕默德”的邮件，说有一笔来自非洲石油大亨的遗产，希望其来继承。陈某愿意支付10万手续费，以此换回5300万遗产。经民警开导，老人最终醒悟。#清洲说防骗#L中国长安网的微博视频,,,,"老人欲转账10万以继承富翁5300万遗产,清洲说防骗",30,13,31,2022-04-05 15:00,微博视频号,,"http://f.video.weibocdn.com/o0/asmcDYRnlx07UGf3cPji01041200n4ZV0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726390876&ssig=FqAmBIJ4oP&KID=unistore,video",,,金V
4751733870564425,LlHPJ2mPD,1915096531,武汉交通广播,【收到“穆罕默德”发来邮件#老人欲转账10万以继承富翁5300万遗产#】近日，江苏南通，一男子报警求助称其父亲陈某正在银行准备给骗子打款。民警了解到，此前陈某收到一封署名“穆罕默德”的邮件，对方自表示，非洲加纳一石油大亨在2000年时与家人在一次飞机事故中丧生，留下5300万遗产。穆罕默德称希望与陈某合作，让其作为受益人继承遗产。陈某表示，自己愿意为国家争取到这笔钱，遂与对方达成合作协议，准备向对方转账10万用于支付继承的手续费。最终，经民警1个多小时的开导，老人终于醒悟。L经视直播官方微博的微博视频,,,,老人欲转账10万以继承富翁5300万遗产,1,0,0,2022-03-27 20:45,微博视频号,,"http://f.video.weibocdn.com/o0/k4X965MSlx07UNJ4Q05G01041200BDFz0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726390887&ssig=u26%2Bjyq%2FvR&KID=unistore,video",,,蓝V
4751631947929240,LlFbkxgKY,1895394815,荆楚网,【收到“穆罕默德”发来邮件#老人欲转账10万以继承富翁5300万遗产#】近日，江苏南通，一男子报警求助称其父亲陈某正在银行准备给骗子打款。民警了解到，此前陈某收到一封署名“穆罕默德”的邮件，对方自表示，非洲加纳一石油大亨在2000年时与家人在一次飞机事故中丧生，留下5300万遗产。穆罕默德称希望与陈某合作，让其作为受益人继承遗产。陈某表示，自己愿意为国家争取到这笔钱，遂与对方达成合作协议，准备向对方转账10万用于支付继承的手续费。最终，经民警1个多小时的开导，老人终于醒悟。L经视直播官方微博的微博视频,,,,老人欲转账10万以继承富翁5300万遗产,0,0,2,2022-03-27 14:00,微博视频号,,"http://f.video.weibocdn.com/o0/k4X965MSlx07UNJ4Q05G01041200BDFz0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726390887&ssig=u26%2Bjyq%2FvR&KID=unistore,video",,,蓝V
4751575576218152,LlDIpq5CM,1685715705,长江云新闻,【收到“穆罕默德”发来邮件#老人欲转账10万以继承富翁5300万遗产#】近日，江苏南通，一男子报警求助称其父亲陈某正在银行准备给骗子打款。民警了解到，此前陈某收到一封署名“穆罕默德”的邮件，对方自表示，非洲加纳一石油大亨在2000年时与家人在一次飞机事故中丧生，留下5300万遗产。穆罕默德称希望与陈某合作，让其作为受益人继承遗产。陈某表示，自己愿意为国家争取到这笔钱，遂与对方达成合作协议，准备向对方转账10万用于支付继承的手续费。最终，经民警1个多小时的开导，老人终于醒悟。L经视直播官方微博的微博视频,,,,老人欲转账10万以继承富翁5300万遗产,0,1,0,2022-03-27 10:16,微博视频号,,"http://f.video.weibocdn.com/o0/k4X965MSlx07UNJ4Q05G01041200BDFz0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726390887&ssig=u26%2Bjyq%2FvR&KID=unistore,video",,,蓝V
4751568266333364,LlDwCqzB2,1798653494,经视直播,【收到“穆罕默德”发来邮件#老人欲转账10万以继承富翁5300万遗产#】近日，江苏南通，一男子报警求助称其父亲陈某正在银行准备给骗子打款。民警了解到，此前陈某收到一封署名“穆罕默德”的邮件，对方自表示，非洲加纳一石油大亨在2000年时与家人在一次飞机事故中丧生，留下5300万遗产。穆罕默德称希望与陈某合作，让其作为受益人继承遗产。陈某表示，自己愿意为国家争取到这笔钱，遂与对方达成合作协议，准备向对方转账10万用于支付继承的手续费。最终，经民警1个多小时的开导，老人终于醒悟。#蓝v视界#（南通新闻）L经视直播官方微博的微博视频,,南通,,"老人欲转账10万以继承富翁5300万遗产,蓝v视界",0,0,1,2022-03-27 09:46,微博视频号,,"http://f.video.weibocdn.com/o0/k4X965MSlx07UNJ4Q05G01041200BDFz0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726390887&ssig=u26%2Bjyq%2FvR&KID=unistore,video",,,蓝V
4749864397704075,LkVcrwkbh,1975415803,中国电信,#老人欲转账10万以继承富翁5300万遗产#随着时代的发展，使用智能手机的老年人逐渐增多。但老年人防骗意识较薄弱，很容易掉进“网络陷阱”，今天小翼就将那些专骗老年人的手机安全陷阱逐一曝光！快转发给家里的老人！#防范通讯信息诈骗##用户至上用心服务##我为群众办实事#,,,,"老人欲转账10万以继承富翁5300万遗产,防范通讯信息诈骗,用户至上 用心服务,我为群众办实事",1102,250,550,2022-03-22 16:56,微博 weibo.com,https://wx4.sinaimg.cn/large/0029GDTdly1h0ir3hzlnnj60i6cmgqv502.jpg,,,,
4751373020956582,LlyrI40QK,6201164689,罗西西呀,//@中国电信海南客服:#老人欲转账10万以继承富翁5300万遗产#随着时代的发展，使用智能手机的老年人逐渐增多。但老年人防骗意识较薄弱，很容易掉进“网络陷阱”，今天小翼就将那些专骗老年人的手机安全陷阱逐一曝光！快转发给家里的老人！#防范通讯信息诈骗##用户至上用心服务##我为群众办,,,中国电信海南客服,"老人欲转账10万以继承富翁5300万遗产,防范通讯信息诈骗,用户至上 用心服务",0,0,550,2022-03-26 20:51,荣耀平板V6 5G,,,4749864397704075,,普通用户
