id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4966626952741880,NrXgPbvhS,2208446650,聚焦重庆,#老人欲过户房子给保姆工作人员报警#【上海一老人欲将房子过户给保姆后续：经司法介入，暂打消过户念头】#居委会回应老人欲过户房子给保姆#近日，有网友爆料称，在上海浦东一房产交易中心，一名老人准备将自己的房子过户给保姆时，交易中心工作人员因担心老人被骗而报警，此后警方认定不涉及诈骗。网络视频显示，一位民警到现场处置时，该女子向民警表示，“不是我主动的，是叔叔要给我的。”11月10日，澎湃新闻记者从老人所在居委会获悉，出于保护老人的初衷，居委会及街道司法工作人员对老人进行劝说与介入，目前老人已暂时打消过户念头。居委会介绍，视频中老人为孤老，且为盲人，精神正常，平时话比较少。视频中保姆并非住家保姆，且有家庭，保姆并非每天上门。老人母亲在世的时候，保姆就为其母子服务。三四年前，老人母亲过世，保姆又为老人服务。除保姆服务外，老人同时享有残联服务、长护险服务，以及居委一对一结对的法律援助服务。视频内容传播后，居委会及街道司法工作人员上门了解情况。出于保护老人合法利益的考虑，司法人员劝说老人暂缓过户，就算要过户，也至少等老人百年之后。老人目前已接受司法援助，后续相关事宜或将转为立遗嘱等形式约定。（澎湃新闻）,,,,"老人欲过户房子给保姆工作人员报警,居委会回应老人欲过户房子给保姆",0,0,1,2023-11-10 20:33,iPhone 12,"https://wx1.sinaimg.cn/large/002pspRggy1hjq9w85x1cj60gd0p0dhb02.jpg,https://wx3.sinaimg.cn/large/002pspRggy1hjq9w7rek3j60ge0p0q4z02.jpg",,,,红V
4966603449436979,NrWEUDAZl,1899155404,第一财经广播,#老人欲过户房子给保姆工作人员报警#【上海一老人欲将房子过户给保姆后续：经司法介入，暂打消过户念头】#居委会回应老人欲过户房子给保姆#近日，有网友爆料称，在上海浦东一房产交易中心，一名老人准备将自己的房子过户给保姆时，交易中心工作人员因担心老人被骗而报警，此后警方认定不涉及诈骗。网络视频显示，一位民警到现场处置时，该女子向民警表示，“不是我主动的，是叔叔要给我的。”11月10日，澎湃新闻记者从老人所在居委会获悉，出于保护老人的初衷，居委会及街道司法工作人员对老人进行劝说与介入，目前老人已暂时打消过户念头。居委会介绍，视频中老人为孤老，且为盲人，精神正常，平时话比较少。视频中保姆并非住家保姆，且有家庭，保姆并非每天上门。老人母亲在世的时候，保姆就为其母子服务。三四年前，老人母亲过世，保姆又为老人服务。除保姆服务外，老人同时享有残联服务、长护险服务，以及居委一对一结对的法律援助服务。视频内容传播后，居委会及街道司法工作人员上门了解情况。出于保护老人合法利益的考虑，司法人员劝说老人暂缓过户，就算要过户，也至少等老人百年之后。老人目前已接受司法援助，后续相关事宜或将转为立遗嘱等形式约定。#欲过户房子给保姆老人已打消念头#,,,,"老人欲过户房子给保姆工作人员报警,居委会回应老人欲过户房子给保姆,欲过户房子给保姆老人已打消念头",0,0,0,2023-11-10 19:00,微博网页版,https://wx4.sinaimg.cn/large/7132cfccgy1hjq1bsc1dej21tn1tn13k.jpg,,,,蓝V
4966572575688649,NrVR7nRSp,1864856880,胡扯鸡蛋,#老人欲过户房子给保姆工作人员报警#【上海一老人欲将房子过户给保姆后续：经司法介入，暂打消过户念头】#居委会回应老人欲过户房子给保姆#近日，有网友爆料称，在上海浦东一房产交易中心，一名老人准备将自己的房子过户给保姆时，交易中心工作人员因担心老人被骗而报警，此后警方认定不涉及诈骗。网络视频显示，一位民警到现场处置时，该女子向民警表示，“不是我主动的，是叔叔要给我的。”11月10日，澎湃新闻记者从老人所在居委会获悉，出于保护老人的初衷，居委会及街道司法工作人员对老人进行劝说与介入，目前老人已暂时打消过户念头。居委会介绍，视频中老人为孤老，且为盲人，精神正常，平时话比较少。视频中保姆并非住家保姆，且有家庭，保姆并非每天上门。老人母亲在世的时候，保姆就为其母子服务。三四年前，老人母亲过世，保姆又为老人服务。除保姆服务外，老人同时享有残联服务、长护险服务，以及居委一对一结对的法律援助服务。视频内容传播后，居委会及街道司法工作人员上门了解情况。出于保护老人合法利益的考虑，司法人员劝说老人暂缓过户，就算要过户，也至少等老人百年之后。老人目前已接受司法援助，后续相关事宜或将转为立遗嘱等形式约定。（澎湃新闻）,,,,"老人欲过户房子给保姆工作人员报警,居委会回应老人欲过户房子给保姆",0,0,0,2023-11-10 16:57,HUAWEI Mate 20 Pro,,,,,黄V
4966563742485184,NrVCSaqvC,2673596491,南昌青云谱发布,#老人欲过户房子给保姆工作人员报警#【上海一老人欲将房子过户给保姆后续：经司法介入，暂打消过户念头】#居委会回应老人欲过户房子给保姆#近日，有网友爆料称，在上海浦东一房产交易中心，一名老人准备将自己的房子过户给保姆时，交易中心工作人员因担心老人被骗而报警，此后警方认定不涉及诈骗。网络视频显示，一位民警到现场处置时，该女子向民警表示，“不是我主动的，是叔叔要给我的。”11月10日，澎湃新闻记者从老人所在居委会获悉，出于保护老人的初衷，居委会及街道司法工作人员对老人进行劝说与介入，目前老人已暂时打消过户念头。居委会介绍，视频中老人为孤老，且为盲人，精神正常，平时话比较少。视频中保姆并非住家保姆，且有家庭，保姆并非每天上门。老人母亲在世的时候，保姆就为其母子服务。三四年前，老人母亲过世，保姆又为老人服务。除保姆服务外，老人同时享有残联服务、长护险服务，以及居委一对一结对的法律援助服务。视频内容传播后，居委会及街道司法工作人员上门了解情况。出于保护老人合法利益的考虑，司法人员劝说老人暂缓过户，就算要过户，也至少等老人百年之后。老人目前已接受司法援助，后续相关事宜或将转为立遗嘱等形式约定。O网页链接,,,,"老人欲过户房子给保姆工作人员报警,居委会回应老人欲过户房子给保姆",1,1,1,2023-11-10 16:22,微博网页版,,,,,蓝V
4966546606658219,NrVberW6D,1191965271,三联生活周刊,#老人欲过户房子给保姆工作人员报警#【上海一老人欲将房子过户给保姆后续：经司法介入，暂打消过户念头】#居委会回应老人欲过户房子给保姆#据澎湃新闻报道，近日，有网友爆料称，在上海浦东一房产交易中心，一名老人准备将自己的房子过户给保姆时，交易中心工作人员因担心老人被骗而报警，此后警方认定不涉及诈骗。网络视频显示，一位民警到现场处置时，该女子向民警表示，“不是我主动的，是叔叔要给我的。”11月10日，澎湃新闻记者从老人所在居委会获悉，出于保护老人的初衷，居委会及街道司法工作人员对老人进行劝说与介入，目前老人已暂时打消过户念头。居委会介绍，视频中老人为孤老，且为盲人，精神正常，平时话比较少。视频中保姆并非住家保姆，且有家庭，保姆并非每天上门。老人母亲在世的时候，保姆就为其母子服务。三四年前，老人母亲过世，保姆又为老人服务。除保姆服务外，老人同时享有残联服务、长护险服务，以及居委一对一结对的法律援助服务。视频内容传播后，居委会及街道司法工作人员上门了解情况。出于保护老人合法利益的考虑，司法人员劝说老人暂缓过户，就算要过户，也至少等老人百年之后。老人目前已接受司法援助，后续相关事宜或将转为立遗嘱等形式约定。#欲过户房子给保姆老人已打消念头#,,,,"老人欲过户房子给保姆工作人员报警,居委会回应老人欲过户房子给保姆,欲过户房子给保姆老人已打消念头",5,21,133,2023-11-10 15:14,微博网页版,"https://wx1.sinaimg.cn/large/001iFmCjly1hjq13bjj82j60gd0p0tcz02.jpg,https://wx1.sinaimg.cn/large/001iFmCjly1hjq13k51voj60ge0p0jwx02.jpg",,,,蓝V
4966545566730113,NrV9yseOd,2115259662,洪观新闻,#老人欲过户房子给保姆工作人员报警#【上海一老人欲将房子过户给保姆后续：经司法介入，暂打消过户念头】#居委会回应老人欲过户房子给保姆#近日，有网友爆料称，在上海浦东一房产交易中心，一名老人准备将自己的房子过户给保姆时，交易中心工作人员因担心老人被骗而报警，此后警方认定不涉及诈骗。网络视频显示，一位民警到现场处置时，该女子向民警表示，“不是我主动的，是叔叔要给我的。”11月10日，澎湃新闻记者从老人所在居委会获悉，出于保护老人的初衷，居委会及街道司法工作人员对老人进行劝说与介入，目前老人已暂时打消过户念头。居委会介绍，视频中老人为孤老，且为盲人，精神正常，平时话比较少。视频中保姆并非住家保姆，且有家庭，保姆并非每天上门。老人母亲在世的时候，保姆就为其母子服务。三四年前，老人母亲过世，保姆又为老人服务。除保姆服务外，老人同时享有残联服务、长护险服务，以及居委一对一结对的法律援助服务。视频内容传播后，居委会及街道司法工作人员上门了解情况。出于保护老人合法利益的考虑，司法人员劝说老人暂缓过户，就算要过户，也至少等老人百年之后。老人目前已接受司法援助，后续相关事宜或将转为立遗嘱等形式约定。O网页链接,,,,"老人欲过户房子给保姆工作人员报警,居委会回应老人欲过户房子给保姆",0,0,0,2023-11-10 15:10,微博网页版,"https://wx4.sinaimg.cn/large/7e144d0egy1hjpzlwr0udj20gd0p0aax.jpg,https://wx2.sinaimg.cn/large/7e144d0egy1hjpzlwre0xj20ge0p0q49.jpg",,,,蓝V
4966527879350335,NrUH1DerR,1641561812,经济观察报,#老人欲过户房子给保姆工作人员报警#【上海一老人欲将房子过户给保姆后续：经司法介入，暂打消过户念头】#居委会回应老人欲过户房子给保姆#近日，有网友爆料称，在上海浦东一房产交易中心，一名老人准备将自己的房子过户给保姆时，交易中心工作人员因担心老人被骗而报警，此后警方认定不涉及诈骗。网络视频显示，一位民警到现场处置时，该女子向民警表示，“不是我主动的，是叔叔要给我的。”11月10日，澎湃新闻记者从老人所在居委会获悉，出于保护老人的初衷，居委会及街道司法工作人员对老人进行劝说与介入，目前老人已暂时打消过户念头。居委会介绍，视频中老人为孤老，且为盲人，精神正常，平时话比较少。视频中保姆并非住家保姆，且有家庭，保姆并非每天上门。老人母亲在世的时候，保姆就为其母子服务。三四年前，老人母亲过世，保姆又为老人服务。除保姆服务外，老人同时享有残联服务、长护险服务，以及居委一对一结对的法律援助服务。视频内容传播后，居委会及街道司法工作人员上门了解情况。出于保护老人合法利益的考虑，司法人员劝说老人暂缓过户，就算要过户，也至少等老人百年之后。老人目前已接受司法援助，后续相关事宜或将转为立遗嘱等形式约定。（澎湃新闻）,,,,"老人欲过户房子给保姆工作人员报警,居委会回应老人欲过户房子给保姆",2,7,13,2023-11-10 13:59,,"https://wx2.sinaimg.cn/large/001N5Pdqgy1hjpyyl32zqj60gd0p0t9l02.jpg,https://wx3.sinaimg.cn/large/001N5Pdqgy1hjpyykr3qsj60ge0p03zu02.jpg",,,,蓝V
4966517865974292,NrUqSp4by,1955790395,上海波浪玩家,#老人欲过户房子给保姆工作人员报警#这老头是不是脑子坏特了？？？,,,,老人欲过户房子给保姆工作人员报警,0,3,22,2023-11-10 13:19,微博网页版,,,,,金V
4966508047108652,NrUb2tPhG,3815135668,文水法院,#老人欲过户房子给保姆工作人员报警#【上海一老人欲将房子过户给保姆后续：经司法介入，暂打消过户念头】#居委会回应老人欲过户房子给保姆#近日，有网友爆料称，在上海浦东一房产交易中心，一名老人准备将自己的房子过户给保姆时，交易中心工作人员因担心老人被骗而报警，此后警方认定不涉及诈骗。网络视频显示，一位民警到现场处置时，该女子向民警表示，“不是我主动的，是叔叔要给我的。”11月10日，澎湃新闻记者从老人所在居委会获悉，出于保护老人的初衷，居委会及街道司法工作人员对老人进行劝说与介入，目前老人已暂时打消过户念头。居委会介绍，视频中老人为孤老，且为盲人，精神正常，平时话比较少。视频中保姆并非住家保姆，且有家庭，保姆并非每天上门。老人母亲在世的时候，保姆就为其母子服务。三四年前，老人母亲过世，保姆又为老人服务。除保姆服务外，老人同时享有残联服务、长护险服务，以及居委一对一结对的法律援助服务。视频内容传播后，居委会及街道司法工作人员上门了解情况。出于保护老人合法利益的考虑，司法人员劝说老人暂缓过户，就算要过户，也至少等老人百年之后。老人目前已接受司法援助，后续相关事宜或将转为立遗嘱等形式约定。#欲过户房子给保姆老人已打消念头#O网页链接,,,,"老人欲过户房子给保姆工作人员报警,居委会回应老人欲过户房子给保姆,欲过户房子给保姆老人已打消念头",0,0,0,2023-11-10 12:40,vivo S7轻薄自拍旗舰,,,,,蓝V
4966500655957235,NrTZ7oZKr,5044281310,澎湃新闻,#老人欲过户房子给保姆工作人员报警#【上海一老人欲将房子过户给保姆后续：经司法介入，暂打消过户念头】#居委会回应老人欲过户房子给保姆#近日，有网友爆料称，在上海浦东一房产交易中心，一名老人准备将自己的房子过户给保姆时，交易中心工作人员因担心老人被骗而报警，此后警方认定不涉及诈骗。网络视频显示，一位民警到现场处置时，该女子向民警表示，“不是我主动的，是叔叔要给我的。”11月10日，澎湃新闻记者从老人所在居委会获悉，出于保护老人的初衷，居委会及街道司法工作人员对老人进行劝说与介入，目前老人已暂时打消过户念头。居委会介绍，视频中老人为孤老，且为盲人，精神正常，平时话比较少。视频中保姆并非住家保姆，且有家庭，保姆并非每天上门。老人母亲在世的时候，保姆就为其母子服务。三四年前，老人母亲过世，保姆又为老人服务。除保姆服务外，老人同时享有残联服务、长护险服务，以及居委一对一结对的法律援助服务。视频内容传播后，居委会及街道司法工作人员上门了解情况。出于保护老人合法利益的考虑，司法人员劝说老人暂缓过户，就算要过户，也至少等老人百年之后。老人目前已接受司法援助，后续相关事宜或将转为立遗嘱等形式约定。#欲过户房子给保姆老人已打消念头#O网页链接,,,,"老人欲过户房子给保姆工作人员报警,居委会回应老人欲过户房子给保姆,欲过户房子给保姆老人已打消念头",45,156,1067,2023-11-10 12:11,微博网页版,"https://wx2.sinaimg.cn/large/005vnhZYgy1hjpvsebeq1j60gd0p0aax02.jpg,https://wx3.sinaimg.cn/large/005vnhZYgy1hjpvsf2sffj60ge0p0q4902.jpg",,,,蓝V
