id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4965494199683797,NrtNNEDch,5558553462,漳县检察,#老人深夜将女婴遗弃在小卖部门口#【刑法上对遗弃罪的规定】@中国警方在线普法——根据刑法第二百六十一条规定：“对于年老、年幼、患病或者其他没有独立生活能力的人，负有扶养义务而拒绝扶养，情节恶劣的，处五年以下有期徒刑、拘役或者管制。”传播法治人人学法，守法第一条！,,,中国警方在线,老人深夜将女婴遗弃在小卖部门口,0,0,0,2023-11-07 17:32,Android,,,,,蓝V
4964645880201316,Nr7Jy0Qn2,6067582819,Kameeeei,#老人深夜将女婴遗弃在小卖部门口#得了自己命根子，以后别叽叽歪歪自己孙子找不到对象哦,,,,老人深夜将女婴遗弃在小卖部门口,0,0,0,2023-11-05 09:21,Redmi Note 11 Pro,,,,广东,普通用户
4963961036607160,NqPUXrIP6,1590753120,中国反邪教,#反邪教警示教育进乡村视频展播#【邪不压正——拯救你的不是神，是无邪】L中国反邪教的微博视频,,,,反邪教警示教育进乡村视频展播,149,28,49,2023-11-03 12:00,微博视频号,,"http://f.video.weibocdn.com/o0/bq2iMG4Nlx089Sm2LC2A01041201mRhj0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729437945&ssig=6%2F5BZ0dXey&KID=unistore,video",,,
4964624338518325,Nr7aNzK0l,6296847383,山西清徐反邪教,//@山西太原反邪教://@山西反邪教:#反邪教警示教育进乡村视频展播#【邪不压正——拯救你的不是神，是无邪】#老人深夜将女婴遗弃在小卖部门口#,,,"山西太原反邪教,山西反邪教","反邪教警示教育进乡村视频展播,老人深夜将女婴遗弃在小卖部门口",0,0,49,2023-11-05 07:55,iPhone客户端,,,4963961036607160,,蓝V
4964609727661114,Nr6New90m,6051581839,山西绛县反邪教,//@山西反邪教:#反邪教警示教育进乡村视频展播#【邪不压正——拯救你的不是神，是无邪】#老人深夜将女婴遗弃在小卖部门口#,,,山西反邪教,"反邪教警示教育进乡村视频展播,老人深夜将女婴遗弃在小卖部门口",0,0,49,2023-11-05 06:57,HUAWEI P40 5G,,,4963961036607160,,蓝V
4964400681976972,Nr1m48iiE,2522368537,锦锦瑟昵称不可用,#老人深夜将女婴遗弃在小卖部门口#，我上高中的时候，早上有一次在校外吃早餐，突然，早餐店门前发现了一个弃婴，一个早餐店老板抱着着急是谁家的孩子，后开弄清楚是个弃婴。这个小孩包裹的很好，具体长相我都记不清了。由于要吃完早餐赶紧回去上课，只有半个小时，就不清楚后面是怎么处理的了。或许会报警，或者送到福利院，不得而知。这么多年了，我一直记得,,,,老人深夜将女婴遗弃在小卖部门口,0,0,1,2023-11-04 17:06,Redmi 9A,,,,湖北,普通用户
4964388482058615,Nr12o8Dxt,7879504024,山川玖子39,#老人深夜将女婴遗弃在小卖部门口#一家有女百家求，百家有女一家留,,,,老人深夜将女婴遗弃在小卖部门口,0,0,2,2023-11-04 16:18,荣耀畅玩30,,,,广西,普通用户
4964376272700776,Nr0IHbkAU,2133637794,宜人宜宾,#老人深夜将女婴遗弃在小卖部门口#，医生判定孩子出生不满十小时，外表五官等初步检查正常。L观察者网的微博视频,,,,老人深夜将女婴遗弃在小卖部门口,0,0,0,2023-11-04 15:30,微博视频号,,"http://f.video.weibocdn.com/o0/TCUHHy1Ulx089RrQR1Bu010412005jYV0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729437946&ssig=x50KWYOg3S&KID=unistore,video",,,蓝V
4964295207554230,NqYBWvHcq,6765749688,温暖_烤土司,#男子才上班就离职还把自己送进看守所##老人深夜将女婴遗弃在小卖部门口##男子盗用前女友照片合成淫秽视频##一00后拒服兵役依规受7项处罚#11月2,,,,"男子才上班就离职还把自己送进看守所,老人深夜将女婴遗弃在小卖部门口,男子盗用前女友照片合成淫秽视频,一00后拒服兵役依规受7项处罚",0,0,0,2023-11-04 10:07,Android,"https://wx3.sinaimg.cn/large/007nSoyYly1hjiuics4ffj30u01b6qfd.jpg,https://wx4.sinaimg.cn/large/007nSoyYly1hjiuid71uwj30u01arwsf.jpg,https://wx4.sinaimg.cn/large/007nSoyYly1hjiuidpnduj30u0177wq5.jpg,https://wx1.sinaimg.cn/large/007nSoyYly1hjiuie5paqj30u01bi139.jpg",,,山东,普通用户
4963710877565761,NqJptvKcp,1887344341,观察者网,#老人深夜将女婴遗弃在小卖部门口#，医生判定孩子出生不满十小时，外表五官等初步检查正常。L观察者网的微博视频,,,,老人深夜将女婴遗弃在小卖部门口,1021,3792,72670,2023-11-02 19:25,微博视频号,,"http://f.video.weibocdn.com/o0/TCUHHy1Ulx089RrQR1Bu010412005jYV0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729437946&ssig=x50KWYOg3S&KID=unistore,video",,,
4964287603541807,NqYpGeRnV,7822877275,安徽时宪律师事务所,#老人深夜将女婴遗弃在小卖部门口#根据我国《刑法》第261条之规定，犯遗弃罪的，处5年以下有期徒刑、拘役或者管制。,,,,老人深夜将女婴遗弃在小卖部门口,0,0,72670,2023-11-04 09:37,vivo手机,,,4963710877565761,安徽,蓝V
4964286936383932,NqYoBqMKE,2458873097,新浪黑龙江,#老人深夜将女婴遗弃在小卖部门口#，医生判定孩子出生不满十小时，外表五官等初步检查正常。L观察者网的微博视频,,,,老人深夜将女婴遗弃在小卖部门口,0,1,0,2023-11-04 09:35,微博视频号,,"http://f.video.weibocdn.com/o0/TCUHHy1Ulx089RrQR1Bu010412005jYV0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729437946&ssig=x50KWYOg3S&KID=unistore,video",,黑龙江,蓝V
4964286934811456,NqYoBkbG8,6068931049,生活在哈尔滨,#老人深夜将女婴遗弃在小卖部门口#，医生判定孩子出生不满十小时，外表五官等初步检查正常。L观察者网的微博视频,,,,老人深夜将女婴遗弃在小卖部门口,0,0,0,2023-11-04 09:35,微博视频号,,"http://f.video.weibocdn.com/o0/TCUHHy1Ulx089RrQR1Bu010412005jYV0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729437946&ssig=x50KWYOg3S&KID=unistore,video",,黑龙江,黄V
