id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4793339771623072,LDac16OeA,3599647027,遂宁公安,【#老人独居害怕不愿回家民警宽心背回#】#警民同心#近日，有群众求助称：一老人不愿意回家，经了解老人因为一个人在家害怕，所以在附近找人陪伴，考虑到腿脚不便且年纪较大，@宣城澄江派出所民警胡乔主动将老人背起，低低的弯腰，暖暖的情谊，即使汗水湿透了警服，民警胡乔一蹲一背的样子，真帅！中警君：希望大家多关注家里的独居老人！！#爷爷微信打字要钱孙子果断报警#L中国警方在线的微博视频,,遂宁,宣城澄江派出所,"老人独居害怕不愿回家民警宽心背回,警民同心,爷爷微信打字要钱孙子果断报警",1,3,2,2022-07-20 16:12,微博视频号,,"http://f.video.weibocdn.com/o0/8dQc3V71lx07XJW2OnZ601041200i0bV0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725000149&ssig=qqvaKm610W&KID=unistore,video",,,
4793620744377372,LDhvcimKM,5656475379,遂宁网警,【#老人独居害怕不愿回家民警宽心背回#】#警民同心#,,,,"老人独居害怕不愿回家民警宽心背回,警民同心",0,0,2,2022-07-21 10:48,360安全浏览器,,,4793339771623072,,蓝V
4792968424722938,LD0x4jOEq,2139684615,文明成都,【#老人独居害怕不愿回家民警宽心背回#】#警民同心#近日，有群众求助称：一老人不愿意回家，经了解老人因为一个人在家害怕，所以在附近找人陪伴，考虑到腿脚不便且年纪较大，@宣城澄江派出所民警胡乔主动将老人背起，低低的弯腰，暖暖的情谊，即使汗水湿透了警服，民警胡乔一蹲一背的样子，真帅！中警君：希望大家多关注家里的独居老人！！#爷爷微信打字要钱孙子果断报警#L中国警方在线的微博视频,,,宣城澄江派出所,"老人独居害怕不愿回家民警宽心背回,警民同心,爷爷微信打字要钱孙子果断报警",72,7,7,2022-07-19 15:36,微博视频号,,"http://f.video.weibocdn.com/o0/8dQc3V71lx07XJW2OnZ601041200i0bV0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725000149&ssig=qqvaKm610W&KID=unistore,video",,,
4793352967165577,LDaxiu45P,5317015311,花瓣雨197929,【#老人独居害怕不愿回家民警宽心背回#】,,,,老人独居害怕不愿回家民警宽心背回,0,0,7,2022-07-20 17:04,360安全浏览器,,,4792968424722938,,普通用户
4793352040219699,LDavO0V9x,6591988726,夕颜戏言辟,【#老人独居害怕不愿回家民警宽心背回#】,,,,老人独居害怕不愿回家民警宽心背回,0,0,7,2022-07-20 17:00,360安全浏览器,,,4792968424722938,,普通用户
4793351859866837,LDavvFoOx,6238983631,海南禁毒,【#老人独居害怕不愿回家民警宽心背回#】#警民同心#近日，有群众求助称：一老人不愿意回家，经了解老人因为一个人在家害怕，所以在附近找人陪伴，考虑到腿脚不便且年纪较大，@宣城澄江派出所民警胡乔主动将老人背起，低低的弯腰，暖暖的情谊，即使汗水湿透了警服，民警胡乔一蹲一背的样子，真帅！中警君：希望大家多关注家里的独居老人！！L中国警方在线的微博视频,,,宣城澄江派出所,"老人独居害怕不愿回家民警宽心背回,警民同心",0,0,0,2022-07-20 17:00,微博视频号,,"http://f.video.weibocdn.com/o0/8dQc3V71lx07XJW2OnZ601041200i0bV0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725000149&ssig=qqvaKm610W&KID=unistore,video",,,蓝V
4793331614223228,LD9YRhIEA,5157325535,攀枝花盐边公安,【#老人独居害怕不愿回家民警宽心背回#】#警民同心#近日，有群众求助称：一老人不愿意回家，经了解老人因为一个人在家害怕，所以在附近找人陪伴，考虑到腿脚不便且年纪较大，@宣城澄江派出所民警胡乔主动将老人背起，低低的弯腰，暖暖的情谊，即使汗水湿透了警服，民警胡乔一蹲一背的样子，真帅！：希望大家多关注家里的独居老人！！L中国警方在线的微博视频,,,宣城澄江派出所,"老人独居害怕不愿回家民警宽心背回,警民同心",0,0,0,2022-07-20 15:39,微博视频号,,"http://f.video.weibocdn.com/o0/8dQc3V71lx07XJW2OnZ601041200i0bV0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725000149&ssig=qqvaKm610W&KID=unistore,video",,,蓝V
4793319756141108,LD9FJpLA8,3535183577,青白江公共资源,【#老人独居害怕不愿回家民警宽心背回#】,,,,老人独居害怕不愿回家民警宽心背回,0,0,7,2022-07-20 14:52,微博网页版,,,4792968424722938,,蓝V
4793314840414703,LD9xO1JSL,5785180029,小雪-55555,#老人独居害怕不愿回家民警宽心背回#,,,,老人独居害怕不愿回家民警宽心背回,0,0,7,2022-07-20 14:32,360安全浏览器,,,4792968424722938,,普通用户
4793274323176540,LD8usdkmw,5168914744,乐山公安,【#老人独居害怕不愿回家民警宽心背回#】#警民同心#近日，有群众求助称：一老人不愿意回家，经了解老人因为一个人在家害怕，所以在附近找人陪伴，考虑到腿脚不便且年纪较大，@宣城澄江派出所民警胡乔主动将老人背起，低低的弯腰，暖暖的情谊，即使汗水湿透了警服，民警胡乔一蹲一背的样子，真帅！中警君：希望大家多关注家里的独居老人！！#爷爷微信打字要钱孙子果断报警#L中国警方在线的微博视频,,,宣城澄江派出所,"老人独居害怕不愿回家民警宽心背回,警民同心,爷爷微信打字要钱孙子果断报警",0,3,1,2022-07-20 11:51,微博视频号,,"http://f.video.weibocdn.com/o0/8dQc3V71lx07XJW2OnZ601041200i0bV0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725000149&ssig=qqvaKm610W&KID=unistore,video",,,蓝V
