id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4575221548322502,JvyR4yV3U,1796087453,荔枝新闻,#如何让老年人融入智能化社会#【每个人都会变老#便利不应成老年人的门槛#】近日，一段#老人独自交医保被拒收现金#的视频引发热议。目前，当地县委宣传部回复媒体称，工作人员已上门为老人办理了医保。为从根源上解决此类问题，最近国务院出台了《关于切实解决老年人运用智能技术困难实施方案的通知》，希望技术进步带来的“便利”不再是老年人难以逾越的“门槛”。O老人独自交医保被拒收现金，“便利”不应成老年人的“门槛”,,,,"如何让老年人融入智能化社会,便利不应成老年人的门槛,老人独自交医保被拒收现金",0,2,7,2020-11-25 18:48,微博 weibo.com,,,,,蓝V
4575198474407632,JvyfRiuCQ,6619289680,定西交通广播,【#老人独自交医保被拒收现金#？医保局：可用现金，正调查此事】#老人冒雨用现金交医保被拒#2020年11月23日，网曝湖北宜昌一老人独自交医保时，被工作人员告知“不收现金，要么叫亲戚，要么你自己在手机上支付”。宜昌市医保局工作人员称，医保有多种征收方式，“没有说不收现金”，此事正在调.（梨视频）L一手Video的秒拍视频,,,,"老人独自交医保被拒收现金,老人冒雨用现金交医保被拒",0,0,0,2020-11-25 17:16,微博视频号,,"http://miaopai.video.weibocdn.com/4LAt96avlx07IfyexpSw0104120083RT0E013.mp4?label=mp4_720p&template=504x896.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012474&ssig=Sip1Yh%2FwUY&KID=unistore,video",,,蓝V
4574826893410769,JvoAxejip,7524905896,81岁老兵,#老人独自交医保被拒收现金##老人冒雨用现金交医保被拒#老兵超话#一起守护老兵记忆#我家老人是81岁高龄退伍老兵，在部队屡立功勋，保家卫国做出贡献。今年10月独自在家被他人肆意殴打致当场昏迷，身上多处受伤，宜昌市土城派出所以现场没有人证为由，称无法处罚嫌疑人。请问，所有案件发生时都有目击者吗？被殴打的多处伤痕和自己摔倒的伤痕是不是很容易识别区分？明显是治安案件却让我们自己起诉，也让我们别执着于真相，那么请问公安机关的职责在哪里？#殴打老兵##宜昌身边事##宜昌点军土城派出所#请查明真相，还老兵一个公道！@湖北发布@湖北之声@湖北城市之声@头条新闻,,宜昌,"湖北发布,湖北之声,湖北城市之声,头条新闻","老人独自交医保被拒收现金,老人冒雨用现金交医保被拒,一起守护老兵记忆,殴打老兵,宜昌身边事,宜昌点军土城派出所",0,0,0,2020-11-24 16:39,iPhone XS Max,"https://wx4.sinaimg.cn/large/008dfJLWgy1gl0cpqe1dgj30u0140101.jpg,https://wx4.sinaimg.cn/large/008dfJLWgy1gl0cpqqnbkj30u0140gue.jpg,https://wx3.sinaimg.cn/large/008dfJLWgy1gl0cppzqd9j30u0140ajt.jpg,https://wx1.sinaimg.cn/large/008dfJLWgy1gl0cpr54y8j30pz0ywjtw.jpg,https://wx3.sinaimg.cn/large/008dfJLWgy1gl0cpriribj30u01400uj.jpg,https://wx2.sinaimg.cn/large/008dfJLWgy1gl0cprulhyj313x0u079q.jpg",,,,普通用户
4574823927779863,JvovKwDTF,5587382201,临沂日报,【#老人独自交医保被拒收现金#？医保局：可用现金，正调查此事】#老人冒雨用现金交医保被拒#2020年11月23日，网曝湖北宜昌一老人独自交医保时，被工作人员告知“不收现金，要么叫亲戚，要么你自己在手机上支付”。宜昌市医保局工作人员称，医保有多种征收方式，“没有说不收现金”，此事正在调查。@一手VideoL一手Video的秒拍视频L一手Video的秒拍视频,,,一手Video,"老人独自交医保被拒收现金,老人冒雨用现金交医保被拒",0,0,0,2020-11-24 16:28,微博视频号,,"http://miaopai.video.weibocdn.com/4LAt96avlx07IfyexpSw0104120083RT0E013.mp4?label=mp4_720p&template=504x896.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012474&ssig=Sip1Yh%2FwUY&KID=unistore,video",,,蓝V
4574812951548214,Jvoe36uLc,1929043255,芝麻坨坨,"近日发生的#老人独自交医保被拒收现金 #事件到目前为止已经得到了解决，从@秭归发布发出消息获知：秭归县相关部门工作人员上门为老人办理了居民医保。相关调查正在进行中。但是我觉得还是有必要说两句：无疑是从侧面反应出我国人性化政务服务建设任重而道远。某些政府部门服务意识“掉线”，未能立足于以人民为中心的出发点和落脚点，仍然存在不便利、易推诿、好扯皮、踢皮球”的现象。就像视频中那位工作人员说：“要么联系亲戚，要么手机缴费”，不从实际出发，不懂变通处理，不去解决问题，这真的为人民服务吗？因此,政府部门应深化“放管服”改革,加快职能转变,提高思想觉悟,将人民群众的利益放在首位,提供高效、便捷的人性化政务服务,遇到问题时主动协商各部门去解决问题,而不是让人民群众“跑断腿、想破头”,以此提高人民群众的幸福指数,提升对当地、对国家的认同感和归属感。除了政府部门的失职外,另一方面也体现出基层干部的问题。基层办事人员的行事作风直观地代表了党风政风,对人民群众问题的漠视、懒作为、不敢作为降低了老百姓心目中对政府的好感度,损害了政府的公信力。因此,基层干部和基层办事人员应转变工作作风,勇于承担责任,敢于较真逗硬,力戒推诿扯皮。人民群众的事就是大事,我们应将各项制度措施落到实处,杜绝形式主义,以求真务实的态度构建让人民满意的服务型政府。@宜昌发布@宜昌同城@人民日报@三峡日报",,,"秭归发布,宜昌发布,宜昌同城,人民日报,三峡日报",老人独自交医保被拒收现金 ,0,2,1,2020-11-24 15:44,一地一会超话,"https://wx4.sinaimg.cn/large/72fadd37gy1gl0b19xuplj20ku112dih.jpg,https://wx3.sinaimg.cn/large/72fadd37gy1gl0b1avt99j20u00u07wh.jpg,https://wx3.sinaimg.cn/large/72fadd37gy1gl0b1ac5hdj20ku1124qp.jpg",,,,黄V
4574783595091146,JvnsHlmrg,2480051062,汕头蒲公英,#蒲公英热点推送#【#老人独自交医保被拒收现金#？医保局：可用现金，正调查此事】#老人冒雨用现金交医保被拒#2020年11月23日，网曝湖北宜昌一老人独自交医保时，被工作人员告知“不收现金，要么叫亲戚，要么你自己在手机上支付”。宜昌市医保局工作人员称，医保有多种征收方式，“没有说不收现金”，此事正在调查。L一手Video的秒拍视频,,,,"蒲公英热点推送,老人独自交医保被拒收现金,老人冒雨用现金交医保被拒",0,0,0,2020-11-24 13:47,360安全浏览器,,"http://miaopai.video.weibocdn.com/4LAt96avlx07IfyexpSw0104120083RT0E013.mp4?label=mp4_720p&template=504x896.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012474&ssig=Sip1Yh%2FwUY&KID=unistore,video",,,普通用户
4574780054837697,JvnmZkivn,2862410254,世界城广场,#老人冒雨用现金交医保被拒##医保局回应老人用现金交医保被拒##老人独自交医保被拒收现金#医保感到很痛心！另一边传来一则利好消息【#湖北##武汉最快明年初交房即可办证#】最快明年1月1日起，武汉市民购房缴税后，就可申请办证了。日前，武汉市自然资源和规划局在官网公布对政协提案的答复中透露，争取在2021年1月1日后开展商品房项目“交房即可办证”工作。下一步，该局将会同市房管局，就“交房即可办证”的流程及相关内容形成正式意见，寻找符合条件的项目，试点“交房即可办证”。,,武汉·光谷,,"老人冒雨用现金交医保被拒,医保局回应老人用现金交医保被拒,老人独自交医保被拒收现金,湖北,武汉最快明年初交房即可办证",0,0,1,2020-11-24 13:33,iPhone客户端,https://wx4.sinaimg.cn/large/aa9cea0ely1gl07c917yaj20u00k714e.jpg,,,,蓝V
4574773558643517,JvncvAgzz,5609495455,南充之窗,【#老人独自交医保被拒收现金#？医保局：可用现金，正调查此事】#老人冒雨用现金交医保被拒#2020年11月23日，网曝湖北宜昌一老人独自交医保时，被工作人员告知“不收现金，要么叫亲戚，要么你自己在手机上支付”。宜昌市医保局工作人员称，医保有多种征收方式，“没有说不收现金”，此事正在调查。@一手VideoL一手Video的秒拍视频,,,一手Video,"老人独自交医保被拒收现金,老人冒雨用现金交医保被拒",0,0,3,2020-11-24 13:07,微博视频号,,"http://miaopai.video.weibocdn.com/4LAt96avlx07IfyexpSw0104120083RT0E013.mp4?label=mp4_720p&template=504x896.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012474&ssig=Sip1Yh%2FwUY&KID=unistore,video",,,黄V
4574773343952646,JvncagAgm,1744729263,FM985扬州新闻广播,【#老人独自交医保被拒收现金#？医保局：可用现金，正调查此事】2020年11月23日，网曝湖北宜昌一老人独自交医保时，被工作人员告知“不收现金，要么叫亲戚，要么你自己在手机上支付”。宜昌市医保局工作人员称，医保有多种征收方式，“没有说不收现金”，此事正在调查。@一手VideoL一手Video的秒拍视频,,,一手Video,老人独自交医保被拒收现金,0,0,0,2020-11-24 13:07,微博视频号,,"http://miaopai.video.weibocdn.com/4LAt96avlx07IfyexpSw0104120083RT0E013.mp4?label=mp4_720p&template=504x896.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012474&ssig=Sip1Yh%2FwUY&KID=unistore,video",,,蓝V
4574771071422812,Jvn8v5Y8A,1302169105,印象张家口,【#老人独自交医保被拒收现金#？医保局：可用现金，正调查此事】2020年11月23日，网曝#湖北#宜昌一老人独自交医保时，被工作人员告知“不收现金，要么叫亲戚，要么你自己在手机上支付”。宜昌市医保局工作人员称，医保有多种征收方式，“没有说不收现金”，此事正在调查。@一手VideoL一手Video的秒拍视频,,,一手Video,"老人独自交医保被拒收现金,湖北",0,3,1,2020-11-24 12:58,激浊扬清Android,,"http://miaopai.video.weibocdn.com/4LAt96avlx07IfyexpSw0104120083RT0E013.mp4?label=mp4_720p&template=504x896.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012476&ssig=qvwHZqlKHX&KID=unistore,video",,,黄V
