id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4753493888600423,LmrCsA5mv,7733941259,蓝玉兔居家生活,#老人用智能手机面临不会用不愿用不敢用#“你可怜可怜我吧”，我们决不能把老人丢在时代发展的荒野就是这些不会用智能手机的老人面对疫情和数字化发展，他们退步难行，陷入种种困境，甚至看病和出行都很困难。买不到菜、用不了智能手机，已成了社会现象，成了老人们的一大难题！面对新时代发展步伐，老人渐渐落伍，与这个时代格格不入！我们真的不有眼睁睁地看着老人们被时代抛弃，希望我们等等他们，帮帮他们！蓝玉兔以全方位满足各类人群的居家服务需求为理念，根据不同人群进行针对性定制服务，其中针对老年人的共享管家一对一定制服务，解决老年人的居家服务难题。蓝玉兔作为一个居家服务平台，在引领数字化发展打造互联网+居家服务新平台的同时兼顾老龄化服务，为老年人定制”适老“居家服务方案。每一个社区设立共享管家服务点，解决了老年人被智能化时代抛弃的痛点，拉他们一把，为他们提供更多便捷的居家服务。让他们在这个数字化时代不至于连最基本的居家服务都得不到保障。O网页链接,,,,老人用智能手机面临不会用不愿用不敢用,0,1,5,2022-04-01 17:18,微博网页版,"https://wx1.sinaimg.cn/large/008roPq3ly1h0ucc5bb7yj30by0by74n.jpg,https://wx3.sinaimg.cn/large/008roPq3ly1h0uccddqbaj30p00ann09.jpg",,,,蓝V
4714615084942903,L68cIkJSf,3891514878,未央法院,【#我国仍有1.4亿老年人使用功能机#，#老人用智能手机面临不会用不愿用不敢用#】根据运营商的统计数据，目前我国仍有1.4亿老年人正在使用功能机，或者是虽然使用智能手机但是不会上网，老年人面对数字鸿沟是一种怎样的尴尬呢？记者调查发现，老年人数字鸿沟问题主要体现在三个方面：想用不会用、会用不敢用以及不会用不愿用。（央视网快看，希隆）L央视网快看的微博视频,,,,"我国仍有1.4亿老年人使用功能机,老人用智能手机面临不会用不愿用不敢用",0,0,0,2021-12-15 10:28,微博视频号,,"http://locallimit.us.sinaimg.cn/o0/hiH5is6slx07Sa7dUemc01041200ro9x0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012252&ssig=9m%2BismPc4L&KID=unistore,video",,,蓝V
4714572105647351,L675onH8j,3052465574,新时代舆情,老马新观察超话【#我国仍有1.4亿老年人使用功能机#，#老人用智能手机面临不会用不愿用不敢用#】根据运营商的统计数据，目前我国仍有1.4亿老年人正在使用功能机，或者是虽然使用智能手机但是不会上网，老年人面对数字鸿沟是一种怎样的尴尬呢？记者调查发现，老年人数字鸿沟问题主要体现在三个方面：想用不会用、会用不敢用以及不会用不愿用。（央视网快看，希隆）L央视网快看的微博视频,,西安,,"我国仍有1.4亿老年人使用功能机,老人用智能手机面临不会用不愿用不敢用",0,0,1,2021-12-15 07:37,微博视频号,,"http://locallimit.us.sinaimg.cn/o0/hiH5is6slx07Sa7dUemc01041200ro9x0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012252&ssig=9m%2BismPc4L&KID=unistore,video",,,普通用户
4714438215599276,L63BrnuCU,2208511471,福建经济广播,【#我国仍有1.4亿老年人使用功能机#，#老人用智能手机面临不会用不愿用不敢用#】根据运营商的统计数据，目前我国仍有1.4亿老年人正在使用功能机，或者是虽然使用智能手机但是不会上网，老年人面对数字鸿沟是一种怎样的尴尬呢？记者调查发现，老年人数字鸿沟问题主要体现在三个方面：想用不会用、会用不敢用以及不会用不愿用。（央视网快看）L央视网快看的微博视频,,,,"我国仍有1.4亿老年人使用功能机,老人用智能手机面临不会用不愿用不敢用",0,0,0,2021-12-14 22:45,iPhone客户端,,"http://locallimit.us.sinaimg.cn/o0/hiH5is6slx07Sa7dUemc01041200ro9x0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012252&ssig=9m%2BismPc4L&KID=unistore,video",,,蓝V
4714436243491214,L63ygeEdU,5462005118,贵州省总工会,【#我国仍有1.4亿老年人使用功能机#，#老人用智能手机面临不会用不愿用不敢用#】根据运营商的统计数据，目前我国仍有1.4亿老年人正在使用功能机，或者是虽然使用智能手机但是不会上网，老年人面对数字鸿沟是一种怎样的尴尬呢？记者调查发现，老年人数字鸿沟问题主要体现在三个方面：想用不会用、会用不敢用以及不会用不愿用。（央视网快看，希隆）L央视网快看的微博视频,,,,"我国仍有1.4亿老年人使用功能机,老人用智能手机面临不会用不愿用不敢用",0,0,0,2021-12-14 22:37,微博视频号,,"http://locallimit.us.sinaimg.cn/o0/hiH5is6slx07Sa7dUemc01041200ro9x0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012252&ssig=9m%2BismPc4L&KID=unistore,video",,,蓝V
4714434293664080,L63v7fnc4,6568582221,青海在线网官微,【#我国仍有1.4亿老年人使用功能机#，#老人用智能手机面临不会用不愿用不敢用#】根据运营商的统计数据，目前我国仍有1.4亿老年人正在使用功能机，或者是虽然使用智能手机但是不会上网，老年人面对数字鸿沟是一种怎样的尴尬呢？记者调查发现，老年人数字鸿沟问题主要体现在三个方面：想用不会用、会用不敢用以及不会用不愿用。@央视网快看L央视网快看的微博视频,,,央视网快看,"我国仍有1.4亿老年人使用功能机,老人用智能手机面临不会用不愿用不敢用",0,0,0,2021-12-14 22:29,微博视频号,,"http://locallimit.us.sinaimg.cn/o0/hiH5is6slx07Sa7dUemc01041200ro9x0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012252&ssig=9m%2BismPc4L&KID=unistore,video",,,蓝V
4714431482695948,L63qAbjl2,1649173367,每日经济新闻,【#我国仍有1.4亿老年人使用功能机#，#老人用智能手机面临不会用不愿用不敢用#】根据运营商的统计数据，目前我国仍有1.4亿老年人正在使用功能机，或者是虽然使用智能手机但是不会上网，老年人面对数字鸿沟是一种怎样的尴尬呢？记者调查发现，老年人数字鸿沟问题主要体现在三个方面：想用不会用、会用不敢用以及不会用不愿用。（央视网快看，希隆）L央视网快看的微博视频,,,,"我国仍有1.4亿老年人使用功能机,老人用智能手机面临不会用不愿用不敢用",37,33,96,2021-12-14 22:18,微博视频号,,"http://locallimit.us.sinaimg.cn/o0/hiH5is6slx07Sa7dUemc01041200ro9x0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012252&ssig=9m%2BismPc4L&KID=unistore,video",,,
4714433698597432,L63u9A4Ag,3974560125,红塔区发布,【#我国仍有1.4亿老年人使用功能机#，#老人用智能手机面临不会用不愿用不敢用#】根据运营商的统计数据，目前我国仍有1.4亿老年人正在使用功能机，或者是虽然使用智能手机但是不会上网，老年人面对数字鸿沟是一种怎样的尴尬呢？记者调查发现，老年人数字鸿沟问题主要体现在三个方面：想用不会用…,,,,"我国仍有1.4亿老年人使用功能机,老人用智能手机面临不会用不愿用不敢用",0,0,96,2021-12-14 22:27,华为手机 畅享玩不停,,,4714431482695948,,蓝V
4714432426414166,L63s6qUCi,7205959835,如东政法,【#我国仍有1.4亿老年人使用功能机#，#老人用智能手机面临不会用不愿用不敢用#】根据运营商的统计数据，目前我国仍有1.4亿老年人正在使用功能机，或者是虽然使用智能手机但是不会上网，老年人面对数字鸿沟是一种怎样的尴尬呢？记者调查发现，老年人数字鸿沟问题主要体现在三个方面：想用不会用、会用不敢用以及不会用不愿用。（央视网快看，希隆）L央视网快看的微博视频,,,,"我国仍有1.4亿老年人使用功能机,老人用智能手机面临不会用不愿用不敢用",0,0,0,2021-12-14 22:22,iPhone客户端,,"http://locallimit.us.sinaimg.cn/o0/hiH5is6slx07Sa7dUemc01041200ro9x0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012252&ssig=9m%2BismPc4L&KID=unistore,video",,,蓝V
4714432385517931,L63s2n9sT,1885454921,蓝鲸新闻,【鲸视频：#我国仍有1.4亿老年人使用功能机#，#老人用智能手机面临不会用不愿用不敢用#】根据运营商的统计数据，目前我国仍有1.4亿老年人正在使用功能机，或者是虽然使用智能手机但是不会上网，老年人面对数字鸿沟是一种怎样的尴尬呢？记者调查发现，老年人数字鸿沟问题主要体现在三个方面：想用不会用、会用不敢用以及不会用不愿用。@央视网快看L央视网快看的微博视频,,,央视网快看,"我国仍有1.4亿老年人使用功能机,老人用智能手机面临不会用不愿用不敢用",12,7,15,2021-12-14 22:22,微博视频号,,"http://locallimit.us.sinaimg.cn/o0/hiH5is6slx07Sa7dUemc01041200ro9x0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012253&ssig=aaXcenf3fm&KID=unistore,video",,,蓝V
