id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5062297733565507,Oq8EdeXyb,2483697384,Navzat-,我发布了：#老年人生活#老年人的日常#老人的晚年生活##快手#@快手d呜呜呜呜呜9我就O网页链接,,,快手,"老年人生活 ,老人的晚年生活 ,快手",0,0,0,2024-07-31 20:34,快手,,,,,普通用户
5060176824503460,OpftoiTys,6183821470,时间煮雨我煮段子,当岁月渐长，假如子女不再对我们倾注关爱，我们应当如何面对？#老年人生活##70后##老人的晚年生活##生活#L时间煮雨我煮段子的微博视频,,,,"老年人生活,70后,老人的晚年生活,生活",0,3,0,2024-07-26 00:07,微博视频号,,"http://f.video.weibocdn.com/o0/x5szNpTYlx08gI244Dy801041200cS0R0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014820&ssig=vBOttHiYac&KID=unistore,video",,,黄V
5046293718369522,Ojqjhz7ii,6112050701,曲靖中式养生小万姐,不期望什么，坦然接受一切，那你就永远不会失望，人生无常，得失有常，心态好，得也欢喜，失也不悲！#老人的晚年生活#街头随拍#路人视角L曲靖中式养生小万姐的微博视频,,曲靖,,老人的晚年生活 ,0,0,1,2024-06-17 16:40,微博视频号,,"http://f.video.weibocdn.com/u0/EJc4QcoBgx08fIVz9UUU01041201SOHa0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014820&ssig=k1vksRRC0z&KID=unistore,video",,,普通用户
5039218969805259,OgsgoF8Nl,6209134142,每日摘新,我谈一下跳舞的个人看法##跳舞##老人的晚年生活##晚年生活##孤独老人的晚年生活##生活#L每日摘新的微博视频,,,,,0,0,0,2024-05-29 04:08,微博视频号,,"http://f.video.weibocdn.com/o0/6GV6pSSBlx08fdMW29Q401041200D2P70E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014820&ssig=myAYylNbNj&KID=unistore,video",,,黄V
5026634491232718,ObaSR5aGy,6932149091,用户6932149091,#老人的晚年生活#农村生活记录#老人生活##快手#@快手L光头哥的快手视频,,,快手,"老人的晚年生活 ,老人生活 ,快手",4,2,10,2024-04-24 10:41,微博视频号,,http://www.kuaishou.com/rest/kd/partner/weibo/linkcard/video?p=3xeppc8u8ugpmws&a=3xkjt7hnndjxnsq&f=3xd4mkue9kywgzg&kpn=NEBULA&subBiz=BROWSE_SLIDE_PHOTO&shareChannel=weibo&shareMethod=card&shareObjectId=5201376212228066487&shareResourceType=PHOTO_OTHER&shareToken=X-agOxTIGZ2BJc8R,,,普通用户
5014972308390662,O6huSzcNg,2985732673,爱馨家园老年公寓,#养老院的真实生活#秧歌扭起来#老人的晚年生活#丰富多彩的文化生活L爱馨家园老年公寓的微博视频,,,,"养老院的真实生活,老人的晚年生活",0,0,0,2024-03-23 06:20,iPhone客户端,,"http://f.video.weibocdn.com/o0/g0rdyj03lx08dv4o6k3u01041200Wz8F0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014820&ssig=u5Q40BdpQv&KID=unistore,video",,,普通用户
5002818490466936,O1bjX1Xte,2735321264,2020进小康,#老人的晚年生活#关爱孤寡老人##快手#@快手O网页链接,,,快手,老人的晚年生活 ,0,0,0,2024-02-18 17:25,快手极速版,,,,,普通用户
4991089633133186,NCdELd95g,7741496644,湖南中科福爱康养,#养老院#当养老院的爷爷给我算命😎#养老院里欢乐多##老人的晚年生活#L湖南中科福爱康养的微博视频,,长沙·湖南中科福爱和谐医疗康养中心,,"养老院,养老院里欢乐多 ,老人的晚年生活",0,0,0,2024-01-17 08:39,iPhone客户端,,"http://f.video.weibocdn.com/o0/m4MYhsz2lx08bNX3gN9601041200cxf80E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014820&ssig=37l8lX0bbF&KID=unistore,video",,,普通用户
4985648127674096,NzW68wcnK,1641445957,满天星人工智能生成视频工作室,我发布了：留美博士后#老年人的日常#退休后的生活#老人的晚年生活##快手#@快手O网页链接,,,快手,"老年人的日常 ,老人的晚年生活 ,快手",0,0,0,2024-01-02 08:16,快手极速版,,,,,普通用户
4974189054263398,Nv7ZLhT6u,5219564724,河南乡村频道,八旬老人独自上街迷了路，进到临时挡板后出不来，寒风中站立四个小时后后，所幸被民警及时发现···#社会百态##老人的晚年生活##人民警察为人民#L河南乡村频道的微博视频,,,,"社会百态,老人的晚年生活,人民警察为人民",0,0,0,2023-12-01 17:22,微博视频号,,"http://f.video.weibocdn.com/o0/kI9A48iylx08aBzcvRP2010412006gUg0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014820&ssig=GYT9YddaDt&KID=unistore,video",,,蓝V
4965543245517106,Nrv4Un9fA,2153132731,陳陳陳陈安心,要做一辈子的好闺蜜！#晚年生活该有的样子##老人的晚年生活#L陳陳陳陈安心的微博视频,,,,"晚年生活该有的样子 ,老人的晚年生活",0,0,0,2023-11-07 20:47,微博视频号,,"http://f.video.weibocdn.com/o0/kmmSPllllx089ZvSooHS0104120061lU0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014822&ssig=LzbxKL62Qi&KID=unistore,video",,,黄V
4943432276511930,NidS3rk38,3212054202,慈脉中医官方微博,口齿清晰，行动自如，你能相信这是一位即将90岁的奶奶？这样的老年生活谁不羡慕？#愿天下的老人老有所依##老人的晚年生活##老年人的幸福生活##晚年生活该有的样子##徐氏中医##慈脉中医#L慈脉中医官方微博的微博视频,,,," 愿天下的老人老有所依,老人的晚年生活,老年人的幸福生活,晚年生活该有的样子,徐氏中医,慈脉中医",0,0,0,2023-09-07 20:26,微博视频号,,"http://f.video.weibocdn.com/o0/xDNhNXYYlx088qc6lLw401041200r8Zs0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014822&ssig=Nzu3Q7txs%2B&KID=unistore,video",,,蓝V
4915029508625577,N6iZ8AbUd,6040717759,七里河发布,老人去世前最后一刻，老伴握着她的手静静陪伴，她用最后力气回应#泪奔瞬间##老年夫妻老来伴##老人的晚年生活#L七里河发布的微博视频,,,," 泪奔瞬间 , 老年夫妻老来伴 , 老人的晚年生活 ",0,0,1,2023-06-21 11:23,微博视频号,,"http://f.video.weibocdn.com/o0/UQOpV74glx086pbny7lu0104120032RQ0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014822&ssig=eqTe%2FzB26O&KID=unistore,video",,,蓝V
3492614990916374,yCRl13Qoe,2780930583,三河市燕达金色年华健康养护中心,#老人的晚年生活#：两位老人坐公交车去看病，不认识去医院的路。车上的售票员大吼几句，很不耐烦的叫其下车。我想问一下，老人自己去看病他的儿女在哪里？售票员家里没有老人吗？给身边的老人多些关爱吧。在晚年，老人的生活也应该受到社会的尊重。,,,,老人的晚年生活,0,0,0,2012-09-21 08:36,专业版微博,https://ww2.sinaimg.cn/large/a5c1a217tw1dx3uefsxt9j.jpg,,,,蓝V
