id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4989304683893814,NBtdOgkXs,2467794115,廉洁青白江,【#老人眼看摔倒68岁院长飞奔抱住#】#平凡英雄#近日，江苏常州，一位大爷就医时突感晕眩，身体向后仰去，眼看就要摔倒。危机时刻，68岁的院长飞奔过去，用自己的身体抱住了老人，避免了老人摔倒受伤。事后，老人送来了锦旗并表示，这一抱，救了自己一命！@我苏特稿L我苏特稿的微博视频,,,我苏特稿,"老人眼看摔倒68岁院长飞奔抱住,平凡英雄",0,0,0,2024-01-12 10:26,微博视频号,,"http://f.video.weibocdn.com/o0/BWgZ4iaklx08bBJaPqqY01041200hs6k0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724979493&ssig=dLI9gECoAl&KID=unistore,video",,,蓝V
4988965799070283,NBkpdC3AT,3963740329,陇南信访,#陇南信访话陇南#【#老人眼看摔倒68岁院长飞奔抱住#】#平凡英雄#近日，江苏常州，一位大爷就医时突感晕眩，身体向后仰去，眼看就要摔倒。危机时刻，68岁的院长飞奔过去，用自己的身体抱住了老人，避免了老人摔倒受伤。事后，老人送来了锦旗并表示，这一抱，救了自己一命！@我苏特稿L我苏特稿的微博视频,,,我苏特稿,"陇南信访话陇南,老人眼看摔倒68岁院长飞奔抱住,平凡英雄",0,0,0,2024-01-11 12:00,微博视频号,,"http://f.video.weibocdn.com/o0/BWgZ4iaklx08bBJaPqqY01041200hs6k0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724979493&ssig=dLI9gECoAl&KID=unistore,video",,,蓝V
4988745008285808,NBeF6yLw4,5044198259,石城发布,【#老人眼看摔倒68岁院长飞奔抱住#】#平凡英雄#近日，江苏常州，一位大爷就医时突感晕眩，身体向后仰去，眼看就要摔倒。危机时刻，68岁的院长飞奔过去，用自己的身体抱住了老人，避免了老人摔倒受伤。事后，老人送来了锦旗并表示，这一抱，救了自己一命！@我苏特稿L我苏特稿的微博视频O网页链接,,,我苏特稿,"老人眼看摔倒68岁院长飞奔抱住,平凡英雄",0,0,0,2024-01-10 21:22,微博视频号,,"http://f.video.weibocdn.com/o0/BWgZ4iaklx08bBJaPqqY01041200hs6k0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724979493&ssig=dLI9gECoAl&KID=unistore,video",,,蓝V
4988730105924930,NBeh4oRlo,5572266899,龙里检察,@江苏涟水法院【#老人眼看摔倒68岁院长飞奔抱住#】#平凡英雄#近日，江苏常州，一位大爷就医时突感晕眩，身体向后仰去，眼看就要摔倒。危机时刻，68岁的院长飞奔过去，用自己的身体抱住了老人，避免了老人摔倒受伤。事后，老人送来了锦旗并表示，这一抱，救了自己一命！@我苏特稿L我苏特稿的微博视频,,,"江苏涟水法院,我苏特稿","老人眼看摔倒68岁院长飞奔抱住,平凡英雄",0,1,1,2024-01-10 20:23,微博视频号,,"http://f.video.weibocdn.com/o0/BWgZ4iaklx08bBJaPqqY01041200hs6k0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724979493&ssig=dLI9gECoAl&KID=unistore,video",,,蓝V
4988688222652482,NBdbwb81Y,7821699497,网信嘉峪关,【#老人眼看摔倒68岁院长飞奔抱住#】#平凡英雄#近日，江苏常州，一位大爷就医时突感晕眩，身体向后仰去，眼看就要摔倒。危机时刻，68岁的院长飞奔过去，用自己的身体抱住了老人，避免了老人摔倒受伤。事后，老人送来了锦旗并表示，这一抱，救了自己一命！@我苏特稿L我苏特稿的微博视频,,,我苏特稿,"老人眼看摔倒68岁院长飞奔抱住,平凡英雄",0,0,0,2024-01-10 17:37,微博视频号,,"http://f.video.weibocdn.com/o0/BWgZ4iaklx08bBJaPqqY01041200hs6k0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724979493&ssig=dLI9gECoAl&KID=unistore,video",,,蓝V
4988656765632872,NBcmMnDmM,7140398611,魅力皋兰,【#老人眼看摔倒68岁院长飞奔抱住#】#平凡英雄#近日，江苏常州，一位大爷就医时突感晕眩，身体向后仰去，眼看就要摔倒。危机时刻，68岁的院长飞奔过去，用自己的身体抱住了老人，避免了老人摔倒受伤。事后，老人送来了锦旗并表示，这一抱，救了自己一命！@我苏特稿L我苏特稿的微博视频,,,我苏特稿,"老人眼看摔倒68岁院长飞奔抱住,平凡英雄",1,1,1,2024-01-10 15:32,微博视频号,,"http://f.video.weibocdn.com/o0/BWgZ4iaklx08bBJaPqqY01041200hs6k0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724979493&ssig=dLI9gECoAl&KID=unistore,video",,,
4988686661585794,NBd906Exk,7785432256,纵横甘肃,【#老人眼看摔倒68岁院长飞奔抱住#】,,,,老人眼看摔倒68岁院长飞奔抱住,0,0,1,2024-01-10 17:30,微博网页版,,,4988656765632872,,蓝V
4988667282067371,NBcDK8FOH,3089228371,万源司法,【#老人眼看摔倒68岁院长飞奔抱住#】#平凡英雄#近日，江苏常州，一位大爷就医时突感晕眩，身体向后仰去，眼看就要摔倒。危机时刻，68岁的院长飞奔过去，用自己的身体抱住了老人，避免了老人摔倒受伤。事后，老人送来了锦旗并表示，这一抱，救了自己一命！@我苏特稿http://t.cn/A6jPCqFC,,,我苏特稿http,"老人眼看摔倒68岁院长飞奔抱住,平凡英雄",0,0,0,2024-01-10 16:13,iPhone客户端,,"http://f.video.weibocdn.com/o0/BWgZ4iaklx08bBJaPqqY01041200hs6k0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724979493&ssig=dLI9gECoAl&KID=unistore,video",,,蓝V
4988665241275218,NBcAs5lK2,5496875579,巨野融媒,【#老人眼看摔倒68岁院长飞奔抱住#】#平凡英雄#近日，江苏常州，一位大爷就医时突感晕眩，身体向后仰去，眼看就要摔倒。危机时刻，68岁的院长飞奔过去，用自己的身体抱住了老人，避免了老人摔倒受伤。事后，老人送来了锦旗并表示，这一抱，救了自己一命！@我苏特稿我苏特稿的微博视频L我苏特稿的微博视频,,,我苏特稿,"老人眼看摔倒68岁院长飞奔抱住,平凡英雄",11,1,1,2024-01-10 16:05,微博视频号,,"http://f.video.weibocdn.com/o0/BWgZ4iaklx08bBJaPqqY01041200hs6k0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724979493&ssig=dLI9gECoAl&KID=unistore,video",,,蓝V
4988648067957131,NBc8Kxo0P,5255924403,红兴隆人民法院,【#老人眼看摔倒68岁院长飞奔抱住#】#平凡英雄#近日，江苏常州，一位大爷就医时突感晕眩，身体向后仰去，眼看就要摔倒。危机时刻，68岁的院长飞奔过去，用自己的身体抱住了老人，避免了老人摔倒受伤。事后，老人送来了锦旗并表示，这一抱，救了自己一命！@我苏特稿L我苏特稿的微博视频,,,我苏特稿,"老人眼看摔倒68岁院长飞奔抱住,平凡英雄",0,0,0,2024-01-10 14:57,微博视频号,,"http://f.video.weibocdn.com/o0/BWgZ4iaklx08bBJaPqqY01041200hs6k0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724979493&ssig=dLI9gECoAl&KID=unistore,video",,,蓝V
