id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4706779906705301,L2Qnks8m1,7004967995,南京城市资讯在线,【不要乱吃“偏方”！#老人腰疼吃偏方吃出一身病#】江苏南京，89岁的李女士因为腰疼，一直吃“偏方”缓解疼痛，近日她因身体不适到医院检查。经诊断，李女士出现紫斑、向心性肥胖、下肢静脉血栓以及真菌感染等一系列严重问题。医生表示，李女士的情况属于药源性库欣综合征，是由于长期服用的“偏方”中含有地塞米松，致使抵抗力下降造成的，需要长期治疗。L荔枝新闻的微博视频,,,,老人腰疼吃偏方吃出一身病,0,0,0,2021-11-23 19:34,微博视频号,,"http://f.video.weibocdn.com/o0/AfGc9ITFlx07RB3SNVXW01041200FpnI0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012921&ssig=ryN4FXt%2BfA&KID=unistore,video",,,蓝V
4706774873277046,L2QfddKvA,3271855994,议政金陵,【不要乱吃“偏方”！#老人腰疼吃偏方吃出一身病#】江苏南京，89岁的李女士因为腰疼，一直吃“偏方”缓解疼痛，近日她因身体不适到医院检查。经诊断，李女士出现紫斑、向心性肥胖、下肢静脉血栓以及真菌感染等一系列严重问题。医生表示，李女士的情况属于药源性库欣综合征，是由于长期服用的“偏方”中含有地塞米松，致使抵抗力下降造成的，需要长期治疗。L荔枝新闻的微博视频,,,,老人腰疼吃偏方吃出一身病,0,0,0,2021-11-23 19:14,微博视频号,,"http://f.video.weibocdn.com/o0/AfGc9ITFlx07RB3SNVXW01041200FpnI0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012921&ssig=ryN4FXt%2BfA&KID=unistore,video",,,蓝V
4706759111346337,L2PPN5Ef7,7443687262,南京网络文化,【不要乱吃“偏方”！#老人腰疼吃偏方吃出一身病#】江苏南京，89岁的李女士因为腰疼，一直吃“偏方”缓解疼痛，近日她因身体不适到医院检查。经诊断，李女士出现紫斑、向心性肥胖、下肢静脉血栓以及真菌感染等一系列严重问题。医生表示，李女士的情况属于药源性库欣综合征，是由于长期服用的“偏方”中含有地塞米松，致使抵抗力下降造成的，需要长期治疗。L荔枝新闻的微博视频,,,,老人腰疼吃偏方吃出一身病,0,0,0,2021-11-23 18:11,微博视频号,,"http://f.video.weibocdn.com/o0/AfGc9ITFlx07RB3SNVXW01041200FpnI0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012921&ssig=ryN4FXt%2BfA&KID=unistore,video",,,蓝V
4706742087192284,L2Pokub2A,6562496359,德州小先生,【不要乱吃“偏方”！#老人腰疼吃偏方吃出一身病#】江苏南京，89岁的李女士因为腰疼，一直吃“偏方”缓解疼痛，近日她因身体不适到医院检查。经诊断，李女士出现紫斑、向心性肥胖、下肢静脉血栓以及真菌感染等一系列严重问题。医生表示，李女士的情况属于药源性库欣综合征，是由于长期服用的“偏方”中含有地塞米松，致使抵抗力下降造成的，需要长期治疗。L荔枝新闻的微博视频,,,,老人腰疼吃偏方吃出一身病,0,0,0,2021-11-23 17:03,微博视频号,,"http://f.video.weibocdn.com/o0/AfGc9ITFlx07RB3SNVXW01041200FpnI0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012921&ssig=ryN4FXt%2BfA&KID=unistore,video",,,黄V
4706680250567588,L2NMB2nEE,1910380137,江宁发布,【不要乱吃“偏方”！#老人腰疼吃偏方吃出一身病#】江苏南京，89岁的李女士因为腰疼，一直吃“偏方”缓解疼痛，近日她因身体不适到医院检查。经诊断，李女士出现紫斑、向心性肥胖、下肢静脉血栓以及真菌感染等一系列严重问题。医生表示，李女士的情况属于药源性库欣综合征，是由于长期服用的“偏方”中含有地塞米松，致使抵抗力下降造成的，需要长期治疗。L荔枝新闻的微博视频,,,,老人腰疼吃偏方吃出一身病,0,0,1,2021-11-23 12:58,微博视频号,,"http://f.video.weibocdn.com/o0/AfGc9ITFlx07RB3SNVXW01041200FpnI0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012921&ssig=ryN4FXt%2BfA&KID=unistore,video",,,蓝V
4706666661021079,L2NqG4hD1,2986699172,溧水发布,【不要乱吃“偏方”！#老人腰疼吃偏方吃出一身病#】江苏南京，89岁的李女士因为腰疼，一直吃“偏方”缓解疼痛，近日她因身体不适到医院检查。经诊断，李女士出现紫斑、向心性肥胖、下肢静脉血栓以及真菌感染等一系列严重问题。医生表示，李女士的情况属于药源性库欣综合征，是由于长期服用的“偏方”中含有地塞米松，致使抵抗力下降造成的，需要长期治疗。L荔枝新闻的微博视频,,,,老人腰疼吃偏方吃出一身病,0,0,0,2021-11-23 12:04,微博视频号,,"http://f.video.weibocdn.com/o0/AfGc9ITFlx07RB3SNVXW01041200FpnI0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012921&ssig=ryN4FXt%2BfA&KID=unistore,video",,,蓝V
4706665150285355,L2Nof1cev,3271855994,议政金陵,【不要乱吃“偏方”！#老人腰疼吃偏方吃出一身病#】江苏南京，89岁的李女士因为腰疼，一直吃“偏方”缓解疼痛，近日她因身体不适到医院检查。经诊断，李女士出现紫斑、向心性肥胖、下肢静脉血栓以及真菌感染等一系列严重问题。医生表示，李女士的情况属于药源性库欣综合征，是由于长期服用的“偏方”中含有地塞米松，致使抵抗力下降造成的，需要长期治疗。L荔枝新闻的微博视频,,,,老人腰疼吃偏方吃出一身病,0,0,0,2021-11-23 11:58,微博视频号,,"http://f.video.weibocdn.com/o0/AfGc9ITFlx07RB3SNVXW01041200FpnI0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012921&ssig=ryN4FXt%2BfA&KID=unistore,video",,,蓝V
4706648838638066,L2MXVAf9E,5078185073,南京建设发布,【不要乱吃“偏方”！#老人腰疼吃偏方吃出一身病#】江苏南京，89岁的李女士因为腰疼，一直吃“偏方”缓解疼痛，近日她因身体不适到医院检查。经诊断，李女士出现紫斑、向心性肥胖、下肢静脉血栓以及真菌感染等一系列严重问题。医生表示，李女士的情况属于药源性库欣综合征，是由于长期服用的“偏方”中含有地塞米松，致使抵抗力下降造成的，需要长期治疗。L荔枝新闻的微博视频,,,,老人腰疼吃偏方吃出一身病,15,8,12,2021-11-23 10:53,微博视频号,,"http://f.video.weibocdn.com/o0/AfGc9ITFlx07RB3SNVXW01041200FpnI0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012921&ssig=ryN4FXt%2BfA&KID=unistore,video",,,蓝V
4706647786914146,L2MWet0Gu,2860954042,鼓楼微讯,【不要乱吃“偏方”！#老人腰疼吃偏方吃出一身病#】江苏南京，89岁的李女士因为腰疼，一直吃“偏方”缓解疼痛，近日她因身体不适到医院检查。经诊断，李女士出现紫斑、向心性肥胖、下肢静脉血栓以及真菌感染等一系列严重问题。医生表示，李女士的情况属于药源性库欣综合征，是由于长期服用的“偏方”中含有地塞米松，致使抵抗力下降造成的，需要长期治疗。L荔枝新闻的微博视频,,,,老人腰疼吃偏方吃出一身病,23,6,0,2021-11-23 10:49,微博视频号,,"http://f.video.weibocdn.com/o0/AfGc9ITFlx07RB3SNVXW01041200FpnI0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012923&ssig=XG6B%2BUSoFO&KID=unistore,video",,,蓝V
4706591465801198,L2Ltool9I,2086426211,你好大主播,【不要乱吃“偏方”！#老人腰疼吃偏方吃出一身病#】江苏南京，89岁的李女士因为腰疼，一直吃“偏方”缓解疼痛，近日她因身体不适到医院检查。经诊断，李女士出现紫斑、向心性肥胖、下肢静脉血栓以及真菌感染等一系列严重问题。医生表示，李女士的情况属于药源性库欣综合征，是由于长期服用的“偏方”中含有地塞米松，致使抵抗力下降造成的，需要长期治疗。（荔枝新闻）L荔枝新闻的微博视频,,,,老人腰疼吃偏方吃出一身病,0,0,0,2021-11-23 07:05,微博视频号,,"http://f.video.weibocdn.com/o0/AfGc9ITFlx07RB3SNVXW01041200FpnI0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012923&ssig=XG6B%2BUSoFO&KID=unistore,video",,,普通用户
