id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4836369178301567,Mfg7XyPCf,3962857703,湘潭中级法院,【切勿中招！#老人轻信投资能赚上亿儿子报警拦截#】近日，江苏的王先生在外地出差，怀疑家中的母亲遭遇电信诈骗，劝说无果后报警求助。民警赶到，老人一开始非常抵触，经劝说才将手机拿给民警看。经核实，老人确实进入了投资理财诈骗群，群内称投资能赚一千万甚至上亿。经询问，老人的手机是别人给的，专门用来看所谓的投资理财群，当天准备先投资2000元看看。最终老人被点醒，民警也对其进行了反诈宣传。L荔枝新闻的微博视频,,,,老人轻信投资能赚上亿儿子报警拦截,0,0,0,2022-11-16 09:55,iPhone客户端,,"http://f.video.weibocdn.com/o0/VyOGhK0nlx08081VhGmQ01041200Ky7Q0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725220165&ssig=7al9uuC%2Fgi&KID=unistore,video",,,蓝V
4827631050818053,MbAOd3qOp,5634013749,zfw平安浦城,#打击整治养老诈骗#【切勿中招！#老人轻信投资能赚上亿儿子报警拦截#】近日，江苏的王先生在外地出差，怀疑家中的母亲遭遇电信诈骗，劝说无果后报警求助。民警赶到，老人一开始非常抵触，经劝说才将手机拿给民警看。经核实，老人确实进入了投资理财诈骗群，群内称投资能赚一千万甚至上亿。经询问，老人的手机是别人给的，专门用来看所谓的投资理财群，当天准备先投资2000元看看。最终老人被点醒，民警也对其进行了反诈宣传。L荔枝新闻的微博视频,,,,"打击整治养老诈骗,老人轻信投资能赚上亿儿子报警拦截",59,45,142,2022-10-23 07:13,微博视频号,,"http://f.video.weibocdn.com/o0/VyOGhK0nlx08081VhGmQ01041200Ky7Q0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725220166&ssig=gQrC%2FTpQ3y&KID=unistore,video",,,
4836080798410499,Mf8CPzhXd,2474788540,平安建德,//@建德发布:#建德打击整治养老诈骗#切勿中招！#老人轻信投资能赚上亿儿子报警拦截#,,,建德发布,"建德打击整治养老诈骗,老人轻信投资能赚上亿儿子报警拦截",0,0,142,2022-11-15 14:49,微博网页版,,,4827631050818053,,蓝V
4835710210934182,MeYZ73V1s,7482620243,建德城投,//@建德发布:#建德打击整治养老诈骗#切勿中招！#老人轻信投资能赚上亿儿子报警拦截#,,,建德发布,"建德打击整治养老诈骗,老人轻信投资能赚上亿儿子报警拦截",0,0,142,2022-11-14 14:16,微博网页版,,,4827631050818053,浙江,蓝V
4835663914994278,MeXMrkXeS,7495162233,建德科协,//@建德发布:#建德打击整治养老诈骗#切勿中招！#老人轻信投资能赚上亿儿子报警拦截#,,,建德发布,"建德打击整治养老诈骗,老人轻信投资能赚上亿儿子报警拦截",0,0,142,2022-11-14 11:13,微博网页版,,,4827631050818053,,蓝V
4835616049856769,MeWxeFmc9,3482926425,建德发布,#建德打击整治养老诈骗#切勿中招！#老人轻信投资能赚上亿儿子报警拦截#,,,,"建德打击整治养老诈骗,老人轻信投资能赚上亿儿子报警拦截",3,1,142,2022-11-14 08:02,iPhone客户端,,,4827631050818053,,蓝V
4827466453222632,MbwwJdwlW,6259484379,黑龙江-平安黑龙江,【切勿中招！#老人轻信投资能赚上亿儿子报警拦截#】近日，江苏的王先生在外地出差，怀疑家中的母亲遭遇电信诈骗，劝说无果后报警求助。民警赶到，老人一开始非常抵触，经劝说才将手机拿给民警看。经核实，老人确实进入了投资理财诈骗群，群内称投资能赚一千万甚至上亿。经询问，老人的手机是别人给的，专门用来看所谓的投资理财群，当天准备先投资2000元看看。最终老人被点醒，民警也对其进行了反诈宣传。L荔枝新闻的微博视频,,,,老人轻信投资能赚上亿儿子报警拦截,17,7,5,2022-10-22 20:19,微博视频号,,"http://f.video.weibocdn.com/o0/VyOGhK0nlx08081VhGmQ01041200Ky7Q0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725220183&ssig=8xPESwOvYC&KID=unistore,video",,,
4830993134127723,Md0gVhjOb,6269541641,鹤岗警务,【切勿中招！#老人轻信投资能赚上亿儿子报警拦截#】,,,,老人轻信投资能赚上亿儿子报警拦截,0,0,5,2022-11-01 13:53,微博网页版,,,4827466453222632,,蓝V
4829685043959845,Mcsf6gC8t,3299247774,榆林公安,【切勿中招！#老人轻信投资能赚上亿儿子报警拦截#】近日，江苏的王先生在外地出差，怀疑家中的母亲遭遇电信诈骗，劝说无果后报警求助。民警赶到，老人一开始非常抵触，经劝说才将手机拿给民警看。经核实，老人确实进入了投资理财诈骗群，群内称投资能赚一千万甚至上亿。经询问，老人的手机是别人给的，专门用来看所谓的投资理财群，当天准备先投资2000元看看。最终老人被点醒，民警也对其进行了反诈宣传。L荔枝新闻的微博视频,,,,老人轻信投资能赚上亿儿子报警拦截,0,0,0,2022-10-28 23:15,iPhone客户端,,"http://f.video.weibocdn.com/o0/VyOGhK0nlx08081VhGmQ01041200Ky7Q0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725220188&ssig=igNbix7B4H&KID=unistore,video",,,蓝V
4828015387478703,MbKO6vnyf,5539719053,南平检察,#南检君分享##打击整治养老诈骗#【切勿中招！#老人轻信投资能赚上亿儿子报警拦截#】近日，江苏的王先生在外地出差，怀疑家中的母亲遭遇电信诈骗，劝说无果后报警求助。民警赶到，老人一开始非常抵触，经劝说才将手机拿给民警看。经核实，老人确实进入了一个投资理财诈骗群，群内称投资能赚一千万甚至上亿。经询问，老人的手机是别人给的，专门用来看所谓的投资理财群，当天准备先投资2000元看看。最终老人被点醒，民警也对其进行了反诈宣传。L荔枝新闻的微博视频,,,,"南检君分享,打击整治养老诈骗,老人轻信投资能赚上亿儿子报警拦截",1,28,16,2022-10-24 08:40,微博视频号,,"http://f.video.weibocdn.com/o0/VyOGhK0nlx08081VhGmQ01041200Ky7Q0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725220189&ssig=fOxwy9BD5P&KID=unistore,video",,,
