id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4840567181156401,Mh1kW4QPD,6750669939,老涉蓝儿,20年后还是你陪我过生日#老人过生日将儿女给的120万全捐出##做健康老人##家有儿女##健康养生#,,,,"老人过生日将儿女给的120万全捐出,做健康老人,家有儿女,健康养生",0,3,4,2022-11-27 23:56,HUAWEI P40 Pro 5G,"https://wx1.sinaimg.cn/large/007mR7Ddgy1h8k4ehio3fj30zk16ltnm.jpg,https://wx1.sinaimg.cn/large/007mR7Ddgy1h8k4ehsbwmj30u00q5grm.jpg,https://wx4.sinaimg.cn/large/007mR7Ddgy1h8k4kifthuj30xc21c4is.jpg",,,广东,普通用户
4840347266712333,MgVCesabr,3845686115,邹城发布,【#老人过生日将儿女给的120万全捐出#】湖南长沙，许迪云老人取消80岁生日宴，捐出3个子女准备给他办酒的资金，为家乡的水库清淤、打造风光带，共计约120万元。开工后，许爷爷几乎每天都会去现场看看，目前清淤工作已进入收尾阶段，下一步准备打造沿库风光带，预计12月底完成。许爷爷说，我生长在这里，能帮助村民粮食丰收，儿女们都很赞成。L大米Video的微博视频,,,,老人过生日将儿女给的120万全捐出,0,0,2,2022-11-27 09:23,微博视频号,,"http://f.video.weibocdn.com/o0/jIqsOJPFlx0813gSklpe01041200Czqa0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729473206&ssig=liZlBu0wK%2F&KID=unistore,video",,,蓝V
4839753650539689,MgGaN2goF,3168946765,亚布力人民检察,【#老人过生日将儿女给的120万全捐出#】湖南长沙，许迪云老人取消80岁生日宴，捐出3个子女准备给他办酒的资金，为家乡的水库清淤、打造风光带，共计约120万元。开工后，许爷爷几乎每天都会去现场看看，目前清淤工作已进入收尾阶段，下一步准备打造沿库风光带，预计12月底完成。许爷爷说，我生长在这里，能帮助村民粮食丰收，儿女们都很赞成。@大米VideoL大米Video的微博视频,,,大米Video,老人过生日将儿女给的120万全捐出,14,37,32,2022-11-25 18:04,微博视频号,,"http://f.video.weibocdn.com/o0/jIqsOJPFlx0813gSklpe01041200Czqa0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729473206&ssig=liZlBu0wK%2F&KID=unistore,video",,,
4840161613974275,MgQMNgFTd,6510151806,陈畅你好,//@亚布力人民检察:【#老人过生日将儿女给的120万全捐出#】,,,亚布力人民检察,老人过生日将儿女给的120万全捐出,0,0,32,2022-11-26 21:05,HUAWEI P30 Pro,,,4839753650539689,黑龙江,普通用户
4840061633562347,MgObxeWJd,3545864881,蚌埠新闻联播,【#老人过生日将儿女给的120万全捐出#】湖南长沙，许迪云老人取消80岁生日宴，捐出3个子女准备给他办酒的资金，为家乡的水库清淤、打造风光带，共计约120万元。开工后，许爷爷几乎每天都会去现场看看，目前清淤工作已进入收尾阶段，下一步准备打造沿库风光带，预计12月底完成。许爷爷说，我生长在这里，能帮助村民粮食丰收，儿女们都很赞成。@大米VideoL大米Video的微博视频,,,大米Video,老人过生日将儿女给的120万全捐出,0,0,0,2022-11-26 14:28,微博视频号,,"http://f.video.weibocdn.com/o0/jIqsOJPFlx0813gSklpe01041200Czqa0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729473206&ssig=liZlBu0wK%2F&KID=unistore,video",,,蓝V
4840034396280020,MgNtBqlIE,3860420669,宜春发布,【#老人过生日将儿女给的120万全捐出#】湖南长沙，许迪云老人取消80岁生日宴，捐出3个子女准备给他办酒的资金，为家乡的水库清淤、打造风光带，共计约120万元。开工后，许爷爷几乎每天都会去现场看看，目前清淤工作已进入收尾阶段，下一步准备打造沿库风光带，预计12月底完成。许爷爷说，我生长在这里，能帮助村民粮食丰收，儿女们都很赞成。@大米VideoL大米Video的微博视频,,,大米Video,老人过生日将儿女给的120万全捐出,0,0,0,2022-11-26 12:39,微博视频号,,"http://f.video.weibocdn.com/o0/jIqsOJPFlx0813gSklpe01041200Czqa0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729473206&ssig=liZlBu0wK%2F&KID=unistore,video",,,蓝V
4840009302283233,MgMP89zYl,3977845423,和谐宽城,【#老人过生日将儿女给的120万全捐出#】湖南长沙，许迪云老人取消80岁生日宴，捐出3个子女准备给他办酒的资金，为家乡的水库清淤、打造风光带，共计约120万元。开工后，许爷爷几乎每天都会去现场看看，目前清淤工作已进入收尾阶段，下一步准备打造沿库风光带，预计12月底完成。许爷爷说，我生长在这里，能帮助村民粮食丰收，儿女们都很赞成。（via：L大米Video的微博视频,,,,老人过生日将儿女给的120万全捐出,0,0,0,2022-11-26 11:00,微博视频号,,"http://f.video.weibocdn.com/o0/jIqsOJPFlx0813gSklpe01041200Czqa0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729473206&ssig=liZlBu0wK%2F&KID=unistore,video",,,蓝V
4839971552757312,MgLQfbziM,5381304837,黄骅检察,#黄骅检察微分享#【#老人过生日将儿女给的120万全捐出#】湖南长沙，许迪云老人取消80岁生日宴，捐出3个子女准备给他办酒的资金，为家乡的水库清淤、打造风光带，共计约120万元。开工后，许爷爷几乎每天都会去现场看看，目前清淤工作已进入收尾阶段，下一步准备打造沿库风光带，预计12月底完成。许爷爷说，我生长在这里，能帮助村民粮食丰收，儿女们都很赞成。@大米VideoL大米Video的微博视频,,,大米Video,"黄骅检察微分享,老人过生日将儿女给的120万全捐出",0,0,0,2022-11-26 08:30,微博视频号,,"http://f.video.weibocdn.com/o0/jIqsOJPFlx0813gSklpe01041200Czqa0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729473208&ssig=eyElyP2WCq&KID=unistore,video",,,蓝V
4839835884329602,MgIjqiaki,2502659555,共青团承德市委,【#老人过生日将儿女给的120万全捐出#】湖南长沙，许迪云老人取消80岁生日宴，捐出3个子女准备给他办酒的资金，为家乡的水库清淤、打造风光带，共计约120万元。开工后，许爷爷几乎每天都会去现场看看，目前清淤工作已进入收尾阶段，下一步准备打造沿库风光带，预计12月底完成。许爷爷说，我生长在这里，能帮助村民粮食丰收，儿女们都很赞成。@大米VideoL大米Video的微博视频,,,大米Video,老人过生日将儿女给的120万全捐出,0,0,0,2022-11-25 23:30,iPhone客户端,,"http://f.video.weibocdn.com/o0/jIqsOJPFlx0813gSklpe01041200Czqa0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729473208&ssig=eyElyP2WCq&KID=unistore,video",,,蓝V
4839830128692242,MgIa8Atfs,7583301800,云雾缭绕月朦胧,#老人过生日将儿女给的120万全捐出#心系国家的老人一定会健康长寿的。,,,,老人过生日将儿女给的120万全捐出,0,0,0,2022-11-25 23:08,稳得像骆驼Android,,,,四川,普通用户
