id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5048908491264929,OkwkF5j45,7722182053,接着奏乐接着5_桑榆未晚,Day1在日落的余晖中，桑榆的枝桠映照着金红色的光芒，似乎在低语着岁月的故事。当岁月的长河缓缓流淌，有些人选择停下脚步，享受安逸的晚年；而有些人，却如那夕阳下的桑榆，虽已晚暮，却依然热烈地燃烧着自己。我们将聆听一位老人的心声，她的人生，正如那“莫道桑榆晚，为霞尚满天”的诗意画面，虽已步入晚年，但内心的热情与活力却如同晚霞般绚烂。我们是《莫道桑榆晚，为霞尚满天》栏目组，让我们一同迎接更加美好的未来。Day2预告：嘉宾及logo介绍@笑荣藏宝图#老人退休后追求理想生活#,,,笑荣藏宝图,老人退休后追求理想生活,1,6,3,2024-06-24 21:50,iPhone客户端,"https://wx4.sinaimg.cn/large/008qBujrly1hr0s757iufj30wr0sl400.jpg,https://wx3.sinaimg.cn/large/008qBujrly1hr0s751a6hj30qa0wr40x.jpg",,,北京,普通用户
5036131859039079,Of9XbBVtB,2285267125,一唧羊吼,理想退休生活：早上锻炼完做衣服，下午江边晒太阳喝咖啡看书，傍晚下柳江划船，晚上开敞篷环江或者散步美了，#老人退休后追求理想生活#,,,,老人退休后追求理想生活,1,3,1,2024-05-20 15:41,iPhone客户端,,,,广西,普通用户
4984083026805553,NzhnMsyqZ,7754565780,7uuuu7u,永远要去追求理想生活#老人退休后追求理想生活#落魄的永远是自己（起码年轻的时候）我应该🥺时常保持满足感呜呜呜呜我是个还不错生活幸福的小女孩,,,,老人退休后追求理想生活,0,0,0,2023-12-29 00:37,iPhone客户端,,,,江苏,普通用户
4970121095544889,NtqaxngtH,7873714975,金龄网上老年大学,随着年龄的增长，老年人面临着各种挑战，包括身体健康、认知能力、社交生活等方面的变化。而学习乐器可以有效的解决这种挑战，不仅能丰富老年人的晚年生活，还可以促进身心健康。做为子女应该多多关注家里老人内心中的情感需求！#老年人学钢琴#退休生活超话#网上老年大学##老人退休后追求理想生活#O为什么越来越多的老年人开始学习乐器？,,,,"老年人学钢琴,网上老年大学,老人退休后追求理想生活",0,0,0,2023-11-20 11:57,微博 weibo.com,,,,广东,蓝V
4968672078859562,NsOtpBaMa,7873714975,金龄网上老年大学,叮咚~，网大绘画小展堂《第三期》来了！这次展示的是网大6位同学的水墨画作品！平均年龄在70岁哟~，只要想学，年龄不是问题！觉得咱们老年同学画的好的，请点赞支持哟！#老年人学绘画#水墨画超话#老人退休后追求理想生活##网上老年大学#,,,,"老年人学绘画,老人退休后追求理想生活,网上老年大学",0,0,0,2023-11-16 12:00,微博网页版,"https://wx2.sinaimg.cn/large/008ARiWPgy1hjwrvbstaqj30k00jxn33.jpg,https://wx2.sinaimg.cn/large/008ARiWPgy1hjwrvbtt44j30k00kedne.jpg,https://wx3.sinaimg.cn/large/008ARiWPgy1hjwrvbrx8uj30k00lun3l.jpg,https://wx4.sinaimg.cn/large/008ARiWPgy1hjwrvc5k2vj30k0125jx4.jpg,https://wx4.sinaimg.cn/large/008ARiWPgy1hjwrvbr5k4j30k00v6n1x.jpg,https://wx3.sinaimg.cn/large/008ARiWPgy1hjwrvbrylaj30um0qoac8.jpg",,,广东,蓝V
4963264370837589,NqxNj3vTv,7841345042,awe杯欢,人生是对理想的追求，理想是人生的指示灯，失去了这灯的作用，就会失去生活的勇气，因此只有坚持远大的人生理想，才不会在生活的海洋中迷失方向。#老人退休后追求理想生活#,,,,老人退休后追求理想生活,0,0,0,2023-11-01 13:51,iPhone客户端,,,,广东,普通用户
4958288783868818,Nosmagesi,5382642686,Mr_YT先生,#被老一辈的浪漫整破防了##老人退休后追求理想生活#,,,,"被老一辈的浪漫整破防了,老人退休后追求理想生活",0,0,0,2023-10-18 20:20,尊嘟超爱你,https://wx2.sinaimg.cn/large/005Sh1fwly1hizonusfe5j30qy0pst9n.jpg,,,山西,普通用户
4952691160648842,Nm6JK2INc,7838776819,幼稚鬼cat,人生是对理想的追求，理想是人生的指示灯，失去了这灯的作用，就会失去生活的勇气，因此只有坚持远大的人生理想，才不会在生活的海洋中迷失方向。#老人退休后追求理想生活#,,,,老人退休后追求理想生活,0,0,0,2023-10-03 09:37,iPhone客户端,,,,广东,普通用户
4880242764679694,MxFtOjDoW,2196852744,活力肜肜,阳光明媚，落叶纷飞！原来退休的爸爸妈妈对晚辈也是有话说的今天搭了佛山G114，一趟很热闹的行程：整个车厢，一车的退休爸爸妈妈都在交谈，退休了自己明明也有退休金，却还要帮孩子带娃、搞卫生、煮饭等着孩子回来吃饭，还好孩子没给脸色看，否则不可能不帮忙！现在的孩子生三胎也是折腾死自己这群老家伙！也非常理解孩子，不结婚不生孩子，生多少个孩子。原来他们也不愿意大家住一起互相折腾作为车上唯二的晚辈，我和另一个女孩子默默聆听#生三胎##如何看待年轻人不愿意结婚##老人退休后追求理想生活#,,,,"生三胎,如何看待年轻人不愿意结婚,老人退休后追求理想生活",0,0,0,2023-03-17 11:33,iPhone客户端,,,,广东,普通用户
4873680591520237,MuULF6ntX,3602855042,_Shadow-ZZ,距离成为退休的快乐老人又近了一年🥳🎉#老人退休后追求理想生活##老人退休后追求理想生活#L_Shadow-ZZ的微博视频,,,,老人退休后追求理想生活,0,6,3,2023-02-27 08:57,iPhone客户端,,"http://fb.video.weibocdn.com/u8/DfcrcYrKgx083tbP0aa40104120061ga0E018.mp4?label=mp4_720p&template=832x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1728797871&ssig=Ri0WfYDVrZ&KID=unistore,video",,贵州,普通用户
4872272043576313,Muk7Of0mt,1802938230,好命的菜宝,#高学历低龄老人线上求职碰壁##老人退休后追求理想生活##老人退休后追求理想生活#来了！来了！终于来了！没钱的退休老人开始找工作了！跟日本的现状一模一样……60岁还打工，还送外卖还做保洁哎～没钱的老年生活真的累……,,广州,,"高学历低龄老人线上求职碰壁,老人退休后追求理想生活",0,0,2,2023-02-23 11:40,iPhone 12 Pro Max,,,,广东,普通用户
4837164686510586,MfAP2rjHs,2106418534,英子的碎碎念,#当长辈有了国家级秘密##身边的老年兼职群体##当长辈有了国家级秘密##当长辈有了国家级秘密##身边的老年兼职群体##当长辈有了国家级秘密##老人退休后追求理想生活#O老年兼职小心被骗,,,,"当长辈有了国家级秘密,身边的老年兼职群体,老人退休后追求理想生活",0,0,2,2022-11-18 14:36,Hi nova 9,,,,新疆,黄V
4834658594591705,MexCXjgvL,6093907972,聰明笨豬sir,身心疲累，很想外出走走🥵🥵🥵#老人退休后追求理想生活#,,,,老人退休后追求理想生活,0,29,49,2022-11-11 16:38,iPhone客户端,https://wx1.sinaimg.cn/large/006EppQggy1h819yj5qdvj30u0140qhy.jpg,,,中国香港,普通用户
4827046591072290,MblBx4uX0,6529378041,烤糖酱,#纪录片##大学生##老年人##老人退休后追求理想生活#,,,,"纪录片,大学生,老年人,老人退休后追求理想生活",0,0,0,2022-10-21 16:30,iPhone客户端,https://wx4.sinaimg.cn/large/0077SBv3gy1h7czq78slij30n00k8wh3.jpg,,,湖北,普通用户
