id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4764348238529913,LqZZtzN1f,6382509918,长春城市生活,【#老人陷网恋要手机号每520元给两个数字#】绍兴的张先生63岁，单身，想找个老伴。他在一款“佳人有缘”交友软件上认识了叫“温柔小绵羊”的网友，两人聊得十分投机，甚至以老公老婆相称。只是根据平台机制，聊天按时间收费，张先生聊了一周花了3000多元。他提出要对方的手机号，被告知需要打赏，每花520元，对方就提供两个数字。张先生打赏了5次，得到了10个数字，最后一位从0拨到9都打了一遍，结果也没找到人。@小强热线-浙江教科L小强热线-浙江教科的微博视频,,,小强热线-浙江教科,老人陷网恋要手机号每520元给两个数字,0,0,0,2022-05-01 16:10,微博视频号,,"http://f.video.weibocdn.com/o0/LnQbQSAIlx07VwG5slGg01041201rUv20E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002743&ssig=L1pUeRtBHn&KID=unistore,video",,,黄V
4762544093004669,Lqf3zcBEp,5385579770,淄博检察,【#老人陷网恋要手机号每520元给两个数字#】绍兴的张先生63岁，单身，想找个老伴。他在一款“佳人有缘”交友软件上认识了叫“温柔小绵羊”的网友，两人聊得十分投机，甚至以老公老婆相称。只是根据平台机制，聊天按时间收费，张先生聊了一周花了3000多元。他提出要对方的手机号，被告知需要打赏，每花520元，对方就提供两个数字。张先生打赏了5次，得到了10个数字，最后一位从0拨到9都打了一遍，结果也没找到人。@小强热线-浙江教科@小强热线-浙江教科的微博视频L小强热线-浙江教科的微博视频,,,"小强热线-浙江教科,小强热线-浙江教科的微博视频",老人陷网恋要手机号每520元给两个数字,0,0,0,2022-04-26 16:40,微博视频号,,"http://f.video.weibocdn.com/o0/LnQbQSAIlx07VwG5slGg01041201rUv20E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002743&ssig=L1pUeRtBHn&KID=unistore,video",,,蓝V
4762474560095776,Lqdfq0oUM,5667339675,和田网警,【#老人陷网恋要手机号每520元给两个数字#】绍兴的张先生63岁，单身，想找个老伴。他在一款“佳人有缘”交友软件上认识了叫“温柔小绵羊”的网友，两人聊得十分投机，甚至以老公老婆相称。只是根据平台机制，聊天按时间收费，张先生聊了一周花了3000多元。他提出要对方的手机号，被告知需要打赏，每花520元，对方就提供两个数字。张先生打赏了5次，得到了10个数字，最后一位从0拨到9都打了一遍，结果也没找到人。L小强热线-浙江教科的微博视频收起全文dL小强热线-浙江教科的微博视频,,,,老人陷网恋要手机号每520元给两个数字,0,0,0,2022-04-26 12:04,微博视频号,,"http://f.video.weibocdn.com/o0/LnQbQSAIlx07VwG5slGg01041201rUv20E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002743&ssig=L1pUeRtBHn&KID=unistore,video",,,蓝V
4762448387115739,LqczctR7Z,5917152446,渭南网警,【#老人陷网恋要手机号每520元给两个数字#】绍兴的张先生63岁，单身，想找个老伴。他在一款“佳人有缘”交友软件上认识了叫“温柔小绵羊”的网友，两人聊得十分投机，甚至以老公老婆相称。只是根据平台机制，聊天按时间收费，张先生聊了一周花了3000多元。他提出要对方的手机号，被告知需要打赏，每花520元，对方就提供两个数字。张先生打赏了5次，得到了10个数字，最后一位从0拨到9都打了一遍，结果也没找到人。L小强热线-浙江教科的微博视频,,,,老人陷网恋要手机号每520元给两个数字,0,0,0,2022-04-26 10:20,微博视频号,,"http://f.video.weibocdn.com/o0/LnQbQSAIlx07VwG5slGg01041201rUv20E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002743&ssig=L1pUeRtBHn&KID=unistore,video",,,蓝V
4762216714994400,Lq6xxkXgQ,3984138317,达旗政法委,【#老人陷网恋要手机号每520元给两个数字#】绍兴的张先生63岁，单身，想找个老伴。他在一款“佳人有缘”交友软件上认识了叫“温柔小绵羊”的网友，两人聊得十分投机，甚至以老公老婆相称。只是根据平台机制，聊天按时间收费，张先生聊了一周花了3000多元。他提出要对方的手机号，被告知需要打赏，每花520元，对方就提供两个数字。张先生打赏了5次，得到了10个数字，最后一位从0拨到9都打了一遍，结果也没找到人。@小强热线-浙江教科L小强热线-浙江教科的微博视频,,,小强热线-浙江教科,老人陷网恋要手机号每520元给两个数字,0,0,0,2022-04-25 19:00,微博视频号,,"http://f.video.weibocdn.com/o0/LnQbQSAIlx07VwG5slGg01041201rUv20E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002743&ssig=L1pUeRtBHn&KID=unistore,video",,,蓝V
4762186499492253,Lq5KNDPmR,6378478092,内蒙古法制报社官方微博,【#老人陷网恋要手机号每520元给两个数字#】绍兴的张先生63岁，单身，想找个老伴。他在一款“佳人有缘”交友软件上认识了叫“温柔小绵羊”的网友，两人聊得十分投机，甚至以老公老婆相称。只是根据平台机制，聊天按时间收费，张先生聊了一周花了3000多元。他提出要对方的手机号，被告知需要打赏，每花520元，对方就提供两个数字。张先生打赏了5次，得到了10个数字，最后一位从0拨到9都打了一遍，结果也没找到人。@小强热线-浙江教科L小强热线-浙江教科的微博视频,,,小强热线-浙江教科,老人陷网恋要手机号每520元给两个数字,0,0,0,2022-04-25 17:00,微博视频号,,"http://f.video.weibocdn.com/o0/LnQbQSAIlx07VwG5slGg01041201rUv20E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002743&ssig=L1pUeRtBHn&KID=unistore,video",,,蓝V
4762178957082775,Lq5yDtIyj,5367519413,乌拉特前旗法治之声,【#老人陷网恋要手机号每520元给两个数字#】绍兴的张先生63岁，单身，想找个老伴。他在一款“佳人有缘”交友软件上认识了叫“温柔小绵羊”的网友，两人聊得十分投机，甚至以老公老婆相称。只是根据平台机制，聊天按时间收费，张先生聊了一周花了3000多元。他提出要对方的手机号，被告知需要打赏，每花520元，对方就提供两个数字。张先生打赏了5次，得到了10个数字，最后一位从0拨到9都打了一遍，结果也没找到人。@小强热线-浙江教科L小强热线-浙江教科的微博视频,,,小强热线-浙江教科,老人陷网恋要手机号每520元给两个数字,0,0,0,2022-04-25 16:30,微博视频号,,"http://f.video.weibocdn.com/o0/LnQbQSAIlx07VwG5slGg01041201rUv20E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002743&ssig=L1pUeRtBHn&KID=unistore,video",,,蓝V
4762165745550527,Lq5dknhWD,3945824549,恩阳110,【#老人陷网恋要手机号每520元给两个数字#】绍兴的张先生63岁，单身，想找个老伴。他在一款“佳人有缘”交友软件上认识了叫“温柔小绵羊”的网友，两人聊得十分投机，甚至以老公老婆相称。只是根据平台机制，聊天按时间收费，张先生聊了一周花了3000多元。他提出要对方的手机号，被告知需要打赏，每花520元，对方就提供两个数字。张先生打赏了5次，得到了10个数字，最后一位从0拨到9都打了一遍，结果也没找到人。@小强热线-浙江教科L小强热线-浙江教科的微博视频,,,小强热线-浙江教科,老人陷网恋要手机号每520元给两个数字,2,0,4,2022-04-25 15:37,微博视频号,,"http://f.video.weibocdn.com/o0/LnQbQSAIlx07VwG5slGg01041201rUv20E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002744&ssig=1cKEDPV82C&KID=unistore,video",,,蓝V
4762129368091064,Lq4gExWR2,3898037768,重庆九龙坡法院,【#老人陷网恋要手机号每520元给两个数字#】绍兴的张先生63岁，单身，想找个老伴。他在一款“佳人有缘”交友软件上认识了叫“温柔小绵羊”的网友，两人聊得十分投机，甚至以老公老婆相称。只是根据平台机制，聊天按时间收费，张先生聊了一周花了3000多元。他提出要对方的手机号，被告知需要打赏，每花520元，对方就提供两个数字。张先生打赏了5次，得到了10个数字，最后一位从0拨到9都打了一遍，结果也没找到人。@小强热线-浙江教科L小强热线-浙江教科的微博视频,,,小强热线-浙江教科,老人陷网恋要手机号每520元给两个数字,2,11,6,2022-04-25 13:13,微博视频号,,"http://f.video.weibocdn.com/o0/LnQbQSAIlx07VwG5slGg01041201rUv20E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002744&ssig=1cKEDPV82C&KID=unistore,video",,,
4762152135819761,Lq4RnopZ7,1561092873,邵阳武冈法院,【#老人陷网恋要手机号每520元给两个数字#】,,,,老人陷网恋要手机号每520元给两个数字,0,5,6,2022-04-25 14:43,360安全浏览器,,,4762129368091064,,蓝V
