id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4929520877965048,NcnYjxq4w,6219200923,兰州微博哥,#网信普法耀陇原##2023兰州网信普法#【遇到霸座者怎么办？《民法典》为你撑腰！】“霸座”是不道德的行为，更是违法行为。针对客运合同领域出现的旅客“霸座”等严重干扰运输秩序的问题，《民法典》对此予以回应，让你有理有据向“霸座者”说不。据媒体~#老人高铁霸座掏出一把药丸#，学法律，守法第一条传播法治人人学法来源：L法治四川的微博视频,,,,"网信普法耀陇原,2023兰州网信普法,老人高铁霸座掏出一把药丸",0,0,0,2023-07-31 11:07,微博视频号,,"http://f.video.weibocdn.com/o0/esMXFo1blx07ZqRNL1k401041200adVi0E010.mp4?label=mp4_hd&template=852x480.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729409494&ssig=KKocuvqBA9&KID=unistore,video",,宁夏,普通用户
4929504746673470,Ncnyis04C,6451572457,逛龙城,#网信普法耀陇原##2023兰州网信普法#【遇到霸座者怎么办？《民法典》为你撑腰！】“霸座”是不道德的行为，更是违法行为。针对客运合同领域出现的旅客“霸座”等严重干扰运输秩序的问题，《民法典》对此予以回应，让你有理有据向“霸座者”说不。据媒体~#老人高铁霸座掏出一把药丸#，学法律，守法第一条传播法治人人学法来源：L法治四川的微博视频,,,,"网信普法耀陇原,2023兰州网信普法,老人高铁霸座掏出一把药丸",0,1,2,2023-07-31 10:03,HarmonyOS设备,,"http://f.video.weibocdn.com/o0/esMXFo1blx07ZqRNL1k401041200adVi0E010.mp4?label=mp4_hd&template=852x480.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729409494&ssig=KKocuvqBA9&KID=unistore,video",,甘肃,黄V
4929332965277985,Ncj5em92N,5992928237,兰州乐活圈,#网信普法耀陇原##2023兰州网信普法#【遇到霸座者怎么办？《民法典》为你撑腰！】“霸座”是不道德的行为，更是违法行为。针对客运合同领域出现的旅客“霸座”等严重干扰运输秩序的问题，《民法典》对此予以回应，让你有理有据向“霸座者”说不。据媒体~#老人高铁霸座掏出一把药丸#，学法律，守法第一条传播法治人人学法来源：L法治四川的微博视频,,,,"网信普法耀陇原,2023兰州网信普法,老人高铁霸座掏出一把药丸",0,0,0,2023-07-30 22:40,微博视频号,,"http://f.video.weibocdn.com/o0/esMXFo1blx07ZqRNL1k401041200adVi0E010.mp4?label=mp4_hd&template=852x480.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729409495&ssig=Cj5lMYJuZs&KID=unistore,video",,甘肃,黄V
4929273976848391,Nchy5sJzV,2706505797,博爱兰州,#网信普法耀陇原##2023兰州网信普法#【遇到霸座者怎么办？《民法典》为你撑腰！】“霸座”是不道德的行为，更是违法行为。针对客运合同领域出现的旅客“霸座”等严重干扰运输秩序的问题，《民法典》对此予以回应，让你有理有据向“霸座者”说不。据媒体~#老人高铁霸座掏出一把药丸#，学法律，守法第一条传播法治人人学法来源：L法治四川的微博视频,,,,"网信普法耀陇原,2023兰州网信普法,老人高铁霸座掏出一把药丸",1,1,10,2023-07-30 18:45,微博视频号,,"http://f.video.weibocdn.com/o0/esMXFo1blx07ZqRNL1k401041200adVi0E010.mp4?label=mp4_hd&template=852x480.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729409495&ssig=Cj5lMYJuZs&KID=unistore,video",,甘肃,黄V
4929211704019348,NcfVEgRCc,3877456382,新城法院,#法治微课堂##普法课堂#【遇到霸座者怎么办？《民法典》为你撑腰！】“霸座”是不道德的行为，更是违法行为。针对客运合同领域出现的旅客“霸座”等严重干扰运输秩序的问题，《民法典》对此予以回应，让你有理有据向“霸座者”说不。据媒体~#老人高铁霸座掏出一把药丸#，学法律，守法第一条传播法治人人学法来源：L法治四川的微博视频,,,,"法治微课堂,普法课堂,老人高铁霸座掏出一把药丸",0,0,0,2023-07-30 14:38,微博视频号,,"http://f.video.weibocdn.com/o0/esMXFo1blx07ZqRNL1k401041200adVi0E010.mp4?label=mp4_hd&template=852x480.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729409495&ssig=Cj5lMYJuZs&KID=unistore,video",,,蓝V
4929205608907217,NcfLOBnaN,5078580595,黄陂检察,【遇到霸座者怎么办？《民法典》为你撑腰！】“霸座”是不道德的行为，更是违法行为。针对客运合同领域出现的旅客“霸座”等严重干扰运输秩序的问题，《民法典》对此予以回应，让你有理有据向“霸座者”说不。据媒体~#老人高铁霸座掏出一把药丸#，学法律，守法第一条传播法治人人学法来源：L法治四川的微博视频,,,,老人高铁霸座掏出一把药丸,2,0,1,2023-07-30 14:14,微博视频号,,"http://f.video.weibocdn.com/o0/esMXFo1blx07ZqRNL1k401041200adVi0E010.mp4?label=mp4_hd&template=852x480.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729409495&ssig=Cj5lMYJuZs&KID=unistore,video",,,蓝V
4929202547071126,NcfGStFwq,5120949236,荆州市检察院,#荆检言法#【遇到霸座者怎么办？《民法典》为你撑腰！】“霸座”是不道德的行为，更是违法行为。针对客运合同领域出现的旅客“霸座”等严重干扰运输秩序的问题，《民法典》对此予以回应，让你有理有据向“霸座者”说不。据媒体~#老人高铁霸座掏出一把药丸#，学法律，守法第一条传播法治人人学法来源：L法治四川的微博视频,,,,"荆检言法,老人高铁霸座掏出一把药丸",0,0,2,2023-07-30 14:02,微博视频号,,"http://f.video.weibocdn.com/o0/esMXFo1blx07ZqRNL1k401041200adVi0E010.mp4?label=mp4_hd&template=852x480.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729409495&ssig=Cj5lMYJuZs&KID=unistore,video",,,蓝V
4928982569714634,Nc9Y4ELdE,2575101417,周至法院,#法治微课堂##普法课堂#【遇到霸座者怎么办？《民法典》为你撑腰！】“霸座”是不道德的行为，更是违法行为。针对客运合同领域出现的旅客“霸座”等严重干扰运输秩序的问题，《民法典》对此予以回应，让你有理有据向“霸座者”说不。据媒体~#老人高铁霸座掏出一把药丸#，学法律，守法第一条传播法治人人学法来源：L法治四川的微博视频,,,,"法治微课堂,普法课堂,老人高铁霸座掏出一把药丸",0,0,1,2023-07-29 23:28,微博视频号,,"http://f.video.weibocdn.com/o0/esMXFo1blx07ZqRNL1k401041200adVi0E010.mp4?label=mp4_hd&template=852x480.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729409497&ssig=Sg%2B4vF9IOq&KID=unistore,video",,,蓝V
4923720106250789,N9X4eqe7b,5726400135,振兴检察,【#高铁霸座属于违法行为#】#老人高铁霸座掏出一把药丸#：“我有高血压、心脏病”。7月3日，高铁荆州-汉口段。一七旬老人高铁上霸座，被占座乘客称，“这是我的票。”老人起身表示，“我70几岁，我不能坐？座位是先到（先得的）。”期间，老人掏出一把药丸，称自己有高血压、心脏病。《法治日报》律师专家库成员、北京市康达律师事务所高级合伙人栾燕律师指出，高铁霸座是违法行为。霸座行为侵犯了其他乘客的合法权利，扰乱了公共秩序，《中华人民共和国治安管理处罚法》和《中华人民共和国刑法》均将高铁霸座行为定义为寻衅滋事的违法犯罪行为。《中华人民共和国治安管理处罚法》第23条第一款第（三）项规定的“扰乱公共汽车、电车、火车、船舶、航空器或者其他公共交通工具上的秩序”的行为，可受到“处警告或者二百元以下罚款；情节较重的，处五日以上十日以下拘留，可以并处五百元以下罚款”的行政处罚；第26条规定有寻衅滋事行为的应“处五日以上十日以下拘留，可以并处五百元以下罚款；情节较重的，处十日以上十五日以下拘留，可以并处一千元以下罚款。”如寻衅滋事情节严重、构成《中华人民共和国刑法》第293条规定的寻衅滋事罪的，可处五年以下有期徒刑、拘役或者管制。L封面新闻的微博视频,,,,"高铁霸座属于违法行为,老人高铁霸座掏出一把药丸",0,1,0,2023-07-15 10:56,微博视频号,,"http://f.video.weibocdn.com/o0/EaksE0b1lx086Ke6HxWM010412006V4p0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729409515&ssig=fn8hIHbaYY&KID=unistore,video",,,蓝V
4923703802987119,N9WDWcx5l,5726400135,振兴检察,【#高铁出行遇霸座咋办#？】#老人高铁霸座掏出一把药丸#7月3日，高铁荆州-汉口段。一名七旬老人高铁上霸座，被占座乘客称，“这是我的票。”老人起身表示，“我70几岁，我不能坐？座位是先到（先得的）。”其间，老人掏出一把药丸，称自己有高血压、心脏病。“你好，这是我的座位，麻烦您让一下”“谁规定要对号入座啦？就不让你能拿我怎么办？”……乘坐高铁、飞机等交通工具时遇到“霸座者”装聋作哑，甚至撒泼打滚侵占座位该怎么办？民法典规定，旅客应当按照有效客票记载的时间、班次和座位号乘坐，从法律上对霸座行为进行约束，让你有理有据对霸座者说“不”↓LCCTV今日说法的微博视频,,,,"高铁出行遇霸座咋办,老人高铁霸座掏出一把药丸",1,1,2,2023-07-15 09:52,微博视频号,,"http://f.video.weibocdn.com/EzKnbFNIlx07Qe9fZxuE01041200riNb0E010.mp4?label=mp4_720p&template=720x960.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1729409515&ssig=09aHRIDZ2Z&KID=unistore,video",,,蓝V
4921927568725041,N9cr2ABMt,5704801387,道外检察,【#高铁霸座属于违法行为#】#老人高铁霸座掏出一把药丸#：“我有高血压、心脏病”。7月3日，高铁荆州-汉口段。一七旬老人高铁上霸座，被占座乘客称，“这是我的票。”老人起身表示，“我70几岁，我不能坐？座位是先到（先得的）。”期间，老人掏出一把药丸，称自己有高血压、心脏病。《法治日报》律师专家库成员、北京市康达律师事务所高级合伙人栾燕律师指出，高铁霸座是违法行为。霸座行为侵犯了其他乘客的合法权利，扰乱了公共秩序，《中华人民共和国治安管理处罚法》和《中华人民共和国刑法》均将高铁霸座行为定义为寻衅滋事的违法犯罪行为。《中华人民共和国治安管理处罚法》第23条第一款第（三）项规定的“扰乱公共汽车、电车、火车、船舶、航空器或者其他公共交通工具上的秩序”的行为，可受到“处警告或者二百元以下罚款；情节较重的，处五日以上十日以下拘留，可以并处五百元以下罚款”的行政处罚；第26条规定有寻衅滋事行为的应“处五日以上十日以下拘留，可以并处五百元以下罚款；情节较重的，处十日以上十五日以下拘留，可以并处一千元以下罚款。”如寻衅滋事情节严重、构成《中华人民共和国刑法》第293条规定的寻衅滋事罪的，可处五年以下有期徒刑、拘役或者管制。（文|黄美玲）L封面新闻的微博视频@法治网,,,法治网,"高铁霸座属于违法行为,老人高铁霸座掏出一把药丸",0,0,0,2023-07-10 12:14,微博视频号,,"http://f.video.weibocdn.com/o0/EaksE0b1lx086Ke6HxWM010412006V4p0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729409521&ssig=mZYMEjkTr2&KID=unistore,video",,,蓝V
4921905927424293,N9bS8v9oF,5291182862,法治亳州,【#高铁霸座属于违法行为#】#老人高铁霸座掏出一把药丸#：“我有高血压、心脏病”。7月3日，高铁荆州-汉口段。一七旬老人高铁上霸座，被占座乘客称，“这是我的票。”老人起身表示，“我70几岁，我不能坐？座位是先到（先得的）。”期间，老人掏出一把药丸，称自己有高血压、心脏病。《法治日报》律师专家库成员、北京市康达律师事务所高级合伙人栾燕律师指出，高铁霸座是违法行为。霸座行为侵犯了其他乘客的合法权利，扰乱了公共秩序，《中华人民共和国治安管理处罚法》和《中华人民共和国刑法》均将高铁霸座行为定义为寻衅滋事的违法犯罪行为。《中华人民共和国治安管理处罚法》第23条第一款第（三）项规定的“扰乱公共汽车、电车、火车、船舶、航空器或者其他公共交通工具上的秩序”的行为，可受到“处警告或者二百元以下罚款；情节较重的，处五日以上十日以下拘留，可以并处五百元以下罚款”的行政处罚；第26条规定有寻衅滋事行为的应“处五日以上十日以下拘留，可以并处五百元以下罚款；情节较重的，处十日以上十五日以下拘留，可以并处一千元以下罚款。”如寻衅滋事情节严重、构成《中华人民共和国刑法》第293条规定的寻衅滋事罪的，可处五年以下有期徒刑、拘役或者管制。L封面新闻的微博视频,,,,"高铁霸座属于违法行为,老人高铁霸座掏出一把药丸",0,0,0,2023-07-10 10:48,微博视频号,,"http://f.video.weibocdn.com/o0/EaksE0b1lx086Ke6HxWM010412006V4p0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729409521&ssig=mZYMEjkTr2&KID=unistore,video",,,蓝V
4921901241077413,N9bKA4whD,3856482952,洋县法院,【#高铁霸座属于违法行为#】#老人高铁霸座掏出一把药丸#：“我有高血压、心脏病”。7月3日，高铁荆州-汉口段。一七旬老人高铁上霸座，被占座乘客称，“这是我的票。”老人起身表示，“我70几岁，我不能坐？座位是先到（先得的）。”期间，老人掏出一把药丸，称自己有高血压、心脏病。《法治日报》律师专家库成员、北京市康达律师事务所高级合伙人栾燕律师指出，高铁霸座是违法行为。霸座行为侵犯了其他乘客的合法权利，扰乱了公共秩序，《中华人民共和国治安管理处罚法》和《中华人民共和国刑法》均将高铁霸座行为定义为寻衅滋事的违法犯罪行为。《中华人民共和国治安管理处罚法》第23条第一款第（三）项规定的“扰乱公共汽车、电车、火车、船舶、航空器或者其他公共交通工具上的秩序”的行为，可受到“处警告或者二百元以下罚款；情节较重的，处五日以上十日以下拘留，可以并处五百元以下罚款”的行政处罚；第26条规定有寻衅滋事行为的应“处五日以上十日以下拘留，可以并处五百元以下罚款；情节较重的，处十日以上十五日以下拘留，可以并处一千元以下罚款。”如寻衅滋事情节严重、构成《中华人民共和国刑法》第293条规定的寻衅滋事罪的，可处五年以下有期徒刑、拘役或者管制。（文|黄美玲）L封面新闻的微博视频,,,,"高铁霸座属于违法行为,老人高铁霸座掏出一把药丸",0,12,15,2023-07-10 10:29,微博视频号,,"http://f.video.weibocdn.com/o0/EaksE0b1lx086Ke6HxWM010412006V4p0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729409521&ssig=mZYMEjkTr2&KID=unistore,video",,,蓝V
