id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4957891041431270,Noi0E60l0,2010999701,营养师张淋琳,老年人如何才能吃出健康？#张淋琳健康超话#　　随着生活水平提高，“吃不饱”导致的老年人营养不良几乎没有了，更常见的是“吃不好”导致的肌肉萎缩和饮食不科学导致的“三高”问题。①　“千金难买老来瘦”不可取　　世界卫生组织在《2020—2030年健康老龄化行动十年》中提出，重点关注老年人的功能发挥，以实现健康老龄化，其中营养不良和衰弱状态是两大阻碍因素。　　一些老人因咀嚼、味觉、吞咽等能力下降，常常以素食为主，并坚信“千金难买老来瘦”，认为瘦就是健康。　　业内专家表示，以素食为主会导致老年人蛋白质摄入严重不足，从而发生肌肉萎缩，让机体陷入恶性循环。　　蛋白质的摄入十分必要，有助于延缓肌肉衰减，减少老年人失能风险，为了瘦而放弃肉，是十分有损身体健康的危险行为。②　“油多不坏菜”不健康　　通过对湖南省调研发现，由于当地饮食特点，一些老年人习惯了重油重盐的饮食，每天摄入的盐和油脂超标，特别是在农村地区，一些老年人受“油多不坏菜”等陈旧营养观念影响，习惯煎炸的烹调方式，导致患上高血脂、糖尿病的老年人数量增多。　　近年来，我国老年糖尿病患者增多，其医学营养治疗原则是量入为出、量体择食。但还有很多糖尿病患者管不住嘴，存在过度营养问题，导致病情加重。　　业内专家表示，部分老年人为改善血糖、血脂、血压等指标，选择吃素或吃得很少，但指标下来了，身体又出现了其他问题。③　乱用保健品很危险　　近年来，很多老年人热衷于转发各种所谓“养生知识”，不少人甚至落入“保健品骗局”。业内专家表示，这在某种程度上体现了老年群体对营养知识的渴望，以及科学知识供给匮乏。　　目前我国老年人普遍存在的问题是，健康科学素养不高，对合理膳食了解少。　　近年来发生的老年人过多服用维生素导致中毒、乱服保健品、自行配制草药治病被送医抢救等事件，都为老年人敲响了健康的警钟。#身体健康##老年人一键叫车服务有望春节前实现#保健食品超话#老年人贴膏药建议贴一两个小时#秋季养生超话白萝卜常有超话#阿奇霉素##我国超3亿人遭受慢性疼痛#,,,,"张淋琳健康超话,身体健康,老年人一键叫车服务有望春节前实现,老年人贴膏药建议贴一两个小时,阿奇霉素,我国超3亿人遭受慢性疼痛",0,1,0,2023-10-17 18:00,微博网页版,"https://wx3.sinaimg.cn/large/77dd6b95ly1hiy8j9ag1nj20fa0a6t9g.jpg,https://wx4.sinaimg.cn/large/77dd6b95ly1hiy8j9avyzj20go0b4ta6.jpg,https://wx1.sinaimg.cn/large/77dd6b95ly1hiy8j9b6foj20b407waan.jpg",,,,红V
4939761833216794,NgGnZduPM,2010999701,营养师张淋琳,老年人健康的最大威胁，可能被很多人忽视了（2）#张淋琳健康超话#②　慢性病，老年人健康的最大威胁　　随着传染病、寄生虫病得到有效控制，高血压、心脑血管病、恶性肿瘤、糖尿病等慢性非传染性疾病已经成为威胁老年人健康的首要原因。　　近年来，老年人慢性病患病率的增高趋势明显，同时，骨骼肌肉系统疾病、老年性痴呆、血管性痴呆、老年性白内障、帕金森病等退行性病变导致的失能残障发生率也在日益增加。　　中国死因监测数据表明，慢性病占中国老年人群死因的91.2%。　　脑血管疾病、恶性肿瘤、心脏病、糖尿病、高血压、呼吸系统疾病等是造成60岁以上老年人群期望寿命损失的重要原因，精神障碍也已进入老年人死因的前十位。③　控制疾病，从认知开始　　老年人群不仅慢性病患病率高，同时存在大量慢性病患病风险。　　相关数据显示，我国老年人吸烟率为22.4%，危险饮酒率为9.3%，有害饮酒率为11.4%，近50%的老年人有中心性肥胖（诱发心脑血管病的重要危险因素），超过40%的老年人有高低密度脂蛋白胆固醇血症。　　此外更加不利的是，在老年人群中，对这些危险因素的知晓率和控制率很低。危险因素大量蓄积，势必增加老年人患病的风险，慢性病患病率依然存在上升的可能。　　目前，鉴于居家养老是我国养老方式的重要组成部分之一，这就更需要子女加强对老人健康状况的时刻关注。　　同时，在国家、社会层面，相应的支持与服务系统也有待完善。只有通过全方位发力，有效防控慢性病，方能为老年人的健康保驾护航。#身体健康##老年人一键叫车服务有望春节前实现##老年人健康#足部养生超话秋季养生超话#请大英博物馆无偿归还中国文物#,,,,"张淋琳健康超话,身体健康,老年人一键叫车服务有望春节前实现,老年人健康,请大英博物馆无偿归还中国文物",0,0,0,2023-08-28 17:21,微博网页版,"https://wx4.sinaimg.cn/large/77dd6b95ly1hhcfn2vbdwj20dw08wt9f.jpg,https://wx3.sinaimg.cn/large/77dd6b95ly1hhcfn2vpv9j20av06oaak.jpg,https://wx1.sinaimg.cn/large/77dd6b95ly1hhcfn2tkhxj20hs0b775n.jpg",,,,红V
4897782877391107,MF1Mjv0Lp,6267675420,垂帘听政互联网,放假的时候笑的有多灿烂今天的我就有多萎靡#老年人一键叫车服务有望春节前实现#,,成都·四川大学江安校区第一教学楼,,老年人一键叫车服务有望春节前实现,0,0,4,2023-05-04 21:11,iPhone客户端,"https://wx2.sinaimg.cn/large/006QawH2ly1hdmnopaoq8j31sc2ds4qq.jpg,https://wx1.sinaimg.cn/large/006QawH2ly1hdmnmnvui3j31sc2ds1kx.jpg,https://wx1.sinaimg.cn/large/006QawH2ly1hdmnob34xcj32c0340x6r.jpg",,,,普通用户
4781817897157692,Lykslu22E,1485379242,用户1485379242,【65-74周岁的丽水人注意，慢性阻塞性肺疾病免费筛查开始了】为完善莲都区居民慢性呼吸系统疾病防治体系，推动慢性阻塞性肺疾病早诊早治，莲都首次开展65-74周岁居民慢性阻塞性肺疾病免费筛查。慢性阻塞性肺疾病简称慢阻肺（COPD），是最常见的慢性气道疾病，也是一种严重危害人类健康的常见病，以“慢性阻塞性肺疾病”为主的呼吸系统疾病，已经成为严重危害人类身心健康的第三大慢性病，严重影响患者的生命质量。今年莲都预计完成肺功能检查800余例，惠及3000多名群众。诊断明确的患者将纳入家庭医生签约服务重点人群，并对高危人群和患者进行健康教育、戒烟宣教、生活方式指导等健康管理。#80秒看超级月亮爬上来##老年人一键叫车服务有望春节前实现##老年人防疫攻略#,,,,"80秒看超级月亮爬上来,老年人一键叫车服务有望春节前实现,老年人防疫攻略",0,0,0,2022-06-18 21:08,360安全浏览器,,,,,普通用户
4741229583013167,LhizkcDRt,2058966052,NoInnerPeaceNoodles,我教练教学用方言但我听方言脑子是转不过来的得翻译一下再打方向盘但我开始动作时我教练已经开吼打快点打快点了所以我让我教练讲普通话#老年人一键叫车服务有望春节前实现#,,,,老年人一键叫车服务有望春节前实现,0,0,0,2022-02-26 21:04,iPhone客户端,,,,,普通用户
4707734870819346,L3fdB3r9g,6251435841,宝蓝对讲机厂孙楠,直通电召叫车，乘客和出租车司机之间对讲，2021年最新合作方案，更划算18037161106对讲机超话模范出租车超话#出租车##老年人一键叫车服务有望春节前实现##打车#L宝蓝对讲机厂孙楠的微博视频,,,,"出租车,老年人一键叫车服务有望春节前实现,打车",0,0,0,2021-11-26 10:48,模范出租车超话,,"http://f.video.weibocdn.com/o0/heyu1OKtlx07RGNmXtiM01041200jGnx0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1724977262&ssig=I%2FNpmeRTvb&KID=unistore,video",,,普通用户
4682041850858715,Kyqhz3Bof,1692649380,元元说话2017,老年人打车，地址该咋选？不如试试语音录入！#老年人一键叫车服务有望春节前实现##老年人可享一键呼入客服服务##网约车平台为老年人优先派单##为老年人提供优先派单服务#L元元说话2017的微博视频,,,,"老年人一键叫车服务有望春节前实现,老年人可享一键呼入客服服务,网约车平台为老年人优先派单,为老年人提供优先派单服务",0,1,6,2021-09-16 13:13,微博视频号,,"http://f.video.weibocdn.com/tQXWhhKqlx07PRIhqxQY01041201clgY0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1724977262&ssig=2HBovnIy%2Bp&KID=unistore,video",,,黄V
4668710562566631,KsPtuaLHh,7297757107,壹普逻普法,老人也有打车需求，不会打车软件的他们怎么办？#微博视频号计划##老年人一键叫车服务有望春节前实现#L壹普逻普法的微博视频,,,,"微博视频号计划,老年人一键叫车服务有望春节前实现",0,0,0,2021-08-10 18:20,微博视频号,,"http://f.video.weibocdn.com/8Y4HLuKWlx07OUvqdEOc010412009iJy0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1724977262&ssig=bWM4tsCqy2&KID=unistore,video",,,普通用户
4599915902152601,JFVgG91Zn,3928511449,交通发布,【爸妈出门，你放心吗？】2月1日下午，交通运输部召开便利老年人日常交通出行经验交流及工作调度视频会议。#关爱智能手机时代的老年人##老年人一键叫车服务有望春节前实现##老年人刷身份证可核验健康码#L交通发布的微博视频,,,,"关爱智能手机时代的老年人,老年人一键叫车服务有望春节前实现,老年人刷身份证可核验健康码",4,1,3,2021-02-01 22:14,微博视频号,,"http://f.video.weibocdn.com/hPYXrC6Slx07K2feotIA01041200AbgU0E010.mp4?label=mp4_720p&template=544x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1724977262&ssig=CkesnXYIKV&KID=unistore,video",,,蓝V
4587063506632955,JAwV0rPx9,1896650227,正义网,【交通运输部：#老年人一键叫车服务有望春节前实现#】28日，据中国交通报@交通发布消息，12月25日，交通运输部运输服务司组织召开平台公司座谈会，研究便利老年人打车出行有关工作。曹操出行、滴滴出行、首汽约车、T3出行、高德地图、美团打车、申程出行、嘀嗒出行8家平台公司相关负责人参加会议。据悉，部运输服务司将组织各平台公司重点优化三大方面服务：一是优化网约车约车软件功能，增设方便老年人使用的“一键叫车”功能，争取春节前开通试运行；二是依托95128约车服务号码，在保持巡游出租汽车电召服务的同时，加快#开通主要网约车平台电话叫车服务# ；三是通过技术手段，指导主要平台公司#为老年人提供优先派单服务#。,,,交通发布,"老年人一键叫车服务有望春节前实现,开通主要网约车平台电话叫车服务,为老年人提供优先派单服务",26,4,24,2020-12-28 11:03,搜狗高速浏览器,https://wx2.sinaimg.cn/large/710c95f3ly1gm3e2m2auoj20e40c0q5f.jpg,,,,
