id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4636410994233090,KfhdphLdE,5693194807,新浪跑步,【#老年人专属健身房#，有啥不一样？】老年人也有专属的健身房了！5月11日，记者在上海市长宁区的首家“老人专属健身房”里看到，所有的器材均是为老人定制的适老化器材，设置了有氧心肺、体质检测、微循环促进等功能区，为老年人提供慢病运动干预、科学指导等服务，办卡一个月费用为99元。（徐明睿李秋莹周卓傲）@中新视频L中新视频的微博视频,,,中新视频,老年人专属健身房,7,1,8,2021-05-13 15:13,微博视频号,,"http://f.video.weibocdn.com/XCIe4BuYlx07MzPaGzpm01041200sfOE0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1724999704&ssig=I42UQksIxk&KID=unistore,video",,,蓝V
4636169235334933,KfaVtmnRj,6972219351,肖战在这里等你,#老年人专属健身房#学会这些动作，让身体更美丽,,,,老年人专属健身房,0,0,0,2021-05-12 23:12,iPhone客户端,,,,,普通用户
4636168388088949,KfaU6xWiV,7306556022,娱久儿,#老年人专属健身房#学会这些动作，让身体更美丽,,,,老年人专属健身房,0,0,0,2021-05-12 23:09,iPhone客户端,,,,,黄V
4636168366853461,KfaU4sKTH,7306556022,娱久儿,#老年人专属健身房#学会这些动作，让身体更美丽,,,,老年人专属健身房,0,0,0,2021-05-12 23:08,iPhone客户端,,,,,黄V
4636168341164362,KfaU24SU2,7306556022,娱久儿,#老年人专属健身房#学会这些动作，让身体更美丽,,,,老年人专属健身房,0,0,0,2021-05-12 23:08,iPhone客户端,,,,,黄V
4636168320978550,KfaU046z4,7306556022,娱久儿,#老年人专属健身房#学会这些动作，让身体更美丽,,,,老年人专属健身房,0,0,0,2021-05-12 23:08,iPhone客户端,,,,,黄V
4636168295289176,KfaTXmbXi,7306556022,娱久儿,#老年人专属健身房#学会这些动作，让身体更美丽,,,,老年人专属健身房,0,0,0,2021-05-12 23:08,iPhone客户端,,,,,黄V
4636168090030087,KfaTD07Ph,1098494857,二连炮手,#老年人专属健身房#学会这些动作，让身体更美丽,,,,老年人专属健身房,0,0,0,2021-05-12 23:07,iPhone客户端,,,,,普通用户
4636167976517887,KfaTrrlBd,5230164687,有个朋友,健身房的隐藏大佬！#老年人专属健身房#L笑神来啦的微博视频,,,,老年人专属健身房,0,1,3,2021-05-12 23:07,微博视频号,,"http://f.video.weibocdn.com/RNDvHmQwlx07MBNUQWbS010412002MAc0E010.mp4?label=mp4_hd&template=656x360.25.0&trans_finger=62b30a3f061b162e421008955c73f536&ori=0&ps=1BVp4ysnknHVZu&Expires=1724999706&ssig=Fh2aUrksHt&KID=unistore,video",,,黄V
4636167561019579,KfaSM4heP,2894982024,九江瑞昌发布,【#老年人专属健身房#，有啥不一样？】老年人也有专属的健身房了！5月11日，记者在上海市长宁区的首家“老人专属健身房”里看到，所有的器材均是为老人定制的适老化器材，设置了有氧心肺、体质检测、微循环促进等功能区，为老年人提供慢病运动干预、科学指导等服务，办卡一个月费用为99元。（徐明睿李秋莹周卓傲）@中新视频L中新视频的微博视频,,,中新视频,老年人专属健身房,0,0,1,2021-05-12 23:05,微博视频号,,"http://f.video.weibocdn.com/XCIe4BuYlx07MzPaGzpm01041200sfOE0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1724999706&ssig=yvYA3PAK5R&KID=unistore,video",,,蓝V
