id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4960514986475971,NpogOraH9,3468773460,靥夜烨叶,#老年人为啥容易上当受骗#今日拯救马上要被骗2000多的老王同志！想想就可笑啊终于明白中老年人都咋上当受骗的,,,,老年人为啥容易上当受骗,0,4,3,2023-10-24 23:46,Android,,,,,黄V
4916830491640055,N73PX6SEv,2696044050,盐城交警,【#老年人陷入骗局三大原因#】#老年人为啥容易上当受骗#重庆，在一起集资诈骗案件中，被害人付阿姨、何阿姨在被骗前记忆清晰、表达流利，步入骗局后却都很难保持理性。检察官调研发现，判断能力下降、内心焦虑、缺乏关爱，是老年人上当受骗的三个原因。L央视网的微博视频,,,,"老年人陷入骗局三大原因,老年人为啥容易上当受骗",1,29,19,2023-06-26 10:40,微博视频号,,"http://locallimit.us.sinaimg.cn/o0/ITBiwt9Qlx086koQHf3q01041200MvMM0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725000966&ssig=vhyD0PXbRL&KID=unistore,video",,,蓝V
4916830390454888,N73PN1UkU,2273142634,成都青白江公安,【#老年人陷入骗局三大原因#】#老年人为啥容易上当受骗#重庆，在一起集资诈骗案件中，被害人付阿姨、何阿姨在被骗前记忆清晰、表达流利，步入骗局后却都很难保持理性。检察官调研发现，判断能力下降、内心焦虑、缺乏关爱，是老年人上当受骗的三个原因。L央视网的微博视频,,,,"老年人陷入骗局三大原因,老年人为啥容易上当受骗",0,1,0,2023-06-26 10:39,微博视频号,,"http://locallimit.us.sinaimg.cn/o0/ITBiwt9Qlx086koQHf3q01041200MvMM0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725000966&ssig=vhyD0PXbRL&KID=unistore,video",,,蓝V
4916820185713411,N73zknYjN,5137212397,金口河警方,【#老年人陷入骗局三大原因#】#老年人为啥容易上当受骗#重庆，在一起集资诈骗案件中，被害人付阿姨、何阿姨在被骗前记忆清晰、表达流利，步入骗局后却都很难保持理性。检察官调研发现，判断能力下降、内心焦虑、缺乏关爱，是老年人上当受骗的三个原因。L央视网的微博视频,,,,"老年人陷入骗局三大原因,老年人为啥容易上当受骗",26,3,27,2023-06-26 09:59,微博视频号,,"http://locallimit.us.sinaimg.cn/o0/ITBiwt9Qlx086koQHf3q01041200MvMM0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725000966&ssig=vhyD0PXbRL&KID=unistore,video",,,蓝V
4916816201913057,N73sU81FL,3972809759,青白江区水务局,【#老年人陷入骗局三大原因#】#老年人为啥容易上当受骗#重庆，在一起集资诈骗案件中，被害人付阿姨、何阿姨在被骗前记忆清晰、表达流利，步入骗局后却都很难保持理性。检察官调研发现，判断能力下降、内心焦虑、缺乏关爱，是老年人上当受骗的三个原因。L央视网的微博视频,,,,"老年人陷入骗局三大原因,老年人为啥容易上当受骗",0,0,0,2023-06-26 09:43,微博视频号,,"http://locallimit.us.sinaimg.cn/o0/ITBiwt9Qlx086koQHf3q01041200MvMM0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725000966&ssig=vhyD0PXbRL&KID=unistore,video",,,蓝V
4916814415661756,N73q1nKSE,5574025302,峨眉公安,【#老年人陷入骗局三大原因#】#老年人为啥容易上当受骗#重庆，在一起集资诈骗案件中，被害人付阿姨、何阿姨在被骗前记忆清晰、表达流利，步入骗局后却都很难保持理性。检察官调研发现，判断能力下降、内心焦虑、缺乏关爱，是老年人上当受骗的三个原因。L央视网的微博视频,,,,"老年人陷入骗局三大原因,老年人为啥容易上当受骗",0,0,0,2023-06-26 09:36,微博视频号,,"http://locallimit.us.sinaimg.cn/o0/ITBiwt9Qlx086koQHf3q01041200MvMM0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725000966&ssig=vhyD0PXbRL&KID=unistore,video",,,蓝V
4916813181223554,N73o258iK,5610795619,南昌网警,【#老年人陷入骗局三大原因#】#老年人为啥容易上当受骗#重庆，在一起集资诈骗案件中，被害人付阿姨、何阿姨在被骗前记忆清晰、表达流利，步入骗局后却都很难保持理性。检察官调研发现，判断能力下降、内心焦虑、缺乏关爱，是老年人上当受骗的三个原因。L央视网的微博视频,,,,"老年人陷入骗局三大原因,老年人为啥容易上当受骗",13,2,100,2023-06-26 09:31,微博视频号,,"http://locallimit.us.sinaimg.cn/o0/ITBiwt9Qlx086koQHf3q01041200MvMM0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725000966&ssig=vhyD0PXbRL&KID=unistore,video",,,蓝V
4916813118309163,N73nVyRAL,2206820037,成都公安,【#老年人陷入骗局三大原因#】#老年人为啥容易上当受骗#重庆，在一起集资诈骗案件中，被害人付阿姨、何阿姨在被骗前记忆清晰、表达流利，步入骗局后却都很难保持理性。检察官调研发现，判断能力下降、内心焦虑、缺乏关爱，是老年人上当受骗的三个原因。L央视网的微博视频,,,,"老年人陷入骗局三大原因,老年人为啥容易上当受骗",14,17,17,2023-06-26 09:31,微博视频号,,"http://locallimit.us.sinaimg.cn/o0/ITBiwt9Qlx086koQHf3q01041200MvMM0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725000966&ssig=vhyD0PXbRL&KID=unistore,video",,,蓝V
4916531010735840,N6W2V35qo,5509537351,安岳检察,【#老年人陷入骗局三大原因#】#老年人为啥容易上当受骗#重庆，在一起集资诈骗案件中，被害人付阿姨、何阿姨在被骗前记忆清晰、表达流利，步入骗局后却都很难保持理性。检察官调研发现，判断能力下降、内心焦虑、缺乏关爱，是老年人上当受骗的三个原因。@CCTV今日说法L央视网的微博视频,,,CCTV今日说法,"老年人陷入骗局三大原因,老年人为啥容易上当受骗",1,2,3,2023-06-25 14:50,微博视频号,,"http://locallimit.us.sinaimg.cn/o0/ITBiwt9Qlx086koQHf3q01041200MvMM0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725000966&ssig=vhyD0PXbRL&KID=unistore,video",,,蓝V
4916528664808570,N6VZ8kaVA,5135193182,会理公安,L央视网的微博视频【#老年人陷入骗局三大原因#】#老年人为啥容易上当受骗#重庆，在一起集资诈骗案件中，被害人付阿姨、何阿姨在被骗前记忆清晰、表达流利，步入骗局后却都很难保持理性。检察官调研发现，判断能力下降、内心焦虑、缺乏关爱，是老年人上当受骗的三个原因。@CCTV今日说法央视网的微博视频,,,CCTV今日说法,"老年人陷入骗局三大原因,老年人为啥容易上当受骗",0,3,2,2023-06-25 14:40,微博视频号,,"http://locallimit.us.sinaimg.cn/o0/ITBiwt9Qlx086koQHf3q01041200MvMM0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725000966&ssig=vhyD0PXbRL&KID=unistore,video",,,蓝V
