id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4935104062821145,NeJdsbPUl,3970618318,讯猪,#情侣头像##爷爷奶奶辈的爱情有多绝##老年人也开始内卷了##原耽推文##老年人养的狗都特别听话#,,,,"情侣头像,爷爷奶奶辈的爱情有多绝,老年人也开始内卷了,原耽推文,老年人养的狗都特别听话",0,3,1,2023-08-15 20:52,训训老年机iPhone 13 Pro Max,"https://wx4.sinaimg.cn/large/ecaad3cely1hgxpw3hwo8j20u01hcwkg.jpg,https://wx1.sinaimg.cn/large/ecaad3cely1hgxpw4eq4jj20u01hcaes.jpg",,,辽宁,普通用户
4921280677810461,N8VBFwLRb,7523923465,发疯熊小宅-晚期,真是好集美#老年人也开始内卷了##集美大学##老年人健康#,,,,"老年人也开始内卷了,集美大学,老年人健康",0,0,1,2023-07-08 17:23,三星Galaxy S23 Ultra,https://wx4.sinaimg.cn/large/008dbCchly1hfpmdz14ldj30g40z8wiq.jpg,,,辽宁,普通用户
4921218271021904,N8TZ14hQk,7523923465,发疯熊小宅-晚期,老法师#老年人谈恋爱到底图什么##老年人健康##老年人也开始内卷了#,,,,"老年人谈恋爱到底图什么,老年人健康,老年人也开始内卷了",0,1,2,2023-07-08 13:15,三星Galaxy S23 Ultra,"https://wx4.sinaimg.cn/large/008dbCchly1hfpf6xkez2j32bc2bce83.jpg,https://wx3.sinaimg.cn/large/008dbCchly1hfpf6zabaxj32bc2bc4qt.jpg,https://wx4.sinaimg.cn/large/008dbCchly1hfpf7126wtj32bc2bc1l0.jpg,https://wx3.sinaimg.cn/large/008dbCchly1hfpf74mke9j32bc2bcnpf.jpg,https://wx3.sinaimg.cn/large/008dbCchly1hfpf76nsqcj32bc2bc1l0.jpg,https://wx1.sinaimg.cn/large/008dbCchly1hfpf78cow7j32bc2bcu0z.jpg,https://wx1.sinaimg.cn/large/008dbCchly1hfpf7bwuy2j32bc2bc4qs.jpg,https://wx1.sinaimg.cn/large/008dbCchly1hfpf7drz2bj32bc2bc1l0.jpg,https://wx2.sinaimg.cn/large/008dbCchly1hfpf7fd5x2j32bc2bcnpf.jpg",,,辽宁,普通用户
4919382067649171,N88dow5TJ,7523923465,发疯熊小宅-晚期,对啊我们老年人都这样#随手拍花##老年人也开始内卷了##老年人健康##随手拍##健康生活##慢生活##健康养生#,,,,"随手拍花,老年人也开始内卷了,老年人健康,随手拍,健康生活,慢生活,健康养生",0,2,1,2023-07-03 11:39,三星Galaxy S23 Ultra,"https://wx1.sinaimg.cn/large/008dbCchly1hfjkbe4kd3j32bc2bcb2b.jpg,https://wx2.sinaimg.cn/large/008dbCchly1hfjkbg2uvtj32bc2bcb2c.jpg,https://wx2.sinaimg.cn/large/008dbCchly1hfjkbi3pltj32bc2bckjn.jpg,https://wx1.sinaimg.cn/large/008dbCchly1hfjkbjnnr9j32bc2bce83.jpg,https://wx3.sinaimg.cn/large/008dbCchly1hfjkblkmrvj32bc2bcx6r.jpg,https://wx4.sinaimg.cn/large/008dbCchly1hfjkbn9kjhj32bc2bcb2b.jpg,https://wx4.sinaimg.cn/large/008dbCchly1hfjkbpdko7j32bc2bcu0z.jpg,https://wx1.sinaimg.cn/large/008dbCchly1hfjkbsh77uj327o27ob2c.jpg,https://wx4.sinaimg.cn/large/008dbCchly1hfjkbuw7iyj32bc2bcx6r.jpg",,,辽宁,普通用户
4817893008610599,M7vtGA80D,1745800640,思思swin,一大早就听到我妈在张罗国庆中学聚餐事宜果然是最佳组织部部长#同学聚会##老年人也开始内卷了##国庆#,,,,"同学聚会,老年人也开始内卷了,国庆",0,1,1,2022-09-26 10:17,iPhone 12 mini,https://wx2.sinaimg.cn/large/680ecdc0gy1h6jsghoc76j20v917cn54.jpg,,,广东,普通用户
4797404492337606,LERW19O7k,7720195420,海底一千零一叶,哲瀚，你的奶奶粉来了补充一下，奶奶本身是瑜伽高手,,,,,246,442,6692,2022-07-31 21:23,🍵HarmonyOS设备,https://wx3.sinaimg.cn/large/008qt9uYgy1h4qfdt5o34j32dc35sqv5.jpg,,,,
4797439633001832,LESQHcAUE,5528291547,你崽干什么,无语//@哲学堡藏社:#老年人也开始内卷了#,,,哲学堡藏社,老年人也开始内卷了,0,0,6692,2022-07-31 23:43,Redmi Note 11 Pro+,,,4797404492337606,北京,普通用户
4797417037504489,LESgfvug9,7029639348,Kinoko-雨仙,重点不是奶奶，难道不是堡为了固粉，证明自己很柔韧，什么姿势都可以艾草吗？雷雷钉的粉丝还不嗑？！//@哲学堡藏社:#老年人也开始内卷了#,,,哲学堡藏社,老年人也开始内卷了,0,0,6692,2022-07-31 22:13,iPhone,,,4797404492337606,美国,红V
4797414807180227,LEScEu7U7,1811670545,KrisFish,【内卷】身体往内部卷起来的意思？//@哲学堡藏社:#老年人也开始内卷了#,,,哲学堡藏社,老年人也开始内卷了,0,1,6692,2022-07-31 22:04,微博网页版,,,4797404492337606,湖北,红V
4768165899534806,LsBiZE0rc,7545732940,芳华老年护理品牌,#退休生活##老年人也开始内卷了#早起晨练，跟我们一起打太极吧！每个精彩的一天都要认真度过！,,,,"退休生活,老年人也开始内卷了",0,1,1,2022-05-12 05:00,微博网页版,"https://wx1.sinaimg.cn/large/008eF7Q0ly1h24pi96mykj30ot0fl1dg.jpg,https://wx1.sinaimg.cn/large/008eF7Q0ly1h24pi9hfa9j30on0fn17m.jpg",,,北京,蓝V
