id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4643632827335947,Kij5wuMpJ,3961603481,青羊服务,【今起成都60周岁以上老人可使用亲友“交管12123”账号办理业务】#老年人亲友代办网上服务正式推出#60周岁以上老年人可使用亲友的“交管12123”APP账号，由亲友代为操作享受网上办理业务邮寄到家的服务。成都市交管局车管所副所长石钢巧介绍，老年人可使用亲友“交管12123”APP账号网上办理的业务范围包括：补换领机动车号牌、补换领机动车行驶证、补领检验合格标志、免检车申领检验标志、机动车驾驶证期满换证、达到规定年龄换领机动车驾驶证、机动车驾驶证遗失补证、机动车驾驶证损毁换证。（红星新闻）,,,,老年人亲友代办网上服务正式推出,0,0,0,2021-06-02 13:30,微博 weibo.com,https://wx4.sinaimg.cn/large/ec214599gy1gr3nqaot6yj20j616l40j.jpg,,,,蓝V
4643618734998349,KiiINkYix,3962909908,双流服务,【6月1日起成都60周岁以上老人可使用亲友“交管12123”账号办理业务】#老年人亲友代办网上服务正式推出##新闻资讯#60周岁以上老年人可使用亲友的“交管12123”APP账号，由亲友代为操作享受网上办理业务邮寄到家的服务。成都市交管局车管所副所长石钢巧介绍，老年人可使用亲友“交管12123”APP账号网上办理的业务范围包括：补换领机动车号牌、补换领机动车行驶证、补领检验合格标志、免检车申领检验标志、机动车驾驶证期满换证、达到规定年龄换领机动车驾驶证、机动车驾驶证遗失补证、机动车驾驶证损毁换证。（红星新闻）,,,,"老年人亲友代办网上服务正式推出,新闻资讯",2,4,3,2021-06-02 12:34,微博 weibo.com,https://wx2.sinaimg.cn/large/ec3534d4gy1gr3oxvu2h6j20j616ljtf.jpg,,,,蓝V
4643602627823452,KiiiOwPeI,2000090825,品质崇州,【成都60周岁以上老人可使用亲友“交管12123”账号办理业务】#老年人亲友代办网上服务正式推出#60周岁以上老年人可使用亲友的“交管12123”APP账号，由亲友代为操作享受网上办理业务邮寄到家的服务。成都市交管局车管所副所长石钢巧介绍，老年人可使用亲友“交管12123”APP账号网上办理的业务范围包括：补换领机动车号牌、补换领机动车行驶证、补领检验合格标志、免检车申领检验标志、机动车驾驶证期满换证、达到规定年龄换领机动车驾驶证、机动车驾驶证遗失补证、机动车驾驶证损毁换证。,,,,老年人亲友代办网上服务正式推出,5,1,2,2021-06-02 11:30,微博 weibo.com,https://wx1.sinaimg.cn/large/7736f6c9gy1gr31gh67qyj20j616l10e.jpg,,,,蓝V
4643602376951049,KiiiptahH,1937998434,绿色蒲江,【成都60周岁以上老人可使用亲友“交管12123”账号办理业务】#老年人亲友代办网上服务正式推出#60周岁以上老年人可使用亲友的“交管12123”APP账号，由亲友代为操作享受网上办理业务邮寄到家的服务。成都市交管局车管所副所长石钢巧介绍，老年人可使用亲友“交管12123”APP账号网上办理的业务范围包括：补换领机动车号牌、补换领机动车行驶证、补领检验合格标志、免检车申领检验标志、机动车驾驶证期满换证、达到规定年龄换领机动车驾驶证、机动车驾驶证遗失补证、机动车驾驶证损毁换证。,,,,老年人亲友代办网上服务正式推出,22,12,12,2021-06-02 11:29,微博 weibo.com,https://wx4.sinaimg.cn/large/73838262gy1gr2thp0csaj20j616l10e.jpg,,,,蓝V
4643595841703332,Kii7S7976,3943373892,青白江服务,#新闻资讯#【今起成都60周岁以上老人可使用亲友“交管12123”账号办理业务】#老年人亲友代办网上服务正式推出#60周岁以上老年人可使用亲友的“交管12123”APP账号，由亲友代为操作享受网上办理业务邮寄到家的服务。成都市交管局车管所副所长石钢巧介绍，老年人可使用亲友“交管12123”APP账号网上办理的业务范围包括：补换领机动车号牌、补换领机动车行驶证、补领检验合格标志、免检车申领检验标志、机动车驾驶证期满换证、达到规定年龄换领机动车驾驶证、机动车驾驶证遗失补证、机动车驾驶证损毁换证。（红星新闻）,,,,"新闻资讯,老年人亲友代办网上服务正式推出",0,0,0,2021-06-02 11:03,微博 weibo.com,https://wx1.sinaimg.cn/large/eb0b1c44gy1gr3qo0mok7j20c80r6n0s.jpg,,,,蓝V
4643587025536347,KihTEnefV,2011899834,微博大邑,【成都60周岁以上老人可使用亲友“交管12123”账号办理业务】#老年人亲友代办网上服务正式推出#60周岁以上老年人可使用亲友的“交管12123”APP账号，由亲友代为操作享受网上办理业务邮寄到家的服务。成都市交管局车管所副所长石钢巧介绍，老年人可使用亲友“交管12123”APP账号网上办理的业务范围包括：补换领机动车号牌、补换领机动车行驶证、补领检验合格标志、免检车申领检验标志、机动车驾驶证期满换证、达到规定年龄换领机动车驾驶证、机动车驾驶证遗失补证、机动车驾驶证损毁换证。#小布服务日#（红星新闻）,,,,"老年人亲友代办网上服务正式推出,小布服务日",3,0,0,2021-06-02 10:28,微博 weibo.com,https://wx2.sinaimg.cn/large/77eb27bagy1gr2rreida2j20j616l10e.jpg,,,,蓝V
4643577802001077,KihEM8ozr,3956561824,新都服务,【6月1日起成都60周岁以上老人可使用亲友“交管12123”账号办理业务】#老年人亲友代办网上服务正式推出##新都服务.新闻资讯#60周岁以上老年人可使用亲友的“交管12123”APP账号，由亲友代为操作享受网上办理业务邮寄到家的服务。成都市交管局车管所副所长石钢巧介绍，老年人可使用亲友“交管12123”APP账号网上办理的业务范围包括：补换领机动车号牌、补换领机动车行驶证、补领检验合格标志、免检车申领检验标志、机动车驾驶证期满换证、达到规定年龄换领机动车驾驶证、机动车驾驶证遗失补证、机动车驾驶证损毁换证。（红星新闻）,,成都,,"老年人亲友代办网上服务正式推出,新都服务.新闻资讯",1,0,1,2021-06-02 09:51,vivo X23 AI非凡摄影,https://wx4.sinaimg.cn/large/ebd457a0gy1gr3onm5gcrj20u01uo423.jpg,,,,蓝V
4643386957235591,KicGXumj5,3225365642,成都交通运输,【今起成都60周岁以上老人可使用亲友“交管12123”账号办理业务】#老年人亲友代办网上服务正式推出#60周岁以上老年人可使用亲友的“交管12123”APP账号，由亲友代为操作享受网上办理业务邮寄到家的服务。成都市交管局车管所副所长石钢巧介绍，老年人可使用亲友“交管12123”APP账号网上办理的业务范围包括：补换领机动车号牌、补换领机动车行驶证、补领检验合格标志、免检车申领检验标志、机动车驾驶证期满换证、达到规定年龄换领机动车驾驶证、机动车驾驶证遗失补证、机动车驾驶证损毁换证。,,,,老年人亲友代办网上服务正式推出,0,0,0,2021-06-01 21:13,微博 weibo.com,https://wx4.sinaimg.cn/large/c03f2c8agy1gr2xhexx44j20j616l7bo.jpg,,,,蓝V
4643284410959774,Kia1z41Ge,1918679231,锦江发布,【今起成都60周岁以上老人可使用亲友“交管12123”账号办理业务】#老年人亲友代办网上服务正式推出#60周岁以上老年人可使用亲友的“交管12123”APP账号，由亲友代为操作享受网上办理业务邮寄到家的服务。成都市交管局车管所副所长石钢巧介绍，老年人可使用亲友“交管12123”APP账号网上办理的业务范围包括：补换领机动车号牌、补换领机动车行驶证、补领检验合格标志、免检车申领检验标志、机动车驾驶证期满换证、达到规定年龄换领机动车驾驶证、机动车驾驶证遗失补证、机动车驾驶证损毁换证。（红星新闻）,,,,老年人亲友代办网上服务正式推出,1,0,0,2021-06-01 14:25,iPhone客户端,https://wx4.sinaimg.cn/large/725cb8bfgy1gr2qykwrk0j20u01uoq6o.jpg,,,,蓝V
4643283940410520,Kia0O1INi,1906874803,锦绣青羊,【今起成都60周岁以上老人可使用亲友“交管12123”账号办理业务】#老年人亲友代办网上服务正式推出#60周岁以上老年人可使用亲友的“交管12123”APP账号，由亲友代为操作享受网上办理业务邮寄到家的服务。成都市交管局车管所副所长石钢巧介绍，老年人可使用亲友“交管12123”APP账号网上办理的业务范围包括：补换领机动车号牌、补换领机动车行驶证、补领检验合格标志、免检车申领检验标志、机动车驾驶证期满换证、达到规定年龄换领机动车驾驶证、机动车驾驶证遗失补证、机动车驾驶证损毁换证。（红星新闻）,,,,老年人亲友代办网上服务正式推出,1,11,5,2021-06-01 14:23,HUAWEI P30 Pro,https://wx1.sinaimg.cn/large/71a899b3gy1gr2qwj1ukrj20u01uo423.jpg,,,,蓝V
