id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4978486617309803,NwVNjuFC3,6474849225,一笔春秋描画岁月纷纷扣入吾心门,1.高压和低压一样高。这种是最经典的高血压类型，在高血压人群中比较普遍。又分为轻度、中度和高度高血压。2.高压比低压高。多数为老年性高血压，因老年人群大动脉硬化程度较高，对身体主要器官供血量下降，所以不能维持足够的低压。3.低压比高压高。主要原因是不健康的生活方式，比如经常熬夜和劳累等导致，多见于中年人和青年人。#约80%高血压与不健康生活方式有关##健康生活新方式##老年人健康##老年人的健康生活##健康生活新方式##关爱老年人健康##老年人的健康生活##关注老年人健康##老年人健康讲座#,,,,"约80%高血压与不健康生活方式有关,健康生活新方式,老年人健康,老年人的健康生活,关爱老年人健康,关注老年人健康,老年人健康讲座",0,0,3,2023-12-13 13:59,HUAWEI P30 Pro,https://wx3.sinaimg.cn/large/0074bO41ly1hks4e1347nj30u01t0n87.jpg,,,,普通用户
4971167942444844,NtRp0ag0Y,2464325035,汪兴来营养师,常言道：“若要安逸，勤脱勤着”，因此应多备几件冬装，做到酌情增减，随增随减。#冬装##饮食养生记录#愿苦乐同享，冷暖自知#抗糖有没有必要##慢病管理##肺心病##老年人健康讲座##秋冬季呼吸系统疾病高发#,,北京·酒鬼金居酒屋(学清路店),,"冬装,饮食养生记录,抗糖有没有必要,慢病管理,肺心病,老年人健康讲座,秋冬季呼吸系统疾病高发",0,1,0,2023-11-23 09:17,Note 12 Pro 极速版,,,,,普通用户
4970641675260846,NtDIbm4Am,2464325035,汪兴来营养师,运动是健康的一部分，俗话说:生命在于运动。适量的运动有利于健康，慢病人群如何选择呢？多大的量合适呢？应该如何规划运动方案呢？汪老师总结了以下几个方面，建议转发收藏:1、明确目标：明确运动目标是制定运动计划的第一步。这可能包括降低血压，控制血糖水平，减少体重，提高心肺健康，增强身体力量等。2、个性化计划：因人而异，需要考虑你的健康状况，身体能力，喜好和日程安排。一般来说，推荐每周至少150分钟的中等强度有氧运动（如快步走，游泳或骑自行车），或者每周至少75分钟的高强度有氧运动，以及每周两天或以上的肌肉锻炼。3、逐步增加强度：如果你是初次开始运动，可以从较低强度的运动开始，然后逐步增加运动强度和时间。4、多样化运动：尽量选择各种类型的运动，包括有氧运动，力量训练，平衡训练和灵活性训练。5、合理饮食：运动和饮食结合起来，可以更好地控制三高疾病。试图保持均衡的饮食，包括充足的蔬菜，全谷物，瘦肉，低脂牛奶和水果。6、定期检查：定期监测你的血压，血糖和血脂，以确保你的运动计划有效。7、休息和恢复：确保你有足够的时间来休息和恢复。运动和恢复是相互补充的。最后，开始任何新的运动计划之前，你应该咨询你的医生或医疗团队，确保这些活动对你的身体状况是安全的。#饮食养生记录##心梗善于伪装成哪些病##食物健康与营养##老年人健康讲座##肺心病##秋冬季呼吸系统疾病高发##慢阻肺##慢病管理技能提升##哪些瞬间觉得父母很爱你##慢病管理#北京超话健康超话#饮食养生记录#饮食日记超话#饮食养生记录##饮食养生记录##饮食养生记录#,,北京,,"饮食养生记录,心梗善于伪装成哪些病,食物健康与营养,老年人健康讲座,肺心病,秋冬季呼吸系统疾病高发,慢阻肺,慢病管理技能提升,哪些瞬间觉得父母很爱你,慢病管理",0,0,0,2023-11-21 22:26,Note 12 Pro 极速版,"https://wx4.sinaimg.cn/large/92e29dably1hk33ewzrl9j21hc0u0qh4.jpg,https://wx2.sinaimg.cn/large/92e29dably1hk33exarrvj21be0zkti6.jpg,https://wx3.sinaimg.cn/large/92e29dably1hk33exxia1j21be0zkwnx.jpg",,,,普通用户
4969186128561002,Nt1QwzV6G,2464325035,汪兴来营养师,冬季是呼吸系统疾病的高发期，慢性阻塞性肺疾病、肺心病和哮喘是最常见的，是困扰中老人的慢病非传染病之一。在日常生活中，除了遵医嘱科学用药外，非药物治疗怎么做？今天我为西城区老年人送上健康教育讲座~#慢阻肺#慢性阻塞性肺疾病#肺心病#哮喘#慢病管理#中国营养之家#慢病管理技能提升#老年人健康讲座##慢性阻塞性肺疾病##饮食养生记录##健康养生饮食##北京[超话]##饮食养生记录##秋冬季呼吸系统疾病高发##食物健康与营养##老年人健康讲座#L汪兴来营养师的微博视频,,北京,,"慢阻肺,肺心病,慢病管理,慢病管理技能提升",0,0,0,2023-11-17 22:02,微博视频号,,"http://fb.video.weibocdn.com/o8/SjVPmLhelx08afxYk94401041200eKbN0E018.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724977430&ssig=hFADf5XuoP&KID=unistore,video",,,普通用户
4830675024742726,McRZQjTNA,5038858689,阳江发布,高淳区阳江镇北固村开展老年人健康知识讲座#老年人健康讲座#@高淳发布为增强老年人对慢性疾病预防相关知识的了解，进一步提高辖区老年人自我保健意识，倡导科学合理健康的生活方式，营造人人关注健康氛围，近日，高淳区阳江镇北固村在居家养老服务中心开展老年人健康知识讲座。讲座中，来自社区卫生室的乡村医生结合老年人生理特点相关知识，图文并茂地向老年人详细地介绍颈椎病、高血压、糖尿病等慢性疾病的起因、症状和造成的危害，同时就如何有效预防、治疗等进行了详细阐述，还重点强调老年人一定要注意均衡饮食、适时运动，注意生活细节，保持身体健康。最后，村里老人纷纷表示感谢，并表示此次活动让他们学到了很多养老保养的知识，用实际行动诠释了尊老、爱老、敬老和孝老的传统美德。下一步，阳江镇北固村将继续开展一系列健康保健讲座活动，在平常的工作中付诸实际行动，做到想老之所想，为老之所需。（供稿：陈超静审核：史凤华、姜瑶发布：刘心玥）,,,高淳发布,老年人健康讲座,0,0,0,2022-10-31 16:48,微博网页版,"https://wx2.sinaimg.cn/large/005v0xklgy1h7okgr8yp6j33342bchdw.jpg,https://wx2.sinaimg.cn/large/005v0xklgy1h7okgxnbfyj33402c0b2h.jpg,https://wx4.sinaimg.cn/large/005v0xklgy1h7okgyy5zaj30rs0kuwrq.jpg",,,,蓝V
4445821795466517,Ije27mW5D,6219603466,医脉达,白内障超话#老年人健康讲座#在我国，60岁以上的老年人，60%~70%都会患有白内障，80岁以上的老年人，发病率高达90%。白内障在早期没有太大危险，但白内障到达成熟期以后，眼睛内晶体发生膨胀，容易形成白内障继发青光眼，这时候就比较危险，增加了手术难度。先天性白内障不是遗传病，但有遗传因素，绝大多数先天性白内障是由于母亲怀孕时，一些病毒感染造成的。L医脉达的微博视频,,,,老年人健康讲座,0,0,0,2019-12-04 16:59,健康医疗 · 视频社区,,"http://f.video.weibocdn.com/003hgZWblx07z61CYiVO01041200Adhq0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1BVp4ysnknHVZu&Expires=1724977430&ssig=CqlTT3x7xe&KID=unistore,video",,,普通用户
4428329156932500,IbSYbt5sw,7229602228,艾嘉仁·,#老年人健康讲座##健康##科普#老年人步入了人生的黄昏，所以它们饮食习惯非常重要。一种流行的观点认为老年人应该以素食为主，素食可以养生。但真的是这样吗？其实老年人正确的饮食习惯绝对不是只吃素那么简单，肉类食物对老年人也同样重要。如果老年人一日三餐都是粗茶淡饭，那很容易造成热量和营养素的不足，导致免疫力下降。而吃肉呢，可以降低血压、延缓大脑衰老和缓解疲劳。所以老年人是应该吃肉的，可以多吃些鸡肉和鸭肉，利于消化，营养也很高。,,,,"老年人健康讲座,健康,科普",0,0,0,2019-10-17 10:30,专业版微博,"https://wx2.sinaimg.cn/large/007TgFNygy1g80zotyn8ej30u01hdk4a.jpg,https://wx3.sinaimg.cn/large/007TgFNygy1g80zotvafoj30yr0szk0w.jpg",,,,蓝V
4409804627512103,I473UvweX,6522114526,八潮瑠唯推,#老年人健康讲座#？？？？？？这非去我也管不了50押金可能退不了讲座容易洗脑,,,,老年人健康讲座,0,1,0,2019-08-27 07:40,西柚🖤Android,"https://wx1.sinaimg.cn/large/0077o7VAly1g6dw46s2xpj30pl2z84qp.jpg,https://wx3.sinaimg.cn/large/0077o7VAly1g6dw475umdj30pw1b2akx.jpg,https://wx2.sinaimg.cn/large/0077o7VAly1g6dw47fg6oj30po1o07ik.jpg,https://wx4.sinaimg.cn/large/0077o7VAly1g6dw47nrhij30mu0mdjsu.jpg",,,,普通用户
4186972278594699,FAuxRA3Sb,5323498117,解码陕西Plus,#老年人健康讲座#【老人痴迷“健康讲座”！执法人员鼓励举报虚假，老人齐声拒绝：没有虚假！】近日，湖南岳阳一养生馆假借“健康讲座”之名，向数百名老人高价兜售保健品。面对多部门突击检查，负责人煽动老人阻挠执法，在场老人坚称自己没上当。还纷纷给主办方“疯狂打call”L消费实拍的秒拍视频,,,,老年人健康讲座,0,0,0,2017-12-20 10:04,微博视频号,,"http://gslb.miaopai.com/stream/kMmSTPI0G~tfra2hnju34G-S9RUE0m4pKz9OFg__.mp4?yx=&refer=weibo_app&vend=weibo&label=mp4_hd&mpflag=8&ori=0&ps=1BVp4ysnknHVZu&Expires=1724977432&ssig=GE5jV9Zg6H&KID=unistore,video",,,蓝V
4093964128745579,EDqr2AH7J,5908317553,喵海购,"每期的【喵说推荐】又来啦~这里全是大牌产品评测，全球尖货好物推荐！#喵说八道##中国,茶叶##喝茶，聊天##茶文化##深海鱼油##产品评测##澳洲swisse##澳洲Swisse保健品##老年人健康讲座##中年人健康指标##三高患者应注意##高血压##高血脂##高血糖#L【喵说推荐】这茶喝了能""修仙""？深海鱼油竟然是全家健康养生的保健品！",,,,"喵说八道,中国,茶叶,喝茶，聊天,茶文化,深海鱼油,产品评测,澳洲swisse,澳洲Swisse保健品,老年人健康讲座,中年人健康指标,三高患者应注意,高血压,高血脂,高血糖",0,0,0,2017-04-07 18:22,高血脂超话,,http://play.partner.youku.com/weibo/v3/play?data=RAaPTeVKYtN796PmoAw%2Br16qQGppW8DAFtMQ5BX5fuY%3D&hd=1,,,普通用户
