id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4979599641414653,NxoKw5W0Z,1668731780,无忧家政官方号,#给父母穿高领衣物要小心##老年人冬天的穿衣风格##冬天穿衣服的尴尬##冬天老年人穿衣##老年人防寒##冬天穿衣防寒##老年人防寒养生手账##让冬天不再冷的航天防寒神器#,,,,"给父母穿高领衣物要小心,老年人冬天的穿衣风格,冬天穿衣服的尴尬,冬天老年人穿衣,老年人防寒,冬天穿衣防寒,老年人防寒养生手账,让冬天不再冷的航天防寒神器",0,0,0,2023-12-16 15:42,微博网页版,,,,,蓝V
4593244354394675,JD7I7irfR,5150649929,-與您不熟o,讨厌冬天冷死了妆也懒得画冬天没有形象可言#老年人冬天的穿衣风格#,,,,老年人冬天的穿衣风格,0,4,3,2021-01-14 12:24,nova7你在焦点在,https://wx4.sinaimg.cn/large/005CzBkRly1gmn3xbgw7bj322k264qv5.jpg,,,,普通用户
4565986651668637,JrGC5705v,5641252054,爱林宥嘉的Rebecca,#老年人冬天的穿衣风格#,,,,老年人冬天的穿衣风格,0,0,0,2020-10-31 07:11,iPhone客户端,,,,,普通用户
4565984193808048,JrGy7fYE8,5619321401,用户5619321401,#老年人冬天的穿衣风格#,,,,老年人冬天的穿衣风格,0,0,0,2020-10-31 07:02,荣耀V20 4800万3D相机,,,,,普通用户
4565764408083415,JrAPCxURF,6150936352,ning包包_llhh,#老年人冬天的穿衣风格#,,,,老年人冬天的穿衣风格,0,0,0,2020-10-30 16:28,华为P9手机摄影再突破,,,,,普通用户
4565510182151197,JrudA91CJ,6601797847,路没有错916,#老年人冬天的穿衣风格#,,,,老年人冬天的穿衣风格,0,0,0,2020-10-29 23:38,荣耀30 5G,,,,,普通用户
4565509691411385,JrucN5Vah,5181021857,榆木的木鱼6,#老年人冬天的穿衣风格#,,南通,,老年人冬天的穿衣风格,0,0,0,2020-10-29 23:36,iPhone客户端,,,,,普通用户
4565301519197336,JroN1CAE8,6471308258,杨青198803,#老年人冬天的穿衣风格#,,合肥,,老年人冬天的穿衣风格,0,0,0,2020-10-29 09:49,nova6 自拍大不一样,,,,,普通用户
4565150008869263,JrkQEBdiD,5253603214,琉月笙,#老年人冬天的穿衣风格#,,,,老年人冬天的穿衣风格,0,0,0,2020-10-28 23:47,荣耀V30 5G,,,,,普通用户
4564739482976607,JraawculN,3692669122,春天的小黄花花花,#老年人冬天的穿衣风格#像洋葱,,,,老年人冬天的穿衣风格,0,0,0,2020-10-27 20:36,iPhone客户端,,,,,普通用户
4564587782872473,Jr6dQc3gd,1945712327,托福不过不改此名,#老年人冬天的穿衣风格#,,郑州,,老年人冬天的穿衣风格,0,0,0,2020-10-27 10:33,iPhone客户端,,,,,普通用户
4564557513886169,Jr5r1giY9,1763434610,果酱喵呜,#老年人冬天的穿衣风格#,,,,老年人冬天的穿衣风格,0,0,0,2020-10-27 08:32,HUAWEI P30,,,,,普通用户
4564442241305192,Jr2r65txu,5622579581,爱小钱呀,#老年人冬天的穿衣风格#,,,,老年人冬天的穿衣风格,0,0,0,2020-10-27 00:54,iPhone客户端,,,,,普通用户
4564426701672288,Jr222712o,6785112648,用户6785112648,#老年人冬天的穿衣风格#,,江阴,,老年人冬天的穿衣风格,0,0,0,2020-10-26 23:53,iPhone客户端,,,,,普通用户
4564423894635083,Jr1XvjrNp,7400158972,依cake,#老年人冬天的穿衣风格#,,,,老年人冬天的穿衣风格,0,0,0,2020-10-26 23:42,HUAWEI P40 5G,,,,,普通用户
4564420786652351,Jr1SurUzZ,5864170134,xback雨ikun,#老年人冬天的穿衣风格#,,,,老年人冬天的穿衣风格,0,0,0,2020-10-26 23:29,柔光自拍vivo X7,,,,,普通用户
4564417176410438,Jr1MFqTEa,1867530725,娉婷汝乎,#老年人冬天的穿衣风格#一层又一层的,,,,老年人冬天的穿衣风格,0,0,0,2020-10-26 23:15,华为P9手机摄影再突破,,,,,普通用户
4564406082472844,Jr1uManiA,2421109041,悲若夏之歌,#老年人冬天的穿衣风格#,,,,老年人冬天的穿衣风格,0,0,0,2020-10-26 22:31,OPPO智能手机,,,,,普通用户
4564359035230658,Jr0gTlWJs,5698730708,好事好运成双,#老年人冬天的穿衣风格#,,,,老年人冬天的穿衣风格,0,0,0,2020-10-26 19:24,荣耀Magic2 魔法手机,,,,,普通用户
4564314504305444,JqZ74i42E,3268072764,为丫丫发声接丫丫尽早回家,#老年人冬天的穿衣风格#啊,,,,老年人冬天的穿衣风格,0,0,0,2020-10-26 16:27,iQOO Neo,,,,,普通用户
4564301547313513,JqYMauGzT,3137514113,认识你在春天,#老年人冬天的穿衣风格#,,,,老年人冬天的穿衣风格,0,0,0,2020-10-26 15:35,iPhone客户端,,,,,普通用户
4564284976404778,JqYlrqSaS,1933891907,endlessrooood,#老年人冬天的穿衣风格#,,,,老年人冬天的穿衣风格,0,0,0,2020-10-26 14:30,OPPO A72 5G,,,,,普通用户
