id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4938593976196007,Ngc0lpZRB,7691230835,神钺极夜,#老年人原来也追校园剧#我真切地发现，写作是从真正广大的群众里生发出来的。写作的价值，文学的价值，不在于你，也不在于我，不在于书写者，也不在于被书写者，只是单纯地在于每个理应被平等记录但却没有足够被平等以待的人，写出他们为何而来，又为何离去。,,,,老年人原来也追校园剧,0,0,0,2023-08-25 12:00,冷漠女人Android,"https://wx2.sinaimg.cn/large/008ovCufgy1hh8usjmg4yj309s09st8q.jpg,https://wx3.sinaimg.cn/large/008ovCufgy1hh8usk4d65j309s09sdfq.jpg,https://wx1.sinaimg.cn/large/008ovCufgy1hh8uskjtywj309s09s0sj.jpg,https://wx2.sinaimg.cn/large/008ovCufgy1hh8usl3oh3j309s09s0t4.jpg,https://wx1.sinaimg.cn/large/008ovCufgy1hh8uslkouoj309s09swem.jpg,https://wx4.sinaimg.cn/large/008ovCufgy1hh8uslxzn8j309s09swel.jpg,https://wx2.sinaimg.cn/large/008ovCufgy1hh8usmlf2xj309s09swf0.jpg,https://wx3.sinaimg.cn/large/008ovCufgy1hh8usn0lvgj309s09sgm5.jpg,https://wx4.sinaimg.cn/large/008ovCufgy1hh8usnmotqj309s09sjro.jpg",,,,黄V
4921624795809416,N94yHonig,2957500404,火星哥演唱会,#我妈都爱看的校园剧找到了#王源任敏郭京飞演的好，代入感很强 #老年人原来也追校园剧# ,,,,"我妈都爱看的校园剧找到了,老年人原来也追校园剧",0,0,69,2023-07-09 16:10,HarmonyOS设备,https://wx3.sinaimg.cn/large/b047dff4gy1hfqpwu190lj20wr0tbjy9.jpg,,,,普通用户
4921624740502162,N94yC26Do,6169118424,星期天不想起床_,#我妈都爱看的校园剧找到了# 感觉这部剧演的非常细腻，很用心的一部剧，值得大家一起去追#老年人原来也追校园剧# ,,,,"我妈都爱看的校园剧找到了,老年人原来也追校园剧",0,0,5,2023-07-09 16:10,OPPO Reno2 Z,,,,,普通用户
4921624342302384,N94xY9EXe,7762214894,小丸子有爱心呀,#我妈都爱看的校园剧找到了# 这么老少皆宜的剧可不多了啊，但是追光的日子就很适合各种人群看，我已经看的停不下来了#老年人原来也追校园剧# ,,,,"我妈都爱看的校园剧找到了,老年人原来也追校园剧",0,0,5,2023-07-09 16:09,OPPO Reno2 Z,https://wx4.sinaimg.cn/large/008tjsGqly1hfqpuz72kmj30u01407ae.jpg,,,,普通用户
4921624166400889,N94xGqRa9,5692620265,可以许一个心愿,#我妈都爱看的校园剧找到了#果然校园剧拍的真实一些，连老年人也是拒绝不了的，因为追光的日子可以和父母一起追剧真是太棒了 #老年人原来也追校园剧# ,,,,"我妈都爱看的校园剧找到了,老年人原来也追校园剧",0,0,0,2023-07-09 16:08,OPPO Reno2 Z,https://wx2.sinaimg.cn/large/006dfEzTly1hfqpu8nv2ej30qy0xb459.jpg,,,,普通用户
4921623902165138,N94xg95fA,7762062285,不相遇会更好,#我妈都爱看的校园剧找到了#跟大家一起追剧一起分享剧情，这是也是一种追剧的快乐 #老年人原来也追校园剧# ,,,,"我妈都爱看的校园剧找到了,老年人原来也追校园剧",0,0,1,2023-07-09 16:07,Android,,,,,普通用户
4921623407496724,N94wsvseU,7792160880,繁花有相思,#我妈都爱看的校园剧找到了# 这部剧由于真实还原高三生活而受众面很广，能让很多不同年龄层次的人都产生共鸣，值得一看#老年人原来也追校园剧# ,,,,"我妈都爱看的校园剧找到了,老年人原来也追校园剧",0,0,3,2023-07-09 16:05,Android,,,,,普通用户
4921623393601456,N94wrf6U0,1972228645,蒙眼吃不吃,#我妈都爱看的校园剧找到了#我们家都在看，我妈比我还急 #老年人原来也追校园剧# ,,,,"我妈都爱看的校园剧找到了,老年人原来也追校园剧",0,0,0,2023-07-09 16:05,HarmonyOS设备,https://wx3.sinaimg.cn/large/758dd225gy1hfqpr1r8jjj20wq1nbk27.jpg,,,,普通用户
4921623059370526,N94vTDjHw,3465132492,浩宇-浩泽,#我妈都爱看的校园剧找到了#剧情真实就会让大家都喜欢，高三生活还原的很好，连我爸妈都说真实，就喜欢这种校园剧#老年人原来也追校园剧#,,,,"我妈都爱看的校园剧找到了,老年人原来也追校园剧",0,0,0,2023-07-09 16:03,OPPO Reno2 Z,https://wx2.sinaimg.cn/large/ce89b9ccly1hfqppobrpij20qy0xb7b1.jpg,,,,黄V
4921622933015253,N94vHcEp7,3292658544,盐池没有盐,#我妈都爱看的校园剧找到了#毕竟谁都有青春，会有共鸣的 #老年人原来也追校园剧# ,,,,"我妈都爱看的校园剧找到了,老年人原来也追校园剧",0,0,0,2023-07-09 16:03,HarmonyOS设备,https://wx1.sinaimg.cn/large/c441fb70gy1hfqpp5d2saj20zk1bf48d.jpg,,,,普通用户
