id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4958945129267884,NoJqMCT00,2213594954,北京老年医院,发布了头条文章：《媒体聚焦|适合“银发族”的锻炼计划》#老年运动##老年人运动健身指南##老年人如何适当进行运动##老年人如何运动更科学#@头条文章@北京医管@健康中国@健康北京O媒体聚焦|适合“银发族”的锻炼计划,http://t.cn/A6WGKzsj,,"头条文章,北京医管,健康中国,健康北京","老年运动,老年人运动健身指南,老年人如何适当进行运动,老年人如何运动更科学",0,0,0,2023-10-20 15:48,微博 weibo.com,,,,,蓝V
4927329917469213,NbsYvvl5b,2010999701,营养师张淋琳,老年人应该如何科学锻炼？（4）#张淋琳健康超话#三、运动讲科学，劳逸需结合　　运动对人体机能的作用，青少年重发展，中年重保持，老年重延缓。老年人绝大多数都存在1种或以上的慢性疾病并导致不同程度的失能，体力水平也呈下降发展趋势，因此老年人属限制性健身人群，不当或过量的运动会出现比成人更难应付的状况发生。　　有的老年朋友常问，老年人可否做力量练习？老年人可不可以参加长跑？老年人每周动多少最合适？①　相对低龄的老年人(65-74岁)，有长期运动经历且疾病程度低的，运动推荐与成年人大致相同。　　据此力量练习和长距离运动对某些老年人是不被限制的，可依据运动经验对当时机体状态进行评估，切勿强求，在疲劳状态下可考虑延后进行。同时，在力量练习中，老年人不宜从事大负荷举重等需要屏气或过分用力的动作。②　所有老年人中，因健康条件不能达到建议的身体活动量时，应在自己能力和条件允许的范围内尽量积极参与身体活动。　　诚然，较大的运动量更有益于健身效果，但是老年人身体机能变化起伏大，过量的运动反而有损健康，带来不必要的风险。　　以汗量计，老年人通常每周可有一次大汗量运动(有较多汗珠形成)，在无疲劳感，身体健康允许的情况也不可超过两次。③　所有老年人中，行动不便的老年人每周也应有3天或3天以上以加强平衡能力和预防跌倒为目的的身体活动。　　有些失能情况较重者，如骨关节病、心功能分级低、阿尔茨海默症等，仍然需要一定的体力活动，甚至在他人帮扶下进行，即使轻微活动也比静坐或一点不动强。#身体健康##老年人如何适当进行运动##老年人运动时的黄金心率##老年人运动健身指南#月经不调超话食品安全超话夏季养生超话#莲花楼首播反响##齐齐哈尔体育馆坍塌事故已致9人死亡##电竞选手叮当猫去世#,,,,"张淋琳健康超话,身体健康,老年人如何适当进行运动,老年人运动时的黄金心率,老年人运动健身指南,莲花楼首播反响,齐齐哈尔体育馆坍塌事故已致9人死亡,电竞选手叮当猫去世",1,0,3,2023-07-25 10:01,微博网页版,"https://wx4.sinaimg.cn/large/77dd6b95ly1hg7sjpy2ljj20ci08c76c.jpg,https://wx2.sinaimg.cn/large/77dd6b95ly1hg7sjpx8ybj20b107n74i.jpg,https://wx4.sinaimg.cn/large/77dd6b95ly1hg7sjpxikkj20p00go3za.jpg",,,,红V
4927320101750932,NbsIG7luQ,2010999701,营养师张淋琳,老年人应该如何科学锻炼？（3）#张淋琳健康超话#二、运动与治疗不可偏废　　事实上，运动疗法多冠以高血压患者运动管理、糖尿病患者运动管理、血脂异常患者运动管理等称谓，是疾病管理中的相对独立的必要组成部分。　　老年人往往同时面临高血压、高血糖、高血脂和骨质疏松等健康压力，对以上指标的良好管理有助于减少心梗、卒中和骨折的发生率。　　所有的老年慢性病的治疗都存在代谢维护的问题，运动所产生的生理作用深入到代谢的各个环节，并把不同代谢途径进行整合，推动人体代谢向正常方向发展。　　国际医学界一致认可，唯有运动能够触及到代谢紊乱的根本，并且有效、安全、绿色，即使在联合药物治疗下，无法确立效果来自药物或是运动，也应该认可运动在治疗效果中的积极作用。　　对运动管理效果的自我评定主要应关注以下几个方面：　　①对治疗的巩固和预后的改善，如三高及体重是否易于控制及达标；　　②生命质量是否得到改善，生活能否自理；　　③医疗支出是否降低。能够达到其中之一，运动管理就是有收益的。可见运动管理不仅用来促进治疗效果，也把病者生活质量和经济问题一并考虑在内，切莫武断认为无效而轻易放弃！#身体健康##老年人如何适当进行运动##老年人运动时的黄金心率##老年人运动健身指南#月经不调超话食品安全超话夏季养生超话#莲花楼首播反响##齐齐哈尔体育馆坍塌事故已致9人死亡#,,,,"张淋琳健康超话,身体健康,老年人如何适当进行运动,老年人运动时的黄金心率,老年人运动健身指南,莲花楼首播反响,齐齐哈尔体育馆坍塌事故已致9人死亡",0,0,1,2023-07-25 09:22,微博网页版,"https://wx2.sinaimg.cn/large/77dd6b95ly1hg7siiuityj20ci08dgly.jpg,https://wx1.sinaimg.cn/large/77dd6b95ly1hg7siix4c0j20xc0m8mzn.jpg,https://wx2.sinaimg.cn/large/77dd6b95ly1hg7siiy2scj20ri0p1k2z.jpg",,,,红V
4927309784023596,Nbss2gSII,2010999701,营养师张淋琳,老年人应该如何科学锻炼？（2）#张淋琳健康超话#二、运动与治疗不可偏废　　人们对于“运动是良医”的认识，往往会犯忽左忽右的错误。有些老年朋友认为运动既然有诸多好处，光靠运动就行了。　　加之各种天花乱坠导购信息的误导，本身对医学知识了解不深，不知不觉中放弃了规范化的治疗，或者医学治疗执行不彻底，诸如私自停药，减量，漏服，用所谓安全的保健品代替等等，同时过量运动，把自己搞得疲惫不堪。　　另一些人则主观臆断，将运动疗法一棒子打死，找出身体状况不允许等各种理由拒绝运动，认为运动治疗根本没有作用，结果是疾病越治越重，最后临床无法收拾。　　所有这些误区均源于对老年病治管分离的错误认识：①　忽略了老年疾病的形成是一个长期复杂的过程。②　控制老年病的发作是对生理状态进行持续的、综合的治、管工程，既要治疗高血压、高血糖、高血脂等，又要对其产生的基础“代谢异常”如，肥胖、血脂血糖代谢异常、水盐代谢异常进行管理。　　而运动疗法是对代谢紊乱拨乱反正的主要管理途径，是疾病防控的基石，只有“标本兼治”才能稳定的，长期的保障老年人的健康，提高抗病能力和生活质量。#身体健康##老年人如何适当进行运动##老年人肥胖不运动膝盖软骨被磨光#月经不调超话食品安全超话夏季养生超话#莲花楼首播反响##齐齐哈尔体育馆坍塌事故已致9人死亡#,,,,"张淋琳健康超话,身体健康,老年人如何适当进行运动,老年人肥胖不运动膝盖软骨被磨光,莲花楼首播反响,齐齐哈尔体育馆坍塌事故已致9人死亡",1,0,3,2023-07-25 08:41,微博网页版,"https://wx2.sinaimg.cn/large/77dd6b95ly1hg7sgo40w4j20qo0mv77j.jpg,https://wx4.sinaimg.cn/large/77dd6b95ly1hg7sgnzrehj20u00ky0zh.jpg,https://wx4.sinaimg.cn/large/77dd6b95ly1hg7sgo36cbj20zk0n50xo.jpg",,,,红V
4927299717171042,NbsbNu5vY,2010999701,营养师张淋琳,老年人应该如何科学锻炼？（1）#张淋琳健康超话#　　在我国，通常把60岁以上的人群定义为老年人，世界卫生组织则将65—74岁的人群归为年轻的老年人。中国正快速步入老龄化社会，而没有健康的身体，“老有所乐、老有所为”便无从谈起。　　老年人大多患有多重疾病，除了肌肉退化、关节僵硬和骨质疏松所造成的功能退行性病变外，还伴有如高血压、冠心病、脑卒中、II型糖尿病、肿瘤、慢性支气管炎等慢性疾病，极大地威胁老年人的生活质量和寿命。　　然而，同样面对衰老，有的人成天泡在药罐子里或沉迷于各种保健品，才50多岁就已显得老态龙钟；有的人则在60多岁后仍可能成为一名运动员。可见面对衰老带来的健康问题，不同的生活态度会导致完全不同的结果。一、运动是良医　　“运动可以强身健体”这一笼统模糊观念老年人普遍还是接受的，但是，对于运动作为现实的治疗疾病手段和方法，有一部分老年人可能还缺乏科学专业的认识。　　运动对疾病的治疗作用，确立于上世纪的六十年代，随着研究的深入，在医疗发达的今天，运动疗法已被强化作为防病治病的基础，体现在一、二级预防、临床治疗和疾病管理中，“管住嘴，放开腿”是医生对高血压、高血脂、糖尿病及肥胖患者常用的一句医嘱。　　大量研究表明，运动确实可以“通经活血”。运动可以明显改善高血压，降低舒张压；降低甘油三酯提升好胆固醇(高密度脂蛋白)，加速血液循环，降低血液粘滞度；　　可以提高心肌的兴奋性，使心肌收缩力增强，冠状动脉扩张，血流改善，提高心肌利用氧的能力，从而加强了心脏的功能；　　可以促进胃肠道蠕动，改善胃肠道功能，治疗便秘；能够平衡饮食摄入，巩固糖尿病治疗。　　另一方面，运动还可能治疗骨质疏松，调节生活节律，治疗神经衰弱，缓解精神压力等。　　因此为了更好地治病、防病、养老，老年人首先要确立运动对疾病管理和治疗具有积极作用这一科学观念，在应用中，以专业评估为依据，以个人实际情况为立足点，多听医生和运动专业人士建议，切莫道听途说，自说自话。总之，随着时代的发展，运动健身也越来越专业化，职业化。#身体健康##老年人健康##老年人运动时的黄金心率##老年人如何适当进行运动#食品安全超话夏季养生超话#莲花楼首播反响##齐齐哈尔体育馆坍塌事故已致9人死亡#,,,,"张淋琳健康超话,身体健康,老年人健康,老年人运动时的黄金心率,老年人如何适当进行运动,莲花楼首播反响,齐齐哈尔体育馆坍塌事故已致9人死亡",2,0,1,2023-07-25 08:01,微博网页版,"https://wx3.sinaimg.cn/large/77dd6b95ly1hg7sedkciij20dg08cjvn.jpg,https://wx1.sinaimg.cn/large/77dd6b95ly1hg7sedfw58j20b4099js6.jpg,https://wx2.sinaimg.cn/large/77dd6b95ly1hg7sed8dcjj20hs0dc752.jpg",,,,红V
4918390764865934,N7IqwkpQO,2010999701,营养师张淋琳,"老年人科学运动可防残疾#张淋琳健康超话#　　一项新的临床试验显示，如果老年人进行有规律的运动，其发生残疾的风险就会较低，即使他们发生功能损伤，康复得也较快。　　研究发现，如果让那些习惯久坐的老年人进行有规律的运动，他们发生致残性意外或患疾病的风险就会降低。即使发生了身体损伤，与那些久坐的老年人相比，其身体功能恢复的概率也会高出30%。　　这项研究传达了一个重要信息，即何时开始运动都不会晚，都能使身体受益。　　研究人员表示，不是非要每天制定繁重的运动的计划，也不需要去健身房，只要进行适度速度的步行就有效果。　　为了进行这项研究，研究人员对1,600多名习惯久坐的老年人进行了研究，这些老年人的年龄介于70~89岁。一半老人被随机分配到运动项目中，而另一半老人则参加健康教育课程。　　运动组的老人要接受力量和平衡训练，但适度步行是最基本的活动，他们要完成每周散步时间达到2.5小时的目标。　　研究结果显示，在此后的3.5年中，运动组参与者的主要运动障碍时间要比其他参与者少25%，主要运动障碍是指无法步行400米，爱运动的老人发生主要运动障碍的概率也降低了13%。以后还会产生更大的益处，即运动的人发生损伤后身体功能改善的概率要高出1/3。　　该研究并没有分析老人致残的原因，但可能的原因有关节炎恶化、跌倒或中风等。目前还不清楚运动是如何加速人们身体康复的。不过，研究人员认为，可能是运动使人的身体强壮，因此他们发生意外伤害或疾病时能更好地应对。　　研究人员强调，最好先让医生对身体状况进行评估。然后再开始进行低强度的运动，如短时间慢慢散步，然后逐渐增加运动量。而对于不便于步行的人，也可去多种室内活动场所，如当地的商场或老年活动中心；与朋友或家人一起运动也有帮助。#身体健康##老年人运动##老年人如何适当进行运动##老年人运动健身指南##为什么越来越多的老年人喜欢极限运动#食品安全超话夏季养生超话#殷世航当花童##前经纪人发文力挺陈建州##曝汪姓男艺人性侵19岁女子#",,,,"张淋琳健康超话,身体健康,老年人运动,老年人如何适当进行运动,老年人运动健身指南,为什么越来越多的老年人喜欢极限运动,殷世航当花童,前经纪人发文力挺陈建州,曝汪姓男艺人性侵19岁女子",0,0,1,2023-06-30 18:00,微博网页版,"https://wx3.sinaimg.cn/large/77dd6b95ly1hfg1lzvez3j20go0b40vw.jpg,https://wx2.sinaimg.cn/large/77dd6b95ly1hfg1lzumpoj20b4099js6.jpg,https://wx2.sinaimg.cn/large/77dd6b95ly1hfg1lzv0czj20hs0dcaau.jpg",,,,红V
4909696732108194,N44fT8Qr8,7825295153,多彩芳华空中课堂,如何预防运动损伤？如何选择合适自己的运动？这节课大家一定不能错过哦~扫描图片上的二维码，预约直播哦~#多彩芳华空中课堂##运动##零基础##老年人如何适当进行运动#,,,,"多彩芳华空中课堂,运动,零基础,老年人如何适当进行运动",0,0,0,2023-06-06 18:13,iPhone客户端,https://wx3.sinaimg.cn/large/008xA8JXgy1heonz9jh9kj30p018g1kx.jpg,,,,蓝V
4909314500466355,N3Ujo1XjR,7825295153,多彩芳华空中课堂,明晚19:30分，曾老师与您相约直播间，千万不要错过！快扫码预约吧！50后，60年后如何健康运动？健康运动基础提升课！#多彩芳华空中课堂##零基础##老年人如何适当进行运动#,,,,"多彩芳华空中课堂,零基础,老年人如何适当进行运动",0,0,0,2023-06-05 16:54,iPhone客户端,https://wx3.sinaimg.cn/large/008xA8JXgy1heng0wknzrj30p018g17f.jpg,,,,蓝V
4907087237482704,N2Yn1voAM,5170623040,聊哥-Hao,我的这位72岁学员（关节炎+半月板磨损）做保加利亚深蹲+杠铃俯身划船比很多80后或者90后都标准，跟了我三年，这姿态保持的真好！为她打赞聊哥聊运动超话#老年人如何适当进行运动#L聊哥-Hao的微博视频,,,,老年人如何适当进行运动,8,6,89,2023-05-30 13:23,聊哥聊运动超话,,"http://f.video.weibocdn.com/o0/Ak7lDaWelx085Qe3iz4c01041200ccVB0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724987551&ssig=kzb06dgEVt&KID=unistore,video",,,黄V
4824467567546842,MagvOvFhg,7624794597,太郎子,#老年人如何适当进行运动#散步对中老年人最易掌握，是一项随时随地都可锻炼的活动。选择空气清新，林木幽静环境，轻松舒展，不紧不慢地信步而来，一定会感到心旷神怡，周身舒爽。参加约会和社会活动，如果路程不远，时间充裕，那末以步当车，及时到达目的地，也是锻炼机体耐力的良好机会。步行欲达到健身的目的#成长有态度#,,,,"老年人如何适当进行运动,成长有态度",14,13,15,2022-10-14 13:42,iPhone客户端,,,,,黄V
