id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4889726831563125,MBEcH6yDH,6405113880,网信滨海,#老年人如何防骗##守护老年人的钱袋子#金融普法进社区关爱老人防诈骗【近日，新北街道网格员举办金融知识普法宣传活动，守护好老年人的“钱袋子”。】O网页链接,,,,"老年人如何防骗,守护老年人的钱袋子",0,0,0,2023-04-12 15:39,微博网页版,,,,,蓝V
4888824734548233,MBgJHj5cB,5675574430,沈阳大东检察,【情景剧：检察官带您认识骗子的那些套路】#老年人如何防骗你可看好了#诈骗套路层出不穷，老年人因防范意识薄弱成为诈骗分子的“下手对象”。#老年人如何防骗#？检察官带您一起来了解骗子的那些套路！#平安建设#L新疆检察的微博视频,,,,"老年人如何防骗你可看好了,老年人如何防骗,平安建设",4014,123,2504,2023-04-10 03:55,微博视频号,,"http://f.video.weibocdn.com/o0/Ux2mY2Kflx07W0W8nGCs010412017FGR0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729236653&ssig=ioYZwL%2FpPB&KID=unistore,video",,,蓝V
4887363858465032,MAEJrzw8M,5675574430,沈阳大东检察,【情景剧：检察官带您认识骗子的那些套路】#老年人如何防骗你可看好了#诈骗套路层出不穷，老年人因防范意识薄弱成为诈骗分子的“下手对象”。#老年人如何防骗#？检察官带您一起来了解骗子的那些套路！#平安建设#L新疆检察的微博视频,,,,"老年人如何防骗你可看好了,老年人如何防骗,平安建设",0,0,0,2023-04-06 03:10,微博视频号,,"http://f.video.weibocdn.com/o0/Ux2mY2Kflx07W0W8nGCs010412017FGR0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729236658&ssig=iIbZoldNSY&KID=unistore,video",,,蓝V
4884089725518539,MzhyAn9CH,5724668570,兴城检察院,【情景剧：检察官带您认识骗子的那些套路】#老年人如何防骗你可看好了#诈骗套路层出不穷，老年人因防范意识薄弱成为诈骗分子的“下手对象”。#老年人如何防骗#？检察官带您一起来了解骗子的那些套路！#平安建设#L新疆检察的微博视频,,,,"老年人如何防骗你可看好了,老年人如何防骗,平安建设",0,0,0,2023-03-28 02:19,微博视频号,,"http://f.video.weibocdn.com/o0/Ux2mY2Kflx07W0W8nGCs010412017FGR0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729236670&ssig=kBJwRbrAiX&KID=unistore,video",,,蓝V
4883963959056472,MzehJC008,5675574430,沈阳大东检察,【情景剧：检察官带您认识骗子的那些套路】#老年人如何防骗你可看好了#诈骗套路层出不穷，老年人因防范意识薄弱成为诈骗分子的“下手对象”。#老年人如何防骗#？检察官带您一起来了解骗子的那些套路！#平安建设#L新疆检察的微博视频,,,,"老年人如何防骗你可看好了,老年人如何防骗,平安建设",0,0,0,2023-03-27 18:00,微博视频号,,"http://f.video.weibocdn.com/o0/Ux2mY2Kflx07W0W8nGCs010412017FGR0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729236671&ssig=la8RGRt6uR&KID=unistore,video",,,蓝V
4883961443255260,MzedGdEQc,5675574430,沈阳大东检察,【情景剧：检察官带您认识骗子的那些套路】#老年人如何防骗你可看好了#诈骗套路层出不穷，老年人因防范意识薄弱成为诈骗分子的“下手对象”。#老年人如何防骗#？检察官带您一起来了解骗子的那些套路！#平安建设#L新疆检察的微博视频,,,,"老年人如何防骗你可看好了,老年人如何防骗,平安建设",0,0,0,2023-03-27 17:50,微博视频号,,"http://f.video.weibocdn.com/o0/Ux2mY2Kflx07W0W8nGCs010412017FGR0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729236671&ssig=la8RGRt6uR&KID=unistore,video",,,蓝V
4882967397404291,MyOmnv4c3,5675574430,沈阳大东检察,【情景剧：检察官带您认识骗子的那些套路】#老年人如何防骗你可看好了#诈骗套路层出不穷，老年人因防范意识薄弱成为诈骗分子的“下手对象”。#老年人如何防骗#？检察官带您一起来了解骗子的那些套路！#平安建设#L新疆检察的微博视频,,,,"老年人如何防骗你可看好了,老年人如何防骗,平安建设",0,0,0,2023-03-25 00:00,微博视频号,,"http://f.video.weibocdn.com/o0/Ux2mY2Kflx07W0W8nGCs010412017FGR0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729236672&ssig=KJyFETnThy&KID=unistore,video",,,蓝V
4882964875313971,MyOijmipd,5675574430,沈阳大东检察,【情景剧：检察官带您认识骗子的那些套路】#老年人如何防骗你可看好了#诈骗套路层出不穷，老年人因防范意识薄弱成为诈骗分子的“下手对象”。#老年人如何防骗#？检察官带您一起来了解骗子的那些套路！#平安建设#L新疆检察的微博视频,,,,"老年人如何防骗你可看好了,老年人如何防骗,平安建设",0,0,0,2023-03-24 23:50,微博视频号,,"http://f.video.weibocdn.com/o0/Ux2mY2Kflx07W0W8nGCs010412017FGR0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729236674&ssig=fNC9NgE2%2By&KID=unistore,video",,,蓝V
4882828216504120,MyKJTri1a,6405113880,网信滨海,#防范电信网络诈骗##老年人如何防骗#【七邻里社区举办防诈骗知识讲座保护老年人财产安全】日前，大港街道七邻里社区联合枫叶日间照料中心举办“老年人预防通讯网络诈骗”知识讲座，进一步提高老年人的自我防范能力，增强他们的反诈意识，保护财产安全。O网页链接,,,,"防范电信网络诈骗,老年人如何防骗",0,0,1,2023-03-24 14:47,微博网页版,,,,,蓝V
4882050383874532,MyqvkgfWs,5257523581,吐鲁番网警,#老年人如何防骗#【守护美好生活#全民反诈在行动#】“叔叔，变天了要注意你的老寒腿”“大妈，这是高回报零风险”......看小美（没）的自白，告诉你话术背后的秘密。忻州网警巡查执法的微博视频L忻州网警巡查执法的微博视频,,,,"老年人如何防骗,全民反诈在行动",0,0,0,2023-03-22 11:16,微博视频号,,"http://f.video.weibocdn.com/o0/syOuPMpilx08441KPyOc01041200h62w0E010.mp4?label=mp4_hd&template=854x480.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729236677&ssig=y3fOUc5C17&KID=unistore,video",,,蓝V
