id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5033969974511275,OefIhiVAv,1657991400,付付有正,没经历过几次骗局，怎么能长大呢？#以案说法##骗局揭秘##老年人容易陷入哪些骗局#,,廊坊·微光咖啡,,"以案说法,骗局揭秘,老年人容易陷入哪些骗局",0,1,0,2024-05-14 16:30,iPhone客户端,"https://wx4.sinaimg.cn/large/62d2f0e8ly1hpp4h2ld3aj21400u0wl7.jpg,https://wx1.sinaimg.cn/large/62d2f0e8ly1hpp4h35hwuj20u01407kk.jpg",,,河北,普通用户
5024910024118731,Oas1shht9,3872149269,自贡市贡井区人民检察,#老年人容易陷入哪些骗局#盘点那些针对老年人的骗局随着人们生活水平的日益提高，生活中针对老年人的虚假骗局也是层出不穷。检察官提醒老年朋友们要提高反诈意识，防范“假好心”的陌生人，保管好个人信息和钱财，重要情况及时与家人沟通，不轻信不上当，守好自己的“钱袋子”L内江市检察院的微博视频,,,,老年人容易陷入哪些骗局,0,0,0,2024-04-19 16:29,微博视频号,,"http://f.video.weibocdn.com/o0/IXK8BHfPlx089SPbuMxW01041200XnyG0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729092159&ssig=7BcaFGtPry&KID=unistore,video",,,蓝V
5024824331862621,OapNf7Oyh,5509537351,安岳检察,#老年人容易陷入哪些骗局#盘点那些针对老年人的骗局随着人们生活水平的日益提高，生活中针对老年人的虚假骗局也是层出不穷。检察官提醒老年朋友们要提高反诈意识，防范“假好心”的陌生人，保管好个人信息和钱财，重要情况及时与家人沟通，不轻信不上当，守好自己的“钱袋子”L内江市检察院的微博视频,,,,老年人容易陷入哪些骗局,0,0,1,2024-04-19 10:49,微博视频号,,"http://f.video.weibocdn.com/o0/IXK8BHfPlx089SPbuMxW01041200XnyG0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729092159&ssig=7BcaFGtPry&KID=unistore,video",,,蓝V
4964076141677070,NqSUC72hw,5140591723,内江共青团,#老年人容易陷入哪些骗局#？听@内江市检察院检察官说↓↓↓L内江市检察院的微博视频,,,内江市检察院,老年人容易陷入哪些骗局,0,0,0,2023-11-03 19:37,微博视频号,,"http://f.video.weibocdn.com/o0/IXK8BHfPlx089SPbuMxW01041200XnyG0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729092159&ssig=7BcaFGtPry&KID=unistore,video",,,蓝V
4891139113751865,MCeWzfK1X,1721385380,倪小培,上海的徐家汇公园里居然有一群老年人聚在一起被人骗，我们想凑进去听听还被人赶走了#老年人容易陷入哪些骗局#,,上海·徐家汇公园,,老年人容易陷入哪些骗局,0,2,0,2023-04-16 13:11,iPhone客户端,https://wx4.sinaimg.cn/large/669a41a4ly1hd1gn10nrqj22370u01kx.jpg,,,上海,普通用户
4821919792106857,M9cev8Q5z,2909262301,早晨漫步游vip,#老年人容易陷入哪些骗局#【#保护老人财产#针对老年人的骗局频发，能像保护未成年人一样保护老年人的财产吗】近年来针对老年人实施的诈骗层出不穷，老人防骗意识薄弱，骗子巧舌如簧致使很多老人上当。L照理拍案的微博视频微博正文,,,,"老年人容易陷入哪些骗局,保护老人财产",0,0,0,2022-10-07 12:58,微博视频号,,"http://f.video.weibocdn.com/o0/ngSEcXYPlx07WwHXYupy01041207gGvr0E030.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729092159&ssig=qdppiDRylb&KID=unistore,video",,河南,普通用户
4795468347083911,LE3zctIQD,7699849847,金耐冬花中国财富顾问大赛,#金耐冬花财富顾问大赛##老年人容易陷入哪些骗局#2015年4月，16位老人在**银行广州分行**支行购买理财产品时，该行的理财经理麦*贤伪造假理财合同书，并盖上**银行**支行柜台业务专用章，在银行的理财室里骗取16位老人的理财款共5600多万元后挥霍一空。老年人骗局层出不穷，针对弱势群体，子女们需不断提醒加强老人防骗意识“金耐冬花”中国财富顾问大赛，邀请优秀参赛选手，分享真实案例、传授防骗小知识，7月27日下午2点，微信视频号【金耐冬花精英赛】，不见不散！[举杠铃]#直播##全民反诈防骗季##理财建议#,,,,"金耐冬花财富顾问大赛,老年人容易陷入哪些骗局,直播,全民反诈防骗季,理财建议",0,0,0,2022-07-26 13:10,微博 weibo.com,https://wx1.sinaimg.cn/large/008p5MGzly1h4k8z5igd2j30u01hcain.jpg,,,山东,蓝V
4775942155665720,LvRBlnLUA,6315526016,照理拍案,#老年人容易陷入哪些骗局#【#保护老人财产#针对老年人的骗局频发，能像保护未成年人一样保护老年人的财产吗】近年来针对老年人实施的诈骗层出不穷，老人防骗意识薄弱，骗子巧舌如簧致使很多老人上当。L照理拍案的微博视频,,,,"老年人容易陷入哪些骗局,保护老人财产",1,0,6,2022-06-02 16:00,微博视频号,,"http://f.video.weibocdn.com/o0/ngSEcXYPlx07WwHXYupy01041207gGvr0E030.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729092159&ssig=qdppiDRylb&KID=unistore,video",,辽宁,黄V
4712808711193908,L5ndd50AA,2437958991,长春生活,男子替母亲出头跟移动公司理论，有理有据，全程高能！L长春生活的微博视频,,,,,668,669,8439,2021-12-10 10:50,微博视频号,,"http://f.video.weibocdn.com/o0/GDO8ow38lx07S386ZRVC01041200v4sO0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1729092162&ssig=CDHyW%2BysFy&KID=unistore,video",,,
4714658164380095,L69kcinsH,5986871023,吃我一拳1023,#老年人容易陷入哪些骗局#,,,,老年人容易陷入哪些骗局,0,0,8439,2021-12-15 13:19,iPhone客户端,,,4712808711193908,,普通用户
