id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4846640042612170,MjzjSaXxM,2241948204,三秦青年,【重点关注！#老年人居家治疗重点注意事项#】老年人多合并有基础疾病，感染后进行居家观察时，这些方面需重点关注：①发烧情况：高烧持续时间比较长的情况；②精神状态：感染后活动情况不好，甚至卧床；③进食进水情况：出现吃喝不下的现象；④呼吸困难：是否有喘不上气的情况。详戳↓↓↓#秦团战疫#L人民日报的微博视频,,,,"老年人居家治疗重点注意事项,秦团战疫",6,0,0,2022-12-14 18:08,微博视频号,,"http://f.video.weibocdn.com/o0/iTLy28XSlx081xQ37cla01041200oZJ60E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002286&ssig=sadaUxi3f3&KID=unistore,video",,,
4848802546845901,MktzMsIVL,3217643027,五保户的橙子,//@榆林团市委:#榆青微语#重点关注！#老年人居家治疗重点注意事项#,,,榆林团市委,"榆青微语,老年人居家治疗重点注意事项",0,0,0,2022-12-20 17:21,iPhone客户端,,,4846640042612170,,普通用户
4847357306606916,MjRYKrILa,3217643027,五保户的橙子,//@榆林团市委:#榆青微语#重点关注！#老年人居家治疗重点注意事项#,,,榆林团市委,"榆青微语,老年人居家治疗重点注意事项",0,0,0,2022-12-16 17:38,iPhone客户端,,,4846640042612170,,普通用户
4847241023718871,MjOXcfBrN,5501668108,平阴检察,【重点关注！#老年人居家治疗重点注意事项#】老年人多合并有基础疾病，感染后进行居家观察时，这些方面需重点关注：①发烧情况：高烧持续时间比较长的情况；②精神状态：感染后活动情况不好，甚至卧床；③进食进水情况：出现吃喝不下的现象；④呼吸困难：是否有喘不上气的情况。详戳↓↓↓L人民日报的微博视频,,,,老年人居家治疗重点注意事项,0,0,0,2022-12-16 09:56,微博视频号,,"http://f.video.weibocdn.com/o0/iTLy28XSlx081xQ37cla01041200oZJ60E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002286&ssig=sadaUxi3f3&KID=unistore,video",,,蓝V
4846968720859706,MjHS03BEe,3217643027,五保户的橙子,//@榆林团市委:#榆青微语#重点关注！#老年人居家治疗重点注意事项#,,,榆林团市委,"榆青微语,老年人居家治疗重点注意事项",0,0,0,2022-12-15 15:54,iPhone客户端,,,4846640042612170,,普通用户
4846946118802854,MjHhxAW1w,3877456382,新城法院,【重点关注！#老年人居家治疗重点注意事项#】老年人多合并有基础疾病，感染后进行居家观察时，这些方面需重点关注：①发烧情况：高烧持续时间比较长的情况；②精神状态：感染后活动情况不好，甚至卧床；③进食进水情况：出现吃喝不下的现象；④呼吸困难：是否有喘不上气的情况。详戳↓↓↓L人民日报的微博视频,,,,老年人居家治疗重点注意事项,0,1,1,2022-12-15 14:24,微博视频号,,"http://f.video.weibocdn.com/o0/iTLy28XSlx081xQ37cla01041200oZJ60E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002286&ssig=sadaUxi3f3&KID=unistore,video",,,蓝V
4846930196962315,MjGRRtddp,5680977402,古塔检察,【重点关注！#老年人居家治疗重点注意事项#】老年人多合并有基础疾病，感染后进行居家观察时，这些方面需重点关注：①发烧情况：高烧持续时间比较长的情况；②精神状态：感染后活动情况不好，甚至卧床；③进食进水情况：出现吃喝不下的现象；④呼吸困难：是否有喘不上气的情况。详戳↓↓↓L人民日报的微博视频,,,,老年人居家治疗重点注意事项,0,0,0,2022-12-15 13:21,微博视频号,,"http://f.video.weibocdn.com/o0/iTLy28XSlx081xQ37cla01041200oZJ60E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002286&ssig=sadaUxi3f3&KID=unistore,video",,,蓝V
4846893912561633,MjFVlaKoF,5922658997,周口网警,【重点关注！#老年人居家治疗重点注意事项#】老年人多合并有基础疾病，感染后进行居家观察时，这些方面需重点关注：①发烧情况：高烧持续时间比较长的情况；②精神状态：感染后活动情况不好，甚至卧床；③进食进水情况：出现吃喝不下的现象；④呼吸困难：是否有喘不上气的情况。L周口网警巡查执法的微博视频,,,,老年人居家治疗重点注意事项,0,0,0,2022-12-15 10:57,微博视频号,,"http://f.video.weibocdn.com/o0/1E0tKyl8lx081zi791pu01041200d5M90E010.mp4?label=mp4_hd&template=852x480.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002286&ssig=5NIDmHfKfL&KID=unistore,video",,,蓝V
4846887100222352,MjFKm0VQk,5154653304,黄河口检察在线,【重点关注！#老年人居家治疗重点注意事项#】老年人多合并有基础疾病，感染后进行居家观察时，这些方面需重点关注：①发烧情况：高烧持续时间比较长的情况；②精神状态：感染后活动情况不好，甚至卧床；③进食进水情况：出现吃喝不下的现象；④呼吸困难：是否有喘不上气的情况。详戳↓↓↓L人民日报的微博视频,,,,老年人居家治疗重点注意事项,0,3,2,2022-12-15 10:29,微博视频号,,"http://f.video.weibocdn.com/o0/iTLy28XSlx081xQ37cla01041200oZJ60E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002287&ssig=%2FoU6Ue%2BlV8&KID=unistore,video",,,蓝V
4846887040982261,MjFKg47wV,6190039067,静宁检察,【重点关注！#老年人居家治疗重点注意事项#】老年人多合并有基础疾病，感染后进行居家观察时，这些方面需重点关注：①发烧情况：高烧持续时间比较长的情况；②精神状态：感染后活动情况不好，甚至卧床；③进食进水情况：出现吃喝不下的现象；④呼吸困难：是否有喘不上气的情况。详戳↓↓↓L人民日报的微博视频,,,,老年人居家治疗重点注意事项,0,1,0,2022-12-15 10:29,微博视频号,,"http://f.video.weibocdn.com/o0/iTLy28XSlx081xQ37cla01041200oZJ60E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002287&ssig=%2FoU6Ue%2BlV8&KID=unistore,video",,,蓝V
