id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4850114944043714,Ml1IygXXc,5125116072,Boya博雅女士,建议大家给paxlovid起个好念的中国名字，派克斯老韦德，行不行?这好家伙和亲戚朋友分享知识，得拼好几遍#老年人感染新冠后如何用药##给paxlovid起个中国名字#,,,,"老年人感染新冠后如何用药,给paxlovid起个中国名字",1,11,7,2022-12-24 08:16,Note 10 Pro,"https://wx3.sinaimg.cn/large/005AQsOsly1h9el3p6v6cj30qy0dfmy8.jpg,https://wx2.sinaimg.cn/large/005AQsOsly1h9el3jka8zj30dx0ggt9p.jpg",,,,黄V
4849440437844186,MkKaDwUD8,3216505712,利辛发布,#老年人感染新冠后如何用药##阳了症状不同取决于个体反应#【老年人感染新冠怎么办？来看华西专家解答】老年人感染新冠会更严重吗？有基础疾病的老年人治疗新冠时应该停药吗？有必要吃药提高免疫力吗？针对这些群众关心的问题，四川大学华西医院感染性疾病中心副主任医师刘焱斌大家进行了答疑解惑。（健康四川宣传）L健康四川宣传的微博视频,,,,"老年人感染新冠后如何用药,阳了症状不同取决于个体反应",0,0,1,2022-12-22 11:36,微博视频号,,"http://f.video.weibocdn.com/o0/Ino7XipElx081EhXZl8401041200mssX0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009455&ssig=9RF1hzkYb0&KID=unistore,video",,,蓝V
4848912374959544,MkwqVkOcE,5387285781,陪爸抗癌的小姐姐,#替基础病的老人想想#建议大家发现自己发烧以后在家测抗原确定是否感染新冠，新冠用药和普通流行感冒用药一致，尽量不要去医院再次核酸验证，替有基础疾病的病人和癌症患者考虑一下！#老年人感染新冠后如何用药#,,,,"替基础病的老人想想,老年人感染新冠后如何用药",0,0,1,2022-12-21 00:37,iPhone客户端,,,,,普通用户
4848848470284394,MkuLR1bZ0,7346860736,康亿健全球购,Paxzen应在病程早期使用，以降低转化为重症的风险。很多人担心，如果不提前储备，等到老人生病，排长队送到医院，再上特效药也晚了。#慢性病人如何选择新冠用药##老年人感染新冠后如何用药#,,,,"慢性病人如何选择新冠用药,老年人感染新冠后如何用药",0,0,1,2022-12-20 20:23,iPhone客户端,https://wx3.sinaimg.cn/large/0081cG5Oly1h9ajn2ulhyj30sc0gomzu.jpg,,,,普通用户
4848733361804643,MkrMc7zt9,7211940831,什么都没有的Y,#新冠感染#我想知道这种全部开放或许一般青壮年并不会影响太大哪对于儿童和老年人该怎么办？体质弱的有基础病的听天从命么？开放或许是大局所致但牺牲会有多大？#老年人感染新冠后如何用药##新冠感染情况问卷调查#这是会缓解所谓的人口老龄化么？（不懂乱问的，只是担心大部分老人和孩子）,,,,"新冠感染,老年人感染新冠后如何用药,新冠感染情况问卷调查",0,0,2,2022-12-20 12:46,iPhone客户端,,,,,普通用户
4848685940755513,MkqxI3axH,1231759973,新浪新知,【#老年人感染新冠的注意事项#】【华西专家解答！#老年人感染新冠后如何用药#？】四川大学华西医院感染性疾病中心副主任医师刘焱斌认为，有基础疾病的老年人感染新冠后，治疗基础疾病的药还是要常规服用，该吃降糖药或者降压药的时候，服用时要注意根据当时的血糖血压情况进行调整。什么情况要去医院？刘焱斌表示，如果老年人出现持续发烧不退，呼吸困难，喘气非常急促，建议尽早去医院就诊L红星视频的微博视频,,,,"老年人感染新冠的注意事项,老年人感染新冠后如何用药",0,0,1,2022-12-20 09:37,微博视频号,,"http://f.video.weibocdn.com/o0/JE2p9Ba4lx081DhcTpGU010412006Aa00E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009455&ssig=3piHfbQrtf&KID=unistore,video",,,蓝V
4848406231258554,Mkjgz5hpg,7112857934,瑶吟不摇铃,就疫情来说，在网上开麦我真的没干过，但是最近真的搞得很慌张，封控的时候，因为我家这边是偏远贫困地区，一直没什么影响，然后三年以来我过得很正常。从之前放开开始吧，我一直很怕我家这边村子里开始陆续感染，因为村子里大多数住户都是老年人，我们这里的医疗条件也同样跟不上，我们就算拿个快递都很困难。我更怕过年的时候，回家的人，因为老人眼里没有什么防控意识，就算说了不能怎么样也不会照着做，一直都说这边都是家里人，没事。我其实是想知道同样是偏远贫困地区的，是怎么劝阻并且防控？#老年人感染新冠后如何用药#,,,,老年人感染新冠后如何用药,0,0,3,2022-12-19 15:06,OPPO K9 Pro 5G,,,,,普通用户
4848374061207217,MkiqG543f,1142610131,五味瓶记,疫情放开第12天，我在河南焦作一个小村看排队领药。今天焦作邮政银行、长治山西银行都已经停止办公，这是部分银行的记录，身边朋友几乎全部倒下，网上更是一遍哀号，有渲染夸大的，有绝不相信的。可能疫情没有过去静默隔离宣传的那般可怕，也没有现在轻松放开那么无事。还是一句话:能晚得尽量不要早得，甚至以身试毒；能躲过一波尽量避开一波，特别是老年人、有基础病的人群。你们觉得我说得对吗？#联合国大会播放河南县城宣传片#studyaccount超话#浙江省疫情感染人群近八成是中青年##老年人感染新冠后如何用药#每日一善超话,,,,"联合国大会播放河南县城宣传片,浙江省疫情感染人群近八成是中青年,老年人感染新冠后如何用药",0,1,2,2022-12-19 12:58,vivo Y76s,https://wx4.sinaimg.cn/large/441ad8d3ly1h9916j3255j235c2d04qq.jpg,,,,黄V
4848369707256017,MkijEurCx,3243469590,成华残联,#华西专家解答老年人感染后如何用药#【华西专家解答！#老年人感染新冠后如何用药#？】四川大学华西医院感染性疾病中心副主任医师刘焱斌认为，有基础疾病的老年人感染新冠后，治疗基础疾病的药还是要常规服用，该吃降糖药或者降压药的时候，服用时要注意根据当时的血糖血压情况进行调整。什么情况要去医院？刘焱斌表示，如果老年人出现持续发烧不退，呼吸困难，喘气非常急促，建议尽早去医院就诊。L红星视频的微博视频,,,,"华西专家解答老年人感染后如何用药,老年人感染新冠后如何用药",1,17,9,2022-12-19 12:41,Android,,"http://f.video.weibocdn.com/o0/JE2p9Ba4lx081DhcTpGU010412006Aa00E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009455&ssig=3piHfbQrtf&KID=unistore,video",,,蓝V
4848295702693571,MkgoibiIH,5125116072,Boya博雅女士,如果家里有老人请一定小心！一位博主发现家里老人感染后，双下肢无力症状早于发热。如果发热的话就别想着什么温水洗澡退热了，老老实实躺着，该喝水喝水该吃药吃药，才是更安全的做法。最近感染阳性的老人越来越多了，这时候跌倒的风险大大增加。中国疾病监测系统的数据显示，跌倒已经成为我国65岁以上老年人因伤致si的首因。#老年人感染新冠后如何用药##今天你阳了吗#,,,,"老年人感染新冠后如何用药,今天你阳了吗",16,2,45,2022-12-19 07:47,Note 10 Pro,"https://wx2.sinaimg.cn/large/005AQsOsly1h98trh3s0fj30u00wb77v.jpg,https://wx2.sinaimg.cn/large/005AQsOsly1h98trhflkjj30u00zsdk7.jpg,https://wx4.sinaimg.cn/large/005AQsOsly1h98trhn5h8j30tg0ts0wt.jpg,https://wx1.sinaimg.cn/large/005AQsOsly1h98trhvh0kj30u00nq76x.jpg,https://wx3.sinaimg.cn/large/005AQsOsly1h98tri3b6ij30hm0ffacn.jpg",,,,黄V
