id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4559179002153811,JoPw092iT,1689980844,商业评论-中国力量,【#为什么老年人爱转发谣言#？】“震惊！两米的鸡你见过吗？”这类你看都不想看一眼的假新闻为什么总是在轰炸你的微信群。近年来，老年人被骗的新闻屡见不鲜。而这不断被瞄准、收割的老年人群体背后隐藏的是一条灰色产业链、潜在的老年人“下沉市场”和我们对老年人的忽视问题。为什么#老年人成互联网过剩流量#，他们的养老金还保得住吗......戳视频了解更多～@商业评论L商业评论的微博视频,,,商业评论,"为什么老年人爱转发谣言,老年人成互联网过剩流量",0,0,1,2020-10-12 12:20,iPhone客户端,,"http://f.video.weibocdn.com/002dAugpgx07GMK5Twr601041204sMd70E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007356&ssig=miHmf%2B7eei&KID=unistore,video",,,蓝V
4557874073972935,JohzhgFxB,2643377963,陕西财经频道,【#为什么老年人爱转发谣言#？】“震惊！两米的鸡你见过吗？”这类你看都不想看一眼的假新闻为什么总是在轰炸你的微信群。近年来，老年人被骗的新闻屡见不鲜。而这不断被瞄准、收割的老年人群体背后隐藏的是一条灰色产业链、潜在的老年人“下沉市场”和我们对老年人的忽视问题。为什么#老年人成互联网过剩流量#，他们的养老金还保得住吗......戳视频了解更多～@商业评论L商业评论的微博视频,,,商业评论,"为什么老年人爱转发谣言,老年人成互联网过剩流量",0,0,1,2020-10-08 21:55,iPhone客户端,,"http://f.video.weibocdn.com/002dAugpgx07GMK5Twr601041204sMd70E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007356&ssig=miHmf%2B7eei&KID=unistore,video",,,蓝V
4554496825104776,JmRI6lpZ6,6624739856,新消费101,【#为什么老年人爱转发谣言#？】“震惊！两米的鸡你见过吗？”这类你看都不想看一眼的假新闻为什么总是在轰炸你的微信群。近年来，老年人被骗的新闻屡见不鲜。而这不断被瞄准、收割的老年人群体背后隐藏的是一条灰色产业链、潜在的老年人“下沉市场”和我们对老年人的忽视问题。为什么#老年人成互联网过剩流量#，他们的养老金还保得住吗......戳视频了解更多～@商业评论L商业评论的微博视频,,,商业评论,"为什么老年人爱转发谣言,老年人成互联网过剩流量",0,1,4,2020-09-29 14:15,财经 · 视频社区,,"http://f.video.weibocdn.com/002dAugpgx07GMK5Twr601041204sMd70E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007356&ssig=miHmf%2B7eei&KID=unistore,video",,,蓝V
4554457575328088,JmQGNmm4U,7393576585,腾讯新闻人间指北,【#为什么老年人爱转发谣言#？】“震惊！两米的鸡你见过吗？”这类你看都不想看一眼的假新闻为什么总是在轰炸你的微信群。近年来，老年人被骗的新闻屡见不鲜。而这不断被瞄准、收割的老年人群体背后隐藏的是一条灰色产业链、潜在的老年人“下沉市场”和我们对老年人的忽视问题。为什么#老年人成互联网过剩流量#，他们的养老金还保得住吗......戳视频了解更多～@商业评论L商业评论的微博视频,,,商业评论,"为什么老年人爱转发谣言,老年人成互联网过剩流量",1,0,5,2020-09-29 11:39,微博视频号,,"http://f.video.weibocdn.com/002dAugpgx07GMK5Twr601041204sMd70E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007356&ssig=miHmf%2B7eei&KID=unistore,video",,,蓝V
4554252254975132,JmLlDkSg4,2357213493,虎嗅APP,【#为什么老年人爱转发谣言#？】“震惊！两米的鸡你见过吗？”这类你看都不想看一眼的假新闻为什么总是在轰炸你的微信群。近年来，老年人被骗的新闻屡见不鲜。而这不断被瞄准、收割的老年人群体背后隐藏的是一条灰色产业链、潜在的老年人“下沉市场”和我们对老年人的忽视问题。为什么#老年人成互联网过剩流量#，他们的养老金还保得住吗……L商业评论的微博视频,,,,"为什么老年人爱转发谣言,老年人成互联网过剩流量",13,10,25,2020-09-28 22:03,微博视频号,,"http://f.video.weibocdn.com/002dAugpgx07GMK5Twr601041204sMd70E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007356&ssig=miHmf%2B7eei&KID=unistore,video",,,蓝V
4554233980135844,JmKSa0zl2,2342069163,IT氪,【#为什么老年人爱转发谣言#？】“震惊！两米的鸡你见过吗？”这类你看都不想看一眼的假新闻为什么总是在轰炸你的微信群。近年来，老年人被骗的新闻屡见不鲜。而这不断被瞄准、收割的老年人群体背后隐藏的是一条灰色产业链、潜在的老年人“下沉市场”和我们对老年人的忽视问题。为什么#老年人成互联网过剩流量#，他们的养老金还保得住吗？L商业评论的微博视频,,,,"为什么老年人爱转发谣言,老年人成互联网过剩流量",14,15,107,2020-09-28 20:50,微博视频号,,"http://f.video.weibocdn.com/002dAugpgx07GMK5Twr601041204sMd70E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007356&ssig=miHmf%2B7eei&KID=unistore,video",,,黄V
4554181741120709,JmJvU4HxX,6331254197,澳云软件JASTVIN,【#为什么老年人爱转发谣言#？】“震惊！两米的鸡你见过吗？”这类你看都不想看一眼的假新闻为什么总是在轰炸你的微信群。近年来，老年人被骗的新闻屡见不鲜。而这不断被瞄准、收割的老年人群体背后隐藏的是一条灰色产业链、潜在的老年人“下沉市场”和我们对老年人的忽视问题。为什么#老年人成互联网过剩流量#，他们的养老金还保得住吗？L商业评论的微博视频,,,,"为什么老年人爱转发谣言,老年人成互联网过剩流量",0,0,4,2020-09-28 17:23,微博视频号,,"http://f.video.weibocdn.com/002dAugpgx07GMK5Twr601041204sMd70E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007356&ssig=miHmf%2B7eei&KID=unistore,video",,,蓝V
4554168701032655,JmJaS4kDJ,1644510497,商界BUSINESS,【#为什么老年人爱转发谣言#？】“震惊！两米的鸡你见过吗？”这类你看都不想看一眼的假新闻为什么总是在轰炸你的微信群。近年来，老年人被骗的新闻屡见不鲜。而这不断被瞄准、收割的老年人群体背后隐藏的是一条灰色产业链、潜在的老年人“下沉市场”和我们对老年人的忽视问题。为什么#老年人成互联网过剩流量#，他们的养老金还保得住吗......戳视频了解更多～@商业评论L商业评论的微博视频,,,商业评论,"为什么老年人爱转发谣言,老年人成互联网过剩流量",3,1,1,2020-09-28 16:31,微博视频号,,"http://f.video.weibocdn.com/002dAugpgx07GMK5Twr601041204sMd70E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007356&ssig=miHmf%2B7eei&KID=unistore,video",,,蓝V
4554168591712533,JmJaH7bvv,7057506018,袁泽宇同学,【#为什么老年人爱转发谣言#？】“震惊！两米的鸡你见过吗？”这类你看都不想看一眼的假新闻为什么总是在轰炸你的微信群。近年来，老年人被骗的新闻屡见不鲜。而这不断被瞄准、收割的老年人群体背后隐藏的是一条灰色产业链、潜在的老年人“下沉市场”和我们对老年人的忽视问题。为什么#老年人成互联网过剩流量#，他们的养老金还保得住吗？L商业评论的微博视频,,,,"为什么老年人爱转发谣言,老年人成互联网过剩流量",0,0,1,2020-09-28 16:31,微博视频号,,"http://f.video.weibocdn.com/002dAugpgx07GMK5Twr601041204sMd70E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007356&ssig=miHmf%2B7eei&KID=unistore,video",,,黄V
4554168322505360,JmJagavL2,1642720480,爱范儿,【#为什么老年人爱转发谣言#？】“震惊！两米的鸡你见过吗？”这类你看都不想看一眼的假新闻为什么总是在轰炸你的微信群。近年来，老年人被骗的新闻屡见不鲜。而这不断被瞄准、收割的老年人群体背后隐藏的是一条灰色产业链、潜在的老年人“下沉市场”和我们对老年人的忽视问题。为什么#老年人成互联网过剩流量#，他们的养老金还保得住吗？（视频来自商业评论）L商业评论的微博视频,,,,"为什么老年人爱转发谣言,老年人成互联网过剩流量",4,6,10,2020-09-28 16:30,微博视频号,,"http://f.video.weibocdn.com/002dAugpgx07GMK5Twr601041204sMd70E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007356&ssig=miHmf%2B7eei&KID=unistore,video",,,蓝V
