id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4643339644701095,KibsEjIY7,1980734371,砀山发布,【#老年人成假币换真钞目标#】现在，很多人都习惯了用手机支付付费，骗取现金的案件也比较少见了。不过近日，在广西河池再次出现了假钞换真钞的事件，受害者都是老年人。L央视网快看的微博视频,,,,老年人成假币换真钞目标,0,0,0,2021-06-01 18:05,微博视频号,,"http://locallimit.us.sinaimg.cn/kxHilBIglx07N5lrGJaU01041200pPxc0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010147&ssig=Ay9jDnMRo9&KID=unistore,video",,,蓝V
4643212406558920,Ki89qrwh2,5488744088,蒙阴县人民检察院,【#老年人成假币换真钞目标#】现在，很多人都习惯了用手机支付付费，骗取现金的案件也比较少见了。不过近日，在广西河池再次出现了假钞换真钞的事件，受害者都是老年人。L央视网快看的微博视频,,,,老年人成假币换真钞目标,0,1,1,2021-06-01 09:39,微博视频号,,"http://locallimit.us.sinaimg.cn/kxHilBIglx07N5lrGJaU01041200pPxc0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010147&ssig=Ay9jDnMRo9&KID=unistore,video",,,蓝V
4643206710690284,Ki80f2TzC,3809668428,慈溪检察,【#老年人成假币换真钞目标#】现在，很多人都习惯了用手机支付付费，骗取现金的案件也比较少见了。不过近日，在广西河池再次出现了假钞换真钞的事件，受害者都是老年人。L央视网快看的微博视频,,,,老年人成假币换真钞目标,0,0,1,2021-06-01 09:16,iPhone客户端,,"http://locallimit.us.sinaimg.cn/kxHilBIglx07N5lrGJaU01041200pPxc0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010147&ssig=Ay9jDnMRo9&KID=unistore,video",,,蓝V
4642998568883484,Ki2AwBh00,5217310849,钱塘检察,【#老年人成假币换真钞目标#】现在，很多人都习惯了用手机支付付费，骗取现金的案件也比较少见了。不过近日，在广西河池再次出现了假钞换真钞的事件，受害者都是老年人。L央视网快看的微博视频,,,,老年人成假币换真钞目标,0,1,0,2021-05-31 19:29,iPhone客户端,,"http://locallimit.us.sinaimg.cn/kxHilBIglx07N5lrGJaU01041200pPxc0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010147&ssig=Ay9jDnMRo9&KID=unistore,video",,,蓝V
4642976266979235,Ki20ythCj,2534828067,灵山检察,【#老年人成假币换真钞目标#】现在，很多人都习惯了用手机支付付费，骗取现金的案件也比较少见了。不过近日，在广西河池再次出现了假钞换真钞的事件，受害者都是老年人。L央视网快看的微博视频,,,,老年人成假币换真钞目标,0,4,0,2021-05-31 18:01,微博视频号,,"http://locallimit.us.sinaimg.cn/kxHilBIglx07N5lrGJaU01041200pPxc0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010147&ssig=Ay9jDnMRo9&KID=unistore,video",,,蓝V
4642879797988409,KhZuXxw9j,5897816720,天津政法,【#老年人成假币换真钞目标#】现在，很多人都习惯了用手机支付付费，骗取现金的案件也比较少见了。不过近日，在广西河池再次出现了假钞换真钞的事件，受害者都是老年人。L央视网快看的微博视频,,,,老年人成假币换真钞目标,2,0,1,2021-05-31 11:37,微博视频号,,"http://locallimit.us.sinaimg.cn/kxHilBIglx07N5lrGJaU01041200pPxc0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010147&ssig=Ay9jDnMRo9&KID=unistore,video",,,
4642958534509079,Ki1xXiV15,3919910570,天津二中院,【#老年人成假币换真钞目标#】,,,,老年人成假币换真钞目标,0,0,1,2021-05-31 16:50,微博 weibo.com,,,4642879797988409,,蓝V
4642957695389827,Ki1wBmC8H,2970723445,李沧检察,【#老年人成假币换真钞目标#】现在，很多人都习惯了用手机支付付费，骗取现金的案件也比较少见了。不过近日，在广西河池再次出现了假钞换真钞的事件，受害者都是老年人。L央视网快看的微博视频,,,,老年人成假币换真钞目标,3,8,5,2021-05-31 16:47,微博视频号,,"http://locallimit.us.sinaimg.cn/kxHilBIglx07N5lrGJaU01041200pPxc0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010147&ssig=Ay9jDnMRo9&KID=unistore,video",,,蓝V
4642952071350284,Ki1nx5FgM,5319339237,白鹤子37,#老年人成假币换真钞目标#🙏骗子先把钱吐出来再牢底坐穿吧,,,,老年人成假币换真钞目标,0,0,0,2021-05-31 16:24,HUAWEI P20,,,,,普通用户
4642940574501158,Ki14ZiSXk,5541405531,槐荫检察,【#老年人成假币换真钞目标#】现在，很多人都习惯了用手机支付付费，骗取现金的案件也比较少见了。不过近日，在广西河池再次出现了假钞换真钞的事件，受害者都是老年人。L央视网快看的微博视频,,,,老年人成假币换真钞目标,14,29,25,2021-05-31 15:39,微博视频号,,"http://locallimit.us.sinaimg.cn/kxHilBIglx07N5lrGJaU01041200pPxc0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010148&ssig=suH4DEuJxT&KID=unistore,video",,,蓝V
