id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5068306998628483,OsEYzAcF5,1659230663,南昌彩虹健康咨询服务中心,发布了头条文章：《携手共筑健康防线——国家疾控中心助力南昌彩虹，守护50+健康未来》#艾滋病##老年人成艾滋病高发群体##HIV#O携手共筑健康防线——国家疾控中心助力南昌彩虹，守护50+健康未来,http://t.cn/A6RPruo4,,,"艾滋病,老年人成艾滋病高发群体,HIV",0,1,0,2024-08-17 10:33,微博 weibo.com,,,,,蓝V
5018757103355630,O7RXoe4X4,7033597839,云南省疾控中心,#云南疾控科普小课堂##老年人成艾滋病高发群体##无保护性行为带来的不止是意外怀孕#【隔壁老王遇到“艾”→】60多岁的隔壁老王，因一次住院术前检测被查出感染艾滋病病毒，经专业人员流行病学调查发现原来老王是在小公园里遇到“艾”。怎么回事？一起来看看！（云南疾控）,,,,"云南疾控科普小课堂,老年人成艾滋病高发群体,无保护性行为带来的不止是意外怀孕",2,0,1,2024-04-02 17:00,微博网页版,"https://wx2.sinaimg.cn/large/007G0g6rgy1hocd23evumj30sg51qgvl.jpg,https://wx1.sinaimg.cn/large/007G0g6rgy1hocd23gsgij30sg66ak4q.jpg",,,,蓝V
4782394668486280,LyzsCzBFu,6258658400,漫说健康,#老年人成艾滋病高发群体#在很多人初步印象中，艾滋病是一种属于年轻人的传染病。毕竟年轻人代表性欲、性解放以及性力量，尤其是那些性生活比较混乱的年轻人，更容易成为艾滋病的针对对象。然而，近些年数据却显示，老年群体也成为艾滋病感染不可小觑的力量。O老年人何时被艾滋病“盯上”？被压抑的生理需求，又该何去何从？,,,,老年人成艾滋病高发群体,0,2,1,2022-06-20 11:20,微博 weibo.com,,,,,黄V
4614211525936927,K5XHOoUsT,1986561077,乐山陈晓宇,【男人无论岁数多大都有哪方面的想法？】但是不是所有老人都有安全意识，所以现在老年人艾滋感染率越来越高了。关爱老人，从你我做起。原因有哪些？一起来讨论分析。#搞笑视频##老年人成艾滋病高发群体##艾滋病#L乐山疾控中心陈晓宇的微博视频,,,,"搞笑视频,老年人成艾滋病高发群体,艾滋病",4,4,3,2021-03-13 09:00,微博视频号,,"http://f.video.weibocdn.com/002jfLNRgx07L3aiPMn501041203fi1y0E020.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013000&ssig=FzXoIkaRrO&KID=unistore,video",,,红V
4597382836399816,JERn5qQSQ,5051541995,优艾课堂,发布了头条文章：《87岁，仅一位性伴侣，被诊断出患有艾滋病》艾滋病超话#我国报告现存艾滋病感染者104.5万例##老年人成艾滋病高发群体#O87岁，仅一位性伴侣，被诊断出患有艾滋病,http://t.cn/A655rtkq,,,"我国报告现存艾滋病感染者104.5万例,老年人成艾滋病高发群体",0,0,1,2021-01-25 22:29,微博 weibo.com,,,,,黄V
4577634757117771,JwzDltREL,6258658400,漫说健康,#老年人成艾滋病高发群体#不知从何时起，“艾滋病”竟然开始盯上了“老年群体”。据我国2019年新诊断数据显示：60岁以上以及男性艾滋病感染者人数，就占据新报告老年人感染人数的77％。这就意味着老年群体艾滋病感染人数在9年来翻了5倍，每日报告超过100例。而数据中还提到，感染艾滋病的老年男性中，有6成患者是通过商业性性行为途径而感染，而又3成是通过一夜情等非商业性行为而感染。O感染人数9年翻5倍！为何老年人，也成了艾滋病的“高危人群”？,,,,老年人成艾滋病高发群体,0,2,1,2020-12-02 10:37,微博 weibo.com,,,,,黄V
4577470973741571,JwvnbfHlV,2397336364,长兴新闻网,#世界艾滋病日老年人成艾滋病高发群体#王大妈今年76岁了，是一名企业退休工人，辛劳了一辈子，争强好胜了一辈子，前段时间却不得不跟随家人到县疾控中心做艾滋病检测。原来王大妈的老伴11月份刚刚去世，生病入院期间被查出来患有艾滋病。出于谨慎和恐惧，一家人带着孩子和王大妈来到县疾控中心进行咨询和检测。其他人都是阴性，唯独王大妈，不知道是在早年的性生活中被传染了还是在近年来对老伴的护理中接触血液被传染了。王大妈成为我县感染年龄最大的女性。其实像王大妈这样的情况在长兴并不是个例。“2009年我县首次报告老年艾滋病病例，近年来，我县50岁以上老年艾滋病病例已经达到总数的18.02%，且本地人居多，占82.61%，几乎各个乡镇均有病例。今年1～10月份，我县50岁以上老年艾滋病病例达到总数的27.78%。”县疾控中心艾滋病与结核病防制科科长宋玉芳介绍，其中年龄最大的发现时已经82岁了。“老年男性人群感染艾滋病，主要是通过婚外异性性接触，也有一部分因‘男男’同性性行为引起；老年女性人群感染，主要是通过婚内性行为感染的。”,,,,世界艾滋病日 老年人成艾滋病高发群体,0,0,0,2020-12-01 23:46,微博 weibo.com,https://wx1.sinaimg.cn/large/8ee4732cly1gl8se0vucnj20u011ndj1.jpg,,,,普通用户
4447955933288666,Ik7yhdNx0,7094269340,健康大武汉,#健康大武汉#【老年艾滋病感染者的增长幅度超过了老年人口的上升幅度】近日一份感染艾滋病的统计引发人们关注，从2012年到2018年，中国老年人群，特别是60岁以上的男性人群，感染的病例报告数，从8391例上升到24465例，除了绝对数量在增加，相对比例也在提高。#老年人成艾滋病高发群体#中国疾控中心流行病学专家指出，老年感染者的增长幅度远远超过了老年人口的上升幅度。@聚健康@健康武汉L新闻深呼吸-舒口水的微博视频,,,"聚健康,健康武汉","健康大武汉,老年人成艾滋病高发群体",0,0,0,2019-12-10 14:19,社会热点 · 视频社区,,"http://f.video.weibocdn.com/004DRO0Dlx07z9aMOt9u01041200quqz0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013000&ssig=fPIaVglg5a&KID=unistore,video",,,普通用户
4447947339434518,Ik7kpDAlE,2049435632,新浪湖北健康频道,#健康大武汉#【老年艾滋病感染者的增长幅度超过了老年人口的上升幅度】近日一份感染艾滋病的统计引发人们关注，从2012年到2018年，中国老年人群，特别是60岁以上的男性人群，感染的病例报告数，从8391例上升到24465例，除了绝对数量在增加，相对比例也在提高。#老年人成艾滋病高发群体#中国疾控中心流行病学专家指出，老年感染者的增长幅度远远超过了老年人口的上升幅度。@聚健康@健康武汉L新闻深呼吸-舒口水的微博视频,,,"聚健康,健康武汉","健康大武汉,老年人成艾滋病高发群体",0,0,1,2019-12-10 13:45,微博视频号,,"http://f.video.weibocdn.com/004DRO0Dlx07z9aMOt9u01041200quqz0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013000&ssig=fPIaVglg5a&KID=unistore,video",,,蓝V
4447889163588661,Ik5OAf3zD,2840521050,法治郫都,【老年人患艾滋病的比例为什么提高那么快】近日一份感染#艾滋病#的统计引发人们关注，从2012年到2018年，中国老年人群，特别是60岁以上的男性人群，感染的病例报告数，从8391例上升到24465例，除了绝对数量在增加，相对比例也在提高。#老年人成艾滋病高发群体#中国疾控中心流行病学专家指出，老年感染者的增长幅度远远超过了老年人口的上升幅度。L新闻深呼吸-舒口水的微博视频,,,,"艾滋病,老年人成艾滋病高发群体",0,0,1,2019-12-10 09:54,微博视频号,,"http://f.video.weibocdn.com/004DRO0Dlx07z9aMOt9u01041200quqz0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013001&ssig=327jv9uXkQ&KID=unistore,video",,,蓝V
