id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4967393425621833,Nshd4nAuJ,5861252895,菠萝脆脆鲨o,安可场之产出废物的蜕变#老年人手机里有什么##新时代独立女性#,,,,"老年人手机里有什么,新时代独立女性",0,0,0,2023-11-12 23:19,OPPO Reno8 5G,https://wx2.sinaimg.cn/large/006oFdD1gy1hjsqc0ckhpj30u00sr0wu.jpg,,,,黄V
4960045147622241,Npc30vYTn,7375742871,广州市公益慈善联合会,广州慈善空间超话今天早上9点在联通营业厅举行了“广州市慈善空间为老暖心行动”暨“九九助老团”启动仪式，落地推进创建百个智慧助老慈善空间、组建百人智慧助老志愿队伍、开展百场1+N智慧助老活动的“三个一百”智慧助老行动。仪式结束后志愿者们马上行动，进入困难长者家开展服务：检修网络线路，教老人如何使用智能手机的服务功能，防诈骗知识……未来将有100位困难长者获得服务……慈善社会力量助力救助工作，服务困难长者我们在行动！#慈善##公益##防诈骗##老年人手机里有什么##每日一善#,,,,"慈善,公益,防诈骗,老年人手机里有什么,每日一善",0,0,0,2023-10-23 16:39,微博网页版,"https://wx2.sinaimg.cn/large/00839REHgy1hj5aejmwpqj339c268b2a.jpg,https://wx2.sinaimg.cn/large/00839REHgy1hj5ael03t6j339c268u0y.jpg,https://wx1.sinaimg.cn/large/00839REHgy1hj5aemb98oj34tc37khdx.jpg,https://wx4.sinaimg.cn/large/00839REHgy1hj5aehq5jvj33402c0npe.jpg,https://wx2.sinaimg.cn/large/00839REHgy1hj5aejj1phj31w02iox6q.jpg",,,,蓝V
4959966593812868,Npa0jfZTS,2909803041,全球戏精少女,#老年人手机里有什么##超63%的老年人在互联网分享生活#我们老了，爱情没有我记录过许多情侣的故事但前段时间给张爷爷和贺奶奶的拍摄过程却让我发现原来爱情的模样和相貌无关和年龄无关张爷爷和贺奶奶常常牵手吃橘子很自然的会两个人分一个张爷爷说，太甜的不能吃太多想来这一辈子都有人分一半的橘子很难不甜吧他们有个小遗憾是没在年轻的时候多拍些照片可他们的爱情并不需要找回什么年轻时的样子就在此时此刻，虽然满脸皱纹、头发花白但眼里满是彼此，才是爱情最好的样子遛遛生活,,,,"老年人手机里有什么,超63%的老年人在互联网分享生活",0,0,0,2023-10-23 11:27,iPhone 12,"https://wx4.sinaimg.cn/large/ad701221ly1hj51en7wggj20u014279e.jpg,https://wx4.sinaimg.cn/large/ad701221ly1hj51enhxvgj20u0142q81.jpg,https://wx2.sinaimg.cn/large/ad701221ly1hj51emg2xrj20u0142td8.jpg",,,,金V
4959966492885089,Npa09c6xH,2755922044,小娱迟雨,#老年人手机里有什么##超63%的老年人在互联网分享生活#爷爷大概在说向着幸福出发吧！磕到了情人坝偶遇可爱的爷爷奶奶这就是爱情的样子吧,,,,"老年人手机里有什么,超63%的老年人在互联网分享生活",0,0,0,2023-10-23 11:27,iPhone 12,"https://wx1.sinaimg.cn/large/a444087cly1hj51e5oxk0j20u0140jxu.jpg,https://wx2.sinaimg.cn/large/a444087cly1hj51e6gqrrj20u0140jxc.jpg,https://wx4.sinaimg.cn/large/a444087cly1hj51e56sx4j20u0140449.jpg,https://wx2.sinaimg.cn/large/a444087cly1hj51e6wvx8j20u0140q8z.jpg,https://wx1.sinaimg.cn/large/a444087cly1hj51e7934yj20u0140ag8.jpg,https://wx4.sinaimg.cn/large/a444087cly1hj51e7p9ftj20u0140q9j.jpg,https://wx2.sinaimg.cn/large/a444087cly1hj51e848rrj20u0140wks.jpg,https://wx4.sinaimg.cn/large/a444087cly1hj51e8g3frj20u0140wks.jpg",,,,金V
4959966182509335,Np9ZEawN9,2239402020,遛鲸娱的猫,#老年人手机里有什么##超63%的老年人在互联网分享生活#我奶奶她居然我今天打开家门差点吓昏过去，看到我奶奶躺在台阶上，脸上还盖着步，我整个人都麻了，我上前去询问她，她居然跟我说，她觉得躺在楼梯睡觉很舒服，还有太阳晒😰😰😰你们的奶奶会这样吗,,,,"老年人手机里有什么,超63%的老年人在互联网分享生活",0,0,0,2023-10-23 11:25,iPhone 12,"https://wx2.sinaimg.cn/large/857a9024ly1hj51cy3jf7j20u01407bh.jpg,https://wx2.sinaimg.cn/large/857a9024ly1hj51cynws3j20u0140tni.jpg",,,,金V
4959965830447358,Np9Z51Sns,2473790203,初级熬夜追剧,#老年人手机里有什么##超63%的老年人在互联网分享生活#带爷爷奶奶来迪士尼大概是我做的最正确的事属于爷爷奶奶的迪士尼超美好的一天～快80的他们笑的像个小孩，奶奶说飞跃地平线带她去环游世界了，爷爷说小飞侠真的像飞起来了～（玩项目的时候奶奶走太快我差点跟丢了[笑哭R]）全程爷爷租了轮椅，工作人员会提醒是否可以换乘，爷爷有心脏病，小熊维尼和小飞侠这一类的项目还是可以玩一下，速度太快的旋转的都不太行，工作日人少也不拥挤，花车和烟花老人家都很喜欢，全程玩的很开心～,,,,"老年人手机里有什么,超63%的老年人在互联网分享生活",0,0,0,2023-10-23 11:24,iPhone 12,"https://wx2.sinaimg.cn/large/93730afbly1hj51bguy8gj20u0140gty.jpg,https://wx4.sinaimg.cn/large/93730afbly1hj51bg92caj20u0140wo7.jpg,https://wx1.sinaimg.cn/large/93730afbly1hj51bhbhcpj20u01407g5.jpg,https://wx4.sinaimg.cn/large/93730afbly1hj51bhrtc5j20u0140dn3.jpg",,,,金V
4959965405774914,Np9YooejM,1942785822,娱果科技乐坛,#老年人手机里有什么##超63%的老年人在互联网分享生活#真的很佩服我的爷爷！！谁家老人94岁喝咖啡喝啤酒吃炸串有时候还会问我要一根小冰棍和我一起吃薯片吃饼干今天端午节一顿炫两个大粽子（我都吃不下两个）,,,,"老年人手机里有什么,超63%的老年人在互联网分享生活",0,0,0,2023-10-23 11:22,iPhone 12,"https://wx3.sinaimg.cn/large/73cc8f1ely1hj519pe89wj20u0140wl1.jpg,https://wx4.sinaimg.cn/large/73cc8f1ely1hj519ptru2j20u00u0wjr.jpg,https://wx2.sinaimg.cn/large/73cc8f1ely1hj519qa8pwj20u0140k02.jpg,https://wx3.sinaimg.cn/large/73cc8f1ely1hj519p1rkij20u0140qac.jpg,https://wx2.sinaimg.cn/large/73cc8f1ely1hj519qur3gj20u0140wm3.jpg",,,,金V
4959963372588823,Np9V7aRtd,5821563350,幼儿园追剧一姐,#老年人手机里有什么##超63%的老年人在互联网分享生活#我叫“爷爷”时的一组照片照片是21年拍的了他好可爱[红色心形R]翻照片才发现我好久都没见过照片里这样“胖乎乎”的爷爷了他今年生病了，前几天离开了我们我好想他[红色心形R][红色心形R][红色心形R],,,,"老年人手机里有什么,超63%的老年人在互联网分享生活",0,0,0,2023-10-23 11:14,iPhone 12,"https://wx2.sinaimg.cn/large/006lYGz4ly1hj511bga24j30u0140jxu.jpg,https://wx3.sinaimg.cn/large/006lYGz4ly1hj511c08n1j30u0140ago.jpg,https://wx4.sinaimg.cn/large/006lYGz4ly1hj511cf67jj30u0140tf6.jpg,https://wx4.sinaimg.cn/large/006lYGz4ly1hj511b48znj30u0140wkt.jpg",,,,金V
4959963053558823,Np9UBeVOn,1527978594,浪里周刊,#老年人手机里有什么##超63%的老年人在互联网分享生活#三年之约终于来啦！这一生你唯一要完成的KPI就是做自己除了生死都是小事像姥姥一样去成为一个拥有钝感力且快乐的人！,,,,"老年人手机里有什么,超63%的老年人在互联网分享生活",0,0,0,2023-10-23 11:13,iPhone 11,"https://wx2.sinaimg.cn/large/5b131a62ly1hj510d41kyj20zk1bejyg.jpg,https://wx2.sinaimg.cn/large/5b131a62ly1hj510ddmkrj20zk1beahc.jpg,https://wx3.sinaimg.cn/large/5b131a62ly1hj510dpe00j20zk1ben5h.jpg,https://wx4.sinaimg.cn/large/5b131a62ly1hj510dz6kyj20zk1be0z2.jpg",,,,金V
4959963009254706,Np9UwCPzs,5761312641,剧中探险家,#老年人手机里有什么##超63%的老年人在互联网分享生活#我奶，NB的不行瞧我奶，90多了，老年痴呆，啥也看不见，耳朵却超灵，嫌我女儿吵要跟她决一胜负，身体好到不行，腿跷沙发上老🐮了！,,,,"老年人手机里有什么,超63%的老年人在互联网分享生活",0,0,0,2023-10-23 11:13,iPhone 12,https://wx4.sinaimg.cn/large/006hTSBrly1hj50zui5tqj30u0140jyu.jpg,,,,金V
4959962178783003,Np9TbAQRl,7569102993,大妈追星的茶话会,#老年人手机里有什么##超63%的老年人在互联网分享生活#当你有个网瘾奶奶…我说：奶你开灯玩吧…我奶说：我的草原我的马，我想咋耍就咋耍…👵🏻奶奶82岁了，每天离不开电脑和手机…电脑和手机坏了就焦虑到不行7个qq登录消消乐，分别玩儿到一千多关⋯每天看直播刷短视频…,,,,"老年人手机里有什么,超63%的老年人在互联网分享生活",0,0,0,2023-10-23 11:09,iPhone 11,https://wx2.sinaimg.cn/large/008gfbslly1hj50wesar2j30zk1be4dr.jpg,,,,金V
4959961971163578,Np9SR4SHo,7388625070,轰动互联网的喵星人,#老年人手机里有什么##超63%的老年人在互联网分享生活#外婆84了，怀疑她的精神状态芳龄84，酒龄68。爱美，爱熬夜，爱玩手机，爱吃甜品&油炸！年初外公走了，开始像小时候一样和外婆生活在一起她真的太可爱了[萌萌哒R][萌萌哒R]她很情绪化，经常大笑或大哭！开心了就笑，难过了就哭。不要压抑自己，学会释放。女人到老都有这样好的心态和状态就是长寿的秘诀！,,,,"老年人手机里有什么,超63%的老年人在互联网分享生活",0,0,0,2023-10-23 11:09,iPhone 11,"https://wx3.sinaimg.cn/large/00841UU6ly1hj50vh302zj30zk1ben7z.jpg,https://wx3.sinaimg.cn/large/00841UU6ly1hj50vhhqbgj30zk1be7il.jpg,https://wx3.sinaimg.cn/large/00841UU6ly1hj50vi7yusj30zk1bfqk2.jpg,https://wx3.sinaimg.cn/large/00841UU6ly1hj50vj46igj30zk1beahl.jpg,https://wx3.sinaimg.cn/large/00841UU6ly1hj50vgnvm4j30zk1betig.jpg,https://wx1.sinaimg.cn/large/00841UU6ly1hj50vjhfz0j30zk1betie.jpg",,,,金V
4959961325504351,Np9ROn5VR,5991629448,列车通往圈内路,#老年人手机里有什么##超63%的老年人在互联网分享生活#再看一眼一眼就要老了又要出远门了，好舍不得奶奶。奶奶总说她老了，其实近几年我好像才真正懂得了《一一》里八岁的洋洋说：我觉得，我也老了。三十岁以前我没出过远门，一直待在这个小城市待在奶奶身边，看似是我在照顾她，其实是她一直在保护我。在她身边我可以永远是没有长大的小孩。当我真正离开家去到地球的另一边，世界才开始真正向我展示它讳莫如深的面孔。不在奶奶身边的我时常觉得，我也老了。,,,,"老年人手机里有什么,超63%的老年人在互联网分享生活",0,0,0,2023-10-23 11:06,iPhone 11,"https://wx1.sinaimg.cn/large/006xugwEly1hj50su7fduj30zk1betgc.jpg,https://wx1.sinaimg.cn/large/006xugwEly1hj50sujkxqj30zk1beq7x.jpg,https://wx1.sinaimg.cn/large/006xugwEly1hj50sut0u3j30zk1beagv.jpg,https://wx1.sinaimg.cn/large/006xugwEly1hj50sv2nnnj30zk1bewhu.jpg,https://wx3.sinaimg.cn/large/006xugwEly1hj50svf16oj30zk1bo41r.jpg,https://wx1.sinaimg.cn/large/006xugwEly1hj50svqlmkj30zk1bewhp.jpg",,,,金V
4959960934908020,Np9RbkANC,2411547904,琦秒娱乐,#老年人手机里有什么##超63%的老年人在互联网分享生活#让我流泪——爷爷80岁生日的时候前几年奶奶生日的时候我给她做的蛋糕上放了个老太太的玩偶，然后那个玩偶一直放在橱窗没有丢掉，今年爷爷生日我买了个带有老头玩偶的蛋糕，然后我爷爷吹完蜡烛立马就把玩偶拿下来放在原来那个老太玩偶旁边，看的我真感动到想哭…他真的好爱我奶奶，一个深情的老儿～爷爷奶奶爱情把镜头对准爷爷奶奶👵,,,,"老年人手机里有什么,超63%的老年人在互联网分享生活",0,0,0,2023-10-23 11:05,iPhone 11,"https://wx2.sinaimg.cn/large/8fbd4d00ly1hj50r8a4gsj20g30kbtbd.jpg,https://wx4.sinaimg.cn/large/8fbd4d00ly1hj50r8kei3j20vs0xudpo.jpg,https://wx4.sinaimg.cn/large/8fbd4d00ly1hj50r8wpiyj20vf0l8aft.jpg,https://wx3.sinaimg.cn/large/8fbd4d00ly1hj50r97285j21hc130n5a.jpg",,,,金V
4959960048076609,Np9PKxT5T,1865504713,太原晚报,#老年人手机里有什么#互联网时代，老年人是否是被抛弃的一批人？然而打开老年人的手机，他们的互联网生活远比你想象的更精彩。80岁健身23年引得世界冠军来追星的北京大爷，65岁大爷熟练玩转短视频的AI技术，更有80岁在网上自学老年大学的上海大妈……据平台的调研报告显示，#超63%的老年人在互联网分享生活#，甚至有超过18%的老年人会在手机上玩新兴手游。退休老年人的生活多姿多彩，面对深受上班之苦的年轻人也表示十分理解，称自己也天天都梦想退休生活，不少网友纷纷感叹：你大爷还得是你大爷！视频来自真故研究室。L白鹿视频的微博视频,,,,"老年人手机里有什么,超63%的老年人在互联网分享生活",0,1,1,2023-10-23 11:01,微博视频号,,"http://f.video.weibocdn.com/o0/2xUMIhUdlx089AQD79ry01041203vS6P0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724998575&ssig=uUgXBjO8zt&KID=unistore,video",,,蓝V
4959959734553733,Np9Pfj6Dj,7740008143,坠入小娱路,#老年人手机里有什么##超63%的老年人在互联网分享生活#他一定很帅，有爱的画面日常！这位老爷爷老奶奶年轻时一定是个帅哥和大美女真的从气质就能看出来而且他们真的太恩爱了😻晚年的爱情，对方一切的小举动都为之动容。相濡以沫，晚年的爱并没有那么深奥，能相依相伴到老就是最大的幸福~愿我们都能遇到一个老了还一直相亲相爱的人~💓,,,,"老年人手机里有什么,超63%的老年人在互联网分享生活",0,0,0,2023-10-23 11:00,iPhone 11,https://wx4.sinaimg.cn/large/008rOhH1ly1hj50mb7matj30wh16xtnq.jpg,,,,金V
