id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4699478336471859,KFJSVr9CP,7701080888,蔡汶川-数码玩家,#手机里面最常用的app#APP推荐超话#老年人APP##老年人最需要什么样的app#今天给大家推荐8款比较适合老年人的宝藏APP，功能强大很实用！对老年人生活、出行、安全都有帮助！还没给家里老人安装的朋友快来看看吧~—国家防诈app怕怕聆通助听放大镜丁香医生人民日报糖豆app戏曲多多—另外现在很多APP都有老年人关怀模式，字体会比较大，一些繁杂的功能也会简化！就拿微信来举例子：只需要进入“我”-“设置”中就可以开启关怀模式，然后重启一下微信就可以啦！赶紧为家中的老人设置起来吧！我是蔡汶川！一个头上顶着猫的摄影师！我们下期再见！L蔡汶川-数码玩家的微博视频,,,,"手机里面最常用的app,老年人APP,老年人最需要什么样的app",1,0,5,2021-11-03 16:00,微博视频号,,"http://f.video.weibocdn.com/o0/qYd3Yj42lx07R6sqRGKA01041201Ocm00E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1729530427&ssig=Vv2%2FZMfXo%2B&KID=unistore,video",,,黄V
4602739633429310,K19gLeo7s,1750320141,这实在太好笑了,#老年人最需要什么样的APP#u1s1亲测都挺实用的！尤其是里面的陪伴电台，抓紧录了语音包给爸妈发了过去虽然今年过年可能回不了家了，至少咱爸妈装个百度大字版，让他们随时都能听听你的声音吧～[牛哞哞][2021]L又又又又又又双是你的微博视频,,,,老年人最需要什么样的APP,233,264,306,2021-02-09 17:15,微博视频号,,"http://f.video.weibocdn.com/lS28EfRBlx07JXi3fxgc01041200DA5M0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1729530427&ssig=ZrkdEJ6krS&KID=unistore,video",,,黄V
4602720754873679,K18MjkrRJ,1706500860,纯良英俊的笑了笑,#老年人最需要什么样的APP#u1s1亲测都挺实用的！尤其是里面的陪伴电台，抓紧录了语音包给爸妈发了过去虽然今年过年可能回不了家了，至少咱爸妈装个百度大字版，让他们随时都能听听你的声音吧～[牛哞哞][2021]L又又又又又又双是你的微博视频,,,,老年人最需要什么样的APP,175,178,347,2021-02-09 16:00,微博视频号,,"http://f.video.weibocdn.com/lS28EfRBlx07JXi3fxgc01041200DA5M0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1729530427&ssig=ZrkdEJ6krS&KID=unistore,video",,,红V
4601250307385173,K0wwCuZdH,2062571151,福建省文化和旅游厅,#小旅分享##防疫小贴士#【#陪父母过年的新方式#今年过年不回家怎么传递年味儿？】春节就快到了，为了巩固来之不易的防疫成果，减少人员流动，各地纷纷鼓励大家就地过年。如果这个春节不回家，你会选择用什么样的方式来陪伴家人，感受年味呢？一番街采下来，除了最常见的视频电话、发红包、寄礼品，有人想到了一个新法子——定制语音包。#老年人最需要什么样的APP#（via：@1818黄金眼 )L1818黄金眼的微博视频,,,1818黄金眼,"小旅分享,防疫小贴士,陪父母过年的新方式,老年人最需要什么样的APP",0,0,2,2021-02-05 14:37,微博视频号,,"http://f.video.weibocdn.com/KZCBYlk2lx07K3ckTbsc010412026DH90E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1729530427&ssig=twOzm41yf5&KID=unistore,video",,,蓝V
4600508034323598,K0ddpi8Ls,5629057710,陈可爱要陈住气,#陪父母过年的新方式#今年不能回家的你，会选择怎样的方式陪父母？与家人视频、邮寄礼品，可视频中给我们提供了一个过年“陪伴”的新思路～用百度大字版app直接把软件声音替换成自己的声音发给家人，用来做“声音的陪伴”，这才是真正能成为老年人空洞生活中的一道甜味剂吧！#老年人最需要什么样的APP#L1818黄金眼的微博视频,,,,"陪父母过年的新方式,老年人最需要什么样的APP",0,0,0,2021-02-03 13:27,微博 weibo.com,,"http://f.video.weibocdn.com/KZCBYlk2lx07K3ckTbsc010412026DH90E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1729530427&ssig=twOzm41yf5&KID=unistore,video",,,普通用户
4600476273746612,K0cobfIFe,7549494800,齐鲁微地产,#陪父母过年的新方式#视频电话、红包、邮递，甚至还有百度大字版的语音包，为了团圆，大家也可以说是非常努力了新年马上到了，愿大家的思念都能传达，真心祝福在异乡的你们，新春快乐！#老年人最需要什么样的APP#@半岛网L1818黄金眼的微博视频,,,半岛网,"陪父母过年的新方式,老年人最需要什么样的APP",0,0,0,2021-02-03 11:21,微博 weibo.com,,"http://f.video.weibocdn.com/KZCBYlk2lx07K3ckTbsc010412026DH90E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1729530427&ssig=twOzm41yf5&KID=unistore,video",,,普通用户
4600456006864501,K0bRusNLL,2757497057,文明青白江,#陪父母过年的新方式#今年不能回家的你，会选择怎样的方式陪父母？与家人视频、邮寄礼品，可视频中给我们提供了一个过年“陪伴”的新思路～用百度大字版app直接把软件声音替换成自己的声音发给家人，用来做“声音的陪伴”，这才是真正能成为老年人空洞生活中的一道甜味剂吧！#老年人最需要什么样的APP#L1818黄金眼的微博视频,,,,"陪父母过年的新方式,老年人最需要什么样的APP",1,0,0,2021-02-03 10:00,微博视频号,,"http://f.video.weibocdn.com/KZCBYlk2lx07K3ckTbsc010412026DH90E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1729530429&ssig=%2F9JvsDA%2FWI&KID=unistore,video",,,蓝V
4600438026673233,K0bous00N,6515255433,楼市资讯时代,#陪父母过年的新方式#今年，很多人都选择了就地过年的方式，如何把这个“年”跨越远距离过出新方式，大家各出妙招：视频、寄礼物甚至还有语音陪伴等新方式。科技的适老化改变也为人们情感连接提供了支持，像视频中用百度大字版录制语音包，将声音作为礼物传递给家人未尝不是一种新方式。这个春节，你会用什么方式陪伴父母呢？#老年人最需要什么样的APP#@北京青年报L1818黄金眼的微博视频,,,北京青年报,"陪父母过年的新方式,老年人最需要什么样的APP",0,0,0,2021-02-03 08:49,微博 weibo.com,,"http://f.video.weibocdn.com/KZCBYlk2lx07K3ckTbsc010412026DH90E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1729530429&ssig=%2F9JvsDA%2FWI&KID=unistore,video",,,普通用户
4600257436458721,K06Hdr6cV,2024896451,吉林旅游广播,#陪父母过年的新方式#今年，很多人都选择了就地过年的方式，如何把这个“年”跨越远距离过出新方式，大家各出妙招：视频、寄礼物甚至还有语音陪伴等新方式。科技的适老化改变也为人们情感连接提供了支持，像视频中用百度大字版录制语音包，将声音作为礼物传递给家人未尝不是一种新方式。这个春节，你会用什么方式陪伴父母呢？#老年人最需要什么样的APP#L1818黄金眼的微博视频,,,,"陪父母过年的新方式,老年人最需要什么样的APP",0,0,0,2021-02-02 20:51,iPhone客户端,,"http://f.video.weibocdn.com/KZCBYlk2lx07K3ckTbsc010412026DH90E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1729530429&ssig=%2F9JvsDA%2FWI&KID=unistore,video",,,蓝V
4600168937430425,K04otvaZz,2334162530,1818黄金眼,【#陪父母过年的新方式#今年过年不回家怎么传递年味儿？】春节就快到了，为了巩固来之不易的防疫成果，减少人员流动，各地纷纷鼓励大家就地过年。如果这个春节不回家，你会选择用什么样的方式来陪伴家人，感受年味呢？一番街采下来，除了最常见的视频电话、发红包、寄礼品，有人想到了一个新法子——定制语音包。#老年人最需要什么样的APP#L1818黄金眼的微博视频,,,,"陪父母过年的新方式,老年人最需要什么样的APP",1333,17,83,2021-02-02 15:00,微博视频号,,"http://f.video.weibocdn.com/KZCBYlk2lx07K3ckTbsc010412026DH90E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1729530429&ssig=%2F9JvsDA%2FWI&KID=unistore,video",,,
