id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5025406237280286,OaEVNuxVY,1743513025,Anni-lou安妮,一个梦吓醒了。自从大吵大闹后。每天白天一恶魔夜晚一天使一直在打架谁都争不赢我赌自己不后悔，我觉得赌不赢但是也不可能让我背着包袱一辈子不嫁人啊？为什么要道德绑架我？为什么我们就不能沟通沟通说不沟通因为我天天抱着手机玩？难道我聋的瞎的？#老年人求助有话好好说不应道德绑架#,,,,老年人求助有话好好说不应道德绑架,0,0,0,2024-04-21 01:21,iPhone客户端,,,,,普通用户
5024924867494724,OaspovrIE,5144944951,天落雨_不打雷,#老年人求助有话好好说不应道德绑架#能好好说并且能接受不利于己的结果的大爷大妈也不会上热搜了……而且最那啥的是，年纪大了之后个体的体能落差会变很大。无论是生理还是心理上都会更需求年轻人照顾的往往是身体更差的那些，但因为身体差，他们吵不了架，被无视的情况更多。而那些会整天“争取权利”的老登之所以能天天倚老卖老跟年轻的吵，恰恰是因为他们的身体素质非常好，甚至比996亚健康的年轻人还好……,,,,老年人求助有话好好说不应道德绑架,0,0,0,2024-04-19 17:28,星空のiPhone 12 Pro Max,,,,,普通用户
5024797391847908,Oap5N7KIY,1239371803,晴兽龙猫,央视出手了。你没位置做是拉帘子人的错吗？莫名其妙。一把年纪了，出门前就要考虑好各种因素，买不到下铺就好好的跟人说话商量，非要搞我老我有理，谁嗓门大谁有理，谁拍视频谁有理这一套做什么。视频玩的这么溜，这是一开始就奔着道德绑架去的。还好拉着帘子，不然隐私都要被全网曝光。#老年人求助有话好好说不应道德绑架#,,,,老年人求助有话好好说不应道德绑架,0,0,0,2024-04-19 09:01,iPhone客户端,https://wx2.sinaimg.cn/large/49df501bgy1hovv3vyf7gj20wi1yc4qp.jpg,,,,普通用户
5024609521633612,OakcM6QYA,3965240255,我懒_你过来_,#老年人求助有话好好说不应道德绑架#记得有一年坐火车，因为着急，是在票贩子手里买的票，加了一百块，上车后有个老太太说想要换位置，我说我这票是加了一百块买的，你看……她二话没说就走了，看吧！,,,,老年人求助有话好好说不应道德绑架,0,0,0,2024-04-18 20:35,iPhone 12,,,,,黄V
5024547092564423,OaiA5aL7F,5124855060,这个场景有点鹿,#专家鼓励买到下铺的年轻人跟老人换位##拒绝被道德绑架##老年人求助有话好好说不应道德绑架#这边建议专家少些建议呢就是有太多的道德绑架和倚老卖老，才会导致现在的年轻人和老年人矛盾越来越多，这种建议解决不了实际问题，只会加剧矛盾,,,,"专家鼓励买到下铺的年轻人跟老人换位,拒绝被道德绑架,老年人求助有话好好说不应道德绑架",0,0,0,2024-04-18 16:27,iPad Pro,,,,,普通用户
5024305421485923,Oacii6eyv,1225580747,赛加羚羊,#央广网评阿姨吐槽年轻人卧铺挂帘##如何看待阿姨吐槽年轻人卧铺挂帘##老年人求助有话好好说不应道德绑架#我明白了(>﹏<)火车挂帘子这“妙招”来自小🍠你们看看中铺的“对策”，绝了！大家这样互相隔绝，不能彼此体谅，这个社会还能好吗？,,,,"央广网评阿姨吐槽年轻人卧铺挂帘,如何看待阿姨吐槽年轻人卧铺挂帘,老年人求助有话好好说不应道德绑架",0,0,0,2024-04-18 00:27,nova 8 SE 活力版,https://wx1.sinaimg.cn/large/490ce0cbly1houalbq77gj20u01mvn4f.jpg,,,,普通用户
5024263656444432,OabcVr2us,1225580747,赛加羚羊,#央广网评阿姨吐槽年轻人卧铺挂帘##如何看待阿姨吐槽年轻人卧铺挂帘##老年人求助有话好好说不应道德绑架#好家伙！看图，这两个挂帘子的是一对情侣，注意是两个人，一个隔间的所有下铺都了帘子我说去小🍠看看小清新的，没想到看到挂帘子的正主评论区有心理健康三观正的我跟你们说，我要是碰到这样的奇葩一定躲着，绝对不会拍视频啥的，回头人家玉玉了……,,,,"央广网评阿姨吐槽年轻人卧铺挂帘,如何看待阿姨吐槽年轻人卧铺挂帘,老年人求助有话好好说不应道德绑架",2,1,1,2024-04-17 21:41,nova 8 SE 活力版,"https://wx4.sinaimg.cn/large/490ce0cbly1hou5tkceybj20u01rlk5a.jpg,https://wx3.sinaimg.cn/large/490ce0cbly1hou5tl1bkdj20u01ow15g.jpg,https://wx4.sinaimg.cn/large/490ce0cbly1hou5tkoheaj20u00lpq6k.jpg",,,,普通用户
5023956111721064,Oa3cT7dJ6,1356658417,烟雨楼百年孤独,【评论：#老年人求助有话好好说不应道德绑架#】近日，一位阿姨在列车上指责年轻人在列车下铺挂围帘，拒绝让70岁老人同坐的视频在网络走红，拍摄者还呼吁网友们“评评理”。然而，网友的评理跟这位阿姨想的不一样，“自己的座位没有义务给别人坐呀”“列车允许挂帘子，年轻人做错了什么”“这么理直气壮，还以为是她的座位呢”……对此，12306官方回应的回应是，没有明确规定不能使用围挡，在不影响其他旅客情况下可以使用。#央广网评阿姨吐槽年轻人卧铺挂帘#“火车围帘攻略”在社交平台上很受欢迎，这也反映了年轻人对隐私性的需求。老年人由于不便攀爬，有对下铺的需求也不难理解，但年轻人的车票是合法购得，是否共享也为个人自由。尊老爱幼是中华民族的传统美德，我们鼓励年轻人在公共场合给予老弱妇孺更多的帮助和礼让，同时也应该尊重年轻人合法的权利和合情的诉求。老年人在遇到困难也可以更“理性”的方式寻求帮助，“有话好好说”，而不是以年龄、辈分一味“道德施压”。（国是直通车）,,,,"老年人求助有话好好说不应道德绑架,央广网评阿姨吐槽年轻人卧铺挂帘",1,0,2,2024-04-17 01:19,iPhone 12 Pro Max,https://wx3.sinaimg.cn/large/50dcf6f1gy1hot6i2f62tj20sg0vk0xm.jpg,,,,金V
5023907792290377,Oa1WX9BPz,1642088277,财经网,【评论：#老年人求助有话好好说不应道德绑架#】近日，一位阿姨在列车上指责年轻人在列车下铺挂围帘，拒绝让70岁老人同坐的视频在网络走红，拍摄者还呼吁网友们“评评理”。然而，网友的评理跟这位阿姨想的不一样，“自己的座位没有义务给别人坐呀”“列车允许挂帘子，年轻人做错了什么”“这么理直气壮，还以为是她的座位呢”……对此，12306官方回应的回应是，没有明确规定不能使用围挡，在不影响其他旅客情况下可以使用。#央广网评阿姨吐槽年轻人卧铺挂帘#“火车围帘攻略”在社交平台上很受欢迎，这也反映了年轻人对隐私性的需求。老年人由于不便攀爬，有对下铺的需求也不难理解，但年轻人的车票是合法购得，是否共享也为个人自由。尊老爱幼是中华民族的传统美德，我们鼓励年轻人在公共场合给予老弱妇孺更多的帮助和礼让，同时也应该尊重年轻人合法的权利和合情的诉求。老年人在遇到困难也可以更“理性”的方式寻求帮助，“有话好好说”，而不是以年龄、辈分一味“道德施压”。（国是直通车）,,,,"老年人求助有话好好说不应道德绑架,央广网评阿姨吐槽年轻人卧铺挂帘",6,14,63,2024-04-16 22:07,,https://wx1.sinaimg.cn/large/001N82aNly1hoszundvkmj60sg0vkwja02.jpg,,,,蓝V
5023882484911610,Oa1i8kBJw,6115560351,国是直通车,【#如何看待阿姨吐槽年轻人卧铺挂帘#？】#老年人求助有话好好说不应道德绑架#近日，一段网络短视频引起舆论广泛关注——关于“下铺挂帘子之争”。视频显示，火车卧铺车厢里，一位阿姨对着在下铺挂帘子的年轻人进行拍摄，并称不让一位70岁的老人坐下，呼吁网友“评评理”。帘子背后有一个年轻人低头坐着，面对阿姨的指责，年轻人没有理会和搭腔。但网友们的反应，恐怕不符合阿姨的预期，大多数网友认为这位阿姨行为有些过了，人家自己掏钱买的下铺，不给坐怎么还道德绑架上了。“让你坐是情分，不让你坐是本分。”“不是谁发视频谁就有理。”你怎么看？#央广网评阿姨吐槽年轻人卧铺挂帘##如何看待阿姨吐槽年轻人卧铺挂帘#？,,,,"如何看待阿姨吐槽年轻人卧铺挂帘,老年人求助有话好好说不应道德绑架,央广网评阿姨吐槽年轻人卧铺挂帘",1,6,446,2024-04-16 20:26,微博网页版,,,,,蓝V
