id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5070127299301587,OtqkxD1LB,5797797099,旺仔小菲,在人生的旅程中，每个人的生活都离不开别人的帮助，因为自然界的任何事物都是一个普遍联系的整体，没有谁能够脱离周围的事物而孤立地存在，但在接受别人帮助的同时，我们也要学会去帮助别人。#老年人的数字化生活#,,,,老年人的数字化生活,0,0,0,2024-08-22 11:06,iQOO 12 内外出众,,,,,普通用户
5049128910848332,OkC4b3yGM,3806199641,呈贡发布,#关爱一老一小#提升居民数字素养与技能呈贡区乌龙街道彩云社区活动多样又实用#老年人的数字化生活#为进一步提升全民数字化发展适应力、胜任力、创造力，尤其是让老年人更好地融入数字时代，6月24日，昆明市2024数字素养与技能提升月进社区活动走进乌龙街道彩云社区，通过入户发放宣传材料、举办专题讲座和进养老院开展志愿服务等活动，为社区老年人提供数字技能培训和法律知识宣传普及服务。详情请阅：O提升居民数字素养与技能乌龙街道彩云社区活动多样又实用,,,,"关爱一老一小,老年人的数字化生活",0,0,0,2024-06-25 12:26,微博网页版,"https://wx2.sinaimg.cn/large/e2ddff59gy1hr1hjzzdyzj20u00gzwv1.jpg,https://wx1.sinaimg.cn/large/e2ddff59gy1hr1hk1sgyhj20u00guh2a.jpg",,,,蓝V
4958564638261984,Nozx5yFjO,2663807383,路桥发布,#路桥这所学校免费教长辈使用手机#近日，台州路桥为了让老年人享受快捷、便利且安全的科技生活，社区学校组织举办的一场以“关爱银龄数字赋能”为主题的老年人智能手机使用培训讲座活动，受到了广大老年人的普遍赞誉。#老年人的数字化生活#,,,,"路桥这所学校免费教长辈使用手机,老年人的数字化生活",0,0,2,2023-10-19 14:36,iPhone客户端,"https://wx2.sinaimg.cn/large/9ec67997gy1hj0kbtx5y1j221f1j24qp.jpg,https://wx4.sinaimg.cn/large/9ec67997gy1hj0kbt7hqdj221f1j2b18.jpg,https://wx3.sinaimg.cn/large/9ec67997gy1hj0kbv9r03j221f1j2b29.jpg,https://wx2.sinaimg.cn/large/9ec67997gy1hj0kbwm39zj221f1j2e81.jpg,https://wx4.sinaimg.cn/large/9ec67997gy1hj0kbsj60rj221f1j27wh.jpg",,,,蓝V
4948802676198350,NktzZq0to,6130660338,微博智库,【被遗忘的老年人——信息时代的数字排斥和日益扩大的灰色数字鸿沟】北京大学新闻与传播学院教授@胡泳：特别呼吁确保公共服务的可及性，尤其是卫生服务、社会服务和长期护理服务，同时确保非数字服务得到维持。#智V计划##老年人的数字化生活#,,,胡泳,"智V计划,老年人的数字化生活",0,0,0,2023-09-22 16:06,微博网页版,,,,,蓝V
4722945340999294,L9CUC4bXE,5509731422,曾超胜说,真是让我哭笑不得：最近问老父睡眠情况，说睡不好难受，每晚醒好多次，让中医顺便调下还不见效，帮他优化手机，无意发现里面有六七个深夜闹钟时间，原来每晚响闹钟吵得睡不好，关机又怕紧急情联系不上，又不会取消闹钟，看这就是老年人的数字化鸿沟……[大哭][大哭][擦汗][擦汗]#创业##企业管理##老年人的数字化生活##老年人##数字化#,,南宁,,"创业,企业管理,老年人的数字化生活,老年人,数字化",0,0,1,2022-01-07 10:09,iPhone 12 Pro Max,https://wx3.sinaimg.cn/large/0060SgPQgy1gy4vuggxa4j30u0140jxa.jpg,,,,普通用户
4720828304064957,L8JQ2h3tP,5374347162,晓木之林,微信的zz功能，关怀模式，为了老年人而专门改的模式，但是能不能用脑子改啊！如图2，今年的消息就可以显示三个字的人名，去年的消息就不可以显示三个字的人名。对于家里长辈，后者显示不全的消息就根本看不出来谁是谁，#老年人##老年人的数字化生活#,,,,"老年人,老年人的数字化生活",0,0,0,2022-01-01 13:57,iPhone客户端,"https://wx4.sinaimg.cn/large/005RIdcKly1gxy4ky6rmgj30wi1ycgq0.jpg,https://wx4.sinaimg.cn/large/005RIdcKly1gxy4kc1zh2j30k017c42s.jpg",,,,普通用户
4624118219540043,Ka7qlE1NF,1905687615,网易科技频道,"【不得强迫老年人用银行卡：""人性化""改造能消除""数字鸿沟""吗？】#老年人的数字化生活# ""老年人数字鸿沟问题""这些年一直在提。最近，银保监会发布通知，提出了16条措施，从服务流程、服务设施、窗口设置、网络渠道体验优化、金融知识宣传，到信息安全，要求""切实解决老年人运用智能技术的困难""。此次银保监会""16条措施""的出台，有何意义？L第1眼视频的微博视频",,,,老年人的数字化生活,0,0,0,2021-04-09 17:05,微博视频号,,"http://f.video.weibocdn.com/o0Jb1wSvlx07LKsouzUA01041201jyCb0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725464105&ssig=BErb9uGPOp&KID=unistore,video",,,蓝V
4624047407894995,Ka5A8x7QD,7096189920,第1眼视频,"#洞见计划#【不得强迫老年人用银行卡：""人性化""改造能消除""数字鸿沟""吗？】#老年人的数字化生活#""老年人数字鸿沟问题""这些年一直在提。最近，银保监会发布通知，提出了16条措施，从服务流程、服务设施、窗口设置、网络渠道体验优化、金融知识宣传，到信息安全，要求""切实解决老年人运用智能技术的困难""。此次银保监会""16条措施""的出台，有何意义？（编辑李丹）#如何帮助老年人越过数字鸿沟#L第1眼视频的微博视频",,,,"洞见计划,老年人的数字化生活,如何帮助老年人越过数字鸿沟",0,0,2,2021-04-09 12:24,微博视频号,,"http://f.video.weibocdn.com/o0Jb1wSvlx07LKsouzUA01041201jyCb0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725464105&ssig=BErb9uGPOp&KID=unistore,video",,,蓝V
4565560882366271,Jrvxm9VzF,3162864303,游戏达人,任何一种欺骗都不会长久，任何一种谎言都是一种伤害。#老年人的数字化生活#,,,,老年人的数字化生活,0,22,6,2020-10-30 03:00,皮皮时光机,https://wx2.sinaimg.cn/large/bc857aafly1gk6sjbt1jbj20dw090gm5.jpg,,,,普通用户
4565545820620574,Jrv942Brg,3162864303,游戏达人,茫茫人海中，相遇是缘起，相识是缘续，相知是缘定。#老年人的数字化生活#,,,,老年人的数字化生活,0,12,10,2020-10-30 02:00,皮皮时光机,https://wx3.sinaimg.cn/large/bc857aafly1gk6qt1schyj20dw09ft9h.jpg,,,,普通用户
