id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4915089692170665,N6kyd96GJ,6063015498,梦小奇_,来自公交上的浪漫#老年人的爱情可以有多浪漫#,,,,老年人的爱情可以有多浪漫,0,0,0,2023-06-21 15:22,iPhone客户端,https://wx3.sinaimg.cn/large/006CjNiyly1hf5vcmi1u5j30u00u0ajc.jpg,,,吉林,普通用户
4877858436285562,MwFs7qna2,2919226633,那些事呀97,爱与浪漫不分年龄，爷爷在商场为奶奶准备惊喜，太浪漫了#老年人的爱情可以有多浪漫#L那些事呀97的微博视频,,,,老年人的爱情可以有多浪漫,0,0,0,2023-03-10 21:39,微博视频号,,"http://f.video.weibocdn.com/o0/3V1ubaMylx083LzUduOs01041200b3270E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729537678&ssig=CY0OQ0oLjP&KID=unistore,video",,江西,普通用户
4877524607697840,MwwLGwiyI,6632760390,奇亚籽酸奶冰淇淋,春夏秋冬，老了也载你#老年人##爱情##老年人的爱情有多浪漫##老年人的爱情可以有多浪漫#,,,,"老年人,爱情,老年人的爱情有多浪漫,老年人的爱情可以有多浪漫",0,1,2,2023-03-09 23:32,OPPO Reno8 5G,"https://wx2.sinaimg.cn/large/007eSnYigy1hbu126rqn8j32b42mke81.jpg,https://wx1.sinaimg.cn/large/007eSnYigy1hbu127au80j30sg0iy3z1.jpg",,,湖北,普通用户
4874226799215536,Mv8YDCFnG,2518640407,我的名字叫招财呀,老年人的浪漫，也许就是“牵一人手，从心动到白头”#老年人的爱情可以有多浪漫#,,武汉·汉西路,,老年人的爱情可以有多浪漫,0,7,2,2023-02-28 21:08,iPhone客户端,https://wx4.sinaimg.cn/large/961f6717gy1hbjg8l0n9pj22c0340hdu.jpg,,,湖北,普通用户
4872378331168826,MumTf4U42,7746154492,a朱晓迪,#老年人的爱情可以有多浪漫#老年人浪漫起来，就没年轻人什么事儿了。,,,,老年人的爱情可以有多浪漫,0,0,0,2023-02-23 18:43,微博 weibo.com,"https://wx4.sinaimg.cn/large/006ekorJly1hb2803i5guj30tz0l47h2.jpg,https://wx2.sinaimg.cn/large/006ekorJly1hb2803y2zyj30tz0hq495.jpg,https://wx3.sinaimg.cn/large/006ekorJly1hb2804ag9ej30sg10rk2m.jpg,https://wx3.sinaimg.cn/large/006ekorJly1hb2804msi1j30u012o12a.jpg",,,海南,普通用户
4871963418562261,Muc61zVqZ,7239467631,清洁盗贼20020225,真好啊#老年人的爱情可以有多浪漫#,,,,老年人的爱情可以有多浪漫,0,0,1,2023-02-22 15:14,HUAWEI P40 5G,https://wx4.sinaimg.cn/large/007TW4eXly1hbcadr8njcj30u0148thl.jpg,,,河南,普通用户
4871313808688655,MtVcgAsjB,2919226633,那些事呀97,这才是爱情最美的样子吧#老年人的爱情可以有多浪漫#L早知新鲜事的微博视频,,,,老年人的爱情可以有多浪漫,0,0,0,2023-02-20 20:12,iPhone客户端,,"http://f.video.weibocdn.com/o0/KdQ5a8mDlx083iLY9P8I010412008HUu0E010.mp4?label=mp4_720p&template=576x1024.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729537678&ssig=VKe9oyqthF&KID=unistore,video",,江西,普通用户
4869172704840535,Mt1uSkjf9,6850261636,知心萌萌说,#原来老一辈才是恋爱高手##老年人的爱情可以有多浪漫#老一辈的爱情，简单纯粹，不离不弃。随着离婚率越来越高，有越来越多的年轻人不愿走进婚姻，甚至连谈恋爱的勇气都没有了，如今的社会，谈一场恋爱，结个婚，要顾虑的太多太多，多得让人产生负担，产生压力，很多人都只有望而却步。在这个浮躁的社会，这个年代，不被腐蚀和洗礼的人太少了，有几个只是简单的谈爱情，有几个因为爱情而步入婚姻，婚后相互感恩，相互珍惜，执子之手便与子偕老，能从开头走到结尾的真是寥寥无几。所以我们总是羡慕老一辈的爱情，因为大多数都是奔着与子偕老去的，也都做到了，他们也有各种各样的问题，也有磕磕绊绊，但他们至少不轻易用离婚来解决问题。老一辈的爱情，他们往往一生只谈过一次恋爱，而这个恋爱的人就是和她一起走过一生的人，他们从相识相恋到相知，虽然没有怎么浪漫过但是他们一起面对生活中的风风雨雨走过来。他们年轻的时候谈恋爱本着结婚为目的，思想很简单，而且他们都是非常认真对待爱情，有的是亲戚朋友介绍的，很少人是自由恋爱。尽管如此，他们对待另一方都是把自己的真心给他，两个人相互依靠，一起走过这么多年。那时候科技不怎么发达，没有电话，也没有高铁。情侣之间的联系只能通过书信的方式，在这么艰苦的条件下，他们却能保持一颗那么彼此爱对方的心，一直坚持到最后他们步入婚姻的殿堂。到老的时候却依然相互依靠，彼此相爱着，一起走过这一辈子。有人说老一辈的人很多都在将就，而年轻人不愿意将就，可能够将就一辈子，又何尝不是一种幸福，其实在他们的年代，没有太多物质太多诱惑，一旦认定就是一辈子，就算有矛盾会去磨合，而不是总想着外面世界有多精彩。年轻的一代总想着，你不行还有别人，世上没有绝对的两个人完全不争吵，其实都一样，你有你的不好，他有他的不好，都需要磨合和经营。老一辈的人，他们没有物质，就没有比较，没有比较就不会觉得对方不好，如此便不会有那么多无休止的争吵，他们只有平淡简单，这就是幸福。#微博表白计划##老年人的恋爱有多甜##情人节快乐#,,,,"原来老一辈才是恋爱高手,老年人的爱情可以有多浪漫,微博表白计划,老年人的恋爱有多甜,情人节快乐",0,0,2,2023-02-14 22:25,微博网页版,https://wx4.sinaimg.cn/large/007tAZYUly1hb33dz7vawj30b40b40sv.jpg,,,安徽,黄V
4869163266611103,Mt1fErJQH,1962191041,懂你的东北狼灬,#原来老一辈才是恋爱高手##老年人的爱情可以有多浪漫#相比于现在年轻人轰轰烈烈的现实爱情，老一辈那种细水长流相伴一生的爱情更能让人从心底动容。在我们的认知里，老一辈人的婚姻大都是父母之命，媒妁之言，自由恋爱的很少，所以爱情对于他们而言好像也无从谈起，非常像电视中演的先结婚后恋爱的设定。但是就是这种婚配方式，比现代自由恋爱的离婚率少得多。这是为什么呢？1、杂念更少花花世界，欲望之下，所谓的真爱仿佛更难寻觅。两个人的交往已经没有那么纯粹，变得非常现实，在“面包”与爱情之间往往更多人选择“面包”。而老一辈他们那个时代没有那么多的外在诱惑，再加上朴实无华的性格，认定一人就是一生，真的就像是誓言里说的那样，“无论贫困还是富有，无论健康还是疾病，都爱她终于她直到尽头”。而不是一开始就带有目的，宁愿在宝马上哭也不愿在自行车上笑这种恋爱观念的话，相信两个人也很难走过一生。2、生活更平衡虽说现在的职场压力大，生活节奏快，但是大家的生活水平也在逐步提高，所以为了稳定家庭基础，在一个家庭中，赚钱多的主外，赚钱少的主内，“家庭主妇，超级奶爸”在现实生活中都很常见。此模式在当代社会下，随着时间的发展，主内的一方与主外的一方往往不在同一水平线，忙工作的忙工作，忙孩子的忙孩子，再加之无效沟通，久而久之也会带来家庭矛盾。而老一辈他们往往更懂得家庭的法则，“男耕田，女织布，日出而作，日落而息，”不抱怨，多沟通，会共同为了生活努力。3、无怨无悔的付出老一辈人的那种感情最让人动容的就是相互陪伴，无怨无悔的付出，是真的对你好，真实不虚假。你可以说时代变了，一些爱情观也就变了，但真正的爱情一定会有。,,,,"原来老一辈才是恋爱高手,老年人的爱情可以有多浪漫",0,0,0,2023-02-14 21:47,iPhone客户端,,,,黑龙江,黄V
4869146284661621,Mt0OgjyHr,3868951331,才子情感,#原来老一辈才是恋爱高手##老年人的爱情可以有多浪漫#相比于现在年轻人轰轰烈烈的现实爱情，老一辈那种细水长流相伴一生的爱情更能让人从心底动容。在我们的认知里，老一辈人的婚姻大都是父母之命，媒妁之言，自由恋爱的很少，所以爱情对于他们而言好像也无从谈起，非常像电视中演的先结婚后恋爱的设定。但是就是这种婚配方式，比现代自由恋爱的离婚率少得多。这是为什么呢？1、杂念更少花花世界，欲望之下，所谓的真爱仿佛更难寻觅。两个人的交往已经没有那么纯粹，变得非常现实，在“面包”与爱情之间往往更多人选择“面包”。而老一辈他们那个时代没有那么多的外在诱惑，再加上朴实无华的性格，认定一人就是一生，真的就像是誓言里说的那样，“无论贫困还是富有，无论健康还是疾病，都爱她终于她直到尽头”。而不是一开始就带有目的，宁愿在宝马上哭也不愿在自行车上笑这种恋爱观念的话，相信两个人也很难走过一生。2、生活更平衡虽说现在的职场压力大，生活节奏快，但是大家的生活水平也在逐步提高，所以为了稳定家庭基础，在一个家庭中，赚钱多的主外，赚钱少的主内，“家庭主妇，超级奶爸”在现实生活中都很常见。此模式在当代社会下，随着时间的发展，主内的一方与主外的一方往往不在同一水平线，忙工作的忙工作，忙孩子的忙孩子，再加之无效沟通，久而久之也会带来家庭矛盾。而老一辈他们往往更懂得家庭的法则，“男耕田，女织布，日出而作，日落而息，”不抱怨，多沟通，会共同为了生活努力。3、无怨无悔的付出老一辈人的那种感情最让人动容的就是相互陪伴，无怨无悔的付出，是真的对你好，真实不虚假。你可以说时代变了，一些爱情观也就变了，但真正的爱情一定会有。#微博表白计划##老年人的恋爱有多甜##情人节#,,,,"原来老一辈才是恋爱高手,老年人的爱情可以有多浪漫,微博表白计划,老年人的恋爱有多甜,情人节",3,1,4,2023-02-14 20:40,微博网页版,https://wx2.sinaimg.cn/large/e69b8323ly1hb34pa1exej22801hc7vc.jpg,,,安徽,黄V
