id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4952268224594345,NlVJAjhcl,1642895395,Alfrely_Ooooops,"低物欲到背着日常买菜的袋子也能自在出街六十岁的时候兴许能自修一座道观☀🎧🎥🎭🕶️#周末去哪儿##老年人的购物欲就是买菜吗##舒适居家,自在出街##我有一座道观#",,,,"周末去哪儿,老年人的购物欲就是买菜吗,舒适居家,自在出街,我有一座道观",0,1,5,2023-10-02 05:36,iPhone,"https://wx1.sinaimg.cn/large/61ec9823gy1high8bccq8j22c0340npe.jpg,https://wx2.sinaimg.cn/large/61ec9823gy1high87ro88j22c03404qs.jpg,https://wx3.sinaimg.cn/large/61ec9823gy1high8g2xj9j22c0340u0z.jpg,https://wx3.sinaimg.cn/large/61ec9823gy1high8l0veaj22c0340b2c.jpg,https://wx4.sinaimg.cn/large/61ec9823gy1high8px5gcj22c0340u0z.jpg,https://wx3.sinaimg.cn/large/61ec9823gy1high8tyr67j22c0340e83.jpg,https://wx1.sinaimg.cn/large/61ec9823gy1high8zixawj22c0340qv6.jpg,https://wx3.sinaimg.cn/large/61ec9823gy1high8x36rij22k737kqv5.jpg,https://wx3.sinaimg.cn/large/61ec9823gy1high9259iuj22c03404qq.jpg",,,,普通用户
4946275877520429,NjpQvvypf,5730915615,昭仪的男人,我将盛装以待向你而来超话#老年人的购物欲就是买菜吗#,,,,老年人的购物欲就是买菜吗,0,1,0,2023-09-15 16:45,我将盛装以待向你而来超话,,,,,普通用户
4944451060630381,NiEng2DZr,7320818312,星球椒盐,润发停车。。茶？茶馆茶没人#老年人的购物欲就是买菜吗##老年人健康#钥匙；要我穿穿。嗯😊听过i仓库菜密密麻麻场买菜。的。？现场。？？。去的吧,,,,"老年人的购物欲就是买菜吗,老年人健康",0,0,0,2023-09-10 15:54,nova8 我由我掌镜,,,,,普通用户
4943736503010672,NilMKcDde,2934920362,苏雪峰华,#苏雪峰华乐山福彩店##苏老师网红美食驴友摄影##苏雪峰华##老年人的购物欲就是买菜吗##榕江酸汤牛肉#,,,,"苏雪峰华乐山福彩店,苏老师网红美食驴友摄影,苏雪峰华,老年人的购物欲就是买菜吗,榕江酸汤牛肉",0,0,0,2023-09-08 16:34,vivo手机,https://wx4.sinaimg.cn/large/aeef54aagy1hhp9ej9vkpj20q9140gni.jpg,,,,黄V
4943734082374511,NilIQ9XIz,6291679558,饭团很开心,#老年人的购物欲就是买菜吗#那是因为老爷子们偷偷跑我们成人用品店买东西的时候你没看到生意超话#成人用品店##情趣用品店#,,,,"老年人的购物欲就是买菜吗,成人用品店,情趣用品店",0,2,1,2023-09-08 16:25,iPhone客户端,,,,,黄V
4943637348618617,NijcOAa5X,5111361440,默言-0007,中国诗词大会超话#吃葡萄干之前要不要清洗一下##你去旅游都带回过什么特产##宿舍里哪些行为最让人反感##老年人的购物欲就是买菜吗##你准备好迎接北京秋天了吗#衣带渐宽终不悔，为伊消得人憔悴！最终也不过是:忽有故人心上过，回首山河已是秋！,,,,"吃葡萄干之前要不要清洗一下,你去旅游都带回过什么特产,宿舍里哪些行为最让人反感,老年人的购物欲就是买菜吗,你准备好迎接北京秋天了吗",0,2,5,2023-09-08 10:00,中国诗词大会超话,,,,,普通用户
4943464259126808,NieHDCiiA,7863425121,谋爱的路上_,老年人玩微博#老年人的购物欲就是买菜吗#上海超话,,,,老年人的购物欲就是买菜吗,0,0,0,2023-09-07 22:33,上海超话,https://wx1.sinaimg.cn/large/008Aa85rly1hhoe4ffncnj30u011in0q.jpg,,,,普通用户
4943444260686349,Niebo2Sy9,5935372545,冉冉的包包,各位小姐姐都喜欢什么样的包包呢#双休和单休的区别能有多大##为什么一到换季就感觉没衣服穿##好物分享##包包种草##老年人的购物欲就是买菜吗#女生头像超话,,,,"双休和单休的区别能有多大,为什么一到换季就感觉没衣服穿,好物分享,包包种草,老年人的购物欲就是买菜吗",0,0,5,2023-09-07 21:13,女生头像超话,"https://wx4.sinaimg.cn/large/006tGdxfly1hhobtpd044j30tw0xk481.jpg,https://wx2.sinaimg.cn/large/006tGdxfly1hhobtprkmkj30sg0zwn9z.jpg,https://wx4.sinaimg.cn/large/006tGdxfly1hhobtq6gygj30tw128al8.jpg,https://wx3.sinaimg.cn/large/006tGdxfly1hhobtqjcb0j30tw0gkq8j.jpg,https://wx3.sinaimg.cn/large/006tGdxfly1hhobtqyx2hj30rg0ywgvz.jpg,https://wx1.sinaimg.cn/large/006tGdxfly1hhobtrdv2fj30tw10g495.jpg",,,,普通用户
4943422094053682,NidBDh0xY,5730915615,昭仪的男人,我将盛装以待向你而来超话#老年人的购物欲就是买菜吗#,,,,老年人的购物欲就是买菜吗,0,0,0,2023-09-07 19:45,我将盛装以待向你而来超话,,,,,普通用户
4943343258173882,NibytyioO,2876683220,阿漾上岸笔记,发布了头条文章：《雅思机考：新时代的英语考试方式！》#雅思免费试听课领取##高途雅思##老年人的购物欲就是买菜吗#O雅思机考：新时代的英语考试方式！,http://t.cn/A6OMIePQ,,,"雅思免费试听课领取,高途雅思,老年人的购物欲就是买菜吗",0,0,0,2023-09-07 14:32,微博 weibo.com,,,,,普通用户
4943282024220853,Ni9XIhI2h,7304451480,清梦同星河,#老年人的购物欲就是买菜吗#我还两个南瓜没处理。虽然不是老年人，但也没什么购物欲了，除了买菜，好像也没特别想买的。,,,,老年人的购物欲就是买菜吗,0,0,0,2023-09-07 10:28,HarmonyOS设备,,,,,普通用户
4943232004523061,Ni8F2iYEB,5882500473,善如水良如风,#老年人的购物欲就是买菜吗#公众休闲场所被黑恶势力霸占出租获利微博正文。微博正文。,,,,老年人的购物欲就是买菜吗,0,0,0,2023-09-07 07:10,vivo Y52s高清影像,,,,,黄V
4943223279060025,Ni8qXC0Vr,6008537272,九红东升,#老年人的购物欲就是买菜吗#满足老人精神需求，再搞些保健品，有年轻延寿功能的作用，十有八九被人骗的迷迷糊糊,,,,老年人的购物欲就是买菜吗,2,16,206,2023-09-07 06:35,,,,,,金V
4943202412396586,Ni7Tja3sC,2764517242,老记宋军,#老年人的购物欲就是买菜吗#还有买药，买各种各样的保健品、粮食、食盐等等。,,,,老年人的购物欲就是买菜吗,0,0,1,2023-09-07 05:12,vivo S12,,,,,黄V
4943140659921621,Ni6hHFD49,5517241567,lns精品视频与图片,#老年人的购物欲就是买菜吗#,,,,老年人的购物欲就是买菜吗,0,0,0,2023-09-07 01:07,iPhone客户端,,,,,普通用户
4943127800712699,Ni5WY2Zp9,1840514383,喳喳不喳,#老年人的购物欲就是买菜吗#老人对那些实用的东西都挺有购买欲的,,,,老年人的购物欲就是买菜吗,0,0,0,2023-09-07 00:16,Android客户端,,,,,普通用户
4943108413852838,Ni5rHgaiy,1559383255,海外美食作家冰清,#老年人的购物欲就是买菜吗#难道美食博主集体进入老年状态了？,,,,老年人的购物欲就是买菜吗,0,0,1,2023-09-06 22:59,HUAWEI P20 Pro,,,,,黄V
4943107710519240,Ni5qz2b4Q,7765891147,龚圈圈尔,#老年人的购物欲就是买菜吗#还有各种生活用品,,,,老年人的购物欲就是买菜吗,0,0,0,2023-09-06 22:56,荣耀70 Pro 5G,,,,,普通用户
4943099018089679,Ni5cxxWuH,1684767097,爱布朗的可妮_,#老年人的购物欲就是买菜吗#我爸的购物欲就是给我儿子买玩具,,,,老年人的购物欲就是买菜吗,0,0,0,2023-09-06 22:21,iPhone客户端,,,,,普通用户
4943093377007647,Ni53rtp0z,2401015787,U-Know静Tiffany,#老年人的购物欲就是买菜吗#自从我妈学会了网购,,,,老年人的购物欲就是买菜吗,0,0,0,2023-09-06 21:59,荣耀20,,,,,普通用户
4943092932412647,Ni52Ja7DF,1040021535,越减越肥的加菲猫,#老年人的购物欲就是买菜吗#还有保健品哈哈哈,,,,老年人的购物欲就是买菜吗,0,0,3,2023-09-06 21:57,iPad mini,,,,,普通用户
4943092547584419,Ni526vP3l,1908567493,眼科小超人老梁,#老年人的购物欲就是买菜吗#我姥姥花80元，买了敲门推销的金色水龙头。因为推销员说可以净化自来水。我爹去云南旅游买的假冒银水杯和玉镯；我妈天天绑屁股上、一路走一路冒烟儿的艾灸盒，像极了腾云驾雾的仙女；我大姑的玉石枕、玉石凉席，买彩票上瘾；攒塑料袋、省电、省水，过着自我感动的穷抠日子，然后大手笔一挥，借给亲戚好几万，或者投资亲戚的所谓生意，肉包子打狗，有去无回。然后批评我不会过日子我把钱花在自己身上、好吃好喝会享受是罪过。,,,,老年人的购物欲就是买菜吗,29,69,495,2023-09-06 21:56,,https://wx1.sinaimg.cn/large/71c26dc5ly1hhn7eh3c41j20hs0aogmc.jpg,,,,金V
4943086267664467,Ni4RYw9Sr,6592181004,信信,#老年人的购物欲就是买菜吗#你觉得老人有购买欲吗？,,,,老年人的购物欲就是买菜吗,0,1,110,2023-09-06 21:31,写一封信超话,,,,,金V
4943084417713935,Ni4OZwmKj,5532667804,林屿鹿ly,#老年人的购物欲就是买菜吗#差不多，我妈和我婆婆都是会买5斤西红柿5斤黄瓜5斤土豆的那种，我一般都是买两个够吃一顿就行，她俩总笑话我买东西抠搜,,,,老年人的购物欲就是买菜吗,0,0,0,2023-09-06 21:23,秃秃后台超话,,,,,金V
4943084306043920,Ni4OOpmiA,6592181004,信信,#老年人的购物欲就是买菜吗#购物，有时候购得是物，有时候购得是心情,,,,老年人的购物欲就是买菜吗,0,0,0,2023-09-06 21:23,写一封信超话,,,,,金V
4943084092133523,Ni4Ot8X1F,1921551257,小孩一头雾水,#老年人的购物欲就是买菜吗#上个星期家里有一把豆角，炒了一半，剩一半切成沫，包饺子，终于吃完了，我公公第二天又买了两把,,,,老年人的购物欲就是买菜吗,0,1,5,2023-09-06 21:22,搞笑超话,,,,,黄V
4943083987275449,Ni4OiuwFX,1763597487,写一封信,#老年人的购物欲就是买菜吗#你越帮她处理她越觉得你喜欢吃，你需要这个东西,,,,老年人的购物欲就是买菜吗,0,0,0,2023-09-06 21:22,信信超话,,,,,红V
4943083826318315,Ni4O2qvGj,5458720261,我一唱歌就破音,#老年人的购物欲就是买菜吗#真事：远房亲戚已经老年痴呆，去米店赊账买了两袋30斤一袋那种大米回家,,,,老年人的购物欲就是买菜吗,0,0,0,2023-09-06 21:21,写信超话,,,,,黄V
