id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4985734551050606,NzYlx4pjg,1882868694,上海热线,睡眠障碍是常见的身体功能障碍，引起睡眠障碍的原因很多，其中饮食也起着重要的作用。前不久，中国营养学会临床营养分会邀请多学科专家合作制定《老年睡眠障碍患者营养干预专家共识》，旨在规范营养干预诊疗流程，提升老年人睡眠和生活质量。在这份共识中，对于睡眠质量的提升，提出了7条营养干预建议。而这些营养建议，对于所有睡眠质量不佳的成人，都非常有指导意义。#睡眠障碍##老年人睡眠不好怎么办##饮食健康##科普知识##3亿中国人有睡眠障碍##科普小知识#O总是睡不好的人这次有救了！这些建议简单又好用！,,,,"睡眠障碍,老年人睡眠不好怎么办,饮食健康,科普知识,3亿中国人有睡眠障碍,科普小知识",0,0,0,2024-01-02 14:00,微博 weibo.com,,,,,蓝V
4981316448421775,Ny7pyzkT5,7573008902,中医李秀华,"老年人睡得少正常吗？人生三大趣事，吃饭，睡觉，看夕阳，各位小伙伴大家好，我是你们的秀华医生，最近好多粉丝问我，说怎么这个人一上年纪，就没有觉了呢？不要着急，让我慢慢说给你们听。其实因为老年人睡眠功能会随着年龄的增长而逐渐退化,所以晚上很难睡着，而且睡着了也很容易醒,所以常常会给人造成“觉少”的错觉。我相信大多数人都觉得老年人觉少是正常的，其实这种观点是错误的。老年人和年轻人一样需要充足的睡眠，近年来许多调查研究表明,健康长寿的老人都有一个正常而良好的睡眠，保证充足有效的睡眠是健康长寿的一个重要因素。俗话说“青年靠吃,老人靠睡”,“吃人参不如睡五更”。所以看来老年人睡眠不可少是有道理的。睡眠需要时间在成年人阶段变化不大，老年人夜间醒来次数比较多从而会使睡眠的时间减少，但他们的生理需要时间和年轻时比并没有减少，只不过他们夜间睡得少白天就会睡的多。#健康知识打卡月##中医养生##失眠##老年人睡眠不好怎么办#",,,,"健康知识打卡月,中医养生,失眠,老年人睡眠不好怎么办",0,0,1,2023-12-21 09:24,微博网页版,,,,,普通用户
4973417893986592,NuNVXgJ5S,5372665764,用户6103671796,睡眠不好＇夜不眠＇有时要拖到天亮，#老年人睡眠不好怎么办#？不服安眠药＇也不行？这样只好听之任知，听之任之吧！今天是十一底了＇十二月即将来临i这个月份要记一下i年末了吗！好好保重！，,,,,老年人睡眠不好怎么办,0,0,0,2023-11-29 14:18,iPad客户端,,,,,普通用户
4961045515076810,NpC4vliI2,7308244045,小小支典,最近睡眠不好🙀好想躺下就吹气球#老年人睡眠不好怎么办#,,,,老年人睡眠不好怎么办,0,0,0,2023-10-26 10:54,iPhone客户端,https://wx4.sinaimg.cn/large/007YAE7Xgy1hj8haw9w0fj31400u0dm4.jpg,,,,普通用户
4961031737052932,NpBIhtAMY,5712113452,清檬养老,#每日视频#【健康提示：#白天适当户外活动能促进良好睡眠#】#老年人睡眠不好怎么办#今天是重阳节，“晚上睡不着白天打瞌睡”，这是很多老年人面临的烦恼。专家建议，老年人白天应适当进行户外活动，晒晒太阳。另外，要学会自我调整，睡前不要抱着“一定要快点睡着”或“今天又睡不着”的疑虑，这些不得不睡的强制观念反而会妨碍入睡；避免睡前过度思考，可在睡前进行放松训练，提升睡眠质量。L央视网的微博视频,,,,"每日视频,白天适当户外活动能促进良好睡眠,老年人睡眠不好怎么办",0,1,0,2023-10-26 10:00,微博视频号,,"http://locallimit.us.sinaimg.cn/o0/LTsW0GFnlx089ASB2mfm01041200maiT0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982859&ssig=lvVeGYkoz7&KID=unistore,video",,,蓝V
4960729999082238,NptRBC6HI,2818107910,成都市青白江区残联,#残联贴士##白天适当户外活动能促进良好睡眠##老年人睡眠不好怎么办#今天是重阳节，“晚上睡不着白天打瞌睡”，这是很多老年人面临的烦恼。专家建议，老年人白天应适当进行户外活动，晒晒太阳。另外，要学会自我调整，睡前不要抱着“一定要快点睡着”或“今天又睡不着”的疑虑，这些不得不睡的强制观念反而会妨碍入睡；避免睡前过度思考，可在睡前进行放松训练，提升睡眠质量。L央视网的微博视频,,,,"残联贴士,白天适当户外活动能促进良好睡眠,老年人睡眠不好怎么办",0,0,0,2023-10-25 14:01,微博视频号,,"http://locallimit.us.sinaimg.cn/o0/LTsW0GFnlx089ASB2mfm01041200maiT0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982859&ssig=lvVeGYkoz7&KID=unistore,video",,,蓝V
4960710812502158,NptmFauVo,7330813852,想你时你在世界的每个角落,睡眠焦虑..睡不着..睡不好…#老年人睡眠不好怎么办##睡眠不足真的很糟糕#,,,,"老年人睡眠不好怎么办,睡眠不足真的很糟糕",0,5,0,2023-10-25 12:44,,,,,,普通用户
4960488657520585,NpnAlvyrL,3948986491,南京残联,【健康提示：#白天适当户外活动能促进良好睡眠#】#老年人睡眠不好怎么办#“晚上睡不着白天打瞌睡”，这是很多老年人面临的烦恼。专家建议，老年人白天应适当进行户外活动，晒晒太阳。另外，要学会自我调整，睡前不要抱着“一定要快点睡着”或“今天又睡不着”的疑虑，这些不得不睡的强制观念反而会妨碍入睡；避免睡前过度思考，可在睡前进行放松训练，提升睡眠质量。L央视网的微博视频,,,,"白天适当户外活动能促进良好睡眠,老年人睡眠不好怎么办",0,0,0,2023-10-24 22:02,微博视频号,,"http://locallimit.us.sinaimg.cn/o0/LTsW0GFnlx089ASB2mfm01041200maiT0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982859&ssig=lvVeGYkoz7&KID=unistore,video",,,蓝V
4960409024990162,NplvUkWau,2557736524,青白江住建,【健康提示：#白天适当户外活动能促进良好睡眠#】#老年人睡眠不好怎么办#今天是重阳节，“晚上睡不着白天打瞌睡”，这是很多老年人面临的烦恼。专家建议，老年人白天应适当进行户外活动，晒晒太阳。另外，要学会自我调整，睡前不要抱着“一定要快点睡着”或“今天又睡不着”的疑虑，这些不得不睡的强制观念反而会妨碍入睡；避免睡前过度思考，可在睡前进行放松训练，提升睡眠质量。（央视网）L央视网的微博视频,,,,"白天适当户外活动能促进良好睡眠,老年人睡眠不好怎么办",1,0,0,2023-10-24 16:45,iPhone客户端,,"http://locallimit.us.sinaimg.cn/o0/LTsW0GFnlx089ASB2mfm01041200maiT0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982859&ssig=lvVeGYkoz7&KID=unistore,video",,,蓝V
4960389467472104,Npl0mvlPO,2569810605,中国通辽网,【健康提示：#白天适当户外活动能促进良好睡眠#】#老年人睡眠不好怎么办#昨天是重阳节，“晚上睡不着白天打瞌睡”，这是很多老年人面临的烦恼。专家建议，老年人白天应适当进行户外活动，晒晒太阳。另外，要学会自我调整，睡前不要抱着“一定要快点睡着”或“今天又睡不着”的疑虑，这些不得不睡的强制观念反而会妨碍入睡；避免睡前过度思考，可在睡前进行放松训练，提升睡眠质量。（央视网）L央视网的微博视频,,,,"白天适当户外活动能促进良好睡眠,老年人睡眠不好怎么办",0,0,0,2023-10-24 15:27,微博视频号,,"http://locallimit.us.sinaimg.cn/o0/LTsW0GFnlx089ASB2mfm01041200maiT0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982861&ssig=iCcyAUshFK&KID=unistore,video",,,蓝V
4960353521238296,Npk4o5c8w,3304073790,龙泉驿残联,#残联贴士##白天适当户外活动能促进良好睡眠##老年人睡眠不好怎么办#今天是重阳节，“晚上睡不着白天打瞌睡”，这是很多老年人面临的烦恼。专家建议，老年人白天应适当进行户外活动，晒晒太阳。另外，要学会自我调整，睡前不要抱着“一定要快点睡着”或“今天又睡不着”的疑虑，这些不得不睡的强制观念反而会妨碍入睡；避免睡前过度思考，可在睡前进行放松训练，提升睡眠质量。L央视网的微博视频,,,,"残联贴士,白天适当户外活动能促进良好睡眠,老年人睡眠不好怎么办",0,0,1,2023-10-24 13:05,微博视频号,,"http://locallimit.us.sinaimg.cn/o0/LTsW0GFnlx089ASB2mfm01041200maiT0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982861&ssig=iCcyAUshFK&KID=unistore,video",,,蓝V
4960352258230293,Npk2lyx4F,2144066964,成都残联,#残联贴士##白天适当户外活动能促进良好睡眠##老年人睡眠不好怎么办#今天是重阳节，“晚上睡不着白天打瞌睡”，这是很多老年人面临的烦恼。专家建议，老年人白天应适当进行户外活动，晒晒太阳。另外，要学会自我调整，睡前不要抱着“一定要快点睡着”或“今天又睡不着”的疑虑，这些不得不睡的强制观念反而会妨碍入睡；避免睡前过度思考，可在睡前进行放松训练，提升睡眠质量。L央视网的微博视频,,,,"残联贴士,白天适当户外活动能促进良好睡眠,老年人睡眠不好怎么办",0,2,3,2023-10-24 13:00,微博视频号,,"http://locallimit.us.sinaimg.cn/o0/LTsW0GFnlx089ASB2mfm01041200maiT0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982861&ssig=iCcyAUshFK&KID=unistore,video",,,蓝V
4960341652145794,NpjLf90dA,6615148662,阿克苏市融媒体中心,【健康提示：#白天适当户外活动能促进良好睡眠#】#老年人睡眠不好怎么办#今天是重阳节，“晚上睡不着白天打瞌睡”，这是很多老年人面临的烦恼。专家建议，老年人白天应适当进行户外活动，晒晒太阳。另外，要学会自我调整，睡前不要抱着“一定要快点睡着”或“今天又睡不着”的疑虑，这些不得不睡的强...L阿克苏市融媒体中心的微博视频,,,,"白天适当户外活动能促进良好睡眠,老年人睡眠不好怎么办",0,0,0,2023-10-24 12:17,微博视频号,,"http://f.video.weibocdn.com/o0/8K1g3fMelx089CCr6KMU01041200gCW30E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982861&ssig=5UxDiOvPi1&KID=unistore,video",,,蓝V
4960338420433195,NpjG21OH1,2270636837,活力内蒙古,【健康提示：#白天适当户外活动能促进良好睡眠#】#老年人睡眠不好怎么办#昨天是重阳节，“晚上睡不着白天打瞌睡”，这是很多老年人面临的烦恼。专家建议，老年人白天应适当进行户外活动，晒晒太阳。另外，要学会自我调整，睡前不要抱着“一定要快点睡着”或“今天又睡不着”的疑虑，这些不得不睡的强制观念反而会妨碍入睡；避免睡前过度思考，可在睡前进行放松训练，提升睡眠质量。（央视网）L央视网的微博视频,,,,"白天适当户外活动能促进良好睡眠,老年人睡眠不好怎么办",0,0,0,2023-10-24 12:05,微博视频号,,"http://locallimit.us.sinaimg.cn/o0/LTsW0GFnlx089ASB2mfm01041200maiT0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982861&ssig=iCcyAUshFK&KID=unistore,video",,,蓝V
