id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4927309784023596,Nbss2gSII,2010999701,营养师张淋琳,老年人应该如何科学锻炼？（2）#张淋琳健康超话#二、运动与治疗不可偏废　　人们对于“运动是良医”的认识，往往会犯忽左忽右的错误。有些老年朋友认为运动既然有诸多好处，光靠运动就行了。　　加之各种天花乱坠导购信息的误导，本身对医学知识了解不深，不知不觉中放弃了规范化的治疗，或者医学治疗执行不彻底，诸如私自停药，减量，漏服，用所谓安全的保健品代替等等，同时过量运动，把自己搞得疲惫不堪。　　另一些人则主观臆断，将运动疗法一棒子打死，找出身体状况不允许等各种理由拒绝运动，认为运动治疗根本没有作用，结果是疾病越治越重，最后临床无法收拾。　　所有这些误区均源于对老年病治管分离的错误认识：①　忽略了老年疾病的形成是一个长期复杂的过程。②　控制老年病的发作是对生理状态进行持续的、综合的治、管工程，既要治疗高血压、高血糖、高血脂等，又要对其产生的基础“代谢异常”如，肥胖、血脂血糖代谢异常、水盐代谢异常进行管理。　　而运动疗法是对代谢紊乱拨乱反正的主要管理途径，是疾病防控的基石，只有“标本兼治”才能稳定的，长期的保障老年人的健康，提高抗病能力和生活质量。#身体健康##老年人如何适当进行运动##老年人肥胖不运动膝盖软骨被磨光#月经不调超话食品安全超话夏季养生超话#莲花楼首播反响##齐齐哈尔体育馆坍塌事故已致9人死亡#,,,,"张淋琳健康超话,身体健康,老年人如何适当进行运动,老年人肥胖不运动膝盖软骨被磨光,莲花楼首播反响,齐齐哈尔体育馆坍塌事故已致9人死亡",1,0,3,2023-07-25 08:41,微博网页版,"https://wx2.sinaimg.cn/large/77dd6b95ly1hg7sgo40w4j20qo0mv77j.jpg,https://wx4.sinaimg.cn/large/77dd6b95ly1hg7sgnzrehj20u00ky0zh.jpg,https://wx4.sinaimg.cn/large/77dd6b95ly1hg7sgo36cbj20zk0n50xo.jpg",,,,红V
4889756083688252,MBEXSfttW,7188971852,365mc吸脂院长问答,老年人膝盖痛原来和肥胖有关。进入老年期后，身体各个部位都会出现疼痛。就连每天使用的“膝盖”也开始出现老化迹象，如果已经开始感到膝关节炎的迹象或对此感到担忧，那么从体重管理开始是有好处的。“每增加1公斤，膝盖的负荷就会增加2到7公斤。”减少精制碳水化合物和调味肉汤的摄入量，避免过度的运动，并在每餐中加入手掌大小的蛋白质配菜。都是减轻体重的好方法。#韩国365mc吸脂医院##老年肥胖##老年人肥胖不运动膝盖软骨被磨光#,,,,"韩国365mc吸脂医院,老年肥胖,老年人肥胖不运动膝盖软骨被磨光",0,0,0,2023-04-12 17:36,微博网页版,https://wx3.sinaimg.cn/large/007QwbYUgy1hcx0edpagyj30go09dwex.jpg,,,,普通用户
4825973553366509,MaTGPe7Mx,6236972310,天津河北博大医院,胖人存活率更高、寿命更长？我国成年人的超重与肥胖率已达到50%。大家也可以测量下自己的数据，即按照世界卫生组织（WHO）的定义，把BMI范围在25~29.9kg/m2，视为肥胖；对于BMI指数大于等于30kg/m2，还是肥胖的标准。大家不要小看这种体型，目前，肥胖症已是由多种因素引起的慢性代谢性疾病，还会导致很多疾病，如并发症高血压、高血脂、二型糖尿病、心脑血管疾病等等。也正是因为这样，很多人都以瘦人为标准，认为这样的人身体才会健康，可研究发现，如果老人胖一点，就有可能长寿，这是真的吗？可能关于老人的养生方面，太多人听说过这句话了——千金难买老来瘦，然而如果太较真，由于过瘦还容易增加肌肉衰减综合征，简称为少肌症的发生。若患上这种疾病，不仅会使老人的活动能力下降，还有可能增加骨骼疾病，诱发多种代谢综合征的发生。所以，不建议老人过瘦，还有在一项调查时间长达73年的研究，涉及了4千多名的人体研究发现，年轻时正常体重的人群，很容易在后期的饮食习惯下变成超重的体重，而对于年老时微胖的体型，在死亡风险上也是最低的。最终研究结果显示，老年人最健康的体重指数是在25~29。同时观察腰围、肌肉含量、脂肪含量，以及自身的病情等，在综合因素下，微胖的老人身体可能更健康。而之所以有这样的结果，一方面是因为随着年龄的增长，肠胃的消化吸收会随之下降，相比于体型过瘦的老人，微胖的老人在补充营养上的能力相对较强。另一方面，对于年龄大的人，若出现消耗性的疾病，那么适当的微胖型体重就要比体重过轻的人，有一定的优势。但这样的研究还需进一步的调查，对于老年人来说，在健康的BMI指数范围内就是可以的。一旦在生活中，出现体重明显的下降，如短时间内出现体重下降5%~10%的现象，要警惕是疾病的表现，及时去医院做相关的诊治。#肥胖##老年人肥胖不运动膝盖软骨被磨光##我国超一半成年人超重或肥胖##肥胖让人平均少活8年##涨知识#涨知识超话#医学科普##科普大作战##冷知识##科普一下##科普小知识#,,,,"肥胖,老年人肥胖不运动膝盖软骨被磨光,我国超一半成年人超重或肥胖,肥胖让人平均少活8年,涨知识,医学科普,科普大作战,冷知识,科普一下,科普小知识",0,0,0,2022-10-18 17:27,微博 weibo.com,https://wx3.sinaimg.cn/large/006O5HpAly1h79ije0kw3j307z04wdfz.jpg,,,,蓝V
4825971796479088,MaTDZrbvq,3095391801,天津河北国泰医院,胖人存活率更高、寿命更长？我国成年人的超重与肥胖率已达到50%。大家也可以测量下自己的数据，即按照世界卫生组织（WHO）的定义，把BMI范围在25~29.9kg/m2，视为肥胖；对于BMI指数大于等于30kg/m2，还是肥胖的标准。大家不要小看这种体型，目前，肥胖症已是由多种因素引起的慢性代谢性疾病，还会导致很多疾病，如并发症高血压、高血脂、二型糖尿病、心脑血管疾病等等。也正是因为这样，很多人都以瘦人为标准，认为这样的人身体才会健康，可研究发现，如果老人胖一点，就有可能长寿，这是真的吗？可能关于老人的养生方面，太多人听说过这句话了——千金难买老来瘦，然而如果太较真，由于过瘦还容易增加肌肉衰减综合征，简称为少肌症的发生。若患上这种疾病，不仅会使老人的活动能力下降，还有可能增加骨骼疾病，诱发多种代谢综合征的发生。所以，不建议老人过瘦，还有在一项调查时间长达73年的研究，涉及了4千多名的人体研究发现，年轻时正常体重的人群，很容易在后期的饮食习惯下变成超重的体重，而对于年老时微胖的体型，在死亡风险上也是最低的。最终研究结果显示，老年人最健康的体重指数是在25~29。同时观察腰围、肌肉含量、脂肪含量，以及自身的病情等，在综合因素下，微胖的老人身体可能更健康。而之所以有这样的结果，一方面是因为随着年龄的增长，肠胃的消化吸收会随之下降，相比于体型过瘦的老人，微胖的老人在补充营养上的能力相对较强。另一方面，对于年龄大的人，若出现消耗性的疾病，那么适当的微胖型体重就要比体重过轻的人，有一定的优势。但这样的研究还需进一步的调查，对于老年人来说，在健康的BMI指数范围内就是可以的。一旦在生活中，出现体重明显的下降，如短时间内出现体重下降5%~10%的现象，要警惕是疾病的表现，及时去医院做相关的诊治。#肥胖##老年人肥胖不运动膝盖软骨被磨光##我国超一半成年人超重或肥胖##肥胖让人平均少活8年##涨知识#涨知识超话#医学科普##科普大作战##冷知识##科普一下##科普小知识#,,,,"肥胖,老年人肥胖不运动膝盖软骨被磨光,我国超一半成年人超重或肥胖,肥胖让人平均少活8年,涨知识,医学科普,科普大作战,冷知识,科普一下,科普小知识",0,0,0,2022-10-18 17:20,微博 weibo.com,https://wx3.sinaimg.cn/large/b87fee39ly1h79f3yqmrnj207z04wdfz.jpg,,,,蓝V
4691931160907128,KCzy43NZ6,6615148662,阿克苏市融媒体中心,【#老年人肥胖不运动膝盖软骨被磨光#】近日，江苏常州67岁的王女士退休在家后就不怎么运动，结果膝盖从隐隐作痛发展为剧烈疼痛。医生检查发现其为骨性关节炎，膝关节处完全变形，软骨已被全部磨光，只能进行置换手术。医生提醒：#不动或过度运动会致膝关节磨损#。我苏特稿的微博视频L阿克苏市融媒体中心的微博视频,,,,"老年人肥胖不运动膝盖软骨被磨光,不动或过度运动会致膝关节磨损",0,0,0,2021-10-13 20:10,微博视频号,,"http://f.video.weibocdn.com/o0/PwRCGIHnlx07QzeVw76o01041200m8Nt0E010.mp4?label=mp4_720p&template=960x540.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010301&ssig=Y3jOSfHOnx&KID=unistore,video",,,蓝V
4691894573728456,KCyB3fDWo,1835473531,老年之声AM1053,【#老年人肥胖不运动膝盖软骨被磨光#】近日，江苏常州67岁的王女士退休在家后就不怎么运动，结果膝盖从隐隐作痛发展为剧烈疼痛。医生检查发现其为骨性关节炎，膝关节处完全变形，软骨已被全部磨光，只能进行置换手术。医生提醒：#不动或过度运动会致膝关节磨损#。L我苏特稿的微博视频,,,,"老年人肥胖不运动膝盖软骨被磨光,不动或过度运动会致膝关节磨损",0,0,0,2021-10-13 17:45,微博视频号,,"http://f.video.weibocdn.com/o0/pjKTn0KOlx07QxeGgV2001041200yIxO0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010301&ssig=bK7voHUlI0&KID=unistore,video",,,蓝V
4691875401043354,KCy684nqi,7639316640,贵州养老,【#老年人肥胖不运动膝盖软骨被磨光#】近日，江苏常州67岁的王女士退休在家后就不怎么运动，结果膝盖从隐隐作痛发展为剧烈疼痛。医生检查发现其为骨性关节炎，膝关节处完全变形，软骨已被全部磨光，只能进行置换手术。医生提醒：#不动或过度运动会致膝关节磨损#。L我苏特稿的微博视频,,,,"老年人肥胖不运动膝盖软骨被磨光,不动或过度运动会致膝关节磨损",0,0,0,2021-10-13 16:28,微博视频号,,"http://f.video.weibocdn.com/o0/pjKTn0KOlx07QxeGgV2001041200yIxO0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010301&ssig=bK7voHUlI0&KID=unistore,video",,,蓝V
4691868158267004,KCxUryGCM,1997056484,人民网贵州频道,【#老年人肥胖不运动膝盖软骨被磨光#】近日，江苏常州67岁的王女士退休在家后就不怎么运动，结果膝盖从隐隐作痛发展为剧烈疼痛。医生检查发现其为骨性关节炎，膝关节处完全变形，软骨已被全部磨光，只能进行置换手术。医生提醒：#不动或过度运动会致膝关节磨损#。@我苏特稿L我苏特稿的微博视频,,,我苏特稿,"老年人肥胖不运动膝盖软骨被磨光,不动或过度运动会致膝关节磨损",0,0,0,2021-10-13 16:00,微博视频号,,"http://f.video.weibocdn.com/o0/pjKTn0KOlx07QxeGgV2001041200yIxO0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010301&ssig=bK7voHUlI0&KID=unistore,video",,,蓝V
4691822347553582,KCwIyvH1Y,1130284522,贺州反邪,【#老年人肥胖不运动膝盖软骨被磨光#】近日，江苏常州67岁的王女士退休在家后就不怎么运动，结果膝盖从隐隐作痛发展为剧烈疼痛。医生检查发现其为骨性关节炎，膝关节处完全变形，软骨已被全部磨光，只能进行置换手术。医生提醒：#不动或过度运动会致膝关节磨损#。@我苏特稿L我苏特稿的微博视频,,,我苏特稿,"老年人肥胖不运动膝盖软骨被磨光,不动或过度运动会致膝关节磨损",0,0,0,2021-10-13 12:58,微博视频号,,"http://f.video.weibocdn.com/o0/pjKTn0KOlx07QxeGgV2001041200yIxO0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010301&ssig=bK7voHUlI0&KID=unistore,video",,,蓝V
4691792328917602,KCvW8BpSi,7339650493,屯留政法2019,//@长治政法:【#老年人肥胖不运动膝盖软骨被磨光#】,,,长治政法,老年人肥胖不运动膝盖软骨被磨光,0,0,0,2021-10-13 10:58,微博网页版,,,,,蓝V
