id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4960117542092897,NpdVM8Msp,7739916851,沐紫璟,#老年人能有多沉迷互联网#老年人只是他们那个年没有手机，要是有手机，他们一样玩的很疯狂,,,,老年人能有多沉迷互联网,0,0,0,2023-10-23 21:27,OPPO智能手机,,,,,普通用户
4960116674134847,NpdUnhlF5,7605032288,纯纯的羊驼1223,#老年人能有多沉迷互联网#有时候一天都在上网,,,,老年人能有多沉迷互联网,0,0,0,2023-10-23 21:23,OPPO A56 5G,,,,,黄V
4960116619872919,NpdUhFqoD,5444262860,D夜航船,#老年人能有多沉迷互联网#老年人没事做无聊,,,,老年人能有多沉迷互联网,0,0,0,2023-10-23 21:23,Redmi Note 11 4G,,,,,普通用户
4960116560102564,NpdUc0qGg,7080275327,每文北水,#老年人能有多沉迷互联网#老小孩儿老小孩儿，你看小孩儿沉迷不？,,,,老年人能有多沉迷互联网,0,0,0,2023-10-23 21:23,iPhone客户端,,,,,普通用户
4960116556171399,NpdUbpTsH,5387765451,叫我三个叉叉叉,#老年人能有多沉迷互联网#也是平常没事的，给自己找点乐子呗,,,,老年人能有多沉迷互联网,0,0,0,2023-10-23 21:23,荣耀Magic5,,,,,普通用户
4960116512394984,NpdU7a32M,6372713046,半勺甜心橘子海,#老年人能有多沉迷互联网#，吹葫芦丝，时不时拍个美颜视频,,,,老年人能有多沉迷互联网,0,0,0,2023-10-23 21:23,vivo X60 蔡司影像,,,,,普通用户
4960116506101336,NpdU6pBeE,2409943493,94啊超,#老年人能有多沉迷互联网#非常有幸参与这个话题，让我们一起加油！,,北京,,老年人能有多沉迷互联网,0,0,0,2023-10-23 21:23,HUAWEI Mate 10,,,,,黄V
4960116505316723,NpdU6mj7B,7429883250,雅妮雯妮佳凯LOVE,#老年人能有多沉迷互联网#🆚我们还沉迷,,,,老年人能有多沉迷互联网,0,0,0,2023-10-23 21:23,iPhone客户端,,,,,普通用户
4960116476479237,NpdU3rbxP,6693019529,籽籽籽籽儿-,#老年人能有多沉迷互联网#哈哈啊哈现在玩手机已经不分年轻人和老年人了，都爱玩,,,,老年人能有多沉迷互联网,0,0,0,2023-10-23 21:23,荣耀60 5G,,,,,普通用户
4960111120879899,NpdLq3GTV,2682197091,1个帽子,#老年人能有多沉迷互联网#老年人能有多沉迷互联网,,,,老年人能有多沉迷互联网,216,7,220,2023-10-23 21:01,HUAWEI P40 Pro 5G,"https://wx3.sinaimg.cn/large/9fdf1463ly1hj5hx70ktyj20zk1be12b.jpg,https://wx2.sinaimg.cn/large/9fdf1463ly1hj5hy40j1ej214014044z.jpg,https://wx2.sinaimg.cn/large/9fdf1463ly1hj5hz7eczpj20xc18jh0f.jpg,https://wx1.sinaimg.cn/large/9fdf1463ly1hj5hze15tfj21401hcwn2.jpg,https://wx4.sinaimg.cn/large/9fdf1463ly1hj5i077yusj21401hcqaq.jpg,https://wx1.sinaimg.cn/large/9fdf1463ly1hj5i07osvtj21401hcajf.jpg",,,,
4960116451317681,NpdU15wMV,5632851167,渴望直正无私,#老年人能有多沉迷互联网#,,,,老年人能有多沉迷互联网,0,0,220,2023-10-23 21:22,OPPO Reno5 5G,,,4960111120879899,,黄V
4960116404653063,NpdTWjwtp,6503893301,爱你么么_,#老年人能有多沉迷互联网#哈哈哈好多这样,,,,老年人能有多沉迷互联网,0,0,0,2023-10-23 21:22,nova4自拍极点全面屏,,,,,普通用户
4960116341737539,NpdTQ7i0P,6601737192,斗地主_5,#老年人能有多沉迷互联网#我家的也是,,,,老年人能有多沉迷互联网,0,0,0,2023-10-23 21:22,iPhone客户端,,,,,普通用户
4960116282491321,NpdTKas6B,7204280893,彤的晴朗life,#老年人能有多沉迷互联网#熬夜不睡,,,,老年人能有多沉迷互联网,0,0,0,2023-10-23 21:22,荣耀90 写真相机,,,,,普通用户
4960116266502674,NpdTIrhDQ,5239075148,大锦鲤幸运星,#老年人能有多沉迷互联网#,,,,老年人能有多沉迷互联网,0,0,0,2023-10-23 21:22,小米11,,,,,普通用户
4960115599345340,NpdSDDd9i,5585897620,旧情话_,情感超话#老年人能有多沉迷互联网#老奶奶会戴耳机不外放打扰年轻人已经很赞了,,,,老年人能有多沉迷互联网,0,1,0,2023-10-23 21:19,情感超话,,,,,黄V
4960114999826385,NpdRFFei5,7877937948,野瑰兔乐丝i,#老年人能有多沉迷互联网#边听书边看电视牛的哈哈哈哈哈,,,,老年人能有多沉迷互联网,0,0,0,2023-10-23 21:17,HUAWEI P40 Pro 5G,,,,,普通用户
4960114621551246,NpdR46vy6,6357116040,侮辱性极强,情感超话#老年人能有多沉迷互联网#同款奶奶，我奶奶七十了，吹葫芦丝和把乌，时不时拍个美颜视频,,,,老年人能有多沉迷互联网,0,0,1,2023-10-23 21:15,情感超话,,,,,黄V
