id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4980072903344757,NxB3Qe27H,7849831336,耳朵失明了1,我是OK姐，OK，OK，OK，OK。疯咯，洗咯，洗翘翘咯。为什么要考试哇，洗咯。。洗咯，为什么有作业啊。洗咯，为什么没有意义。洗咯，为什么要熬夜啊。洗咯，为什么要早起做作业啊。洗咯，为什么精神状态超前啊。洗咯洗咯洗咯洗咯芜湖～洗咯～#一早起来端鸡汤给你们喝喝完赶快做作业去##老年人超前的精神状态##不想做作业#,,,,"一早起来端鸡汤给你们喝喝完赶快做作业去,老年人超前的精神状态,不想做作业",0,0,0,2023-12-17 23:02,荣耀V20 4800万3D相机,,,,,普通用户
4977089063947920,Nwlrcgz28,2891142547,李同学有点飘,#老年人超前的精神状态#希望老了以后也可以八卦，多姿多彩地生活哈哈哈哈，已经开始幻想老年生活了,,,,老年人超前的精神状态,0,0,0,2023-12-09 17:26,,,,,,普通用户
4977088568494092,NwlqozDHu,6144171806,卿陌学姐,#老年人超前的精神状态#真的6啊现在的老年人，00后自愧不如,,,,老年人超前的精神状态,0,0,0,2023-12-09 17:24,Android客户端,,,,,黄V
4977087859394385,NwlpfDpUl,5314103857,一碗素茶吖,#老年人超前的精神状态#现在的老年人都这样了吗？我嘞个豆,,,,老年人超前的精神状态,0,0,0,2023-12-09 17:21,Android客户端,https://wx3.sinaimg.cn/large/005NDraxgy1hknnr883q3j30k00maac4.jpg,,,,黄V
4977087615600600,NwloRnuYg,6079299707,学生搞笑事,#老年人超前的精神状态#00后的精神状态不如老年人系列,,,,老年人超前的精神状态,0,0,0,2023-12-09 17:20,,https://wx1.sinaimg.cn/large/006Dq7z5gy1hknnq9cx3lj30n00k8q3z.jpg,,,,黄V
4977087155275375,Nwlo7m8mH,6544983422,翎尊师来犯,#老年人超前的精神状态#看到这样的画面我是直呼优秀，如果我老了也这样的话，那我是相当的开心,,,,老年人超前的精神状态,0,0,0,2023-12-09 17:18,皮皮时光机,https://wx3.sinaimg.cn/large/0078W5aKly8hknnocrjwij30j60j60sw.jpg,,,,普通用户
4977086863246755,NwlnEdCD1,7391448377,校园趣闻大赏,#老年人超前的精神状态#我这个00后emo了哈哈哈,,,,老年人超前的精神状态,0,0,1,2023-12-09 17:17,,https://wx4.sinaimg.cn/large/0084dLnjgy1hknnn5jc9lj30u00qewga.jpg,,,,黄V
4977086266345771,NwlmGqCP9,6333812738,本科生夏洛洛,#老年人超前的精神状态#被可爱到了，现在的老年人状态是我老了想要的,,,,老年人超前的精神状态,0,0,0,2023-12-09 17:14,,,,,,黄V
4977086144448279,NwlmuiFcr,6765778037,打工人研究所,#老年人超前的精神状态#老年人现在的精神状态这么超前吗，比我还超前，太厉害了哈哈哈哈哈哈,,,,老年人超前的精神状态,0,0,0,2023-12-09 17:14,iPhone客户端,,,,,普通用户
4977085841412241,Nwlm05Vo5,7796775095,职场达人楚依依,#老年人超前的精神状态#老年人这样的精神状态也太让人羡慕了吧，希望我以后老了也这样有趣,,,,老年人超前的精神状态,0,0,0,2023-12-09 17:13,iPhone客户端,,,,,黄V
